policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,5129.321785559005,63.05052150914841,-4792.995717568521,2571.0099307119235,263.3740227167521,1749.0716405042099,-231.59385750809426,4028301.81222678,-4338.659186592602,-46946.52499104963,-7.241544546188206,40,13,27,13,13490.0,0.325,0.675
myopic,1,4530.588936300858,51.790993988591325,-4193.110923298379,2277.612159977853,268.6262670352831,978.573347454063,-206.02817121326385,3606482.8652113173,-3866.6190112209965,-36056.16890946567,-7.582555976019875,40,13,26,14,13490.0,0.325,0.65
myopic,2,4903.289069537616,17.713907136270926,-4563.001636947364,2462.983888532824,241.66091923069777,1018.3742620305258,-326.97645460116075,3817963.052014777,-4107.737595600746,-43699.53798209481,-5.511034681322817,40,11,30,10,13490.0,0.275,0.75
myopic,3,4430.456894959713,60.39110466145299,-4086.119168230752,2221.656714012952,263.56686699605837,675.031858489896,-180.34222102514556,3473512.328917723,-3757.8932622666816,-40830.23019923841,-7.691001050870465,40,10,26,14,13490.0,0.25,0.65
myopic,4,4348.490620778011,16.828211779457376,-4227.099564200541,2184.8320228718485,202.93192061003438,1671.4768279649184,-339.71021309663126,3324086.6048555565,-3577.6122724866736,-37839.490529187926,-9.48662764637856,40,7,23,17,13490.0,0.175,0.575
greedy_crh,0,1588.6593402645983,0.0,-1563.9270292931674,799.925622823735,68.04992007857754,913.9561710371117,-94.79804710053386,1242003.4598216177,-1315.8052128722788,-12603.857561970846,-4.097958353392576,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
greedy_crh,1,2152.46362043311,0.0,-2130.8635321143593,1084.3392483489179,98.55156878066617,662.177321853924,-98.4147595731369,1656483.8757918575,-1765.6290404112913,-15194.794989497628,-2.800704939412108,14,10,10,4,4480.0,0.7142857142857143,0.7142857142857143
greedy_crh,2,1230.8311162148184,0.0,-1241.0307198379262,620.5153599189631,68.71180760543466,284.9782027917662,-74.41071794536258,1010953.9299671659,-1044.4291419921515,-8954.733413542715,-3.4621909183574204,14,7,9,5,4480.0,0.5,0.6428571428571429
greedy_crh,3,1577.0179931887528,0.0,-1384.347040306921,793.1301462415279,67.25705176550088,313.64920457491803,32.473311022688264,1231878.1997141289,-1332.597289644386,-18324.20451286248,-4.1992172613261705,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
greedy_crh,4,957.8962451333521,0.0,-966.7735284099047,483.38676420495227,58.36109854734797,140.76108190016691,-70.0256921953313,765474.4180027418,-800.4368271110554,-5475.676531540191,-5.7080900894511695,14,6,6,8,4480.0,0.42857142857142855,0.42857142857142855
frontload,0,1588.6593402645983,0.0,-1563.9270292931674,799.925622823735,68.04992007857754,913.9561710371117,-94.79804710053386,1242003.4598216177,-1315.8052128722788,-12603.857561970846,-4.097958353392576,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
frontload,1,2152.46362043311,0.0,-2130.8635321143593,1084.3392483489179,98.55156878066617,662.177321853924,-98.4147595731369,1656483.8757918575,-1765.6290404112913,-15194.794989497628,-2.800704939412108,14,10,10,4,4480.0,0.7142857142857143,0.7142857142857143
frontload,2,1230.8311162148184,0.0,-1241.0307198379262,620.5153599189631,68.71180760543466,284.9782027917662,-74.41071794536258,1010953.9299671659,-1044.4291419921515,-8954.733413542715,-3.4621909183574204,14,7,9,5,4480.0,0.5,0.6428571428571429
frontload,3,1577.0179931887528,0.0,-1384.347040306921,793.1301462415279,67.25705176550088,313.64920457491803,32.473311022688264,1231878.1997141289,-1332.597289644386,-18324.20451286248,-4.1992172613261705,14,8,8,6,4480.0,0.5714285714285714,0.5714285714285714
frontload,4,957.8962451333521,0.0,-966.7735284099047,483.38676420495227,58.36109854734797,140.76108190016691,-70.0256921953313,765474.4180027418,-800.4368271110554,-5475.676531540191,-5.7080900894511695,14,6,6,8,4480.0,0.42857142857142855,0.42857142857142855
evenspread,0,3549.1480322383686,0.0,-3449.00979883561,1786.9336680686538,120.86954624891783,691.3581130535628,12.441006031675041,2662531.1654222943,-2879.9034584601286,-20433.40736429215,-2.439462622870834,15,5,10,5,12380.0,0.3333333333333333,0.6666666666666666
evenspread,1,5358.177741477109,0.0,-5369.706900495267,2700.253712746019,160.6099075782797,2151.906676257616,-123.69277971782174,4023378.031991568,-4325.539361226426,-19920.661024744386,-2.871417539001337,15,4,10,5,12380.0,0.26666666666666666,0.6666666666666666
evenspread,2,3254.6356850616385,0.0,-3277.735066220402,1638.8675331102008,114.27846838882876,570.008281006673,-48.61100990354204,2441912.6243341994,-2622.188052976321,-15544.716312047234,-2.9014190707618894,15,5,9,6,12380.0,0.3333333333333333,0.6
evenspread,3,4705.758866645179,0.0,-4743.678441250047,2371.839220625024,143.1652004769636,1390.8783645333667,-95.7358322731487,3534040.4387312853,-3794.942753000038,-18754.13101076686,-3.2175569307960004,15,4,9,6,12380.0,0.26666666666666666,0.6
evenspread,4,2658.8871949270033,0.0,-2678.1647465034102,1339.0823732517051,70.8238073650816,1605.813598227637,-56.866111168048505,1995232.7361450407,-2142.5317972027283,-17952.01066668408,-4.353681089989655,15,3,7,8,12380.0,0.2,0.4666666666666667
backload,0,1579.3729145740672,0.0,-1568.5708068786246,795.0399811115687,53.42650412346616,449.98352337997346,-13.404311519172625,1184609.571856237,-1275.648829002595,-8624.827852859009,-1.9892625106388162,13,0,8,5,5930.0,0.0,0.6153846153846154
backload,1,1033.8914332224672,0.0,-1018.7474920456064,520.6943540988624,41.51080183813821,490.32737318119973,-43.1961620369378,775834.587607305,-836.884502583533,-8556.568428101957,-2.539536669261063,13,0,7,6,5930.0,0.0,0.5384615384615384
backload,2,1682.0590405658293,0.0,-1673.8743950108098,846.6432038546162,54.54172043171543,516.8194027248942,-10.229083625123863,1261498.3737433783,-1357.864461617123,-8850.934995709804,-1.9892625106388162,13,0,8,5,5930.0,0.0,0.6153846153846154
backload,3,1205.3082163550773,0.0,-1191.5346059575813,607.0879110548499,51.51527697614653,127.54228297166837,-32.16071914637537,904560.9874717264,-975.114193713113,-9897.486846274605,-1.695587990980926,13,0,9,4,5930.0,0.0,0.6923076923076923
backload,4,1080.451297661964,0.0,-1089.8243760639393,544.9121880319697,45.34844492511333,459.2128149169862,-78.96165096168332,811919.1601676347,-871.8595008511514,-7242.216065373821,-2.602309735377521,13,0,7,6,5930.0,0.0,0.5384615384615384
oracle,0,5029.1483640471315,19.627597934926232,-4734.413271787535,2524.574011133353,220.5130646497721,1210.9189781572159,-178.50250183553356,3889336.852944983,-4188.002858545032,-36841.842814123775,0.0,21,21,21,0,7160.0,1.0,1.0
oracle,1,5029.1483640471315,19.627597934926232,-4734.413271787535,2524.574011133353,220.5130646497721,1210.9189781572159,-178.50250183553356,3889336.852944983,-4188.002858545032,-36841.842814123775,0.0,21,21,21,0,7160.0,1.0,1.0
oracle,2,5029.1483640471315,19.627597934926232,-4734.413271787535,2524.574011133353,220.5130646497721,1210.9189781572159,-178.50250183553356,3889336.852944983,-4188.002858545032,-36841.842814123775,0.0,21,21,21,0,7160.0,1.0,1.0
oracle,3,5029.1483640471315,19.627597934926232,-4734.413271787535,2524.574011133353,220.5130646497721,1210.9189781572159,-178.50250183553356,3889336.852944983,-4188.002858545032,-36841.842814123775,0.0,21,21,21,0,7160.0,1.0,1.0
oracle,4,5029.1483640471315,19.627597934926232,-4734.413271787535,2524.574011133353,220.5130646497721,1210.9189781572159,-178.50250183553356,3889336.852944983,-4188.002858545032,-36841.842814123775,0.0,21,21,21,0,7160.0,1.0,1.0
