iter,a0.0_s0,a0.0_s2,a0.15_s1,a0.15_s4,a0.15_s2,a0.15_s0,a0.15_s3,a0.0_s1,a0.0_s3,a0.0_s4,a0.3_s2,a0.3_s0,a0.3_s3,a0.3_s1,a0.3_s4,a0.5_s2,a0.5_s0,a0.5_s4,a0.5_s1,a0.5_s3,a0.7_s0,a0.7_s1,a0.7_s4,a0.7_s2,a0.7_s3,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s4,a0.85_s3,a1.0_s0,a1.0_s1,a1.0_s3,a1.0_s2,a1.0_s4
0,-0.416710042681791,-0.2539371925856491,-0.19489356788067044,-0.1692175987355602,-0.19554849140625657,-0.3031998502524912,-0.2740303512678893,-0.26245643545993,-0.3660181576462279,-0.22771806653716578,-0.14263373096243204,-0.20033123836343808,-0.19066640173752003,-0.13366471913696643,-0.11620154979035516,-0.07934352729432817,-0.07729231041770795,-0.052790197130404046,-0.0604302137768498,-0.09095657975021551,0.03207562553405216,0.0046671243210316335,0.003575449678441386,-0.023085568478235858,-0.0023256268726115324,0.10644582198124905,0.048933314227591035,0.015169843516706936,0.041904089508456296,0.057943421084159216,0.17509523408635386,0.0897944126028766,0.11357638842887063,0.050482531512038735,0.07728437242847006
1,-0.07158289206876872,-0.30729420501402777,-0.23193277295515563,-0.07534195324271048,-0.2010404010167669,-0.2390957620288159,-0.18311287266213244,-0.28645063022352046,-0.13276730148410723,-0.11354690127271261,-0.03521617290694917,-0.12611319909486884,-0.08908750551287578,-0.09432759674887453,-0.09166450807026083,-0.08118854017642282,0.0003375221807095834,-5.8100526373235095e-05,-0.05249194292873878,0.0359307333362472,-0.006563837100645332,-0.014003156633875257,0.042428801108322825,-0.0007271013674959893,0.0247069761190745,0.12167235527225038,0.08029020994837181,-0.017937569933172883,0.07257373741272416,0.06959150839015986,0.10546210585837903,0.11306022655539572,0.030559982812776963,0.026072493144846713,0.008237415258116616
2,-0.10601857724030758,-0.32829326610441356,-0.19234537091817996,-0.09130443821140034,-0.0374336784388562,-0.116338423568271,-0.051307052790260765,-0.26000928998108896,-0.22174177893325286,-0.17073426263021008,-0.10969456287765744,-0.13611206984037555,-0.012244110007788604,-0.14524111701173287,-0.025729523103424815,-0.05058508108201179,-0.06809480061208578,-0.04636881636067046,-0.04775492542110915,-0.10320142429848338,0.028542047226646307,0.002562136601937895,0.056767493952876696,-0.02194226777608603,0.02614854623412942,0.04534407072123303,0.10628265055316788,0.0074384276323654006,0.06526689448718907,0.08762234231818479,0.13259446632298555,0.0950009989251045,0.09908890813865343,0.08333177663785764,-0.04353082994621402
3,-0.10983723516613991,-0.06920902513523955,-0.18006836978300794,-0.05306934974244515,-0.08750539361043663,-0.16059181619172755,0.018012698099425156,-0.20800788007897586,-0.17194707921278893,-0.08620157173933914,-0.07536296064708213,-0.04476241055355767,0.03358997432749869,-0.1835912268411234,-0.05454810510889556,-0.08054910712209863,-0.05957060592660296,-0.0585561740521951,0.0009068393015926358,-0.019778793671554773,-0.009648115218230616,0.05215902814159319,0.017723889151806275,0.03407741488482803,0.06145524091918823,0.05972799810740998,0.053492484523242984,0.07524173330949983,-0.01934752029769241,0.05079521372685283,0.10563680800729856,0.1127373378440131,0.06282447421969231,0.055352958961813525,-0.02304653849724569
4,-0.08616377434573516,-0.005403876325661687,-0.14989743774760972,-0.20750236525949797,-0.053550867352308115,-0.08796828287449991,0.06017873308970483,-0.11254880639404492,-0.21951444846400991,-0.09622509745337002,0.02274648624669301,-0.014511439645911322,-0.0639535370731886,-0.10391584952539813,-0.14530182525561025,0.04878360748678738,-0.01844031992408616,-0.037691803301698974,-0.026837454150133205,0.009926254647756736,0.0568724124428889,0.065191106088794,0.02900347983112265,0.04434554270557488,0.037238082511733384,0.028160239334118146,0.11259829091641645,0.15721794728114852,0.06581079255106792,0.07361818152824004,0.2050319371980495,0.18134375075899922,0.19084864279761637,0.09547277097788509,0.027769302502701633
5,-0.12159196416905062,-0.03630602168818452,0.033863602893651326,-0.06623050362798011,-0.14667887674346394,-0.07449620217723912,0.002372162362109992,-0.05516622317093432,-0.03742246280185543,-0.11220069510714327,-0.03392807984993845,-0.10496634037536295,0.04538937958406723,-0.1169373744260972,-0.1196822392898912,0.08886545194743647,-0.018467281657606673,-0.024672171516383554,0.04484626930464155,0.03964510251586387,0.025341680131257704,0.10571039829510546,-0.03790477920866961,0.04184870686007261,0.016056889213255966,0.09388953831042196,0.08425396383194218,0.0421524499748205,0.045617871660095864,0.07138561523057188,0.2094946574522004,0.1451866162333876,0.14908405497757643,0.12415747385071992,0.05113456718793205
6,-0.030553632786309876,-0.07718332665239164,-0.11427072957517198,0.02455523113332085,-0.11501519955909842,-0.006016373695068489,0.058746888929320666,-0.23114815049807225,-0.02776665235621168,-0.02653402974419968,0.05977678034967744,-0.022706297493601497,0.053601500982978334,-0.12418591807384503,-0.08287696052023585,0.11708225307960989,-0.02223444720006746,-0.03154580341331163,0.00017853662658245863,0.010206197004612047,0.08432660647142526,0.20420219958013802,0.06753344426378882,0.07567527629214527,0.07828738018011597,0.126720523383344,0.1564307679539028,0.08999277358666888,0.08519281989411218,0.11548241342340082,0.2520672061938656,0.16684411182531833,0.12969514427290715,0.13209632068299043,0.12363788750075316
7,-0.02938070622959374,0.004162031298189846,-0.08567089511527465,-0.021543290212717905,-0.04081861261025008,0.000437578703218193,0.12984675392702855,-0.007525379022374289,-0.01963790216614472,-0.11482153212969798,0.06356977425706342,0.055715918383191204,0.13444568491859765,-0.1622731226327611,0.02051383207119397,0.08585759493497053,0.11427074224060388,-0.0019482999595067498,0.015617362524436428,0.06036800613245236,0.06833163145733731,0.18851968744087982,0.09102376769537149,0.025069812483248775,0.13256174381573232,0.07917971081844638,0.13078305147823488,0.13495462846636774,0.07379762975019721,0.03760934977023236,0.24819692103783772,0.14774152134510782,0.16902048092660688,0.14941823883140692,0.1511357662100803
8,-0.06128662934449171,-0.030893618898017738,-0.030467930369040715,0.012211363442677073,0.03526275992743825,-0.05012934460900529,0.0721393566501684,-0.2720788157057762,-0.07264422593575495,-0.038276386355662204,0.1519751445007141,0.08637686657093877,0.11732306330536116,-0.10111238370263224,0.049932275876177046,0.09147845448273469,0.008502158982315699,0.09500050242634975,0.05368522875990561,0.04549727099968309,0.0927370213982229,0.16800046566565668,0.02722697372951962,0.09289370089072288,0.14034297785911873,0.09346964268267702,0.11187609302057248,0.12035989924759245,0.12869810872628398,0.08379223541648559,0.25313749405953145,0.19249458949893639,0.19335104996628835,0.10151581340260414,0.1135062252477197
9,-0.17987975969553385,-0.07258510076330324,-0.0590693352472496,0.14404101059462793,0.0667683592952463,-0.16361683646565447,0.12600023708800417,-0.020024489170881767,0.16457706344994819,-0.03787847031562659,0.1477286007724451,0.0644571231644108,0.06368847711605607,-0.11101320033565412,0.08158034633949995,0.052984370179319305,0.054946351586735005,0.004670630642473675,0.09028793800118887,0.039199006013836336,0.06470659694206092,0.25847944878995377,0.12344517906341569,0.10433294238081758,0.05029929752425876,0.06419433781325112,0.1588528657249274,0.11097783356449367,0.2144640754057727,0.02253993816687543,0.28685387254259076,0.28978586270690077,0.18788343781296457,0.2150579132309641,0.22240733968187826
10,0.12856996258343675,-0.01227316599791577,0.13081064105233475,0.08652489995233424,0.008879703555982816,0.04216485794450736,0.0830693913728844,-0.08220576882836614,0.17708065688929542,0.03756745584403118,0.18298237161567282,-0.018372547672220678,0.10664063069197924,-0.05607894077872734,0.13552676989896298,0.07167485348780829,0.022451783658405493,0.05797501550545644,0.15971800058235422,0.15195089257480543,0.029601262158228652,0.1502333043932822,0.16323226185942663,0.10075098637047358,0.03714269426516366,0.13426669934667848,0.16063011756719528,0.13314880842151214,0.21551267540156638,0.10062942653686918,0.2961082402398486,0.2904900309866489,0.2011772761526806,0.26629545213697015,0.16350359498139644
11,-0.0422703875643616,-0.0012410299385413777,0.1115292552823029,0.04977808285431247,0.07491302507822284,0.007921154050090574,0.15222115987021986,-0.06682237818324932,0.3278460982711933,0.03609187222882398,0.1460622643641093,0.07878281367378344,0.10639661519196432,-0.07570531651756884,0.026932626671645574,0.10443111781562242,0.12358326311073822,0.08091527710091889,0.23876136629394856,0.11046635417684883,0.08772580412822073,0.2203568846259264,0.1352408566752157,0.0818767517470216,0.1472510124178234,0.06277665270360278,0.23963549270978607,0.06771890265656454,0.17960191981558038,0.11650547146319512,0.3812455867880675,0.24762272015121337,0.3120387887997864,0.22811559643284834,0.18590671920941812
12,-0.009289671853162377,0.07644050081602002,0.11917822246985874,0.12914945816228304,0.0915218381991913,-0.09473570111681834,0.09208261967739481,0.07695404943086004,0.33485704792448845,0.034567465005491294,0.06932844120934249,0.05776893257945452,0.19641877365821708,-0.012588202623628711,0.06073977176078918,0.11182091580899597,0.0696746405062829,0.13204261545132065,0.21525183441381712,0.17871655884341053,0.07125521660954387,0.24750515716301905,0.1220713372974343,0.11347300980217623,0.10970218294095922,0.14454329432184915,0.16550673562882068,0.07852756778477434,0.15861382862704482,0.1248487819797101,0.30106589052354293,0.33110365328463603,0.18555237377716566,0.3194878560786242,0.19477511043512868
13,-0.0015820195024691536,-0.043270992349455834,0.2105987735311996,0.09599886043332115,0.18248564899506464,-0.020086050243278628,0.08706852827939268,0.06732408897718532,0.17980887664879125,0.03244956903662484,0.12015185916015314,0.10114635452075646,0.1293340243814259,0.08670290180419477,0.07400885953485105,0.09420975761093453,0.15069190340968636,0.061439341084151444,0.2781759376841041,0.14412360376238117,0.10239737429713748,0.2998395571797838,0.14813671395330583,0.1487993178265618,0.0332345721631425,0.18207907451963284,0.20659293158190628,0.22009916251198952,0.2148429594511227,0.2182826801356925,0.23709728333900482,0.35437955043233077,0.1257748301265302,0.29842019674685083,0.18927576104953078
14,-0.06424426694571422,0.07001607842819467,0.059637676019844564,0.13888542666676157,0.11731931354288802,0.023973579068178163,0.1847423353839341,0.06302667951520131,0.3175978299140356,-0.009312326948395242,0.14626257430589995,0.08366639878317168,0.1622303827680806,-0.055804193586940984,0.08967826734382811,0.09001008708322042,0.17016273377067992,0.06954333852411992,0.21063906773676577,0.10852213567778793,0.12990102705358558,0.25480381994292056,0.18036480293493878,0.1812827080666886,0.18656568680850533,0.1643470172518589,0.12427458812430564,0.17421567692051398,0.2876527599562179,0.2264944058279847,0.3348077405633074,0.32586157127360665,0.23361966809416165,0.27652974045181267,0.19510121555129806
