alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,0,2031.5028841785563,1556.1362391129353,0.0,407.86530544937847,4839.010182229818,-385.85555632856875,-1123.9190312468597,2713135.2061982537,-1587.1594980920006,-2388.517531975862,-2.7608667286975885,23.6,150.4,0.92,0.0,0.9991111111111111
0.0,2,-1185.2521753719059,1504.8460098990781,920.6777230996335,-1007.3477366342156,1712.4726352226958,1114.881407218217,-1018.1312887394579,2197372.2695124,-1078.588754422597,-7989.618398073049,-2.0577478498070576,15.4,159.2,1.0,0.0,0.9957777777777778
0.15,1,-218.4203192096445,2642.9264561188083,0.0,-330.42744964286874,2573.1086616905195,330.77017567283417,-2435.749238498206,2578732.672625271,-1129.4304300029783,-4078.7272975707688,-5.187597493080369,40.6,166.4,0.29333333333333333,0.0,0.9974814814814815
0.15,4,-208.70582729780466,2931.084055126804,0.0,-395.2164471140244,2949.8526716986926,395.21644711402433,-3266.6267224875983,2921271.3567203186,-1185.6493413420735,-245.62096224709762,-2.5194432726529072,22.6,172.4,1.0,0.0,0.9976296296296296
0.15,2,508.6696191344473,2280.0595457116883,0.0,-111.76394390331328,2987.7469939387615,120.11992923231647,-2657.7626120275936,2507535.429438174,-1214.9406713220403,-653.4720922212603,-1.8523376359593644,15.0,156.8,1.0,0.0,0.9994074074074074
0.15,0,-245.98988718620558,3127.3733896009603,0.0,-423.7217055836112,3147.5201130028368,423.72170558361114,-3835.837869411504,3047201.9340478764,-1271.165116750834,-1661.8867226141222,-2.067622682157664,26.4,165.4,0.8,0.0,0.9503703703703704
0.15,3,-248.2634365379457,3124.555054829807,0.0,-423.7217055836112,3144.701960929545,423.72170558361114,-3782.01184889819,3041599.604218208,-1271.1651167508337,-506.8650917077848,-2.062316191628972,22.2,171.2,0.9733333333333334,0.0,0.9980740740740741
0.0,1,-223.6352610252471,3026.177976715509,0.0,-412.73947296530844,3032.804852445608,412.73947296530844,-3183.747951592696,3082400.1839241823,-1238.2184188959252,-513.4783828407335,-2.226075632883832,26.0,171.0,0.8666666666666667,0.0,0.9977777777777778
0.0,3,-217.70861424262165,2963.6084225775658,0.0,-402.60159782790714,2982.7330960024447,402.60159782790714,-3519.8108982097447,2876327.9206893533,-1207.8047934837214,-158.10936165008746,-2.2039158258695406,20.6,171.6,1.0,0.0,0.9986666666666667
0.0,4,-285.04737093247775,2974.47886136364,0.0,-411.4289894275906,2986.2816927350573,409.94645749107815,-3592.2379436724477,2965290.380128755,-1234.2869682827718,-3191.0257599148554,-2.551338126799405,21.0,171.0,1.0,0.0,1.0
0.3,2,1772.2727447977534,1265.4009200858334,0.0,349.6608553349398,4074.3221725780118,-329.3028780560903,-1519.111774612294,2384687.03338429,-1398.6434213397592,-1647.6254604447263,-2.1863164843860887,16.2,152.0,1.0,0.0,0.9974814814814815
0.3,0,69.65047409183974,2956.7629341685933,-60.49165347007285,-305.1471070255985,3498.421993320377,307.563003523281,-2678.658774507451,2990742.762429946,-1317.2325470576802,-1590.1974816103768,-3.4693000319224807,27.8,167.4,0.9066666666666666,0.0,0.9973333333333333
0.3,3,1772.2727447977534,1265.4009200858334,0.0,349.6608553349398,4074.3221725780118,-329.3028780560903,-1519.111774612294,2384687.03338429,-1398.6434213397592,-1758.6046152488786,-2.088781488562983,16.2,150.0,1.0,0.0,1.0
0.3,1,1720.2017847307682,1230.3523786323815,0.0,339.41292136987187,3999.0460337912177,-322.62675204290787,-1667.7393115912043,2314796.123742527,-1357.6516854794875,-1937.7790872325647,-2.063632650237762,16.2,150.0,1.0,0.0,1.0
0.3,4,1580.379299535912,1111.2953521925676,0.0,311.15381803193395,3746.60773361134,-299.3174507209728,-1862.242591457651,2122069.0389777897,-1244.6152721277358,-1392.109538205263,-1.7171142818188876,16.0,150.0,1.0,0.0,1.0
0.5,2,1580.379299535912,1111.2953521925676,0.0,311.15381803193395,3746.60773361134,-299.3174507209728,-1862.242591457651,2122069.0389777897,-1244.6152721277358,-1863.8709127391278,-1.7119808609860925,15.0,150.0,1.0,0.0,1.0
0.5,0,1679.265706728212,1169.8942488696075,-142.2010581294939,408.4859634869383,4033.3262914095553,-395.1748685245592,-868.864465226281,2146895.098418624,-1253.64399610995,-6639.4337606889585,-4.502557679053131,41.0,150.4,0.18666666666666668,0.0,0.9931851851851852
0.5,4,1788.5919982716648,1273.0488552252373,0.0,352.7905045350149,4196.546856887999,-335.98543963747636,-1825.4748692528083,2406031.2409288017,-1411.1620181400597,-1521.3694137023672,-1.9619342453230975,18.2,150.0,1.0,0.0,1.0
0.5,1,2329.1922716331605,1249.2805477379272,-694.9510761780077,701.0143414373699,5067.70214877569,-339.0674179194742,-1075.72865394885,2647279.2160958014,-1477.0332739117127,-2850.109511627047,-2.3367606762529145,23.8,151.0,0.8933333333333333,0.0,0.9995555555555555
0.5,3,1626.2206500236553,1149.9482313827016,-8.008136499160274,327.13330757969106,3880.244054412359,-309.83788750808105,-1445.006113782636,2177694.948267838,-1276.500684322123,-1302.9354021048553,-2.130195003731431,18.0,150.0,1.0,0.0,1.0
0.7,0,3284.8057452032726,0.0,-1559.5892128114042,1658.946772155606,3032.103029348934,-554.3260247652655,-584.5506992963831,2471830.6905118516,-1288.4187852099976,-11097.825236227603,-2.190014242398328,20.6,154.2,1.0,0.0,0.9977777777777778
0.7,1,3308.024187487458,0.0,-1361.3973674628899,1672.3641675954677,2603.7079215351905,-678.5665380916154,-772.5850256298115,2491822.609717247,-1333.9736618452882,-11045.249422245322,-2.514716428606453,22.8,151.4,0.9333333333333333,0.0,0.9989629629629629
0.7,4,3886.7811048533868,0.0,-2123.9215666196906,1961.8282888372469,2800.464891930175,336.15466432264645,-653.3804922986474,2923124.1503674975,-1477.0528084781486,-17090.343748177827,-2.122564070067648,22.2,153.8,0.9466666666666667,0.0,0.9985185185185185
