alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,3,-1636.189695914439,1344.9647471707754,1448.0592084763764,-1408.5614030820805,-6387.283275483008,1446.3253802596744,-162.82900530092112,2525169.5859722113,-1283.4289555602602,-7679.246506180023,-5.377118649649567,40.6,159.0,0.28,0.0,0.9976296296296296
0.15,0,0.0,0.0,-311.68629550413146,0.0,3.0271689060979163,279.6223145643363,59.56901852003924,5108316.752770043,-155.84314775206573,-18109.275768014708,-2.4214311923207315,24.8,245.0,0.9866666666666667,0.0,0.9989629629629629
0.0,1,170.65902974276148,438.66893829599974,0.0,63.0174622292963,330.218296809457,-61.10346990771579,-85.29644024537046,3840051.3154759174,-252.0698489171852,-4240.504307524424,-5.469308515636408,40.4,243.8,0.29333333333333333,0.0,0.9962962962962963
0.0,4,0.0,0.0,1321.1018505844106,0.0,-337.97260096097943,-735.9766208762946,-169.1163109081831,3103088.413670937,-1100.918208820342,-13823.938113174238,-3.8583988494449697,35.6,182.0,0.5466666666666666,0.0,0.9992592592592593
0.0,0,0.0,0.0,-218.33757854963946,0.0,2.1786027618218684,200.0324623059441,41.81330330027411,4976905.869805988,-109.16878927481972,-16560.572763780947,-2.5879282183382215,25.6,252.2,0.9866666666666667,0.0,0.9985185185185185
0.0,2,0.0,0.0,-1624.410433504784,0.0,26.939422693148543,868.0502184696622,109.82246704124229,3954294.726513105,-943.7937052999972,-31752.968425671897,-3.9341438232436574,35.4,208.6,0.52,0.0,0.9991851851851852
0.15,1,178.1211168410942,456.99940897475847,0.0,65.7745982340731,297.6452335747064,-60.59358976690244,-68.19378435071,3437217.028258716,-263.0983929362923,-7389.499996559668,-4.768237245217401,44.6,235.4,0.02666666666666667,0.0,0.9967407407407407
0.3,0,0.0,0.0,-293.828280107302,0.0,7.498404187586573,451.1431559442467,55.444435508587084,4209962.473664734,-488.2055714213722,-16862.799290886025,-2.1199233065484444,20.6,229.2,1.0,0.0,0.9994074074074074
0.15,2,2035.1072209171914,1453.3889565770555,-121.62652145096763,485.8851034970779,2286.2446876084973,-473.1697501621895,-1509.9414652018556,2454864.5508196326,-1464.1008831687484,-12071.329662098393,-5.269716306003454,38.0,149.6,0.38666666666666666,0.0,0.9986666666666667
0.15,3,443.7400572024362,-2253.724203945016,206.43822067100328,699.7802846197226,-3660.1146534825784,-701.172492856341,-2565.6290785702563,2734694.7280518906,-1104.8702555009643,-3210.879204758598,-4.64458491636738,35.0,171.8,0.6133333333333333,0.0,0.9968888888888889
0.3,1,149.7442763568094,651.5113129950182,68.91216705074162,17.08769355908216,249.2266970454281,-29.42308740988084,-164.30150787911256,2865578.2396803997,-404.29758860869396,-7673.753421574261,-5.249253512814167,44.6,231.0,0.02666666666666667,0.0,0.9982962962962963
