ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,234,2,3,8,720.0,900.0,900.0,1
0,0,262,2,3,2,180.0,900.0,900.0,1
0,1,300,2,3,9,810.0,900.0,900.0,1
0,1,265,2,3,1,90.0,900.0,900.0,1
0,2,239,2,3,10,890.0,900.0,890.0,1
0,3,297,2,3,10,900.0,910.0,900.0,1
0,4,283,2,3,11,900.0,910.0,900.0,1
0,5,332,2,3,10,900.0,910.0,900.0,1
0,6,278,2,3,10,800.0,910.0,890.0,1
0,6,218,2,3,1,90.0,910.0,890.0,1
0,7,236,2,3,11,920.0,920.0,920.0,1
0,8,311,2,3,10,900.0,900.0,900.0,1
0,9,527,5,6,11,880.0,900.0,880.0,1
0,10,670,5,6,11,880.0,920.0,880.0,1
0,11,434,5,6,11,880.0,940.0,930.0,1
0,11,385,3,3,1,50.0,940.0,930.0,1
0,12,255,2,3,10,900.0,910.0,900.0,1
0,13,221,2,3,10,820.0,910.0,870.0,1
0,13,340,3,3,1,50.0,910.0,870.0,1
0,14,380,3,3,2,100.0,940.0,300.0,0
0,14,399,3,3,2,100.0,940.0,300.0,0
0,14,361,3,3,2,100.0,940.0,300.0,0
1,0,234,2,3,8,720.0,900.0,900.0,1
1,0,262,2,3,2,180.0,900.0,900.0,1
1,1,300,2,3,9,810.0,900.0,900.0,1
1,1,265,2,3,1,90.0,900.0,900.0,1
1,2,239,2,3,10,890.0,900.0,890.0,1
1,3,297,2,3,10,900.0,910.0,900.0,1
1,4,283,2,3,11,900.0,910.0,900.0,1
1,5,332,2,3,10,900.0,910.0,900.0,1
1,6,278,2,3,10,800.0,910.0,890.0,1
1,6,218,2,3,1,90.0,910.0,890.0,1
1,7,236,2,3,11,920.0,920.0,920.0,1
1,8,311,2,3,10,900.0,900.0,900.0,1
1,9,527,5,6,11,880.0,900.0,880.0,1
1,10,670,5,6,11,880.0,920.0,880.0,1
1,11,434,5,6,11,880.0,940.0,930.0,1
1,11,385,3,3,1,50.0,940.0,930.0,1
1,12,255,2,3,10,900.0,910.0,900.0,1
1,13,221,2,3,10,820.0,910.0,870.0,1
1,13,340,3,3,1,50.0,910.0,870.0,1
1,14,380,3,3,2,100.0,940.0,300.0,0
1,14,399,3,3,2,100.0,940.0,300.0,0
1,14,361,3,3,2,100.0,940.0,300.0,0
2,0,234,2,3,8,720.0,900.0,900.0,1
2,0,262,2,3,2,180.0,900.0,900.0,1
2,1,300,2,3,9,810.0,900.0,900.0,1
