alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.15,3,-326.425656259751,2597.1239930843067,0.0,-357.79112479510076,2167.201032181423,257.53555572046844,-1676.4661345051463,6728328.771119942,-2862.328998360807,-2822.049598156249,-2.143607475315015,15.0,168.0,1.0,0.0,0.9955555555555555
0.85,4,3309.7688894735575,0.0,-1981.4799557573945,1670.5400956568542,1874.7634063075288,367.5097107518102,-647.3565671049768,6610818.358473828,-2899.4641923103527,-13931.059028279755,-1.8923812600617445,13.0,160.0,1.0,2.0,0.9992592592592593
0.5,3,3873.0449054550945,270.6233574984477,-2701.913892080357,1852.3366457195903,6870.015312949943,1053.7417114711473,-645.657821860178,8608106.89213838,-3645.6315852128414,-12582.652731526432,-2.7959844028213188,22.0,157.0,0.9333333333333333,0.0,1.0
0.3,4,-251.11464205749797,3132.1512911495583,0.0,-423.72170558361114,3152.29801455143,423.72170558361114,-3860.498001744948,8383846.850551221,-3451.5821361817843,-972.3482814527648,-2.16515767798077,22.0,171.0,1.0,0.0,0.9985185185185185
0.3,3,-217.8124255356028,2839.730023424732,0.0,-384.14858523427426,2857.9678540409755,384.14858523427426,-3508.657162508394,7199707.358669375,-3073.188681874194,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.5,1,3709.4232597093787,0.0,-2857.1413943899743,1882.3754173984053,5810.57493431519,1238.4622649732416,-541.1642560548705,7514579.755979268,-3163.068907905255,-18047.062737053264,-2.8450587567999763,29.0,162.0,0.8666666666666667,0.0,0.9977777777777778
0.0,2,-217.8124255356028,2839.730023424732,0.0,-384.14858523427426,2857.9678540409755,384.14858523427426,-3508.657162508394,7199707.358669375,-3073.188681874194,0.0,-1.5411392420358554,16.0,168.0,1.0,0.0,0.9955555555555555
0.0,1,-167.0378217956764,2750.54556994217,-80.96306500832517,-292.62637944074646,2974.6871276239563,309.44665464679576,-2855.0635488406915,7260461.84326311,-3179.832641060663,-1818.6896937892918,-5.000112991940932,39.0,166.0,0.4,0.0,0.997037037037037
0.15,1,-376.9862854220074,3000.0004443138882,0.0,-410.5689886896349,2467.770958028817,301.81286386173406,-1782.6236052163586,8503133.740653355,-3421.393194588755,-5631.185538746065,-2.8624412501600616,24.0,167.0,0.8666666666666667,0.0,0.9992592592592593
0.5,0,4023.384096370879,0.0,-3650.0493895544932,2030.2038397314725,4155.384553060476,1912.3659140220377,-480.4059960126462,8038590.248617193,-3341.315504378473,-20813.33839359328,-3.331055670622477,30.0,163.0,0.7333333333333333,0.0,0.9940740740740741
0.5,4,3699.4666824183914,66.45444685117451,-3154.091348441816,1850.0791125676478,6399.0753607036395,735.818275263808,-571.5636339001028,7622102.553587055,-3214.6538174577245,-12612.864083579025,-3.6572840580886776,28.0,157.0,0.7333333333333333,0.0,1.0
1.0,0,3425.315853327737,0.0,-2029.1573482920994,1729.4670742165804,2290.057876590721,205.86834511273372,-649.4272194526378,6939158.040183535,-3005.443452103372,-18078.260169402613,-1.7734586323478698,23.0,158.0,1.0,0.0,0.9977777777777778
0.3,2,160.24830255862958,2226.950731577198,0.0,-184.25872831495326,2750.6616753725407,172.6640568607745,-2000.8271013109793,6356512.413773629,-2843.5614771903674,-1070.708934085729,-4.124581923329104,28.0,157.0,0.6,0.0,1.0
0.0,4,-250.06420342530527,1992.1828363148124,0.0,-276.24064640643417,1561.136331615881,175.4619307705703,-1366.0927742579656,9293756.781941298,-2974.674051316712,-6480.4926978247,-2.9570046295728125,30.0,229.0,0.6,0.0,0.997037037037037
1.0,4,1939.0977001064227,0.0,-1340.2032723251825,976.3694318347607,1078.903604706003,-508.423079610247,-421.9761594506705,4134533.71362991,-1688.6641051154504,-14916.195125099195,-5.472598209414749,45.0,82.0,0.0,0.0,0.45925925925925926
0.7,0,4052.6401820583587,0.0,-3722.1040719013895,2056.5799590642864,7385.550001227575,1158.8247972613794,-564.8945515291625,7823652.450785788,-3381.279639421869,-17802.361541357903,-4.678164838877125,36.0,163.0,0.4666666666666667,0.0,0.9992592592592593
0.85,0,4095.0502340561916,0.0,-3658.9950778840152,2079.1351246860922,7399.492080860623,338.78491478389776,-569.8068001117917,8027632.832197651,-3427.5221924453654,-15059.595723682074,-4.692017470633705,37.0,167.0,0.4,0.0,0.9859259259259259
0.0,3,-347.76328042761844,2792.8545448326213,0.0,-383.74857656938076,2334.68499490172,274.7960212904044,-1548.0434812426447,7253789.094426776,-3069.988612555046,-2978.1093352973176,-1.5765727325167003,15.0,168.0,1.0,0.0,0.9955555555555555
0.15,4,-10.189118155189583,3129.6003301125807,-98.93669832621059,-321.1950985510569,3549.7559257856715,324.91374854534433,-3483.628012645381,8830186.7487617,-3622.462439516473,-1617.3908597616974,-3.1661672635497426,28.0,168.0,1.0,0.0,0.997037037037037
0.7,1,4104.991761864383,0.0,-2309.958025751685,2074.6316311325468,4295.381009353061,459.11351151532807,-661.7707240348403,8758675.454096403,-3625.96148256431,-16715.31148653587,-1.5285567971628038,24.0,182.0,0.8666666666666667,0.0,1.0
0.5,2,-380.52569134806606,3012.3840262016356,0.0,-413.3575560955759,2473.6590039877765,298.6758996428627,-1646.796808859765,7842908.155032885,-3306.860448764607,-3427.1969128446863,-2.044411963306016,15.0,164.0,1.0,2.0,0.9718518518518519
0.85,1,3409.2977033152065,0.0,-2052.49236247888,1724.8802062246828,3092.5466366262413,894.9508333473514,-615.9504000101435,7017195.965968643,-2992.686338287908,-15489.121731947042,-2.695638430540319,23.0,158.0,1.0,0.0,1.0
0.7,2,4117.823014585336,0.0,-3053.7716667336986,2083.0319213176763,4576.334234677354,1544.543851674383,-568.3784448545244,8499719.231103977,-3536.2109678376196,-17935.019174269564,-2.57159323420601,24.0,160.0,0.9333333333333333,0.0,0.9985185185185185
0.3,1,-212.23470115817364,3101.194635823512,0.0,-417.4011736151382,3121.031791148075,417.4011736151382,-3310.795100299859,8008617.333522914,-3339.2093889211055,0.0,-1.8773830388152042,16.0,168.0,1.0,0.0,0.9955555555555555
0.0,0,409.1914939400993,2223.8191581465253,-503.3281517775622,-2.4135992031308033,3747.933620945581,413.43076783503375,-2450.9232810923713,7108411.469293237,-3015.039874971379,-5549.071461727394,-5.288861510821769,44.0,137.0,0.06666666666666667,0.0,0.7962962962962963
1.0,1,3614.375980231713,0.0,-2314.0838816047726,1827.6375314950187,3533.1406870520523,699.736723837401,-600.1417236265647,7707222.451848866,-3147.751913956241,-13964.47465508355,-2.621269900215508,24.0,166.0,0.9333333333333333,0.0,1.0
0.3,0,560.2851030731877,2605.1801620908573,-575.9850614749388,23.51697834515113,4052.269981865109,382.272789303163,-2682.91651766807,7979515.6669479925,-3446.741579568368,-4962.006938157598,-3.4684974574601073,30.0,167.0,0.8666666666666667,0.0,0.9962962962962963
0.85,2,4189.120943653965,0.0,-4157.116181187291,2119.249945597857,5671.822743655603,1641.3613913074635,-471.39945531073573,8416733.545459354,-3418.994113998108,-17897.09803138685,-4.36263816107544,40.0,150.0,0.3333333333333333,0.0,0.9185185185185185
0.7,3,4036.469508063481,0.0,-3201.5389717199164,2041.8981495324017,5747.159096491768,1240.6783144242913,-482.80726196927117,8234507.532204022,-3432.0577915550516,-18727.07011933749,-3.408544733468277,33.0,189.0,0.6666666666666666,0.0,0.9985185185185185
0.85,3,3751.426470287434,0.0,-3574.835362012988,1898.2023959896287,5861.943314256329,1316.3584819027185,-547.3122124655646,7362414.393892333,-3074.052071911117,-15717.771143373126,-4.4499615911453345,40.0,135.0,0.2,0.0,0.8266666666666667
0.7,4,4069.9564162965676,0.0,-3257.493504245483,2065.2010731967225,6563.763982889274,1215.6430701089978,-532.2976279681747,8351223.457557023,-3449.806490806083,-15780.728222041445,-2.7747262245116198,24.0,161.0,0.9333333333333333,0.0,0.997037037037037
0.15,0,321.0472962638361,2520.3882956475472,-345.6273405781126,-95.91631194845259,3417.2627392408067,262.3824475980347,-2364.974763502598,7349223.167007971,-3196.7595516187394,-3496.867787709426,-3.5829456576927483,34.0,168.0,0.6,0.0,0.9918518518518519
1.0,2,3811.6490489378493,0.0,-3746.4038284016483,1923.893094024456,4064.358254415924,2233.1528152786186,-384.3970864746872,7771169.879428965,-3125.4601239715753,-25799.160609244234,-4.603481715084337,31.0,164.0,0.6,0.0,0.9977777777777778
0.15,2,-251.13891442610537,2670.2774513978447,0.0,-345.1811028422138,2634.041596657087,346.77404079558073,-2748.6621830158338,7153644.797087279,-3001.1472662871556,-2791.8669247277217,-5.453565213059579,43.0,167.0,0.13333333333333333,0.0,0.9985185185185185
1.0,3,4007.0155378531404,0.0,-2759.540090711752,2024.7193403860679,4729.112680780327,1003.5318588933,-702.6952985489359,8328962.735664239,-3454.534042961107,-15776.141387332176,-2.4050135400141404,23.0,158.0,0.8666666666666667,0.0,1.0
-1.0,0,343.77868150548613,426.82260802343706,34.503984056133376,77.80063595521088,460.6596607021529,81.41553873313482,-1378.0490024660596,2937407.931190048,-2776.4407994392964,-13988.445541828376,-4.8819515601674155,,,,,
-1.0,1,-43.83672047516494,320.5209230167553,223.15911297638476,-117.63108778111211,-552.2168715830358,246.5865602379249,-1195.87481349764,3136517.120180585,-2922.479293268353,-14046.182728117734,-5.241856384217217,,,,,
-1.0,2,221.62931889533115,-74.32591093543215,90.85022667656861,84.74120816032193,-693.254736771339,-33.12565981852738,-1798.7351164710658,3521310.065867857,-3352.492700761347,-12992.68792102905,-4.672259190919706,,,,,
-1.0,3,160.26280787655884,9.333723700911685,173.60384221522472,-17.369257336394742,-768.9558606720882,329.48134669525456,-1204.0178535284317,3492843.409652767,-3372.849083033255,-12552.755515419634,-4.817167942708403,,,,,
-1.0,4,431.5844849837755,-217.24237938422053,169.27398398345008,155.31602296282466,-1551.7713706576967,151.6208483752277,-1907.8520486897328,3291411.3383280365,-3449.2217455791956,-7639.894955353518,-4.208706042475315,,,,,
