ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,640.0,0
0,0,256,2,3,3,240.0,900.0,640.0,0
0,0,240,2,3,3,240.0,900.0,640.0,0
0,1,243,2,3,4,320.0,1160.0,960.0,0
0,1,292,2,3,5,400.0,1160.0,960.0,0
0,1,310,2,3,3,240.0,1160.0,960.0,0
0,2,272,2,3,9,720.0,1100.0,1090.0,0
0,2,273,2,3,4,320.0,1100.0,1090.0,0
0,2,385,3,3,1,50.0,1100.0,1090.0,0
0,3,282,2,3,10,800.0,910.0,880.0,1
0,3,299,2,3,1,80.0,910.0,880.0,1
0,4,278,2,3,10,800.0,930.0,930.0,0
0,4,217,2,3,1,80.0,930.0,930.0,0
0,4,340,3,3,1,50.0,930.0,930.0,0
0,5,284,2,3,9,720.0,900.0,880.0,1
0,5,263,2,3,2,160.0,900.0,880.0,1
0,6,283,2,3,11,900.0,920.0,900.0,1
0,7,281,2,3,9,720.0,920.0,890.0,0
0,7,337,2,3,1,80.0,920.0,890.0,0
0,7,265,2,3,1,90.0,920.0,890.0,0
0,8,236,2,3,11,920.0,930.0,920.0,1
0,9,221,2,3,10,820.0,910.0,910.0,1
0,9,218,2,3,1,90.0,910.0,910.0,1
0,10,274,2,3,9,730.0,900.0,890.0,1
0,10,291,2,3,2,160.0,900.0,890.0,1
0,11,280,2,3,7,560.0,910.0,890.0,0
0,11,298,2,3,3,240.0,910.0,890.0,0
0,11,225,2,3,1,90.0,910.0,890.0,0
0,12,239,2,3,10,890.0,920.0,890.0,1
0,13,297,2,3,10,900.0,930.0,900.0,1
0,14,332,2,3,10,900.0,930.0,900.0,1
1,0,313,2,3,2,160.0,900.0,640.0,0
1,0,256,2,3,3,240.0,900.0,640.0,0
1,0,240,2,3,3,240.0,900.0,640.0,0
1,1,243,2,3,4,320.0,1160.0,960.0,0
1,1,292,2,3,5,400.0,1160.0,960.0,0
1,1,310,2,3,3,240.0,1160.0,960.0,0
1,2,272,2,3,9,720.0,1100.0,1090.0,0
1,2,273,2,3,4,320.0,1100.0,1090.0,0
1,2,385,3,3,1,50.0,1100.0,1090.0,0
1,3,282,2,3,10,800.0,910.0,880.0,1
1,3,299,2,3,1,80.0,910.0,880.0,1
1,4,278,2,3,10,800.0,930.0,930.0,0
1,4,217,2,3,1,80.0,930.0,930.0,0
1,4,340,3,3,1,50.0,930.0,930.0,0
1,5,284,2,3,9,720.0,900.0,880.0,1
1,5,263,2,3,2,160.0,900.0,880.0,1
1,6,283,2,3,11,900.0,920.0,900.0,1
1,7,281,2,3,9,720.0,920.0,890.0,0
1,7,337,2,3,1,80.0,920.0,890.0,0
1,7,265,2,3,1,90.0,920.0,890.0,0
1,8,236,2,3,11,920.0,930.0,920.0,1
1,9,221,2,3,10,820.0,910.0,910.0,1
1,9,218,2,3,1,90.0,910.0,910.0,1
1,10,274,2,3,9,730.0,900.0,890.0,1
1,10,291,2,3,2,160.0,900.0,890.0,1
1,11,280,2,3,7,560.0,910.0,890.0,0
1,11,298,2,3,3,240.0,910.0,890.0,0
1,11,225,2,3,1,90.0,910.0,890.0,0
1,12,239,2,3,10,890.0,920.0,890.0,1
1,13,297,2,3,10,900.0,930.0,900.0,1
1,14,332,2,3,10,900.0,930.0,900.0,1
2,0,313,2,3,2,160.0,900.0,640.0,0
2,0,256,2,3,3,240.0,900.0,640.0,0
2,0,240,2,3,3,240.0,900.0,640.0,0
2,1,243,2,3,4,320.0,1160.0,960.0,0
2,1,292,2,3,5,400.0,1160.0,960.0,0
2,1,310,2,3,3,240.0,1160.0,960.0,0
2,2,272,2,3,9,720.0,1100.0,1090.0,0
2,2,273,2,3,4,320.0,1100.0,1090.0,0
2,2,385,3,3,1,50.0,1100.0,1090.0,0
2,3,282,2,3,10,800.0,910.0,880.0,1
2,3,299,2,3,1,80.0,910.0,880.0,1
2,4,278,2,3,10,800.0,930.0,930.0,0
2,4,217,2,3,1,80.0,930.0,930.0,0
2,4,340,3,3,1,50.0,930.0,930.0,0
2,5,284,2,3,9,720.0,900.0,880.0,1
2,5,263,2,3,2,160.0,900.0,880.0,1
2,6,283,2,3,11,900.0,920.0,900.0,1
2,7,281,2,3,9,720.0,920.0,890.0,0
2,7,337,2,3,1,80.0,920.0,890.0,0
2,7,265,2,3,1,90.0,920.0,890.0,0
2,8,236,2,3,11,920.0,930.0,920.0,1
2,9,221,2,3,10,820.0,910.0,910.0,1
2,9,218,2,3,1,90.0,910.0,910.0,1
2,10,274,2,3,9,730.0,900.0,890.0,1
2,10,291,2,3,2,160.0,900.0,890.0,1
2,11,280,2,3,7,560.0,910.0,890.0,0
2,11,298,2,3,3,240.0,910.0,890.0,0
2,11,225,2,3,1,90.0,910.0,890.0,0
2,12,239,2,3,10,890.0,920.0,890.0,1
2,13,297,2,3,10,900.0,930.0,900.0,1
2,14,332,2,3,10,900.0,930.0,900.0,1
3,0,313,2,3,2,160.0,900.0,640.0,0
3,0,256,2,3,3,240.0,900.0,640.0,0
3,0,240,2,3,3,240.0,900.0,640.0,0
3,1,243,2,3,4,320.0,1160.0,960.0,0
3,1,292,2,3,5,400.0,1160.0,960.0,0
3,1,310,2,3,3,240.0,1160.0,960.0,0
3,2,272,2,3,9,720.0,1100.0,1090.0,0
3,2,273,2,3,4,320.0,1100.0,1090.0,0
3,2,385,3,3,1,50.0,1100.0,1090.0,0
3,3,282,2,3,10,800.0,910.0,880.0,1
3,3,299,2,3,1,80.0,910.0,880.0,1
3,4,278,2,3,10,800.0,930.0,930.0,0
3,4,217,2,3,1,80.0,930.0,930.0,0
3,4,340,3,3,1,50.0,930.0,930.0,0
3,5,284,2,3,9,720.0,900.0,880.0,1
3,5,263,2,3,2,160.0,900.0,880.0,1
3,6,283,2,3,11,900.0,920.0,900.0,1
3,7,281,2,3,9,720.0,920.0,890.0,0
3,7,337,2,3,1,80.0,920.0,890.0,0
3,7,265,2,3,1,90.0,920.0,890.0,0
3,8,236,2,3,11,920.0,930.0,920.0,1
3,9,221,2,3,10,820.0,910.0,910.0,1
3,9,218,2,3,1,90.0,910.0,910.0,1
3,10,274,2,3,9,730.0,900.0,890.0,1
3,10,291,2,3,2,160.0,900.0,890.0,1
3,11,280,2,3,7,560.0,910.0,890.0,0
3,11,298,2,3,3,240.0,910.0,890.0,0
3,11,225,2,3,1,90.0,910.0,890.0,0
3,12,239,2,3,10,890.0,920.0,890.0,1
3,13,297,2,3,10,900.0,930.0,900.0,1
3,14,332,2,3,10,900.0,930.0,900.0,1
4,0,313,2,3,2,160.0,900.0,640.0,0
