iter,a0.3_s2,a0.3_s4,a0.0_s2,a1.0_s1,a1.0_s2,a0.15_s3,a0.15_s0,a0.0_s1,a0.0_s4,a0.3_s3,a0.85_s0,a0.3_s1,a0.5_s3,a0.5_s1,a0.15_s4,a1.0_s3,a0.5_s4,a0.7_s0,a0.15_s1,a0.5_s0,a0.85_s4,a0.85_s1,a0.0_s3,a0.5_s2,a0.85_s3,a0.7_s1,a0.7_s3,a0.3_s0,a0.15_s2,a0.85_s2,a0.7_s4,a0.0_s0,a1.0_s0,a0.7_s2,a1.0_s4
0,-0.09628839219087958,-0.16558174582163906,-0.2380032424858109,0.26391834074502024,0.14959292926100987,-0.20862676415300546,-0.17413119824015105,-0.5298046905458759,-0.4937895640932844,-0.10281906382835083,0.14833067010343412,-0.23959970723014207,0.023735244403098807,-0.07458118730550903,-0.3216149709016016,0.28333382539068785,0.02104622927400246,0.0897884856720094,-0.3775660107736877,0.0036970379787378237,0.2997440054168271,0.1718464691152763,-0.325380088649176,-0.01570543810160488,0.21272301136206367,0.07210194151638696,0.13622796283105404,-0.09315584067619273,-0.16366102593765022,0.10463177333837867,0.18693776269235043,-0.26348331693141536,0.2023696095785953,0.05592385442219483,0.40387284485480557
1,-0.12646752197796973,-0.16837006204912736,-0.37728619639902494,0.26169791531257425,0.24084403201257182,-0.10970069933893176,-0.28421761394021205,-0.2221904783412417,-0.11297441746949209,-0.08147495262621178,0.23383740751874235,-0.09625863610628665,0.10118094915046325,-0.023729688031509023,-0.19817498746604137,0.31658662562550793,0.046051147029664743,0.1139079586588714,-0.11151472972961507,0.0011598141007368584,0.21129938153023525,0.14956278923072977,-0.3791956004971052,-0.011783189179216438,0.2358299565825419,0.11255606053668066,0.14442002967031242,-0.2177091774998882,-0.22515989558402805,0.19718283097412734,0.11262268091025911,-0.48856374364823785,0.3186799501413212,0.12477041475775315,0.2727167361798863
2,-0.03326400537552844,-0.08368978007188109,-0.1617464263246607,0.17148742146449805,0.15124794619800364,-0.17041856073817918,-0.15313002225750377,-0.12251181387683703,-0.5180061355002793,-0.07186901932409567,0.1508849796546446,-0.11396567098259741,0.050187725586443535,0.003093878127095096,-0.20438240478033004,0.3131328001425575,-0.044961955125185804,0.1335266316384872,-0.10569885647189561,-0.08532008488398023,0.17852666240637155,0.25015887642986057,-0.45026419225517855,-0.018232067895461793,0.24391669308610456,0.21209087797026363,0.08796808677810436,-0.30766692149187835,-0.17602539194530215,0.13484728908103122,0.06375156958742727,-0.4294675110729026,0.3018111411189153,0.12405033079877652,0.19281285862029685
3,-0.12372690383479029,-0.004778628583927719,-0.13708061850455036,0.20797091759904246,0.2717356523541582,-0.03244250195755804,-0.18359593819916764,-0.1929070817203709,-0.37491056288291,-0.12921401873915198,0.12663955245441344,-0.074809122508981,0.0530121637002029,0.0936978491133794,-0.062189118767008056,0.3559003259505793,-0.01249073911501579,0.13079953469459732,-0.09252569650293355,-0.00377939158802576,0.18702696910234717,0.15696663442619468,-0.378031889115004,0.05524667769639787,0.25869159167860956,0.06281144393936437,0.201920373858738,-0.18211580022161178,-0.06986790514661204,0.21295405020702657,0.04053479025355946,-0.6510900238866297,0.2907494856697608,0.09232941154489302,0.32469659899447684
4,0.019302227115486813,-0.055682735347658996,0.023846659855339385,0.2353229839671846,0.2974842238269091,-0.11240170035341092,-0.09034774355110203,-0.177306511241254,-0.4163120796844054,-0.11383893376912915,0.2754376580871354,0.0031580411002070305,0.06015654769476744,0.20241772304740085,-0.015475371051502325,0.2599280027160049,-0.07290234277887095,0.16498140895407037,-0.23737933487380236,-0.015243894060242503,0.2240911109074703,0.24026183530330497,-0.4535690938568594,0.10177312757674092,0.22337909492916208,0.058174476995670694,0.08352900304946481,-0.15758800374934576,-0.06896446224642089,0.21889133985926576,0.12725284780871868,-0.5624591947443378,0.24530734764432516,0.16868166834995985,0.3028922901523483
5,-0.08907696410765828,-0.21249564142161445,-0.3516734677647648,0.22967775334710336,0.2910233166850975,-0.07424081612264577,-0.4105566795977622,-0.092842697584287,-0.3271401871449848,-0.12605579637844566,0.1166105128536913,0.11413638594169748,0.09136258098832195,0.1472443580066609,-0.0913407452095715,0.32754779561574454,-0.0300331136060586,0.09924622495652294,-0.09096818199621802,-0.017106193739657397,0.14418355737694294,0.2916431883252056,-0.12068722299228721,0.10474286953207682,0.24369403452437838,0.040558570749691186,0.17009220373158707,-0.036307976164999346,-0.045926466321079315,0.20094035665144117,0.11201280756119955,-0.5204540627401244,0.3017231569333906,0.2066616154359362,0.26025369970569723
6,0.01538084564810327,0.04764029765947167,-0.12297958029778108,0.3156338941498071,0.29156973592380764,-0.09333965746513204,-0.03141026612457813,-0.42951860072875836,-0.47253788622987897,0.03692836995193891,0.23206153217789496,0.11742529909535669,0.1643051774420139,0.1123101870741868,-0.07242312111224135,0.28717206905330617,-0.1249455225068755,0.1620158402668497,-0.23560138153560384,-0.1519603163370256,0.20957711366045426,0.29357871539334585,-0.23194327279684518,0.1623677863556897,0.2999729518680184,0.1603326608757406,0.11210269326718532,-0.041091909091348064,-0.1399825274295755,0.21101060984895564,0.10984389045218645,-0.4241595658318458,0.382911547377096,0.20854413938543076,0.3455508280395756
7,-5.7716803054982946e-05,-0.04618252918596365,0.027609611323287653,0.16960338753297055,0.38416210241064425,-0.12639278142130894,-0.09997193442956265,-0.09157569197132406,-0.34839331697805626,-0.0620222503550653,0.15206607809303863,0.05561412415222915,0.13466051486881214,0.04915840773720142,-0.05201537531871282,0.46233131564146357,-0.01795374990747574,0.2281375187337916,-0.12312515104871936,-0.0029430052020631703,0.20713504120877974,0.11499246818561434,-0.13245442316163,0.1846406687649659,0.3132178714447298,0.08429647702841159,0.15296190633652845,-0.11556650859476558,-0.11992552314491198,0.24681339284365664,0.07952858568899573,-0.32934974409703177,0.34080714150341895,0.186041756438258,0.22322523745240397
8,-0.03561640129620658,-0.04482904544664337,-0.20233864525597184,0.3282593856892373,0.36580726189044954,-0.16974363271475063,-0.1233393344291274,-0.16970376167952145,-0.08424434214790918,-0.020513125048404798,0.2539785789117336,0.08616993378820204,0.16631853300344435,0.23690245096500048,0.008464098134007995,0.38625462080025885,-0.03697800903379521,0.13451435672392859,-0.18966411911514147,0.12345857272032403,0.4212937669620842,0.2270166281154387,-0.186711584921104,0.24757231102303756,0.3210809590528261,0.2123327041220574,0.12360277875729175,-0.20303111809160787,-0.14588830003447573,0.2843939035944949,0.16264758719592207,-0.3507390631614571,0.24819894957799932,0.11622953196804339,0.39201728987598056
9,-0.07794517253164851,0.08082865606099837,-0.09247964270511122,0.2682026079557665,0.3509498634827404,-0.04379446653412289,-0.15623928185316038,-0.27900954990767457,-0.2908250948346424,0.050291159150543656,0.11457797811951685,0.05163211970335301,0.1859334021919064,0.22982995216172825,0.18112436960831546,0.28178390506097384,-0.018768037370782774,0.21961528250108484,-0.23411035155452975,0.014316629867312733,0.39483108098745456,0.18387267139011942,-0.1211928127838226,0.25430771472181996,0.2402231347456902,0.14987980334459117,0.13921700156491879,-0.02918748006945932,-0.06081748382481597,0.19646906179988294,0.18330365015966116,-0.31061842659947203,0.3073570120201293,0.16208061823274927,0.38648718483882905
10,-0.015473544589416681,0.03451009990115157,-0.03310602008714167,0.3524247413626184,0.47726549406904967,-0.027397610966264564,0.008234678429606474,-0.40093356721726603,-0.26763912358423303,-0.029461965892216495,0.21397083811764678,0.10294812200087454,0.15805045976417048,0.27058115421390416,0.18448555386217502,0.29190800129725386,-0.0007503595089799475,0.29099048413999096,0.008800733198261291,0.15418199872788396,0.2812079521410803,0.17505968831447533,0.024530021498496347,0.1417215593508271,0.273807319562285,0.10260763410332462,0.15857370934542156,-0.033822945249706846,-0.04232512710048335,0.19176282908669023,0.16949315508781373,-0.29690336696102304,0.4217299551700777,0.12536342106909482,0.29035250703722104
11,0.04504485871618487,0.14572022533529125,0.009772250710121166,0.41754814553742803,0.39238976908962503,-0.06129927592067626,0.12463482455032063,-0.29510418827513085,0.024652576959212708,0.10869013465083577,0.23329246405590512,0.11936254986249777,0.21904687176562596,0.36209351207123613,-0.03799475296849607,0.5160251974375181,0.08577089883522307,0.2095286427878228,0.04157914957324335,0.15952445480712046,0.36989804233129986,0.28005690480241907,0.16221818762472476,0.1492933557775116,0.27346903990733956,0.17741724043039062,0.20838647464986768,-0.05326255112348979,0.11487325140271862,0.1925368949145192,0.14497963752003606,-0.3138775900887226,0.3736246026719048,0.1760139461345451,0.34626489276734146
12,-0.0156701061004654,0.062169762839770354,0.044365678615995975,0.29649725644639674,0.24237350228946153,-0.009364519458796669,0.0005066109912060801,-0.15848225501291474,-0.011060347220684157,0.10186228157304587,0.15367561614248082,-0.010292632269919732,0.25371253071186706,0.23181723765766563,0.03328438526774977,0.3554693222758186,0.1315457674116109,0.24477395860738127,0.07902480354986857,0.18352281364023088,0.3681539657987689,0.32734298647204707,0.10863941668735856,0.20663205480370872,0.41860923525076743,0.13872731174075953,0.2179063783986888,-0.08262430590097335,0.02714862639001539,0.2657331271935585,0.16824818162935876,-0.44796838748565515,0.3077407326766566,0.10831031788770845,0.3374827533963808
13,0.017408412626771032,0.06144950277883726,0.06748093764392199,0.3191149682250868,0.3215422643105984,-0.09197861535450785,0.09273080550652421,-0.07894397728406571,-0.06263797036430312,-0.03810564395551497,0.16191230267060086,0.03132948609838207,0.14791429372025797,0.29032231787357393,0.16986079117173647,0.300485938347244,0.13808920894981302,0.2880441914636522,0.052201945936630814,0.17413661577842915,0.37054388779162517,0.26387096816600136,-0.02445148772679235,0.23694516286043477,0.3190129370016803,0.1405582746893651,0.1454720032049244,0.11475469340179306,0.1542832493471367,0.23263324060184642,0.16334946745649492,-0.3272664999577973,0.3655058563232836,0.1399258215353864,0.3826362431799202
14,-0.0298459111417372,0.17124451357328402,-0.046960398603373976,0.2965389434339941,0.3448003900533613,0.012160927205182977,0.004768477856834492,-0.14235467381742017,0.055391265328250984,-0.001185665174976494,0.24097591314614294,-0.034155238194823745,0.22958410355661968,0.36321347154405464,-0.01367173357567928,0.39704646733941323,0.1937157206706297,0.38177561212733024,0.001387630419081659,0.16122692898946392,0.4473730155230631,0.14189219122703567,-0.03840214348426951,0.23623829056395118,0.2655906925702606,0.18805097376077662,0.2407571166798974,0.03307713255399298,0.11788517114925592,0.15090923829784697,0.16139208245092532,-0.2315298632261751,0.37875304673368937,0.14775215199068115,0.40905144632987556
