alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.3,2,-225.51025869844776,2040.8721043772707,-3.9013998329242363,-274.90107481394386,1988.3885406483394,269.1514943957147,-1992.0789551930889,6054535.717586236,-2262.1443379216184,-1663.943288724028,-5.022071178404547,33.0,148.0,0.4,3.0,0.8622222222222222
0.3,4,1199.839358478857,871.6606952295991,0.0,236.8627009516856,2753.4305809786238,-220.77016525047762,-715.9466336238999,4710125.130677027,-2131.7643085651703,-2593.833407461796,-1.6355223103794216,18.0,150.0,1.0,0.0,1.0
0.0,2,-279.58149678932944,2244.9106022540054,0.0,-307.00218305020064,1936.2409583583708,237.9018555340969,-1481.237554527549,7408411.69266279,-2535.840401531338,-7681.2403110831365,-2.7571410050392795,24.0,172.0,0.9333333333333333,0.0,0.997037037037037
1.0,1,3019.2913326285625,0.0,-2960.608431083303,1519.9072063664462,846.5543895372293,1181.213096521231,-264.96316583153094,6903990.961153251,-2445.052527127912,-40016.013973678586,-4.061314681143681,30.0,162.0,0.6666666666666666,0.0,0.9992592592592593
1.0,2,2370.168185126634,0.0,-1459.0155195648972,1193.952362076769,855.9582177346954,456.2504620880498,-510.53114965772227,5065887.247756375,-2065.138646754271,-25342.597323006852,-2.2115716683632387,23.0,155.0,1.0,0.0,0.9948148148148148
0.15,3,-172.50402276473613,2391.8030706946806,0.0,-312.9390242551636,2390.6707881697844,310.76767925142474,-2625.1065791298684,6856767.672500772,-2647.753384602781,-3636.8742423240847,-5.371518341960329,39.0,169.0,0.4,0.0,0.9992592592592593
0.15,0,-194.81499365207773,2521.5735620162795,0.0,-343.2485422344274,2529.821615044408,343.24854223442736,-2827.739490639251,7623534.516216891,-2829.0295963472054,-1035.9402836032762,-2.485299060516995,23.0,170.0,0.8666666666666667,0.0,0.9985185185185185
0.0,1,-154.01268205153073,2046.0657977089934,0.0,-276.3044029773016,2014.0190287096095,271.01362928698353,-1762.149041715443,6244455.108830886,-2292.120025240778,-2244.304051405243,-4.293002728596784,35.0,169.0,0.6666666666666666,0.0,0.997037037037037
0.0,4,1344.0832828633004,997.8763835086523,0.0,267.04721544852055,3032.7155136399006,-252.6712956737969,-760.9603278183698,5486251.854338785,-2386.8439897467565,-3194.471766627479,-2.0386029663850027,22.0,151.0,0.9333333333333333,0.0,0.9992592592592593
0.3,3,1146.7177770167314,815.5901797425676,0.0,225.68466438480974,2705.731216100441,-215.87703672921788,-1256.6468998299079,4491681.11721677,-2031.161979463288,-3013.2405934099233,-1.8317574372595558,15.0,150.0,1.0,0.0,1.0
0.85,0,2318.4035072732577,0.0,-1163.577028023478,1172.6464813088999,2069.8072668655745,124.84837397762844,-452.4684164641509,5007707.206513415,-2073.18702585996,-19659.89513463565,-1.6321131539289522,25.0,158.0,0.8666666666666667,0.0,0.9992592592592593
0.3,1,379.1093833457316,1445.722303378027,0.0,-59.36356866257023,2093.396587740392,66.9048454219956,-1556.0520570516715,4945630.9414946465,-2008.7698604999237,-722.2402015053624,-1.719721727177245,15.0,154.0,1.0,0.0,0.9925925925925926
0.5,3,1090.3179571095077,779.0018581880568,0.0,215.27374376509778,2592.8933734315506,-206.16182336224583,-937.681859093632,4244023.654965819,-1937.4636938858798,-2499.2968729981735,-2.2325790203411935,17.0,150.0,1.0,0.0,0.9996296296296296
0.5,1,2372.408402071465,0.0,-1170.8056504085998,1198.6463848382807,1918.6882878952038,-40.75528438121304,-493.254712568439,5191019.339680272,-2122.2487356192423,-20832.790926543857,-1.8516986871905015,17.0,156.0,1.0,0.0,0.9992592592592593
0.15,4,-241.4758209375726,1922.840261842522,23.716404247513122,-262.6545119858702,1550.671258335644,191.39927782021468,-1255.0216343865675,5943784.5915995855,-2222.07580640769,-6908.287742989441,-2.815237463732205,32.0,169.0,0.6666666666666666,0.0,0.9925925925925926
1.0,3,921.8846683290169,-2261.8543708926495,0.0,834.3338108147284,-2183.2153744561924,-814.5677082396537,-2261.7561289893774,6062018.020280749,-2260.580945962726,-2550.850268839383,-5.353892749318087,41.0,176.0,0.2,0.0,0.9962962962962963
0.5,4,2730.3384819251123,0.0,-1975.17961027689,1386.5855250743873,4172.009141469971,894.5540743949981,-424.55891306711817,6229709.504146189,-2351.535413431001,-25594.484254944276,-2.8450587567999763,29.0,162.0,0.8666666666666667,0.0,0.9977777777777778
0.7,0,2418.185879407937,0.0,-1578.0700911122199,1227.9172835297484,3811.8931217601043,750.1595996748434,-337.16609452320375,8040976.559910057,-2543.4524381351266,-22753.932321260974,-2.322238807559179,32.0,224.0,0.6,0.0,0.9985185185185185
0.15,1,-159.0688718039318,2113.2132824994887,0.0,-287.0685168523722,2126.792704114153,287.0685168523722,-2635.165527866313,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.5,0,2264.24330796853,0.0,-1155.8424638441334,1143.0571193529086,1792.6987361599327,-196.62488143193363,-447.71443811246706,5029458.018706197,-2017.2700201082675,-18853.708544427664,-2.2794657266221297,22.0,158.0,1.0,0.0,1.0
0.85,4,2675.680806543171,0.0,-1504.3418339723346,1351.311578074325,2477.8590476470745,382.11004808741353,-475.5973219571967,6121255.019362877,-2361.812078614973,-22372.001668247045,-1.9243439921397325,23.0,158.0,1.0,0.0,0.997037037037037
0.85,1,2334.564165501486,0.0,-1244.8987450828731,1180.6253353838897,2201.519357959304,156.570123746064,-426.7424326893685,5155465.7427389175,-2075.059190895042,-22275.440992318294,-1.9468715088691648,23.0,155.0,0.9333333333333333,0.0,0.997037037037037
0.0,3,-159.0688718039318,2113.2132824994887,0.0,-287.0685168523722,2126.792704114153,287.0685168523722,-2635.165527866313,6039049.030369711,-2296.548134818978,-277.4478870103808,-1.7632556780698132,14.0,162.0,1.0,2.0,0.9288888888888889
0.5,2,2916.3610644372443,0.0,-2323.508148151338,1482.8593228951052,5357.613542228393,864.6918306702034,-441.9670829259703,6753805.085203499,-2501.537991550412,-24731.859813745894,-3.362048278874642,30.0,163.0,0.8,0.0,0.9992592592592593
0.85,3,2660.790680878895,0.0,-2049.968651736124,1340.497512527462,443.61258836403715,514.9872020061722,-456.5473578161171,5922116.116627499,-2267.0909981165446,-33484.98991167013,-3.668023388331008,28.0,159.0,0.7333333333333333,0.0,0.997037037037037
0.7,1,2350.8350108244913,0.0,-1609.0341744771024,1189.5958331167426,3653.478684772974,709.0769304330356,-235.92315734954718,5923159.680285724,-2148.4982388922717,-21381.1398777342,-3.5718418284437634,27.0,174.0,0.8666666666666667,0.0,1.0
0.7,3,2825.382044208979,0.0,-1838.1736617925296,1432.0779968191173,3961.565544355185,303.36919321951893,-413.01978768985,6329142.075492094,-2462.3218502182053,-23044.91296588926,-3.0470814825301797,23.0,166.0,0.9333333333333333,0.0,1.0
0.3,0,-128.4795207626772,1923.8707686277326,0.0,-259.8601846317153,1936.1424039773265,259.8601846317153,-2078.0780508821467,5366014.992985172,-2091.171340543353,-1092.2745491525154,-2.055942673159394,17.0,169.0,1.0,0.0,0.9992592592592593
0.15,2,-206.48773440096556,2233.932746856566,0.0,-304.9566444737552,2182.2178897624717,297.39269294771293,-2179.1005642322525,6519419.739785487,-2459.6734970379425,-4001.675008162768,-4.321899125112672,41.0,178.0,0.26666666666666666,0.0,1.0
0.85,2,2394.543612929902,7.425360350646907,-1244.898745082873,1208.9104841725905,1981.4365285578067,194.99891210036773,-460.597219879534,5346882.769837389,-2139.4322881382914,-19130.578483660654,-1.816886467781687,21.0,160.0,1.0,0.0,0.9977777777777778
0.7,4,2677.961829988123,0.0,-1971.9698713561738,1354.5691898803761,3682.4660105294147,502.31209036156696,-292.29305937386624,6204751.043272299,-2305.5858933766085,-24111.189524862057,-2.938330078376242,28.0,154.0,0.8,0.0,0.9611111111111111
0.0,0,-159.0688718039318,2113.2132824994887,0.0,-287.0685168523722,2126.792704114153,287.0685168523722,-2635.165527866313,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554,16.0,169.0,1.0,0.0,0.9992592592592593
1.0,0,3059.818074244347,0.0,-2549.00082584966,1543.1894643042922,2145.1666111508484,1898.6345375857647,-479.9146156342804,7020076.373315032,-2558.6661600133552,-31451.99814035821,-2.1173100370685227,24.0,168.0,0.8666666666666667,0.0,1.0
0.7,2,1303.6772028913788,935.4914382119262,0.0,257.1109443252015,2477.9600041323774,-209.95041910585883,-1821.1333634549032,5207800.053308317,-2313.9984989268137,-9625.636087172432,-1.7916042815819289,15.0,150.0,1.0,0.0,1.0
1.0,4,2736.5167973744037,0.0,-1659.424268877216,1379.0121830990306,1228.3605673985592,480.3713798971888,-549.1315996046028,6015304.9768340085,-2389.51950917859,-27524.2251574634,-2.4417710116131377,20.0,183.0,1.0,0.0,1.0
-1.0,0,263.9377046580468,418.1473083988071,16.129209753484393,58.308489334472185,390.15320651152496,26.17178277750218,-1099.2786056007467,6511623.727358462,-2072.120394625944,-20584.444468868383,-4.8819515601674155,,,,,
-1.0,1,-101.3414856589423,155.9890896612864,224.1950279850471,-118.34661607565518,-507.6363864663118,231.54148630443447,-888.5727836805954,7099478.664298711,-2299.89091363426,-20948.02804709797,-5.241856384217217,,,,,
-1.0,2,200.34450390061343,-72.47575829727555,106.08347354391034,79.81463722184075,-470.7484320477797,-46.45949604689252,-1510.3808362411687,8382847.941517672,-2718.5320705257236,-19372.41621455778,-4.672259190919706,,,,,
-1.0,3,96.18867722288111,58.308141261274066,103.7696091149965,-40.27651906757917,-529.4516052003103,320.6326667956937,-879.7521979833482,7632036.801072535,-2563.470633515816,-18924.171159039666,-4.817167942708403,,,,,
-1.0,4,256.5747718746874,40.94766853016998,159.81179724349195,41.21370396182605,-1188.2432665037227,251.3597014242942,-1524.3203006996223,7860411.8786786925,-2745.9959710986986,-11281.624746453643,-4.208706042475315,,,,,
