ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,255,2,3,10,900.0,900.0,900.0,1
0,1,311,2,3,10,900.0,900.0,900.0,1
0,2,288,2,3,9,810.0,900.0,900.0,1
0,2,293,2,3,1,90.0,900.0,900.0,1
0,3,272,2,3,9,720.0,900.0,880.0,1
0,3,313,2,3,2,160.0,900.0,880.0,1
0,4,283,2,3,11,900.0,920.0,900.0,1
0,5,421,3,3,16,800.0,920.0,900.0,1
0,5,380,3,3,2,100.0,920.0,900.0,1
0,6,332,2,3,10,900.0,920.0,900.0,1
0,7,388,3,3,17,850.0,920.0,900.0,1
0,7,385,3,3,1,50.0,920.0,900.0,1
0,8,420,3,3,11,550.0,920.0,900.0,0
0,8,394,3,3,6,300.0,920.0,900.0,0
0,8,340,3,3,1,50.0,920.0,900.0,0
0,9,349,3,3,15,750.0,920.0,900.0,0
0,9,399,3,3,2,100.0,920.0,900.0,0
0,9,396,3,3,1,50.0,920.0,900.0,0
0,10,419,3,3,8,400.0,920.0,900.0,0
0,10,390,3,3,6,300.0,920.0,900.0,0
0,10,401,3,3,4,200.0,920.0,900.0,0
0,11,354,3,3,14,700.0,920.0,900.0,0
0,11,361,3,3,2,100.0,920.0,900.0,0
0,11,397,3,3,2,100.0,920.0,900.0,0
0,12,405,3,3,11,550.0,920.0,900.0,0
0,12,406,3,3,5,250.0,920.0,900.0,0
0,12,358,3,3,2,100.0,920.0,900.0,0
0,13,369,3,3,10,500.0,920.0,900.0,1
0,13,363,3,3,8,400.0,920.0,900.0,1
0,14,377,3,3,11,550.0,920.0,900.0,0
0,14,393,3,3,5,250.0,920.0,900.0,0
0,14,370,3,3,2,100.0,920.0,900.0,0
1,0,255,2,3,10,900.0,900.0,900.0,1
1,1,311,2,3,10,900.0,900.0,900.0,1
1,2,288,2,3,9,810.0,900.0,900.0,1
1,2,293,2,3,1,90.0,900.0,900.0,1
1,3,272,2,3,9,720.0,900.0,880.0,1
1,3,313,2,3,2,160.0,900.0,880.0,1
1,4,283,2,3,11,900.0,920.0,900.0,1
1,5,421,3,3,16,800.0,920.0,900.0,1
1,5,380,3,3,2,100.0,920.0,900.0,1
1,6,332,2,3,10,900.0,920.0,900.0,1
