ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,880.0,1
0,0,272,2,3,9,720.0,900.0,880.0,1
0,1,288,2,3,9,810.0,920.0,900.0,1
0,1,293,2,3,1,90.0,920.0,900.0,1
0,2,243,2,3,4,320.0,920.0,800.0,0
0,2,256,2,3,3,240.0,920.0,800.0,0
0,2,240,2,3,3,240.0,920.0,800.0,0
0,3,317,2,3,12,960.0,1020.0,1010.0,1
0,3,299,2,0,1,50.0,1020.0,1010.0,1
0,4,281,2,3,9,720.0,910.0,880.0,1
0,4,291,2,3,2,160.0,910.0,880.0,1
0,5,284,2,3,9,720.0,930.0,900.0,1
0,5,289,2,3,2,180.0,930.0,900.0,1
0,6,255,2,3,10,900.0,930.0,900.0,1
0,7,282,2,3,10,800.0,930.0,890.0,1
0,7,224,2,3,1,90.0,930.0,890.0,1
0,8,336,2,3,7,560.0,940.0,890.0,0
0,8,310,2,3,3,240.0,940.0,890.0,0
0,8,290,2,3,1,90.0,940.0,890.0,0
0,9,311,2,3,10,900.0,950.0,950.0,1
0,9,217,2,0,1,50.0,950.0,950.0,1
0,10,292,2,3,5,400.0,900.0,890.0,1
0,10,259,2,3,6,490.0,900.0,890.0,1
0,11,274,2,3,9,730.0,910.0,890.0,1
0,11,263,2,3,2,160.0,910.0,890.0,1
0,12,221,2,3,10,820.0,920.0,910.0,1
0,12,309,2,3,1,90.0,920.0,910.0,1
0,13,261,2,3,3,240.0,910.0,780.0,0
0,13,222,2,3,3,270.0,910.0,780.0,0
0,13,308,2,3,3,270.0,910.0,780.0,0
0,14,279,2,3,12,960.0,1030.0,1010.0,1
0,14,337,2,0,1,50.0,1030.0,1010.0,1
1,0,313,2,3,2,160.0,900.0,880.0,1
1,0,272,2,3,9,720.0,900.0,880.0,1
1,1,288,2,3,9,810.0,920.0,900.0,1
1,1,293,2,3,1,90.0,920.0,900.0,1
1,2,243,2,3,4,320.0,920.0,800.0,0
1,2,256,2,3,3,240.0,920.0,800.0,0
1,2,240,2,3,3,240.0,920.0,800.0,0
1,3,317,2,3,12,960.0,1020.0,1010.0,1
1,3,299,2,0,1,50.0,1020.0,1010.0,1
1,4,281,2,3,9,720.0,910.0,880.0,1
1,4,291,2,3,2,160.0,910.0,880.0,1
1,5,284,2,3,9,720.0,930.0,900.0,1
1,5,289,2,3,2,180.0,930.0,900.0,1
1,6,255,2,3,10,900.0,930.0,900.0,1
1,7,282,2,3,10,800.0,930.0,890.0,1
1,7,224,2,3,1,90.0,930.0,890.0,1
1,8,336,2,3,7,560.0,940.0,890.0,0
1,8,310,2,3,3,240.0,940.0,890.0,0
1,8,290,2,3,1,90.0,940.0,890.0,0
1,9,311,2,3,10,900.0,950.0,950.0,1
1,9,217,2,0,1,50.0,950.0,950.0,1
1,10,292,2,3,5,400.0,900.0,890.0,1
1,10,259,2,3,6,490.0,900.0,890.0,1
1,11,274,2,3,9,730.0,910.0,890.0,1
1,11,263,2,3,2,160.0,910.0,890.0,1
1,12,221,2,3,10,820.0,920.0,910.0,1
1,12,309,2,3,1,90.0,920.0,910.0,1
1,13,261,2,3,3,240.0,910.0,780.0,0
1,13,222,2,3,3,270.0,910.0,780.0,0
1,13,308,2,3,3,270.0,910.0,780.0,0
1,14,279,2,3,12,960.0,1030.0,1010.0,1
1,14,337,2,0,1,50.0,1030.0,1010.0,1
2,0,313,2,3,2,160.0,900.0,880.0,1
2,0,272,2,3,9,720.0,900.0,880.0,1
2,1,288,2,3,9,810.0,920.0,900.0,1
2,1,293,2,3,1,90.0,920.0,900.0,1
2,2,243,2,3,4,320.0,920.0,800.0,0
2,2,256,2,3,3,240.0,920.0,800.0,0
2,2,240,2,3,3,240.0,920.0,800.0,0
2,3,317,2,3,12,960.0,1020.0,1010.0,1
2,3,299,2,0,1,50.0,1020.0,1010.0,1
2,4,281,2,3,9,720.0,910.0,880.0,1
2,4,291,2,3,2,160.0,910.0,880.0,1
2,5,284,2,3,9,720.0,930.0,900.0,1
2,5,289,2,3,2,180.0,930.0,900.0,1
2,6,255,2,3,10,900.0,930.0,900.0,1
2,7,282,2,3,10,800.0,930.0,890.0,1
2,7,224,2,3,1,90.0,930.0,890.0,1
2,8,336,2,3,7,560.0,940.0,890.0,0
2,8,310,2,3,3,240.0,940.0,890.0,0
2,8,290,2,3,1,90.0,940.0,890.0,0
2,9,311,2,3,10,900.0,950.0,950.0,1
2,9,217,2,0,1,50.0,950.0,950.0,1
2,10,292,2,3,5,400.0,900.0,890.0,1
2,10,259,2,3,6,490.0,900.0,890.0,1
2,11,274,2,3,9,730.0,910.0,890.0,1
2,11,263,2,3,2,160.0,910.0,890.0,1
2,12,221,2,3,10,820.0,920.0,910.0,1
2,12,309,2,3,1,90.0,920.0,910.0,1
2,13,261,2,3,3,240.0,910.0,780.0,0
2,13,222,2,3,3,270.0,910.0,780.0,0
2,13,308,2,3,3,270.0,910.0,780.0,0
2,14,279,2,3,12,960.0,1030.0,1010.0,1
2,14,337,2,0,1,50.0,1030.0,1010.0,1
3,0,313,2,3,2,160.0,900.0,880.0,1
3,0,272,2,3,9,720.0,900.0,880.0,1
3,1,288,2,3,9,810.0,920.0,900.0,1
3,1,293,2,3,1,90.0,920.0,900.0,1
3,2,243,2,3,4,320.0,920.0,800.0,0
3,2,256,2,3,3,240.0,920.0,800.0,0
3,2,240,2,3,3,240.0,920.0,800.0,0
3,3,317,2,3,12,960.0,1020.0,1010.0,1
3,3,299,2,0,1,50.0,1020.0,1010.0,1
3,4,281,2,3,9,720.0,910.0,880.0,1
3,4,291,2,3,2,160.0,910.0,880.0,1
3,5,284,2,3,9,720.0,930.0,900.0,1
3,5,289,2,3,2,180.0,930.0,900.0,1
3,6,255,2,3,10,900.0,930.0,900.0,1
3,7,282,2,3,10,800.0,930.0,890.0,1
3,7,224,2,3,1,90.0,930.0,890.0,1
3,8,336,2,3,7,560.0,940.0,890.0,0
3,8,310,2,3,3,240.0,940.0,890.0,0
3,8,290,2,3,1,90.0,940.0,890.0,0
3,9,311,2,3,10,900.0,950.0,950.0,1
3,9,217,2,0,1,50.0,950.0,950.0,1
3,10,292,2,3,5,400.0,900.0,890.0,1
3,10,259,2,3,6,490.0,900.0,890.0,1
3,11,274,2,3,9,730.0,910.0,890.0,1
3,11,263,2,3,2,160.0,910.0,890.0,1
3,12,221,2,3,10,820.0,920.0,910.0,1
3,12,309,2,3,1,90.0,920.0,910.0,1
3,13,261,2,3,3,240.0,910.0,780.0,0
3,13,222,2,3,3,270.0,910.0,780.0,0
3,13,308,2,3,3,270.0,910.0,780.0,0
3,14,279,2,3,12,960.0,1030.0,1010.0,1
3,14,337,2,0,1,50.0,1030.0,1010.0,1
4,0,313,2,3,2,160.0,900.0,880.0,1
4,0,272,2,3,9,720.0,900.0,880.0,1
4,1,288,2,3,9,810.0,920.0,900.0,1
4,1,293,2,3,1,90.0,920.0,900.0,1
4,2,243,2,3,4,320.0,920.0,800.0,0
4,2,256,2,3,3,240.0,920.0,800.0,0
4,2,240,2,3,3,240.0,920.0,800.0,0
4,3,317,2,3,12,960.0,1020.0,1010.0,1
4,3,299,2,0,1,50.0,1020.0,1010.0,1
4,4,281,2,3,9,720.0,910.0,880.0,1
4,4,291,2,3,2,160.0,910.0,880.0,1
4,5,284,2,3,9,720.0,930.0,900.0,1
