alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.85,0,2058.149349844757,0.0,-1055.5191867834324,1040.3839368605768,1728.5668669744525,-86.38089260580776,-416.7053534157097,4657426.925080669,-1835.4890801332094,-18633.130630434593,-1.3904562292185423,24.0,158.0,0.9333333333333333,0.0,0.9985185185185185
1.0,3,1706.2498473484507,0.0,-825.2815005713197,863.5122486090793,1294.441046970428,160.67176799010252,-354.91338578673265,3720871.9750279947,-1531.910097215667,-17343.11679711715,-1.7794340544074303,23.0,157.0,1.0,0.0,0.9955555555555555
0.0,2,-100.69911465552256,1548.8397353808193,0.0,-209.32535762453458,1558.7294545517402,209.32535762453463,-1608.9276315441907,4180151.66590426,-1674.602860996277,0.0,-1.3760014916314713,19.0,168.0,1.0,0.0,0.997037037037037
0.5,3,-118.50518039624626,1579.1547099679756,0.0,-214.50735496474408,1589.2976076437105,214.50735496474408,-1971.1820267166702,4478668.985719757,-1716.0588397179527,0.0,-1.386584077336169,18.0,168.0,1.0,0.0,0.997037037037037
0.15,1,-130.5191196803137,1860.4911304372167,27.3164039389653,-251.81229252158082,1851.4292678496247,244.46652340549358,-2054.7587303287164,5681967.215696536,-2073.2719151533875,-779.2102670213422,-2.0834381183534747,25.0,170.0,1.0,0.0,0.9985185185185185
0.5,4,-97.14003319461298,1396.3882693366172,0.0,-188.93954501770162,1405.3015782225702,188.93954501770162,-1661.798763830695,3812469.328774339,-1511.516360141613,0.0,-1.4592156403429732,16.0,168.0,1.0,0.0,0.9955555555555555
0.3,4,-118.50518039624626,1579.1547099679756,0.0,-214.50735496474408,1589.2976076437105,214.50735496474408,-1971.1820267166702,4478668.985719757,-1716.0588397179527,0.0,-1.2447994632961696,15.0,167.0,1.0,0.0,0.9896296296296296
0.7,4,1817.2189277812581,0.0,-888.741725532412,919.7219587337119,1760.9116281592007,169.1972079505568,-326.58277827612653,4141316.279434552,-1630.0054992964408,-14362.39477858361,-1.2958993994310188,19.0,160.0,1.0,0.0,0.997037037037037
0.15,0,819.1521479515553,583.5742657531239,2.9446441129802494,160.95235385843893,1883.4696687638825,-151.39094567554625,-750.4725955354979,3144815.5581199555,-1461.8220832343618,-1907.7084765639825,-1.806966667360879,16.0,150.0,1.0,0.0,1.0
0.7,3,2452.0018610306734,0.0,-2437.9833722188732,1245.9562414341722,4502.94514765118,706.6327397889391,-333.23743998608387,5457714.8080292335,-2024.8217550969118,-19853.574273187205,-3.9857330146433676,36.0,177.0,0.5333333333333333,0.0,1.0
0.15,2,-172.67287211738798,1372.2699521987072,0.0,-189.4796809741852,1068.3001970610185,119.3307083903971,-753.0869386531524,3853142.3746158727,-1515.8374477934815,-3814.5501420368964,-1.567141185375311,15.0,168.0,1.0,0.0,0.9955555555555555
0.5,0,978.7840039748924,702.3818488093734,0.0,193.0467120797729,1869.0226135804314,-158.66874481266134,-1384.3773220078626,3875520.940231085,-1737.4204087179562,-7385.267098111321,-1.4405490426042282,19.0,153.0,0.8666666666666667,0.0,0.9992592592592593
0.5,2,2208.467912811107,0.0,-1106.2578441574235,1115.855752769497,1290.189925049725,154.9362864364927,-491.2693700789293,5038680.080926639,-1972.9448146614566,-21473.963880301573,-1.9689734969328758,23.0,172.0,1.0,0.0,1.0
0.0,0,833.8335215119272,594.3044962723977,0.0,164.09710657265205,1963.5695775491502,-156.60566541541783,-884.2327843762034,3199642.162300549,-1476.8739591538686,-1727.972020191732,-1.6036082005676058,16.0,150.0,1.0,0.0,1.0
0.3,2,-207.9077343395029,1667.452928988554,0.0,-227.99567475789163,1476.9327116874242,192.34803919582777,-1366.4799460074075,4861050.651376957,-1823.965398063133,-3619.7060866116763,-3.0412181187146237,26.0,168.0,0.7333333333333333,0.0,0.9955555555555555
0.85,2,1736.0915245413373,0.0,-988.7078601975696,876.3950685286654,1222.154670735265,194.50459617224772,-340.9382866806444,3778968.481669183,-1529.5791557891578,-14584.423634256887,-1.920289888880411,23.0,173.0,1.0,0.0,0.9977777777777778
0.0,1,-79.23875589374128,1649.5961879456286,-46.52283301609184,-198.8820410682929,1990.4868335889437,176.24478735344212,-1710.0763773045073,4689647.476093827,-1837.5432208368518,-273.2849240430254,-3.1697186146951246,34.0,167.0,0.7333333333333333,0.0,0.9977777777777778
0.5,1,1295.5713239978807,4.798931839111905,-1011.5793735420035,653.437142842579,2435.7452477989054,106.0574851073026,-259.929161743151,2862161.252521477,-1104.3497301571083,-15369.423943455526,-4.329256619988266,36.0,101.0,0.2,3.0,0.6274074074074074
1.0,4,1044.5811482200631,0.0,-895.925487289381,529.6227254625226,1866.7263826869425,-189.61641841687168,-194.85334526116088,2340904.3288369,-874.6163546793134,-14577.231232535229,-4.306348580911725,45.0,139.0,0.0,0.0,0.8466666666666667
0.85,1,1797.98413487281,0.0,-852.9717521622715,909.4617441492525,1272.1019967264683,53.81769117767605,-408.75951355939446,3942628.3221924677,-1630.309208065509,-15516.054760614948,-1.7045364945252115,19.0,155.0,1.0,0.0,0.9985185185185185
0.15,4,-43.40135004185516,1720.1645077777653,-30.791102995891436,-193.7088195438269,1818.9102500444358,218.00276811351864,-1916.4261539701467,5473568.287664999,-1956.4957307239863,-1618.884167226231,-1.859737249576278,25.0,170.0,0.9333333333333333,0.0,0.9992592592592593
0.85,4,2124.872921142008,0.0,-1493.6267942293193,1070.583397686209,308.19103260999464,708.9858795431219,-429.1719079151979,4733955.493776252,-1824.2651953825596,-30246.303968826036,-4.459386451812032,38.0,159.0,0.3333333333333333,0.0,1.0
0.3,3,-97.14003319461298,1396.3882693366172,0.0,-188.93954501770162,1405.3015782225702,188.93954501770162,-1661.798763830695,3812469.328774339,-1511.516360141613,0.0,-1.4592156403429732,16.0,168.0,1.0,0.0,0.9955555555555555
0.7,1,1769.4371839214018,0.0,-1141.5242302837155,889.7039543883454,851.8167938190275,-301.91844896259516,-91.24120358272522,4149742.7274686084,-1529.8402734368487,-14747.904652042469,-1.314963202606324,16.0,151.0,0.9333333333333333,3.0,0.9622222222222222
0.7,0,1539.1137021471582,0.0,-800.6045245594353,777.0718803285727,1476.822094186294,-58.903991317826375,-265.18995435782927,3354926.272443993,-1368.904881208668,-14009.281043623985,-1.740762048074868,27.0,160.0,0.7333333333333333,0.0,0.9918518518518519
0.7,2,1675.149489242232,0.0,-951.8968641412037,845.7192384816938,1138.205320952858,357.70001202213945,-323.71837539952077,3605396.275474239,-1476.4077170410735,-15458.976932753081,-1.9664348556367635,22.0,160.0,1.0,0.0,0.9977777777777778
1.0,0,1998.9698451512977,0.0,-988.7497040317824,1010.2128053603963,1715.6897888354501,138.16655025861667,-369.2530479216306,4502854.342172164,-1788.286473024802,-17388.57631787532,-1.368157567421398,25.0,160.0,0.8666666666666667,0.0,0.9985185185185185
