ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,525,5,6,11,880.0,900.0,880.0,1
0,1,531,5,6,11,880.0,920.0,880.0,1
0,2,596,5,6,11,880.0,940.0,930.0,1
0,2,385,3,3,1,50.0,940.0,930.0,1
0,3,456,5,6,11,880.0,910.0,880.0,1
0,4,552,5,6,11,880.0,930.0,930.0,1
0,4,340,3,3,1,50.0,930.0,930.0,1
0,5,460,5,6,11,880.0,900.0,880.0,1
0,6,562,5,6,11,880.0,920.0,880.0,1
0,7,547,5,6,11,880.0,940.0,930.0,1
0,7,396,3,3,1,50.0,940.0,930.0,1
0,8,535,5,6,10,800.0,910.0,880.0,1
0,8,703,5,6,1,80.0,910.0,880.0,1
0,9,555,5,6,10,800.0,930.0,900.0,1
0,9,380,3,3,2,100.0,930.0,900.0,1
0,10,473,5,6,10,800.0,930.0,900.0,1
0,10,399,3,3,2,100.0,930.0,900.0,1
0,11,543,5,6,10,800.0,930.0,900.0,1
0,11,361,3,3,2,100.0,930.0,900.0,1
0,12,594,5,6,11,880.0,930.0,930.0,1
0,12,342,3,3,1,50.0,930.0,930.0,1
0,13,592,5,6,10,800.0,900.0,900.0,1
0,13,397,3,3,2,100.0,900.0,900.0,1
0,14,526,5,6,11,880.0,900.0,880.0,1
1,0,525,5,6,11,880.0,900.0,880.0,1
1,1,531,5,6,11,880.0,920.0,880.0,1
1,2,596,5,6,11,880.0,940.0,930.0,1
1,2,385,3,3,1,50.0,940.0,930.0,1
1,3,456,5,6,11,880.0,910.0,880.0,1
1,4,552,5,6,11,880.0,930.0,930.0,1
1,4,340,3,3,1,50.0,930.0,930.0,1
1,5,460,5,6,11,880.0,900.0,880.0,1
1,6,562,5,6,11,880.0,920.0,880.0,1
1,7,547,5,6,11,880.0,940.0,930.0,1
1,7,396,3,3,1,50.0,940.0,930.0,1
1,8,535,5,6,10,800.0,910.0,880.0,1
1,8,703,5,6,1,80.0,910.0,880.0,1
1,9,555,5,6,10,800.0,930.0,900.0,1
1,9,380,3,3,2,100.0,930.0,900.0,1
1,10,473,5,6,10,800.0,930.0,900.0,1
1,10,399,3,3,2,100.0,930.0,900.0,1
1,11,543,5,6,10,800.0,930.0,900.0,1
1,11,361,3,3,2,100.0,930.0,900.0,1
1,12,594,5,6,11,880.0,930.0,930.0,1
1,12,342,3,3,1,50.0,930.0,930.0,1
1,13,592,5,6,10,800.0,900.0,900.0,1
1,13,397,3,3,2,100.0,900.0,900.0,1
1,14,526,5,6,11,880.0,900.0,880.0,1
2,0,525,5,6,11,880.0,900.0,880.0,1
2,1,531,5,6,11,880.0,920.0,880.0,1
2,2,596,5,6,11,880.0,940.0,930.0,1
2,2,385,3,3,1,50.0,940.0,930.0,1
2,3,456,5,6,11,880.0,910.0,880.0,1
2,4,552,5,6,11,880.0,930.0,930.0,1
2,4,340,3,3,1,50.0,930.0,930.0,1
2,5,460,5,6,11,880.0,900.0,880.0,1
2,6,562,5,6,11,880.0,920.0,880.0,1
2,7,547,5,6,11,880.0,940.0,930.0,1
2,7,396,3,3,1,50.0,940.0,930.0,1
2,8,535,5,6,10,800.0,910.0,880.0,1
2,8,703,5,6,1,80.0,910.0,880.0,1
2,9,555,5,6,10,800.0,930.0,900.0,1
2,9,380,3,3,2,100.0,930.0,900.0,1
2,10,473,5,6,10,800.0,930.0,900.0,1
2,10,399,3,3,2,100.0,930.0,900.0,1
2,11,543,5,6,10,800.0,930.0,900.0,1
2,11,361,3,3,2,100.0,930.0,900.0,1
2,12,594,5,6,11,880.0,930.0,930.0,1
