alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.5,0,4038.1837831862163,0.0,-3371.330261952679,2047.0669739728496,6319.0228611549865,1068.1526506706718,-543.2071127647025,10530061.585148336,-3395.774439355396,-29507.555753870267,-5.713862405231496,35.0,216.0,0.8,0.0,0.9872222222222222
0.7,0,4058.106555277843,0.0,-3604.9331581010383,2051.6669972062496,5553.239350870829,1444.7462799799166,-489.050451571606,11193099.46296774,-3415.9546013953673,-35291.72401313277,-5.177386534278265,48.0,201.0,0.45,0.0,0.9188888888888889
0.85,4,4095.1105069094106,0.0,-2331.5824060032423,2063.1051778855344,2383.3672144031125,381.1173840827422,-871.2646851213515,12869022.686875978,-3872.65454103831,-52191.42774244812,-5.0531372840614495,45.0,223.0,0.75,0.0,0.9977777777777778
1.0,2,4441.92141099561,0.0,-3531.6567787797094,2246.232972113247,5579.562908585883,2071.7081699094733,-566.6129262740366,12297497.852575568,-3781.453429146357,-36992.84324181507,-4.29924910258759,38.0,213.0,0.75,0.0,0.9977777777777778
0.0,3,-341.5073801914083,3232.078567026574,0.0,-448.43410224809634,3050.589883830036,399.6100632994703,-3631.9546012377114,12273038.182493856,-3665.7372796112163,-4994.6870380841065,-3.4335653293894337,31.0,229.0,1.0,0.0,0.9994444444444445
0.5,4,3544.714471819146,429.62341537810755,-2084.3667990087406,1629.0711770111575,5692.132329937043,549.9627673850937,-616.1316988684923,11088469.402308103,-3550.0858774057283,-19162.73608599649,-3.7968943234539707,31.0,206.0,1.0,0.0,0.9994444444444445
0.15,4,-320.81815519540896,3648.138678067748,0.0,-494.8200049570931,3456.6225508586867,446.0325535067824,-4247.9802850918495,13714559.809337426,-4024.2484318848014,-6532.138007851281,-3.3385184309446485,28.0,267.0,1.0,0.0,0.9983333333333333
0.15,0,-404.12872516284386,3221.254416464825,0.0,-441.4247897471303,2834.745091845526,349.94064985274855,-2436.341688281505,11879820.8618767,-3551.0813327574856,-4892.903763168182,-2.6392372892151945,27.0,224.0,1.0,0.0,0.9977777777777778
0.0,1,-427.40003935558696,3413.965584471771,0.0,-466.9635798223177,3033.140658795618,376.4829287324619,-2704.625527354205,12871763.741820745,-3735.7086385785415,-4476.083536711015,-2.3821451265575555,20.0,225.0,1.0,0.0,1.0
0.3,3,-427.40003935558696,3413.965584471771,0.0,-466.9635798223177,3033.140658795618,376.4829287324619,-2704.625527354205,12871763.741820745,-3735.7086385785415,-4476.083536711015,-2.3821451265575555,20.0,225.0,1.0,0.0,1.0
0.7,1,3987.0217927163635,0.0,-3313.2748933968273,2022.2083521444074,6636.3795252491545,884.7807344982132,-503.84973258862954,13005887.84793367,-3698.8871009285285,-23530.90922968713,-5.767560447975876,48.0,235.0,0.45,0.0,1.0
0.7,4,4596.472337716746,0.0,-2395.484959926328,2319.5106693430325,2357.9292754512803,114.53495867971147,-1062.4584927151398,12837447.925329184,-4085.139800742142,-33975.835230645396,-3.7288897278104,34.0,206.0,0.9,0.0,0.9983333333333333
0.85,1,3648.453261031351,0.0,-2918.6435806660834,1846.3782515682433,5510.615369711876,107.08328336773639,-624.0324447095711,10852826.54528742,-3083.2240229209224,-31022.43101205781,-6.346512475932433,36.0,142.0,0.4,8.0,0.6555555555555556
0.7,2,4789.298682698017,0.0,-4623.364805573294,2423.454279074134,6798.857763298339,1453.6418493394176,-583.4611717954107,13508036.824360708,-3948.2893603795956,-38448.03627494622,-5.659113830471904,40.0,216.0,0.6,0.0,0.9988888888888889
0.85,0,3940.0626714236773,0.0,-3350.0449498312532,1986.406089001371,2267.751466611446,1858.9891959322235,-511.5330221172641,11047969.553845456,-3301.8207841891176,-40225.74015085703,-4.7353521705401915,36.0,214.0,0.85,0.0,0.9988888888888889
