ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,880.0,1
0,0,272,2,3,9,720.0,900.0,880.0,1
0,1,243,2,3,4,320.0,920.0,650.0,0
0,1,256,2,3,3,240.0,920.0,650.0,0
0,1,293,2,3,1,90.0,920.0,650.0,0
0,2,317,2,3,12,960.0,1170.0,1170.0,0
0,2,291,2,3,2,160.0,1170.0,1170.0,0
0,2,385,3,3,1,50.0,1170.0,1170.0,0
0,3,288,2,3,9,810.0,900.0,900.0,1
0,3,224,2,3,1,90.0,900.0,900.0,1
0,4,240,2,3,3,240.0,900.0,880.0,0
0,4,292,2,3,5,400.0,900.0,880.0,0
0,4,310,2,3,3,240.0,900.0,880.0,0
0,5,281,2,3,9,720.0,920.0,900.0,1
0,5,289,2,3,2,180.0,920.0,900.0,1
0,6,336,2,3,7,560.0,920.0,920.0,0
0,6,222,2,3,3,270.0,920.0,920.0,0
0,6,290,2,3,1,90.0,920.0,920.0,0
0,7,255,2,3,10,900.0,900.0,900.0,1
0,8,284,2,3,9,720.0,900.0,880.0,1
0,8,263,2,3,2,160.0,900.0,880.0,1
0,9,259,2,3,6,490.0,920.0,910.0,0
0,9,261,2,3,3,240.0,920.0,910.0,0
0,9,269,2,3,2,180.0,920.0,910.0,0
0,10,274,2,3,9,730.0,910.0,900.0,0
0,10,309,2,3,1,90.0,910.0,900.0,0
0,10,299,2,3,1,80.0,910.0,900.0,0
0,11,311,2,3,10,900.0,910.0,900.0,1
0,12,282,2,3,10,800.0,910.0,900.0,1
0,12,380,3,3,2,100.0,910.0,900.0,1
0,13,324,2,3,8,720.0,910.0,900.0,0
0,13,399,3,3,2,100.0,910.0,900.0,0
0,13,217,2,3,1,80.0,910.0,900.0,0
0,14,244,2,3,5,440.0,910.0,810.0,0
0,14,308,2,3,3,270.0,910.0,810.0,0
0,14,361,3,3,2,100.0,910.0,810.0,0
0,15,279,2,3,12,960.0,1000.0,960.0,1
0,16,420,3,3,11,550.0,940.0,910.0,1
0,16,320,2,3,4,360.0,940.0,910.0,1
0,17,419,3,3,8,400.0,930.0,870.0,0
0,17,401,3,3,4,200.0,930.0,870.0,0
0,17,334,2,3,3,270.0,930.0,870.0,0
0,18,421,3,3,16,800.0,960.0,950.0,0
0,18,397,3,3,2,100.0,960.0,950.0,0
0,18,340,3,3,1,50.0,960.0,950.0,0
0,19,394,3,3,6,300.0,910.0,750.0,0
0,19,390,3,3,6,300.0,910.0,750.0,0
0,19,395,3,3,3,150.0,910.0,750.0,0
1,0,313,2,3,2,160.0,900.0,880.0,1
1,0,272,2,3,9,720.0,900.0,880.0,1
1,1,243,2,3,4,320.0,920.0,650.0,0
1,1,256,2,3,3,240.0,920.0,650.0,0
1,1,293,2,3,1,90.0,920.0,650.0,0
1,2,317,2,3,12,960.0,1170.0,1170.0,0
1,2,291,2,3,2,160.0,1170.0,1170.0,0
1,2,385,3,3,1,50.0,1170.0,1170.0,0
1,3,288,2,3,9,810.0,900.0,900.0,1
1,3,224,2,3,1,90.0,900.0,900.0,1
1,4,240,2,3,3,240.0,900.0,880.0,0
1,4,292,2,3,5,400.0,900.0,880.0,0
1,4,310,2,3,3,240.0,900.0,880.0,0
1,5,281,2,3,9,720.0,920.0,900.0,1
1,5,289,2,3,2,180.0,920.0,900.0,1
1,6,336,2,3,7,560.0,920.0,920.0,0
1,6,222,2,3,3,270.0,920.0,920.0,0
1,6,290,2,3,1,90.0,920.0,920.0,0
1,7,255,2,3,10,900.0,900.0,900.0,1
1,8,284,2,3,9,720.0,900.0,880.0,1
1,8,263,2,3,2,160.0,900.0,880.0,1
1,9,259,2,3,6,490.0,920.0,910.0,0
1,9,261,2,3,3,240.0,920.0,910.0,0
1,9,269,2,3,2,180.0,920.0,910.0,0
1,10,274,2,3,9,730.0,910.0,900.0,0
1,10,309,2,3,1,90.0,910.0,900.0,0
1,10,299,2,3,1,80.0,910.0,900.0,0
1,11,311,2,3,10,900.0,910.0,900.0,1
1,12,282,2,3,10,800.0,910.0,900.0,1
1,12,380,3,3,2,100.0,910.0,900.0,1
1,13,324,2,3,8,720.0,910.0,900.0,0
1,13,399,3,3,2,100.0,910.0,900.0,0
1,13,217,2,3,1,80.0,910.0,900.0,0
1,14,244,2,3,5,440.0,910.0,810.0,0
1,14,308,2,3,3,270.0,910.0,810.0,0
1,14,361,3,3,2,100.0,910.0,810.0,0
1,15,279,2,3,12,960.0,1000.0,960.0,1
1,16,420,3,3,11,550.0,940.0,910.0,1
1,16,320,2,3,4,360.0,940.0,910.0,1
1,17,419,3,3,8,400.0,930.0,870.0,0
1,17,401,3,3,4,200.0,930.0,870.0,0
1,17,334,2,3,3,270.0,930.0,870.0,0
1,18,421,3,3,16,800.0,960.0,950.0,0
1,18,397,3,3,2,100.0,960.0,950.0,0
1,18,340,3,3,1,50.0,960.0,950.0,0
1,19,394,3,3,6,300.0,910.0,750.0,0
1,19,390,3,3,6,300.0,910.0,750.0,0
1,19,395,3,3,3,150.0,910.0,750.0,0
2,0,313,2,3,2,160.0,900.0,880.0,1
2,0,272,2,3,9,720.0,900.0,880.0,1
2,1,243,2,3,4,320.0,920.0,650.0,0
2,1,256,2,3,3,240.0,920.0,650.0,0
2,1,293,2,3,1,90.0,920.0,650.0,0
2,2,317,2,3,12,960.0,1170.0,1170.0,0
2,2,291,2,3,2,160.0,1170.0,1170.0,0
2,2,385,3,3,1,50.0,1170.0,1170.0,0
2,3,288,2,3,9,810.0,900.0,900.0,1
2,3,224,2,3,1,90.0,900.0,900.0,1
2,4,240,2,3,3,240.0,900.0,880.0,0
2,4,292,2,3,5,400.0,900.0,880.0,0
2,4,310,2,3,3,240.0,900.0,880.0,0
2,5,281,2,3,9,720.0,920.0,900.0,1
2,5,289,2,3,2,180.0,920.0,900.0,1
2,6,336,2,3,7,560.0,920.0,920.0,0
2,6,222,2,3,3,270.0,920.0,920.0,0
2,6,290,2,3,1,90.0,920.0,920.0,0
2,7,255,2,3,10,900.0,900.0,900.0,1
2,8,284,2,3,9,720.0,900.0,880.0,1
2,8,263,2,3,2,160.0,900.0,880.0,1
2,9,259,2,3,6,490.0,920.0,910.0,0
2,9,261,2,3,3,240.0,920.0,910.0,0
2,9,269,2,3,2,180.0,920.0,910.0,0
2,10,274,2,3,9,730.0,910.0,900.0,0
2,10,309,2,3,1,90.0,910.0,900.0,0
2,10,299,2,3,1,80.0,910.0,900.0,0
2,11,311,2,3,10,900.0,910.0,900.0,1
2,12,282,2,3,10,800.0,910.0,900.0,1
2,12,380,3,3,2,100.0,910.0,900.0,1
2,13,324,2,3,8,720.0,910.0,900.0,0
2,13,399,3,3,2,100.0,910.0,900.0,0
2,13,217,2,3,1,80.0,910.0,900.0,0
2,14,244,2,3,5,440.0,910.0,810.0,0
2,14,308,2,3,3,270.0,910.0,810.0,0
2,14,361,3,3,2,100.0,910.0,810.0,0
2,15,279,2,3,12,960.0,1000.0,960.0,1
2,16,420,3,3,11,550.0,940.0,910.0,1
2,16,320,2,3,4,360.0,940.0,910.0,1
2,17,419,3,3,8,400.0,930.0,870.0,0
2,17,401,3,3,4,200.0,930.0,870.0,0
2,17,334,2,3,3,270.0,930.0,870.0,0
2,18,421,3,3,16,800.0,960.0,950.0,0
2,18,397,3,3,2,100.0,960.0,950.0,0
2,18,340,3,3,1,50.0,960.0,950.0,0
