iter,a0.7_s0,a0.3_s2,a0.15_s0,a0.15_s4,a0.7_s2,a1.0_s0,a0.3_s4,a0.85_s0,a0.15_s3,a0.0_s3,a0.15_s2,a0.0_s2,a0.85_s4,a0.7_s4,a0.5_s3,a0.3_s0,a1.0_s3,a0.0_s1,a0.0_s4,a1.0_s2,a0.3_s1,a0.85_s1,a1.0_s1,a1.0_s4,a0.5_s2,a0.85_s3,a0.0_s0,a0.5_s0,a0.85_s2,a0.5_s1,a0.5_s4,a0.7_s3,a0.7_s1,a0.15_s1,a0.3_s3
0,0.18353060000751087,-0.1791677551830487,-0.35453978628437266,-0.24330718142874247,0.10929523804899907,0.41305712842572695,-0.12376352986103753,0.3028843947849833,-0.18209471224108367,-0.36949878582987555,-0.3068480964496928,-0.44773674888185183,0.23274220436976265,0.14631657182896257,0.19087614009739445,-0.18945000867209025,0.6075651875817747,-0.7304260910412786,-0.37521741764138244,0.2868109261917977,-0.28556898170945505,0.34513954218766385,0.4862771139688372,0.31251971133050105,-0.026452052883729274,0.49422576666602336,-0.5367078167530981,0.008010313570051567,0.2016033958832544,-0.032611017579594545,0.019220053386609592,0.3714413940072925,0.19224050609139254,-0.49705842712950227,-0.01225977055124098
1,0.14998327979204853,-0.038473052811023936,-0.3485618862594584,-0.23823481488529444,0.19197515936581594,0.3251693126921236,-0.0676730765928104,0.25883570289976676,-0.3008002603973513,-0.3009759643582103,-0.23505389283304232,-0.37629994967630337,0.2620626495439332,0.14028424030901224,0.062379954716204715,-0.04921661623568124,0.4300274938714288,-0.4351776872815263,-0.3564943373767066,0.442763844886029,0.06418910750570532,0.3247383308109687,0.43249641446116327,0.3666768874160142,0.17784717377243406,0.37333828254109513,-0.5315220309036544,0.008454198531254786,0.3470481120056825,-0.009131581413459322,0.07373279792259226,0.15692802977951167,0.1973816136861255,-0.22907511679629905,-0.059054453389930664
2,0.21062694674251095,-0.1268583810870258,-0.08570094528402233,-0.17182781165825037,0.2706959110604249,0.374798965638116,-0.1950551710085052,0.33815200404523105,-0.39298426203779147,-0.4490837419197695,-0.05195292132309323,-0.13802429782420583,0.20517510438885592,0.15825198286750092,0.17526562386162087,-0.06062620776612733,0.4302184210676901,-0.41072177221252615,-0.6506269841568388,0.3266191590046645,-0.040316710934507824,0.29951077704515705,0.44518107989085176,0.39771581627705704,0.01648940011347603,0.2699525297777819,-0.37017543154208954,0.09559248915851015,0.28992130686715056,0.021168334029964424,0.014462762860171448,0.29967694833076397,0.18971633088029108,-0.3844476584822122,-0.11746412095403186
3,0.3071884730944616,0.09321959159528095,-0.2640712596429974,-0.4134007749931577,0.18573555660637253,0.32025184104275944,-0.06276427358628278,0.2891021905760819,-0.21835815975355766,-0.6263233151724339,-0.29855013437131894,-0.3917594619119555,0.29473784745520465,0.17030926185681106,0.27754804835026037,0.009614503026231354,0.5912340127778349,-0.5147099488985895,-0.1624892314702728,0.3182427668397196,-0.10331606918672138,0.19219547249268876,0.33977646399131145,0.3354191882618972,0.21888230510849305,0.3516121724043685,-0.21821501653576866,0.20300084446402436,0.29147704031024,0.061965077580329486,-0.03308042736522118,0.26199975970479583,0.08413048423128466,-0.04997499887727817,0.033572368844191125
4,0.29559668495633235,-0.07158023112061261,-0.06789941932769566,-0.1573905385663475,0.24127317122108036,0.48825339682874797,0.14060583783082342,0.36098071189080166,-0.11411665265202442,-0.2954432181656186,-0.16957473662373493,-0.23866562874570446,0.35221606717556553,0.17284378975499481,-0.0025435252578326698,-0.1145961577617794,0.42197969179925315,-0.2597876264943465,-0.44502460102141894,0.46980052485521084,-0.021410223481115032,0.2932695769678772,0.47321505199147895,0.40045045560637216,0.17366737581396133,0.2162642686845466,-0.2983540641335153,0.245176209458703,0.3774569401348306,0.09913509949327552,0.0322213193817323,0.21192793555288175,0.26896055854270007,-0.2125838059286213,-0.10474279249732824
5,0.2659512914163054,-0.39777129250293286,-0.021769954593960264,-0.11077359543008167,0.2389235595868777,0.36659203587236233,0.1144551240049434,0.28327957530028375,-0.20297357638676494,-0.37529620899284555,-0.19121723269922597,0.00740474338170663,0.25346731674895184,0.17567856433922038,0.05578915711147733,-0.04976129747460167,0.41780850616582116,-0.36499088087532133,-0.25573296495108144,0.4283470775111964,-0.07488856360204646,0.36302702302892575,0.35271148988060863,0.3606885302321883,0.08014007863115993,0.35393808742172045,-0.12245118531415472,0.12802936371761087,0.3733874576464816,0.08994631160134098,0.04595808165689782,0.2163934852266548,0.24326199308763852,0.13823907259000928,0.021854621747090644
6,0.5426421234661214,0.03305113360419516,-0.06430431044240349,-0.09908557496964285,0.29797466470213696,0.5419587002662603,0.04874632394612465,0.3551219851681048,0.17967373581796015,-0.2917798828551634,0.15478725153138895,-0.1385096599223002,0.30564476516306655,0.19797489691211823,0.04220016527982649,0.08771178467147027,0.40385578028137314,-0.3522132223607245,-0.1483026562121428,0.6255695975526205,0.0311760694853553,0.2975703454012022,0.5038242927354158,0.4384116492943311,0.2729858232296254,0.4506224766964443,-0.0015470404938350696,0.08791507352176103,0.4899546638749028,0.08954241873141866,-0.02731743896649614,0.26847686918703745,0.25329428075651705,-0.15449097786359528,0.1317952524469031
7,0.38152423356957843,0.04277646167358534,0.25294071154914316,-0.16386505890285522,0.32943126097180914,0.4057935771470893,0.161219977732172,0.4634858162173986,-0.029379087996072584,-0.19762172084165117,-0.1074421859250407,-0.08967261725735722,0.2528271681961491,0.17628365356034678,-0.009738577350427532,0.053957455353849285,0.5238962192915441,-0.4106879950040824,-0.08901185457799778,0.4626676179433226,-0.09675556073524534,0.21262122306705009,0.3020655384571339,0.43962937170826677,0.3105296057005076,0.34599054620404984,0.04362839588933352,0.1237989436880707,0.412258408808804,0.10009761248684133,0.13509619942566237,0.2565212127633488,0.15079962930447138,-0.15239380026554497,0.05486347661811898
8,0.3338272702727992,-0.0042456309278602195,0.017078359904950526,-0.2692691533627358,0.4316429705719778,0.5151380785968781,0.07866706887905983,0.3518079607303696,-0.13829043620566922,-0.509102953461439,-0.05865108209039932,-0.275051161246568,0.35418861677302094,0.315114507481985,0.009297662484253157,0.16539236044915773,0.4672765433749646,-0.11903264836289873,-0.34862655853713065,0.446044360278375,0.17341728744844176,0.4159444029236773,0.4314751868645029,0.4023924770412397,0.23362077345133214,0.3548490251476331,-0.21018640822379286,0.1634479720574299,0.38711465546153245,0.05910000843236614,0.00909707166060646,0.2590548298545017,0.3414442118943293,-0.01933077082713595,-0.09373177713037686
9,0.29958521735944577,0.03681159347086458,0.14893338626557687,-0.08519111766571327,0.4164503687783657,0.5349639359554803,0.11662926885188478,0.24301769616845728,-0.1675325217892905,-0.3528740045895534,0.25095301708945456,-0.024245355493083827,0.4939829654736289,0.2563833543027035,0.0725945162641985,0.062481382622690415,0.42670303155468203,-0.06485896869753272,-0.43140648182337626,0.5323315816575103,0.09555463866732988,0.42122629300447,0.5187235419167942,0.41837612371222105,0.29472945356342906,0.24003362554069707,0.2038344863837965,0.023154545355036506,0.3912155318766607,0.14391384857268513,0.23828971030063878,0.19557148963397727,0.3172086356819112,-0.21432276340655146,0.14481476301408638
