ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,880.0,1
0,0,272,2,3,9,720.0,900.0,880.0,1
0,1,288,2,3,9,810.0,920.0,900.0,1
0,1,293,2,3,1,90.0,920.0,900.0,1
0,2,255,2,3,10,900.0,920.0,900.0,1
0,3,311,2,3,10,900.0,920.0,900.0,1
0,4,107,1,3,10,900.0,920.0,900.0,1
0,5,191,1,3,9,810.0,920.0,900.0,1
0,5,224,2,3,1,90.0,920.0,900.0,1
0,6,281,2,3,9,720.0,920.0,880.0,1
0,6,291,2,3,2,160.0,920.0,880.0,1
0,7,282,2,3,10,800.0,940.0,940.0,0
0,7,290,2,3,1,90.0,940.0,940.0,0
0,7,385,3,3,1,50.0,940.0,940.0,0
0,8,284,2,3,9,720.0,900.0,900.0,1
0,8,289,2,3,2,180.0,900.0,900.0,1
0,9,272,2,3,9,720.0,900.0,900.0,1
0,9,197,1,3,2,180.0,900.0,900.0,1
0,10,288,2,3,9,810.0,900.0,900.0,1
0,10,293,2,3,1,90.0,900.0,900.0,1
0,11,255,2,3,10,900.0,900.0,900.0,1
0,12,274,2,3,9,730.0,900.0,890.0,1
0,12,263,2,3,2,160.0,900.0,890.0,1
0,13,221,2,3,10,820.0,910.0,910.0,1
0,13,309,2,3,1,90.0,910.0,910.0,1
0,14,332,2,3,10,900.0,900.0,900.0,1
1,0,313,2,3,2,160.0,900.0,880.0,1
1,0,272,2,3,9,720.0,900.0,880.0,1
1,1,288,2,3,9,810.0,920.0,900.0,1
1,1,293,2,3,1,90.0,920.0,900.0,1
1,2,255,2,3,10,900.0,920.0,900.0,1
1,3,311,2,3,10,900.0,920.0,900.0,1
1,4,107,1,3,10,900.0,920.0,900.0,1
1,5,191,1,3,9,810.0,920.0,900.0,1
1,5,224,2,3,1,90.0,920.0,900.0,1
1,6,281,2,3,9,720.0,920.0,880.0,1
1,6,291,2,3,2,160.0,920.0,880.0,1
1,7,282,2,3,10,800.0,940.0,940.0,0
1,7,290,2,3,1,90.0,940.0,940.0,0
1,7,385,3,3,1,50.0,940.0,940.0,0
1,8,284,2,3,9,720.0,900.0,900.0,1
1,8,289,2,3,2,180.0,900.0,900.0,1
1,9,272,2,3,9,720.0,900.0,880.0,1
1,9,313,2,3,2,160.0,900.0,880.0,1
1,10,274,2,3,9,730.0,920.0,910.0,1
1,10,197,1,3,2,180.0,920.0,910.0,1
1,11,255,2,3,10,900.0,910.0,900.0,1
1,12,221,2,3,10,820.0,910.0,910.0,1
1,12,309,2,3,1,90.0,910.0,910.0,1
1,13,332,2,3,10,900.0,900.0,900.0,1
1,14,283,2,3,11,900.0,900.0,900.0,1
2,0,313,2,3,2,160.0,900.0,880.0,1
2,0,272,2,3,9,720.0,900.0,880.0,1
2,1,288,2,3,9,810.0,920.0,900.0,1
2,1,293,2,3,1,90.0,920.0,900.0,1
2,2,255,2,3,10,900.0,920.0,900.0,1
2,3,311,2,3,10,900.0,920.0,900.0,1
2,4,107,1,3,10,900.0,920.0,900.0,1
2,5,191,1,3,9,810.0,920.0,900.0,1
2,5,224,2,3,1,90.0,920.0,900.0,1
2,6,281,2,3,9,720.0,920.0,880.0,1
2,6,291,2,3,2,160.0,920.0,880.0,1
2,7,282,2,3,10,800.0,940.0,940.0,0
2,7,290,2,3,1,90.0,940.0,940.0,0
2,7,385,3,3,1,50.0,940.0,940.0,0
2,8,284,2,3,9,720.0,900.0,900.0,1
2,8,289,2,3,2,180.0,900.0,900.0,1
2,9,274,2,3,9,730.0,900.0,890.0,1
2,9,263,2,3,2,160.0,900.0,890.0,1
2,10,288,2,3,9,810.0,910.0,900.0,1
2,10,309,2,3,1,90.0,910.0,900.0,1
2,11,221,2,3,10,820.0,910.0,900.0,1
2,11,299,2,3,1,80.0,910.0,900.0,1
2,12,332,2,3,10,900.0,910.0,900.0,1
2,13,283,2,3,11,900.0,910.0,900.0,1
2,14,191,1,3,9,810.0,910.0,900.0,1
2,14,224,2,3,1,90.0,910.0,900.0,1
3,0,313,2,3,2,160.0,900.0,880.0,1
3,0,272,2,3,9,720.0,900.0,880.0,1
3,1,288,2,3,9,810.0,920.0,900.0,1
3,1,293,2,3,1,90.0,920.0,900.0,1
3,2,255,2,3,10,900.0,920.0,900.0,1
3,3,311,2,3,10,900.0,920.0,900.0,1
3,4,107,1,3,10,900.0,920.0,900.0,1
3,5,191,1,3,9,810.0,920.0,900.0,1
3,5,224,2,3,1,90.0,920.0,900.0,1
3,6,281,2,3,9,720.0,920.0,880.0,1
3,6,291,2,3,2,160.0,920.0,880.0,1
3,7,282,2,3,10,800.0,940.0,940.0,0
3,7,290,2,3,1,90.0,940.0,940.0,0
3,7,385,3,3,1,50.0,940.0,940.0,0
3,8,284,2,3,9,720.0,900.0,900.0,1
3,8,289,2,3,2,180.0,900.0,900.0,1
3,9,313,2,3,2,160.0,900.0,890.0,1
3,9,274,2,3,9,730.0,900.0,890.0,1
3,10,221,2,3,10,820.0,910.0,910.0,1
3,10,309,2,3,1,90.0,910.0,910.0,1
3,11,332,2,3,10,900.0,900.0,900.0,1
3,12,283,2,3,11,900.0,900.0,900.0,1
3,13,239,2,3,10,890.0,900.0,890.0,1
3,14,324,2,3,8,720.0,910.0,900.0,1
3,14,197,1,3,2,180.0,910.0,900.0,1
4,0,313,2,3,2,160.0,900.0,880.0,1
4,0,272,2,3,9,720.0,900.0,880.0,1
4,1,288,2,3,9,810.0,920.0,900.0,1
4,1,293,2,3,1,90.0,920.0,900.0,1
4,2,255,2,3,10,900.0,920.0,900.0,1
4,3,311,2,3,10,900.0,920.0,900.0,1
4,4,107,1,3,10,900.0,920.0,900.0,1
4,5,191,1,3,9,810.0,920.0,900.0,1
4,5,224,2,3,1,90.0,920.0,900.0,1
4,6,281,2,3,9,720.0,920.0,880.0,1
4,6,291,2,3,2,160.0,920.0,880.0,1
4,7,282,2,3,10,800.0,940.0,940.0,0
4,7,290,2,3,1,90.0,940.0,940.0,0
4,7,385,3,3,1,50.0,940.0,940.0,0
4,8,284,2,3,9,720.0,900.0,900.0,1
4,8,289,2,3,2,180.0,900.0,900.0,1
4,9,274,2,3,9,730.0,900.0,890.0,1
4,9,263,2,3,2,160.0,900.0,890.0,1
4,10,221,2,3,10,820.0,910.0,910.0,1
4,10,293,2,3,1,90.0,910.0,910.0,1
4,11,255,2,3,10,900.0,900.0,900.0,1
4,12,332,2,3,10,900.0,900.0,900.0,1
4,13,107,1,3,10,900.0,900.0,900.0,1
4,14,191,1,3,9,810.0,900.0,900.0,1
4,14,309,2,3,1,90.0,900.0,900.0,1
