alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.15,1,1146.7177770167314,815.5901797425677,0.0,225.68466438480974,2705.731216100441,-215.87703672921788,-1256.6468998299079,4491681.11721677,-2031.161979463288,-2773.3045036850817,-1.9344258539154566,15.0,150.0,1.0,0.0,1.0
0.3,0,-169.31024139197024,2159.7518611294263,0.0,-292.7156571302809,2173.601570183557,292.7156571302809,-2729.9839214630947,6335562.216352634,-2379.1823916147646,-276.04472251476625,-1.9647811958058656,18.8,169.6,0.9866666666666667,0.0,0.997037037037037
0.0,2,-148.8229250086885,1904.3948145210725,0.0,-260.90039276888945,1916.723544046293,260.90039276888945,-2369.6107368006838,5408647.317055773,-2104.8966065173713,-82.76448751489993,-1.8533125032179971,16.0,169.0,1.0,0.0,0.9992592592592593
0.7,4,2761.3877476104785,22.66688949144845,-1833.7480227592812,1397.4445436426881,3141.348983166808,1052.0078730436994,-456.6405868394098,6468698.845191073,-2425.6767958073274,-22193.524522285777,-2.1829879152725082,29.4,168.4,0.7733333333333333,0.0,0.9979259259259259
0.5,3,3026.8894397139693,0.0,-2714.125354721182,1538.8697789816833,5110.519837119751,1319.8074013276173,-486.1607130001645,6980344.194658388,-2522.7940135777244,-21166.342371521798,-2.7011502586450806,26.2,163.2,0.8666666666666667,0.0,0.9982222222222222
0.15,2,-176.9379722795457,2160.5553504611325,0.0,-288.4289453503607,2152.2597152704952,281.05182310010133,-2200.2554310187948,6179193.331862782,-2373.7553599625976,-1637.1669784129058,-4.594660679915873,37.8,165.4,0.48,0.0,0.9921481481481481
1.0,2,1659.0929943468138,0.0,-1190.3428767124499,840.0341804639951,2522.1473104924103,-45.82584352861246,-387.3406567345754,3744820.710609275,-1425.6756027783154,-19030.79312345156,-5.202158296484034,44.8,143.2,0.013333333333333334,0.0,0.8888888888888888
0.5,4,2406.3907434239873,0.0,-1787.4206906167533,1218.1687947521352,3056.68900915718,818.9565093388031,-302.81721186740566,5490424.237616869,-2072.6231505830538,-22631.855182681873,-3.4089735540318555,26.4,158.8,0.9333333333333333,0.0,0.9983703703703704
0.5,1,2149.924915760619,226.25948138595624,-1192.9629491613775,997.9176067245237,3972.293791377847,426.28386691425493,-392.2631480680839,5455161.115979097,-2163.1173535623425,-17191.538929257316,-2.490584265121595,27.0,157.0,0.9066666666666666,0.0,0.9997037037037036
0.85,1,2466.609853575992,0.0,-1719.1046383971002,1241.452528975025,667.8339542092618,712.0506551845403,-430.98533778917647,5439963.010239087,-2113.6241162855317,-26813.85241237762,-2.931538778143046,27.8,159.6,0.7733333333333333,0.0,0.9979259259259259
