ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,703,5,10,1,80.0,900.0,400.0,0
0,0,679,5,10,2,160.0,900.0,400.0,0
0,0,610,5,10,2,160.0,900.0,400.0,0
0,1,616,5,10,2,160.0,1400.0,480.0,0
0,1,701,5,10,2,160.0,1400.0,480.0,0
0,1,615,5,10,2,160.0,1400.0,480.0,0
0,2,459,5,10,3,240.0,1820.0,720.0,0
0,2,665,5,10,3,240.0,1820.0,720.0,0
0,2,608,5,10,3,240.0,1820.0,720.0,0
0,3,448,5,10,4,320.0,2000.0,1280.0,0
0,3,509,5,10,6,480.0,2000.0,1280.0,0
0,3,603,5,10,6,480.0,2000.0,1280.0,0
0,4,518,5,10,6,480.0,1620.0,1440.0,0
0,4,645,5,10,6,480.0,1620.0,1440.0,0
0,4,424,5,10,6,480.0,1620.0,1440.0,0
0,5,480,5,10,6,480.0,1080.0,1060.0,0
0,5,672,5,10,6,480.0,1080.0,1060.0,0
0,5,293,2,0,1,100.0,1080.0,1060.0,0
0,6,601,5,10,7,560.0,920.0,760.0,0
0,6,224,2,0,1,100.0,920.0,760.0,0
0,6,290,2,0,1,100.0,920.0,760.0,0
0,7,575,5,10,7,560.0,1060.0,760.0,0
0,7,309,2,0,1,100.0,1060.0,760.0,0
0,7,241,2,0,1,100.0,1060.0,760.0,0
0,8,659,5,10,7,560.0,1200.0,1170.0,0
0,8,440,5,10,7,560.0,1200.0,1170.0,0
0,8,299,2,0,1,50.0,1200.0,1170.0,0
0,9,632,5,10,7,560.0,930.0,760.0,0
0,9,225,2,0,1,100.0,930.0,760.0,0
0,9,218,2,0,1,100.0,930.0,760.0,0
0,10,656,5,10,7,560.0,1070.0,860.0,0
0,10,265,2,0,1,100.0,1070.0,860.0,0
0,10,289,2,0,2,200.0,1070.0,860.0,0
0,11,644,5,10,7,560.0,1110.0,960.0,0
0,11,269,2,0,2,200.0,1110.0,960.0,0
0,11,262,2,0,2,200.0,1110.0,960.0,0
0,12,673,5,10,7,560.0,1050.0,660.0,0
0,12,217,2,0,1,50.0,1050.0,660.0,0
0,12,337,2,0,1,50.0,1050.0,660.0,0
0,13,431,5,10,7,560.0,1290.0,1220.0,0
0,13,551,5,10,7,560.0,1290.0,1220.0,0
0,13,313,2,0,2,100.0,1290.0,1220.0,0
0,14,475,5,10,8,640.0,970.0,840.0,0
0,14,291,2,0,2,100.0,970.0,840.0,0
0,14,263,2,0,2,100.0,970.0,840.0,0
1,0,703,5,10,1,80.0,900.0,400.0,0
1,0,679,5,10,2,160.0,900.0,400.0,0
1,0,610,5,10,2,160.0,900.0,400.0,0
1,1,616,5,10,2,160.0,1400.0,480.0,0
1,1,701,5,10,2,160.0,1400.0,480.0,0
1,1,615,5,10,2,160.0,1400.0,480.0,0
1,2,459,5,10,3,240.0,1820.0,720.0,0
1,2,665,5,10,3,240.0,1820.0,720.0,0
1,2,608,5,10,3,240.0,1820.0,720.0,0
1,3,448,5,10,4,320.0,2000.0,1280.0,0
1,3,509,5,10,6,480.0,2000.0,1280.0,0
1,3,603,5,10,6,480.0,2000.0,1280.0,0
1,4,518,5,10,6,480.0,1620.0,1440.0,0
1,4,645,5,10,6,480.0,1620.0,1440.0,0
1,4,424,5,10,6,480.0,1620.0,1440.0,0
1,5,480,5,10,6,480.0,1080.0,1060.0,0
1,5,672,5,10,6,480.0,1080.0,1060.0,0
1,5,293,2,0,1,100.0,1080.0,1060.0,0
1,6,601,5,10,7,560.0,920.0,760.0,0
1,6,224,2,0,1,100.0,920.0,760.0,0
1,6,290,2,0,1,100.0,920.0,760.0,0
1,7,575,5,10,7,560.0,1060.0,760.0,0
1,7,309,2,0,1,100.0,1060.0,760.0,0
1,7,241,2,0,1,100.0,1060.0,760.0,0
1,8,659,5,10,7,560.0,1200.0,1170.0,0
1,8,440,5,10,7,560.0,1200.0,1170.0,0
1,8,299,2,0,1,50.0,1200.0,1170.0,0
1,9,632,5,10,7,560.0,930.0,760.0,0
1,9,225,2,0,1,100.0,930.0,760.0,0
1,9,218,2,0,1,100.0,930.0,760.0,0
1,10,656,5,10,7,560.0,1070.0,860.0,0
1,10,265,2,0,1,100.0,1070.0,860.0,0
1,10,289,2,0,2,200.0,1070.0,860.0,0
1,11,644,5,10,7,560.0,1110.0,960.0,0
1,11,269,2,0,2,200.0,1110.0,960.0,0
1,11,262,2,0,2,200.0,1110.0,960.0,0
1,12,673,5,10,7,560.0,1050.0,660.0,0
1,12,217,2,0,1,50.0,1050.0,660.0,0
1,12,337,2,0,1,50.0,1050.0,660.0,0
1,13,431,5,10,7,560.0,1290.0,1220.0,0
1,13,551,5,10,7,560.0,1290.0,1220.0,0
1,13,313,2,0,2,100.0,1290.0,1220.0,0
1,14,475,5,10,8,640.0,970.0,840.0,0
1,14,291,2,0,2,100.0,970.0,840.0,0
1,14,263,2,0,2,100.0,970.0,840.0,0
2,0,703,5,10,1,80.0,900.0,400.0,0
2,0,679,5,10,2,160.0,900.0,400.0,0
2,0,610,5,10,2,160.0,900.0,400.0,0
2,1,616,5,10,2,160.0,1400.0,480.0,0
2,1,701,5,10,2,160.0,1400.0,480.0,0
2,1,615,5,10,2,160.0,1400.0,480.0,0
2,2,459,5,10,3,240.0,1820.0,720.0,0
2,2,665,5,10,3,240.0,1820.0,720.0,0
2,2,608,5,10,3,240.0,1820.0,720.0,0
2,3,448,5,10,4,320.0,2000.0,1280.0,0
2,3,509,5,10,6,480.0,2000.0,1280.0,0
2,3,603,5,10,6,480.0,2000.0,1280.0,0
2,4,518,5,10,6,480.0,1620.0,1440.0,0
2,4,645,5,10,6,480.0,1620.0,1440.0,0
2,4,424,5,10,6,480.0,1620.0,1440.0,0
2,5,480,5,10,6,480.0,1080.0,1060.0,0
2,5,672,5,10,6,480.0,1080.0,1060.0,0
2,5,293,2,0,1,100.0,1080.0,1060.0,0
2,6,601,5,10,7,560.0,920.0,760.0,0
2,6,224,2,0,1,100.0,920.0,760.0,0
2,6,290,2,0,1,100.0,920.0,760.0,0
2,7,575,5,10,7,560.0,1060.0,760.0,0
2,7,309,2,0,1,100.0,1060.0,760.0,0
2,7,241,2,0,1,100.0,1060.0,760.0,0
2,8,659,5,10,7,560.0,1200.0,1170.0,0
2,8,440,5,10,7,560.0,1200.0,1170.0,0
2,8,299,2,0,1,50.0,1200.0,1170.0,0
2,9,632,5,10,7,560.0,930.0,760.0,0
2,9,225,2,0,1,100.0,930.0,760.0,0
2,9,218,2,0,1,100.0,930.0,760.0,0
2,10,656,5,10,7,560.0,1070.0,860.0,0
2,10,265,2,0,1,100.0,1070.0,860.0,0
2,10,289,2,0,2,200.0,1070.0,860.0,0
2,11,644,5,10,7,560.0,1110.0,960.0,0
2,11,269,2,0,2,200.0,1110.0,960.0,0
2,11,262,2,0,2,200.0,1110.0,960.0,0
2,12,673,5,10,7,560.0,1050.0,660.0,0
2,12,217,2,0,1,50.0,1050.0,660.0,0
2,12,337,2,0,1,50.0,1050.0,660.0,0
2,13,431,5,10,7,560.0,1290.0,1220.0,0
2,13,551,5,10,7,560.0,1290.0,1220.0,0
2,13,313,2,0,2,100.0,1290.0,1220.0,0
2,14,475,5,10,8,640.0,970.0,840.0,0
2,14,291,2,0,2,100.0,970.0,840.0,0
2,14,263,2,0,2,100.0,970.0,840.0,0
3,0,703,5,10,1,80.0,900.0,400.0,0
3,0,679,5,10,2,160.0,900.0,400.0,0
3,0,610,5,10,2,160.0,900.0,400.0,0
3,1,616,5,10,2,160.0,1400.0,480.0,0
3,1,701,5,10,2,160.0,1400.0,480.0,0
3,1,615,5,10,2,160.0,1400.0,480.0,0
3,2,459,5,10,3,240.0,1820.0,720.0,0
3,2,665,5,10,3,240.0,1820.0,720.0,0
3,2,608,5,10,3,240.0,1820.0,720.0,0
3,3,448,5,10,4,320.0,2000.0,1280.0,0
3,3,509,5,10,6,480.0,2000.0,1280.0,0
3,3,603,5,10,6,480.0,2000.0,1280.0,0
3,4,518,5,10,6,480.0,1620.0,1440.0,0
3,4,645,5,10,6,480.0,1620.0,1440.0,0
3,4,424,5,10,6,480.0,1620.0,1440.0,0
3,5,480,5,10,6,480.0,1080.0,1060.0,0
3,5,672,5,10,6,480.0,1080.0,1060.0,0
3,5,293,2,0,1,100.0,1080.0,1060.0,0
3,6,601,5,10,7,560.0,920.0,760.0,0
3,6,224,2,0,1,100.0,920.0,760.0,0
3,6,290,2,0,1,100.0,920.0,760.0,0
3,7,575,5,10,7,560.0,1060.0,760.0,0
3,7,309,2,0,1,100.0,1060.0,760.0,0
3,7,241,2,0,1,100.0,1060.0,760.0,0
3,8,659,5,10,7,560.0,1200.0,1170.0,0
3,8,440,5,10,7,560.0,1200.0,1170.0,0
3,8,299,2,0,1,50.0,1200.0,1170.0,0
3,9,632,5,10,7,560.0,930.0,760.0,0
3,9,225,2,0,1,100.0,930.0,760.0,0
3,9,218,2,0,1,100.0,930.0,760.0,0
3,10,656,5,10,7,560.0,1070.0,860.0,0
3,10,265,2,0,1,100.0,1070.0,860.0,0
3,10,289,2,0,2,200.0,1070.0,860.0,0
3,11,644,5,10,7,560.0,1110.0,960.0,0
3,11,269,2,0,2,200.0,1110.0,960.0,0
3,11,262,2,0,2,200.0,1110.0,960.0,0
3,12,673,5,10,7,560.0,1050.0,660.0,0
3,12,217,2,0,1,50.0,1050.0,660.0,0
3,12,337,2,0,1,50.0,1050.0,660.0,0
3,13,431,5,10,7,560.0,1290.0,1220.0,0
3,13,551,5,10,7,560.0,1290.0,1220.0,0
3,13,313,2,0,2,100.0,1290.0,1220.0,0
3,14,475,5,10,8,640.0,970.0,840.0,0
3,14,291,2,0,2,100.0,970.0,840.0,0
3,14,263,2,0,2,100.0,970.0,840.0,0
4,0,703,5,10,1,80.0,900.0,400.0,0
4,0,679,5,10,2,160.0,900.0,400.0,0
4,0,610,5,10,2,160.0,900.0,400.0,0
4,1,616,5,10,2,160.0,1400.0,480.0,0
4,1,701,5,10,2,160.0,1400.0,480.0,0
4,1,615,5,10,2,160.0,1400.0,480.0,0
4,2,459,5,10,3,240.0,1820.0,720.0,0
4,2,665,5,10,3,240.0,1820.0,720.0,0
4,2,608,5,10,3,240.0,1820.0,720.0,0
4,3,448,5,10,4,320.0,2000.0,1280.0,0
4,3,509,5,10,6,480.0,2000.0,1280.0,0
4,3,603,5,10,6,480.0,2000.0,1280.0,0
4,4,518,5,10,6,480.0,1620.0,1440.0,0
4,4,645,5,10,6,480.0,1620.0,1440.0,0
4,4,424,5,10,6,480.0,1620.0,1440.0,0
4,5,480,5,10,6,480.0,1080.0,1060.0,0
4,5,672,5,10,6,480.0,1080.0,1060.0,0
4,5,293,2,0,1,100.0,1080.0,1060.0,0
4,6,601,5,10,7,560.0,920.0,760.0,0
4,6,224,2,0,1,100.0,920.0,760.0,0
4,6,290,2,0,1,100.0,920.0,760.0,0
4,7,575,5,10,7,560.0,1060.0,760.0,0
4,7,309,2,0,1,100.0,1060.0,760.0,0
4,7,241,2,0,1,100.0,1060.0,760.0,0
4,8,659,5,10,7,560.0,1200.0,1170.0,0
4,8,440,5,10,7,560.0,1200.0,1170.0,0
4,8,299,2,0,1,50.0,1200.0,1170.0,0
4,9,632,5,10,7,560.0,930.0,760.0,0
4,9,225,2,0,1,100.0,930.0,760.0,0
4,9,218,2,0,1,100.0,930.0,760.0,0
4,10,656,5,10,7,560.0,1070.0,860.0,0
4,10,265,2,0,1,100.0,1070.0,860.0,0
4,10,289,2,0,2,200.0,1070.0,860.0,0
4,11,644,5,10,7,560.0,1110.0,960.0,0
4,11,269,2,0,2,200.0,1110.0,960.0,0
4,11,262,2,0,2,200.0,1110.0,960.0,0
4,12,673,5,10,7,560.0,1050.0,660.0,0
4,12,217,2,0,1,50.0,1050.0,660.0,0
4,12,337,2,0,1,50.0,1050.0,660.0,0
4,13,431,5,10,7,560.0,1290.0,1220.0,0
