ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,278,2,3,10,800.0,900.0,890.0,1
0,0,265,2,3,1,90.0,900.0,890.0,1
0,1,297,2,3,10,900.0,910.0,900.0,1
0,2,283,2,3,11,900.0,910.0,900.0,1
0,3,332,2,3,10,900.0,910.0,900.0,1
0,4,239,2,3,10,890.0,910.0,890.0,1
0,5,236,2,3,11,920.0,920.0,920.0,1
0,6,311,2,3,10,900.0,900.0,900.0,1
0,7,255,2,3,10,900.0,900.0,900.0,1
0,8,300,2,3,9,810.0,900.0,895.0,1
0,8,214,1,1,1,85.0,900.0,895.0,1
0,9,78,1,1,8,680.0,905.0,850.0,0
0,9,81,1,1,1,85.0,905.0,850.0,0
0,9,35,1,1,1,85.0,905.0,850.0,0
0,10,11,1,1,11,935.0,955.0,935.0,1
0,11,149,1,1,10,850.0,920.0,900.0,1
0,11,385,3,3,1,50.0,920.0,900.0,1
0,12,139,1,1,10,850.0,920.0,900.0,1
0,12,340,3,3,1,50.0,920.0,900.0,1
0,13,206,1,1,10,900.0,920.0,900.0,1
0,14,160,1,1,10,850.0,920.0,900.0,1
0,14,396,3,3,1,50.0,920.0,900.0,1
1,0,278,2,3,10,800.0,900.0,890.0,1
1,0,265,2,3,1,90.0,900.0,890.0,1
1,1,297,2,3,10,900.0,910.0,900.0,1
1,2,283,2,3,11,900.0,910.0,900.0,1
1,3,332,2,3,10,900.0,910.0,900.0,1
1,4,239,2,3,10,890.0,910.0,890.0,1
1,5,236,2,3,11,920.0,920.0,920.0,1
1,6,311,2,3,10,900.0,900.0,900.0,1
1,7,255,2,3,10,900.0,900.0,900.0,1
1,8,300,2,3,9,810.0,900.0,895.0,1
1,8,214,1,1,1,85.0,900.0,895.0,1
1,9,78,1,1,8,680.0,905.0,850.0,0
1,9,81,1,1,1,85.0,905.0,850.0,0
1,9,35,1,1,1,85.0,905.0,850.0,0
1,10,11,1,1,11,935.0,955.0,935.0,1
1,11,149,1,1,10,850.0,920.0,900.0,1
1,11,385,3,3,1,50.0,920.0,900.0,1
