ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,317,2,3,12,960.0,1500.0,1440.0,0
0,0,313,2,3,2,160.0,1500.0,1440.0,0
0,0,243,2,3,4,320.0,1500.0,1440.0,0
0,1,223,2,3,17,1530.0,1560.0,1530.0,1
0,2,276,2,3,16,1280.0,1530.0,1520.0,1
0,2,256,2,3,3,240.0,1530.0,1520.0,1
0,3,268,2,3,18,1440.0,1510.0,1490.0,1
0,3,385,3,3,1,50.0,1510.0,1490.0,1
0,4,267,2,3,18,1470.0,1520.0,1520.0,1
0,4,340,3,3,1,50.0,1520.0,1520.0,1
0,5,220,2,3,14,1230.0,1500.0,1470.0,1
0,5,240,2,3,3,240.0,1500.0,1470.0,1
0,6,319,2,3,17,1530.0,1530.0,1530.0,1
0,7,272,2,3,9,720.0,1500.0,1490.0,0
0,7,281,2,3,9,720.0,1500.0,1490.0,0
0,7,396,3,3,1,50.0,1500.0,1490.0,0
0,8,258,2,3,14,1120.0,1510.0,1450.0,0
0,8,293,2,3,1,90.0,1510.0,1450.0,0
0,8,310,2,3,3,240.0,1510.0,1450.0,0
0,9,316,2,3,15,1350.0,1560.0,1560.0,0
0,9,291,2,3,2,160.0,1560.0,1560.0,0
0,9,342,3,3,1,50.0,1560.0,1560.0,0
0,10,279,2,3,12,960.0,1500.0,1450.0,0
0,10,292,2,3,5,400.0,1500.0,1450.0,0
0,10,224,2,3,1,90.0,1500.0,1450.0,0
0,11,323,2,3,17,1530.0,1550.0,1530.0,1
0,12,302,2,3,17,1510.0,1520.0,1510.0,1
0,13,288,2,3,9,810.0,1510.0,1460.0,0
0,13,336,2,3,7,560.0,1510.0,1460.0,0
0,13,290,2,3,1,90.0,1510.0,1460.0,0
0,14,271,2,3,12,960.0,1550.0,1540.0,0
0,14,259,2,3,6,490.0,1550.0,1540.0,0
0,14,309,2,3,1,90.0,1550.0,1540.0,0
1,0,317,2,3,12,960.0,1500.0,1440.0,0
1,0,313,2,3,2,160.0,1500.0,1440.0,0
1,0,243,2,3,4,320.0,1500.0,1440.0,0
1,1,223,2,3,17,1530.0,1560.0,1530.0,1
1,2,276,2,3,16,1280.0,1530.0,1520.0,1
1,2,256,2,3,3,240.0,1530.0,1520.0,1
1,3,268,2,3,18,1440.0,1510.0,1490.0,1
1,3,385,3,3,1,50.0,1510.0,1490.0,1
1,4,267,2,3,18,1470.0,1520.0,1520.0,1
1,4,340,3,3,1,50.0,1520.0,1520.0,1
1,5,220,2,3,14,1230.0,1500.0,1470.0,1
1,5,240,2,3,3,240.0,1500.0,1470.0,1
1,6,319,2,3,17,1530.0,1530.0,1530.0,1
1,7,272,2,3,9,720.0,1500.0,1490.0,0
1,7,281,2,3,9,720.0,1500.0,1490.0,0
1,7,396,3,3,1,50.0,1500.0,1490.0,0
1,8,258,2,3,14,1120.0,1510.0,1450.0,0
1,8,293,2,3,1,90.0,1510.0,1450.0,0
1,8,310,2,3,3,240.0,1510.0,1450.0,0
1,9,316,2,3,15,1350.0,1560.0,1560.0,0
1,9,291,2,3,2,160.0,1560.0,1560.0,0
1,9,342,3,3,1,50.0,1560.0,1560.0,0
1,10,279,2,3,12,960.0,1500.0,1450.0,0
1,10,292,2,3,5,400.0,1500.0,1450.0,0
1,10,224,2,3,1,90.0,1500.0,1450.0,0
1,11,323,2,3,17,1530.0,1550.0,1530.0,1
1,12,302,2,3,17,1510.0,1520.0,1510.0,1
1,13,288,2,3,9,810.0,1510.0,1460.0,0
1,13,336,2,3,7,560.0,1510.0,1460.0,0
1,13,290,2,3,1,90.0,1510.0,1460.0,0
1,14,271,2,3,12,960.0,1550.0,1540.0,0
1,14,259,2,3,6,490.0,1550.0,1540.0,0
1,14,309,2,3,1,90.0,1550.0,1540.0,0
2,0,317,2,3,12,960.0,1500.0,1440.0,0
2,0,313,2,3,2,160.0,1500.0,1440.0,0
2,0,243,2,3,4,320.0,1500.0,1440.0,0
2,1,223,2,3,17,1530.0,1560.0,1530.0,1
2,2,276,2,3,16,1280.0,1530.0,1520.0,1
2,2,256,2,3,3,240.0,1530.0,1520.0,1
2,3,268,2,3,18,1440.0,1510.0,1490.0,1
2,3,385,3,3,1,50.0,1510.0,1490.0,1
2,4,267,2,3,18,1470.0,1520.0,1520.0,1
2,4,340,3,3,1,50.0,1520.0,1520.0,1
