alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.15,3,-28.758307676837035,1638.5160744987782,-87.57696849016327,-167.7137850649687,2213.287673986663,141.69252075356817,-1973.1649606267456,5156812.037575858,-1887.5650302510708,-704.891107331391,-1.8923184293521804,21.0,112.0,1.0,0.0,0.9955555555555555
0.3,2,-107.64868589345642,1242.4043979969963,0.0,-168.3046169755031,1250.316776452668,168.30461697550308,-1265.566484848121,3460666.702133669,-1346.436935804025,0.0,-1.9525388980392897,16.0,111.0,1.0,0.0,0.9866666666666667
0.85,4,1656.4200832112624,0.0,-1145.0207785862715,833.5050683688505,532.2956795673108,135.6222308210236,-324.85300425702934,3587935.4144209214,-1420.6063357487324,-20622.70989918645,-2.1417836547965075,22.0,106.0,1.0,0.0,0.9955555555555555
1.0,2,1698.6459807546846,0.0,-1385.8809076953678,856.0945760363172,1073.7525138845592,544.4457109487714,-250.44128039507163,3805911.4851015145,-1440.930600199955,-18499.259812648,-2.4996291863600075,21.0,107.0,1.0,0.0,0.9955555555555555
0.7,2,1818.5820989401986,0.0,-1598.2944811670295,922.1085614991467,3474.9040327537687,359.2554142463606,-278.0410759591958,4555272.580677864,-1597.4958725330569,-18327.32756659443,-4.476363426314853,37.0,115.0,0.5333333333333333,0.0,0.9977777777777778
0.15,2,1788.05926313259,92.52229929769673,-1502.6402235539201,864.8832854739805,4307.07133056561,278.4369559323308,-333.6821856885494,4174496.243756254,-1606.2442150710644,-16426.101512273166,-4.3530092294019855,31.0,106.0,0.7333333333333333,0.0,0.9966666666666667
0.7,1,1902.1213806404783,0.0,-1563.830395008315,962.0837895876244,3504.7108234110774,189.45767244061693,-320.85236621166945,4250803.608933133,-1599.3902607013545,-20049.525451833168,-4.934069366492877,40.0,108.0,0.26666666666666666,0.0,0.9988888888888889
0.0,1,-172.3646201743668,1489.2626381178063,0.0,-198.66689781717065,1496.0340637568856,198.66689781717065,-1587.7751285143634,4170030.6041780547,-1589.3351825373652,-24.240553532545874,-1.741340952317703,17.0,108.0,0.9333333333333333,0.0,0.9633333333333334
1.0,1,2057.045817478548,0.0,-1608.8259526465652,1034.907864356949,468.262756649928,666.5574670683516,-394.80331624277255,5101403.173179421,-1813.9943430689461,-29371.524660353945,-3.136736454649639,30.0,109.0,0.7333333333333333,0.0,1.0
0.5,3,1782.6866966478478,0.0,-1528.579797225635,903.4662881590206,3441.994476823883,229.83561675373863,-282.37839945285424,4748773.46147019,-1622.9499161572041,-15558.656163039599,-4.6549195524744045,39.0,124.0,0.3333333333333333,0.0,0.9966666666666667
0.5,1,1748.4911876213307,271.8917412982974,-1356.1462441264964,812.2596812874856,3812.5754899590343,-208.49193089267547,-264.36146970088134,4404355.930410762,-1669.4166476738094,-9955.87889945787,-4.945806132383668,35.0,116.0,0.5333333333333333,0.0,0.9944444444444445
0.15,4,83.49331452532452,1184.993279346713,-120.71358548568746,-69.10931164340454,1875.5147754465693,101.3255673902261,-1453.3725504991448,4492798.608266759,-1571.7826269608793,-3771.1708924093996,-4.155283031454544,29.0,117.0,0.8,0.0,0.9955555555555555
0.85,0,1931.0767188413477,0.0,-1714.1812124426845,978.4405038705667,3173.3885228976264,99.26908783404127,-245.94963930655527,4415277.227083537,-1605.9547720759815,-16472.444138933664,-4.0572846098932,31.0,106.0,0.6666666666666666,0.0,1.0
0.5,4,1862.4897221029496,0.0,-1629.9700529443357,941.8849979876944,3443.5459946602327,182.27568388776416,-239.41727950433778,4228354.276397528,-1549.3159872854867,-17409.18126175935,-3.1444425266619773,28.0,106.0,0.8,0.0,0.9977777777777778
0.0,2,-107.64868589345642,1242.4043979969963,0.0,-168.3046169755031,1250.316776452668,168.30461697550308,-1265.566484848121,3460666.702133669,-1346.436935804025,0.0,-1.9525388980392897,15.0,112.0,1.0,0.0,0.9955555555555555
0.7,0,1945.085124910133,0.0,-1607.9484998190737,984.5460489663326,3484.9693219310707,209.36919190637863,-319.9274929100312,4438795.354582936,-1635.4642780317308,-19450.295376751423,-4.375993034884856,34.0,107.0,0.6,0.0,0.9988888888888889
0.0,4,1051.5519441736385,518.7556439415956,-431.9203973659398,346.29637126677625,3475.571054840195,-177.03935232033572,-519.2894701722361,3380847.1433607847,-1426.2137471115716,-1866.495197883595,-2.7770273923354547,17.0,91.0,1.0,3.0,0.8766666666666667
0.7,3,1866.0992009069826,0.0,-1683.1671337359232,945.5509463022056,3279.8363744720373,248.423942698163,-241.54728204085978,4119988.065958654,-1547.5373072282769,-19269.299292293606,-3.8822725357949333,29.0,105.0,0.7333333333333333,1.0,0.9244444444444444
0.85,2,1568.658644908433,0.0,-1249.1446266839928,793.8153658661923,3040.183817649962,30.578169689315235,-318.13938270372506,3415066.5851194924,-1326.5189362273063,-17961.3888684606,-5.7643645800502,40.0,107.0,0.2,0.0,0.9944444444444445
0.15,1,-173.13452762560283,1426.2581808457294,0.0,-192.0117374211602,1426.2010792202477,191.7776534311853,-1500.2230706818411,3989856.123251253,-1536.0938993692819,-43.15106259707435,-1.579087197262182,15.0,112.0,1.0,0.0,0.9955555555555555
0.0,0,1696.6015698646672,0.0,-1459.9662222723884,859.3356177659313,3469.0692189196,24.74638924667293,-260.4464661823311,4928309.134152755,-1674.523608242397,-14553.151459825807,-3.8139673764604196,25.0,152.0,0.6666666666666666,0.0,1.0
0.3,0,-120.07121444891747,1484.4700863884016,20.494765430129696,-201.80593905047107,1477.802511245995,203.44552028487752,-1829.2814531318668,4420195.764692477,-1671.3873953253383,-479.34048483962306,-2.477421082224065,18.0,112.0,1.0,0.0,0.9911111111111112
0.85,3,2002.4323045497454,0.0,-1625.3749452940258,1009.1582692362666,1290.6261027418514,367.4384250784127,-343.88736683943955,4642354.027164641,-1690.1536669317284,-19565.102947823976,-3.0918843701830725,26.0,108.0,0.8666666666666667,0.0,1.0
0.3,4,1625.2289778758031,177.91115916420986,-1425.0080901984957,775.6715284437258,3836.2202894035536,203.8293240120957,-181.7706586196643,3912070.970328021,-1452.8843235974903,-11948.286660228478,-3.308875176223296,25.0,107.0,0.9333333333333333,0.0,0.9977777777777778
0.5,0,1896.749572102257,-8.318313845235618,-1779.392252108096,959.4297774583614,3665.6139179154516,342.0523748102942,-189.66305296052462,4769533.468753343,-1653.5304335241726,-16879.84317383181,-3.5558821743120435,33.0,119.0,0.6,0.0,1.0
1.0,0,1806.074362830214,0.0,-1344.0225693164098,910.2773415910781,1151.2192497670876,280.16539702972193,-380.5056228315607,4119441.0037038997,-1535.8657655233492,-13543.878069583623,-1.3894418637792323,20.0,110.0,0.9333333333333333,0.0,0.9988888888888889
0.5,2,1369.685163434892,0.0,-1378.2894125412943,696.7475306008682,3603.079691391271,229.33214809386163,-171.9963216007805,3149012.224652714,-1117.3303237381294,-9749.303635547712,-1.973914978117265,17.0,68.0,0.8666666666666667,6.0,0.6133333333333333
