ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,265,2,3,1,90.0,600.0,270.0,0
0,0,218,2,3,1,90.0,600.0,270.0,0
0,0,225,2,3,1,90.0,600.0,270.0,0
0,1,241,2,3,1,90.0,930.0,270.0,0
0,1,309,2,3,1,90.0,930.0,270.0,0
0,1,290,2,3,1,90.0,930.0,270.0,0
0,2,337,2,3,1,80.0,1260.0,240.0,0
0,2,217,2,3,1,80.0,1260.0,240.0,0
0,2,299,2,3,1,80.0,1260.0,240.0,0
0,3,224,2,3,1,90.0,1620.0,360.0,0
0,3,262,2,3,2,180.0,1620.0,360.0,0
0,3,293,2,3,1,90.0,1620.0,360.0,0
0,4,269,2,3,2,180.0,1800.0,520.0,0
0,4,289,2,3,2,180.0,1800.0,520.0,0
0,4,263,2,3,2,160.0,1800.0,520.0,0
0,5,291,2,3,2,160.0,1800.0,670.0,0
0,5,298,2,3,3,240.0,1800.0,670.0,0
0,5,246,2,3,3,270.0,1800.0,670.0,0
0,6,334,2,3,3,270.0,1730.0,780.0,0
0,6,308,2,3,3,270.0,1730.0,780.0,0
0,6,295,2,3,3,240.0,1730.0,780.0,0
0,7,222,2,3,3,270.0,1550.0,670.0,0
0,7,294,2,3,3,240.0,1550.0,670.0,0
0,7,313,2,3,2,160.0,1550.0,670.0,0
0,8,261,2,3,3,240.0,1480.0,720.0,0
0,8,310,2,3,3,240.0,1480.0,720.0,0
0,8,240,2,3,3,240.0,1480.0,720.0,0
0,9,256,2,3,3,240.0,1360.0,960.0,0
0,9,320,2,3,4,360.0,1360.0,960.0,0
0,9,237,2,3,4,360.0,1360.0,960.0,0
0,10,243,2,3,4,320.0,1000.0,730.0,0
0,10,273,2,3,4,320.0,1000.0,730.0,0
0,10,100,1,3,1,90.0,1000.0,730.0,0
0,11,292,2,3,5,400.0,870.0,840.0,1
0,11,244,2,3,5,440.0,870.0,840.0,1
0,12,338,2,3,5,450.0,630.0,630.0,0
0,12,201,1,3,1,90.0,630.0,630.0,0
0,12,35,1,3,1,90.0,630.0,630.0,0
0,13,259,2,3,6,490.0,600.0,580.0,1
0,13,81,1,3,1,90.0,600.0,580.0,1
0,14,266,2,3,5,400.0,620.0,540.0,0
0,14,214,1,3,1,90.0,620.0,540.0,0
0,14,355,3,3,1,50.0,620.0,540.0,0
1,0,265,2,3,1,90.0,600.0,270.0,0
1,0,218,2,3,1,90.0,600.0,270.0,0
1,0,225,2,3,1,90.0,600.0,270.0,0
1,1,241,2,3,1,90.0,930.0,270.0,0
1,1,309,2,3,1,90.0,930.0,270.0,0
1,1,290,2,3,1,90.0,930.0,270.0,0
1,2,337,2,3,1,80.0,1260.0,240.0,0
1,2,217,2,3,1,80.0,1260.0,240.0,0
1,2,299,2,3,1,80.0,1260.0,240.0,0
1,3,224,2,3,1,90.0,1620.0,360.0,0
1,3,262,2,3,2,180.0,1620.0,360.0,0
1,3,293,2,3,1,90.0,1620.0,360.0,0
1,4,269,2,3,2,180.0,1800.0,520.0,0
