ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,255,2,3,10,900.0,900.0,900.0,1
0,1,311,2,3,10,900.0,900.0,900.0,1
0,2,283,2,3,11,900.0,900.0,900.0,1
0,3,332,2,3,10,900.0,900.0,900.0,1
0,4,288,2,3,9,810.0,900.0,900.0,1
0,4,293,2,3,1,90.0,900.0,900.0,1
0,5,239,2,3,10,890.0,900.0,890.0,1
0,6,297,2,3,10,900.0,900.0,900.0,1
0,7,221,2,3,10,820.0,900.0,870.0,1
0,7,100,1,6,1,50.0,900.0,870.0,1
0,8,282,2,3,10,800.0,900.0,890.0,1
0,8,224,2,3,1,90.0,900.0,890.0,1
0,9,272,2,3,9,720.0,900.0,880.0,1
0,9,313,2,3,2,160.0,900.0,880.0,1
0,10,300,2,3,9,810.0,900.0,890.0,1
0,10,703,5,6,1,80.0,900.0,890.0,1
0,11,281,2,3,9,720.0,900.0,880.0,1
0,11,291,2,3,2,160.0,900.0,880.0,1
0,12,278,2,3,10,800.0,900.0,900.0,1
0,12,197,1,6,2,100.0,900.0,900.0,1
0,13,274,2,3,9,730.0,900.0,880.0,1
0,13,99,1,6,3,150.0,900.0,880.0,1
0,14,304,2,3,9,770.0,900.0,870.0,1
0,14,101,1,6,2,100.0,900.0,870.0,1
1,0,255,2,3,10,900.0,900.0,900.0,1
1,1,311,2,3,10,900.0,900.0,900.0,1
1,2,283,2,3,11,900.0,900.0,900.0,1
1,3,332,2,3,10,900.0,900.0,900.0,1
1,4,288,2,3,9,810.0,900.0,900.0,1
1,4,293,2,3,1,90.0,900.0,900.0,1
1,5,239,2,3,10,890.0,900.0,890.0,1
1,6,297,2,3,10,900.0,900.0,900.0,1
1,7,221,2,3,10,820.0,900.0,870.0,1
1,7,100,1,6,1,50.0,900.0,870.0,1
1,8,282,2,3,10,800.0,900.0,890.0,1
1,8,224,2,3,1,90.0,900.0,890.0,1
1,9,272,2,3,9,720.0,900.0,880.0,1
1,9,313,2,3,2,160.0,900.0,880.0,1
1,10,300,2,3,9,810.0,900.0,890.0,1
1,10,703,5,6,1,80.0,900.0,890.0,1
1,11,281,2,3,9,720.0,900.0,880.0,1
1,11,291,2,3,2,160.0,900.0,880.0,1
