alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
1.0,0,2907.115723323014,0.0,-1415.2851827872303,1465.514350100697,843.0084848591463,-117.57640743178703,-785.1641232290289,6651714.5426652655,-2597.4468797301424,-27708.594683235733,-2.448396964532251,20.0,153.0,0.8666666666666667,0.0,0.9925925925925926
0.15,3,1463.5685329026408,1037.165097363839,-412.50176337604427,408.43945021480897,4272.701328828758,-131.5473914104673,-798.3021638941143,5945549.878016494,-2484.3631372632112,-8658.088956852194,-4.192467281900905,31.0,156.0,0.6666666666666666,0.0,0.9985185185185185
1.0,3,2531.7512758017488,0.0,-1839.7822856211246,1274.7737478939832,703.8974137582456,797.7233963843761,-445.97556487987157,5774731.5687676165,-2157.9321983248474,-28346.451621588476,-2.1323242965200095,29.0,160.0,0.7333333333333333,0.0,0.9992592592592593
0.0,2,-159.0688718039318,2113.2132824994887,0.0,-287.0685168523722,2126.792704114153,287.0685168523722,-2635.1655278663125,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554,17.0,169.0,0.9333333333333333,0.0,0.9992592592592593
0.0,0,-232.9283797157414,1888.8023953902714,0.0,-256.1723948373232,1690.534252967666,208.56398481711935,-1153.2749934065246,5468503.265001035,-2072.7606239876063,-3813.2080589346406,-2.616946364569398,26.0,170.0,0.8,0.0,0.9962962962962963
0.5,2,-222.26251878661998,1752.1836975855617,0.0,-242.7001263386972,1364.0674103275019,153.3313742012249,-909.1417037177077,4939380.759992766,-1951.6111813335278,-5285.175025465859,-1.913627848619204,19.0,170.0,1.0,0.0,0.9985185185185185
0.15,2,-151.86033874252485,1919.57517356582,0.0,-260.52910850865595,1931.8776870326371,260.5291085086559,-2472.0389701095087,5482408.229861502,-2121.6900026417647,-7602.428761324896,-2.078840582730777,19.0,165.0,1.0,0.0,0.997037037037037
0.3,1,-67.0092386060783,1872.2322734166053,0.0,-235.74406283648682,1877.2554057091816,238.69312306985958,-1794.0341202819454,5461824.979187454,-2132.466735547065,-2937.6403123920704,-3.691696826151501,33.0,169.0,0.6666666666666666,0.0,0.9985185185185185
0.85,2,1280.1867671098416,0.0,-815.1434548599588,645.0588638889816,635.509198166075,-338.52750207818144,-338.6075180209524,2971739.847129111,-1111.256561042038,-19556.768542332527,-4.868196381110893,45.0,153.0,0.0,0.0,0.9562962962962963
0.0,1,-165.49188635438435,2117.2111249851787,0.0,-288.00860247607426,2086.2128856090035,282.5617727924387,-1855.1584137324112,6472577.684275832,-2364.2959221498763,-2000.959824184564,-3.940891793587825,33.0,175.0,0.7333333333333333,0.0,0.9992592592592593
