ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,490.0,0
0,0,256,2,3,3,240.0,900.0,490.0,0
0,0,293,2,3,1,90.0,900.0,490.0,0
0,1,243,2,3,4,320.0,1310.0,720.0,0
0,1,240,2,3,3,240.0,1310.0,720.0,0
0,1,291,2,3,2,160.0,1310.0,720.0,0
0,2,317,2,3,12,960.0,1490.0,1440.0,0
0,2,310,2,3,3,240.0,1490.0,1440.0,0
0,2,261,2,3,3,240.0,1490.0,1440.0,0
0,3,272,2,3,9,720.0,950.0,890.0,0
0,3,224,2,3,1,90.0,950.0,890.0,0
0,3,299,2,3,1,80.0,950.0,890.0,0
0,4,288,2,3,9,810.0,960.0,950.0,0
0,4,290,2,3,1,90.0,960.0,950.0,0
0,4,385,3,3,1,50.0,960.0,950.0,0
0,5,255,2,3,10,900.0,910.0,900.0,1
0,6,311,2,3,10,900.0,910.0,900.0,1
0,7,283,2,3,11,900.0,910.0,900.0,1
0,8,509,5,6,6,480.0,910.0,800.0,0
0,8,703,5,6,1,80.0,910.0,800.0,0
0,8,459,5,6,3,240.0,910.0,800.0,0
0,9,603,5,6,6,480.0,1010.0,960.0,1
0,9,518,5,6,6,480.0,1010.0,960.0,1
0,10,430,5,6,9,720.0,950.0,720.0,1
0,11,515,5,6,9,720.0,1130.0,720.0,1
0,12,-1,0,-1,0,0.0,1310.0,0.0,1
0,13,260,2,3,26,2180.0,2210.0,2180.0,1
0,14,-1,0,-1,0,0.0,930.0,0.0,1
1,0,313,2,3,2,160.0,900.0,490.0,0
1,0,256,2,3,3,240.0,900.0,490.0,0
1,0,293,2,3,1,90.0,900.0,490.0,0
1,1,243,2,3,4,320.0,1310.0,720.0,0
1,1,240,2,3,3,240.0,1310.0,720.0,0
1,1,291,2,3,2,160.0,1310.0,720.0,0
1,2,317,2,3,12,960.0,1490.0,1440.0,0
1,2,310,2,3,3,240.0,1490.0,1440.0,0
1,2,261,2,3,3,240.0,1490.0,1440.0,0
1,3,272,2,3,9,720.0,950.0,890.0,0
1,3,224,2,3,1,90.0,950.0,890.0,0
1,3,299,2,3,1,80.0,950.0,890.0,0
1,4,288,2,3,9,810.0,960.0,950.0,0
1,4,290,2,3,1,90.0,960.0,950.0,0
1,4,385,3,3,1,50.0,960.0,950.0,0
1,5,255,2,3,10,900.0,910.0,900.0,1
1,6,311,2,3,10,900.0,910.0,900.0,1
1,7,283,2,3,11,900.0,910.0,900.0,1
1,8,509,5,6,6,480.0,910.0,800.0,0
1,8,703,5,6,1,80.0,910.0,800.0,0
1,8,459,5,6,3,240.0,910.0,800.0,0
1,9,603,5,6,6,480.0,1010.0,960.0,1
1,9,518,5,6,6,480.0,1010.0,960.0,1
1,10,430,5,6,9,720.0,950.0,720.0,1
1,11,515,5,6,9,720.0,1130.0,720.0,1
1,12,-1,0,-1,0,0.0,1310.0,0.0,1
1,13,260,2,3,26,2180.0,2210.0,2180.0,1
1,14,-1,0,-1,0,0.0,930.0,0.0,1
2,0,313,2,3,2,160.0,900.0,490.0,0
2,0,256,2,3,3,240.0,900.0,490.0,0
2,0,293,2,3,1,90.0,900.0,490.0,0
2,1,243,2,3,4,320.0,1310.0,720.0,0
2,1,240,2,3,3,240.0,1310.0,720.0,0
2,1,291,2,3,2,160.0,1310.0,720.0,0
2,2,317,2,3,12,960.0,1490.0,1440.0,0
2,2,310,2,3,3,240.0,1490.0,1440.0,0
2,2,261,2,3,3,240.0,1490.0,1440.0,0
2,3,272,2,3,9,720.0,950.0,890.0,0
2,3,224,2,3,1,90.0,950.0,890.0,0
2,3,299,2,3,1,80.0,950.0,890.0,0
2,4,288,2,3,9,810.0,960.0,950.0,0
2,4,290,2,3,1,90.0,960.0,950.0,0
2,4,385,3,3,1,50.0,960.0,950.0,0
2,5,255,2,3,10,900.0,910.0,900.0,1
2,6,311,2,3,10,900.0,910.0,900.0,1
2,7,283,2,3,11,900.0,910.0,900.0,1
2,8,509,5,6,6,480.0,910.0,800.0,0
2,8,703,5,6,1,80.0,910.0,800.0,0
2,8,459,5,6,3,240.0,910.0,800.0,0
2,9,603,5,6,6,480.0,1010.0,960.0,1
2,9,518,5,6,6,480.0,1010.0,960.0,1
2,10,430,5,6,9,720.0,950.0,720.0,1
2,11,515,5,6,9,720.0,1130.0,720.0,1
2,12,-1,0,-1,0,0.0,1310.0,0.0,1
2,13,260,2,3,26,2180.0,2210.0,2180.0,1
2,14,-1,0,-1,0,0.0,930.0,0.0,1
3,0,313,2,3,2,160.0,900.0,490.0,0
3,0,256,2,3,3,240.0,900.0,490.0,0
3,0,293,2,3,1,90.0,900.0,490.0,0
3,1,243,2,3,4,320.0,1310.0,720.0,0
3,1,240,2,3,3,240.0,1310.0,720.0,0
3,1,291,2,3,2,160.0,1310.0,720.0,0
3,2,317,2,3,12,960.0,1490.0,1440.0,0
3,2,310,2,3,3,240.0,1490.0,1440.0,0
3,2,261,2,3,3,240.0,1490.0,1440.0,0
3,3,272,2,3,9,720.0,950.0,890.0,0
3,3,224,2,3,1,90.0,950.0,890.0,0
3,3,299,2,3,1,80.0,950.0,890.0,0
3,4,288,2,3,9,810.0,960.0,950.0,0
3,4,290,2,3,1,90.0,960.0,950.0,0
3,4,385,3,3,1,50.0,960.0,950.0,0
3,5,255,2,3,10,900.0,910.0,900.0,1
3,6,311,2,3,10,900.0,910.0,900.0,1
3,7,283,2,3,11,900.0,910.0,900.0,1
3,8,509,5,6,6,480.0,910.0,800.0,0
3,8,703,5,6,1,80.0,910.0,800.0,0
3,8,459,5,6,3,240.0,910.0,800.0,0
3,9,603,5,6,6,480.0,1010.0,960.0,1
3,9,518,5,6,6,480.0,1010.0,960.0,1
3,10,430,5,6,9,720.0,950.0,720.0,1
3,11,515,5,6,9,720.0,1130.0,720.0,1
3,12,-1,0,-1,0,0.0,1310.0,0.0,1
3,13,260,2,3,26,2180.0,2210.0,2180.0,1
3,14,-1,0,-1,0,0.0,930.0,0.0,1
4,0,313,2,3,2,160.0,900.0,490.0,0
4,0,256,2,3,3,240.0,900.0,490.0,0
4,0,293,2,3,1,90.0,900.0,490.0,0
4,1,243,2,3,4,320.0,1310.0,720.0,0
4,1,240,2,3,3,240.0,1310.0,720.0,0
4,1,291,2,3,2,160.0,1310.0,720.0,0
4,2,317,2,3,12,960.0,1490.0,1440.0,0
4,2,310,2,3,3,240.0,1490.0,1440.0,0
4,2,261,2,3,3,240.0,1490.0,1440.0,0
4,3,272,2,3,9,720.0,950.0,890.0,0
4,3,224,2,3,1,90.0,950.0,890.0,0
4,3,299,2,3,1,80.0,950.0,890.0,0
4,4,288,2,3,9,810.0,960.0,950.0,0
4,4,290,2,3,1,90.0,960.0,950.0,0
4,4,385,3,3,1,50.0,960.0,950.0,0
4,5,255,2,3,10,900.0,910.0,900.0,1
4,6,311,2,3,10,900.0,910.0,900.0,1
4,7,283,2,3,11,900.0,910.0,900.0,1
4,8,509,5,6,6,480.0,910.0,800.0,0
4,8,703,5,6,1,80.0,910.0,800.0,0
4,8,459,5,6,3,240.0,910.0,800.0,0
4,9,603,5,6,6,480.0,1010.0,960.0,1
4,9,518,5,6,6,480.0,1010.0,960.0,1
4,10,430,5,6,9,720.0,950.0,720.0,1
4,11,515,5,6,9,720.0,1130.0,720.0,1
4,12,-1,0,-1,0,0.0,1310.0,0.0,1
4,13,260,2,3,26,2180.0,2210.0,2180.0,1
4,14,-1,0,-1,0,0.0,930.0,0.0,1
