alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.5,2,2460.019835943281,0.0,-2129.816406214104,1246.7405296762308,4634.152484526822,312.79401585216107,-388.37948442038066,1857643.389217584,-2055.395623005029,-21766.326869718214,-5.697220341702257,45.0,162.0,0.0,0.0,0.9985185185185185
0.15,1,13.925042473520653,2151.6476862939485,-71.75234496652637,-227.42648932240868,2707.8964340320626,206.86116745925307,-2143.2753829785133,2286856.623013711,-2557.02453679268,-2492.1325188536002,-2.766211812227899,29.0,170.0,0.8666666666666667,0.0,0.9977777777777778
0.15,0,-232.9283797157414,1888.8023953902714,0.0,-256.1723948373232,1690.5342529676661,208.56398481711932,-1153.2749934065246,1830188.0564339783,-2077.6373737787617,-3521.2147298300706,-2.8405312423374256,21.0,171.0,1.0,0.0,1.0
0.7,2,3295.730112333521,0.0,-3135.433209186197,1670.5050380684702,4976.321582219713,1511.2122265417636,-444.0173077297724,2489052.50672202,-2707.0708720680086,-26170.228684481823,-3.2778084626962967,29.0,163.0,0.8,0.0,0.9992592592592593
0.3,4,-159.0688718039318,2113.2132824994887,0.0,-287.0685168523722,2126.7927041141534,287.0685168523722,-2635.1655278663125,2003738.2476295587,-2296.548134818978,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.15,4,1648.2365094027919,722.4778265373585,-790.0729984413562,590.2443144952343,3932.707043942435,-238.80776571721987,-562.0803186631216,1690943.9933981947,-2105.581453427418,-4040.4376000920065,-2.063846260934833,27.0,157.0,0.8,0.0,0.9992592592592593
0.15,3,133.1241288116799,1921.3545873168246,-227.00141147138092,-115.84715478797656,2642.2102477008257,252.59214398302885,-2085.009649456169,2102173.762725097,-2364.568350084724,-4545.479088329832,-4.283929117813637,35.0,171.0,0.6,0.0,0.9977777777777778
0.7,1,2466.4769393680035,0.0,-1862.163297942249,1248.4559776656256,3400.037396986442,856.559843623194,-297.50629787595625,1860199.4067217826,-2103.3210071631684,-21222.768564074733,-3.2084999615090175,26.0,161.0,0.9333333333333333,0.0,0.9977777777777778
0.3,0,1271.2265595961442,789.3007879854777,-203.79124457625815,334.7277032078329,3327.055890725124,-388.3931450552309,-661.9538471668769,1541878.7303124848,-2004.0847083428193,-3845.722943285718,-3.103170011427703,27.0,150.0,0.8,0.0,1.0
0.5,3,3160.694186932274,0.0,-2826.7686443645443,1604.0227997937698,5662.1443163495815,823.0460600174995,-458.4466473328879,2414615.3144344063,-2646.507029975669,-23298.82822548564,-3.9803584426812137,36.0,161.0,0.4666666666666667,0.0,0.9977777777777778
0.3,2,-232.9283797157414,1888.8023953902714,0.0,-256.1723948373232,1690.5342529676661,208.56398481711932,-1153.2749934065246,1827223.888858337,-2072.7606239876063,-2745.4807029131307,-2.7355554038113463,20.0,170.0,1.0,0.0,0.9962962962962963
1.0,1,2544.224832516848,0.0,-1928.4870951019614,1287.4699759948683,3080.5826496958457,1036.141277932695,-334.0889438292904,1918330.2642323538,-2167.6941044064183,-24640.14571557623,-3.084188701341997,26.0,160.0,0.9333333333333333,0.0,0.997037037037037
0.3,3,213.52045630019225,2083.0262158991404,-222.55640711499785,-97.39504273193039,2944.041721677979,154.14169177981364,-2184.372603564448,2241300.5041025495,-2573.322882969631,-3547.481662391047,-3.9521662547848293,34.0,167.0,0.7333333333333333,0.0,0.9955555555555555
1.0,2,2293.294649507595,0.0,-1753.2281829201231,1155.4806765881326,679.2817105256044,-320.0616898967255,-423.93913614081004,1721666.2081163176,-1941.724610917035,-34638.565937309155,-5.351357409358741,41.0,160.0,0.2,0.0,0.9992592592592593
0.85,4,2400.8026857954055,0.0,-1462.5922385166436,1216.676887319113,3016.815497616239,711.7433615381824,-331.3277996885824,1812848.5621054783,-2108.476609064178,-26710.71508722636,-2.631001943940884,23.0,158.0,1.0,0.0,0.997037037037037
0.0,4,-169.3102413919702,2159.7518611294263,0.0,-292.7156571302809,2173.601570183557,292.7156571302809,-2729.9839214630947,2105858.5300437543,-2379.1823916147646,-850.3161930314018,-2.164984608284873,23.0,172.0,1.0,0.0,0.997037037037037
0.7,3,2748.9450281470013,0.0,-1817.7078735302443,1391.165076817328,3274.5968175299704,879.9702959890707,-424.63304182551127,2072835.9644578192,-2386.634502925127,-25443.225035992724,-2.2200696080024036,19.0,178.0,1.0,1.0,0.9962962962962963
