ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,686,5,10,9,720.0,900.0,880.0,1
0,0,610,5,10,2,160.0,900.0,880.0,1
0,1,527,5,10,11,880.0,920.0,880.0,1
0,2,670,5,10,11,880.0,940.0,930.0,1
0,2,337,2,0,1,50.0,940.0,930.0,1
0,3,434,5,10,11,880.0,910.0,880.0,1
0,4,611,5,10,11,880.0,930.0,930.0,1
0,4,217,2,0,1,50.0,930.0,930.0,1
0,5,502,5,10,11,880.0,900.0,880.0,1
0,6,464,5,10,11,880.0,920.0,880.0,1
0,7,607,5,10,11,880.0,940.0,930.0,1
0,7,299,2,0,1,50.0,940.0,930.0,1
0,8,577,5,10,11,880.0,910.0,880.0,1
0,9,460,5,10,11,880.0,930.0,930.0,1
0,9,214,1,6,1,50.0,930.0,930.0,1
0,10,525,5,10,11,880.0,900.0,880.0,1
0,11,531,5,10,11,880.0,920.0,880.0,1
0,12,596,5,10,11,880.0,940.0,930.0,1
0,12,81,1,6,1,50.0,940.0,930.0,1
0,13,456,5,10,11,880.0,910.0,880.0,1
0,14,552,5,10,11,880.0,930.0,930.0,1
0,14,35,1,6,1,50.0,930.0,930.0,1
1,0,686,5,10,9,720.0,900.0,880.0,1
1,0,610,5,10,2,160.0,900.0,880.0,1
1,1,527,5,10,11,880.0,920.0,880.0,1
1,2,670,5,10,11,880.0,940.0,930.0,1
1,2,337,2,0,1,50.0,940.0,930.0,1
1,3,434,5,10,11,880.0,910.0,880.0,1
1,4,611,5,10,11,880.0,930.0,930.0,1
1,4,217,2,0,1,50.0,930.0,930.0,1
1,5,502,5,10,11,880.0,900.0,880.0,1
1,6,464,5,10,11,880.0,920.0,880.0,1
1,7,607,5,10,11,880.0,940.0,930.0,1
1,7,299,2,0,1,50.0,940.0,930.0,1
1,8,577,5,10,11,880.0,910.0,880.0,1
1,9,460,5,10,11,880.0,930.0,930.0,1
1,9,214,1,6,1,50.0,930.0,930.0,1
1,10,525,5,10,11,880.0,900.0,880.0,1
1,11,531,5,10,11,880.0,920.0,880.0,1
1,12,596,5,10,11,880.0,940.0,930.0,1
1,12,81,1,6,1,50.0,940.0,930.0,1
1,13,456,5,10,11,880.0,910.0,880.0,1
1,14,552,5,10,11,880.0,930.0,930.0,1
1,14,35,1,6,1,50.0,930.0,930.0,1
2,0,686,5,10,9,720.0,900.0,880.0,1
2,0,610,5,10,2,160.0,900.0,880.0,1
2,1,527,5,10,11,880.0,920.0,880.0,1
2,2,670,5,10,11,880.0,940.0,930.0,1
2,2,337,2,0,1,50.0,940.0,930.0,1
2,3,434,5,10,11,880.0,910.0,880.0,1
2,4,611,5,10,11,880.0,930.0,930.0,1
2,4,217,2,0,1,50.0,930.0,930.0,1
2,5,502,5,10,11,880.0,900.0,880.0,1
2,6,464,5,10,11,880.0,920.0,880.0,1
2,7,607,5,10,11,880.0,940.0,930.0,1
2,7,299,2,0,1,50.0,940.0,930.0,1
2,8,577,5,10,11,880.0,910.0,880.0,1
2,9,460,5,10,11,880.0,930.0,930.0,1
2,9,214,1,6,1,50.0,930.0,930.0,1
2,10,525,5,10,11,880.0,900.0,880.0,1
2,11,531,5,10,11,880.0,920.0,880.0,1
2,12,596,5,10,11,880.0,940.0,930.0,1
2,12,81,1,6,1,50.0,940.0,930.0,1
2,13,456,5,10,11,880.0,910.0,880.0,1
2,14,552,5,10,11,880.0,930.0,930.0,1
2,14,35,1,6,1,50.0,930.0,930.0,1
3,0,686,5,10,9,720.0,900.0,880.0,1
3,0,610,5,10,2,160.0,900.0,880.0,1
3,1,527,5,10,11,880.0,920.0,880.0,1
3,2,670,5,10,11,880.0,940.0,930.0,1
3,2,337,2,0,1,50.0,940.0,930.0,1
3,3,434,5,10,11,880.0,910.0,880.0,1
3,4,611,5,10,11,880.0,930.0,930.0,1
3,4,217,2,0,1,50.0,930.0,930.0,1
3,5,502,5,10,11,880.0,900.0,880.0,1
3,6,464,5,10,11,880.0,920.0,880.0,1
3,7,607,5,10,11,880.0,940.0,930.0,1
3,7,299,2,0,1,50.0,940.0,930.0,1
3,8,577,5,10,11,880.0,910.0,880.0,1
3,9,460,5,10,11,880.0,930.0,930.0,1
3,9,214,1,6,1,50.0,930.0,930.0,1
3,10,525,5,10,11,880.0,900.0,880.0,1
3,11,531,5,10,11,880.0,920.0,880.0,1
3,12,596,5,10,11,880.0,940.0,930.0,1
3,12,81,1,6,1,50.0,940.0,930.0,1
3,13,456,5,10,11,880.0,910.0,880.0,1
3,14,552,5,10,11,880.0,930.0,930.0,1
3,14,35,1,6,1,50.0,930.0,930.0,1
4,0,686,5,10,9,720.0,900.0,880.0,1
4,0,610,5,10,2,160.0,900.0,880.0,1
4,1,527,5,10,11,880.0,920.0,880.0,1
4,2,670,5,10,11,880.0,940.0,930.0,1
4,2,337,2,0,1,50.0,940.0,930.0,1
4,3,434,5,10,11,880.0,910.0,880.0,1
4,4,611,5,10,11,880.0,930.0,930.0,1
4,4,217,2,0,1,50.0,930.0,930.0,1
4,5,502,5,10,11,880.0,900.0,880.0,1
4,6,464,5,10,11,880.0,920.0,880.0,1
4,7,607,5,10,11,880.0,940.0,930.0,1
4,7,299,2,0,1,50.0,940.0,930.0,1
4,8,577,5,10,11,880.0,910.0,880.0,1
4,9,460,5,10,11,880.0,930.0,930.0,1
4,9,214,1,6,1,50.0,930.0,930.0,1
4,10,525,5,10,11,880.0,900.0,880.0,1
4,11,531,5,10,11,880.0,920.0,880.0,1
4,12,596,5,10,11,880.0,940.0,930.0,1
4,12,81,1,6,1,50.0,940.0,930.0,1
4,13,456,5,10,11,880.0,910.0,880.0,1
4,14,552,5,10,11,880.0,930.0,930.0,1
4,14,35,1,6,1,50.0,930.0,930.0,1
