ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,265,2,3,1,90.0,900.0,270.0,0
0,0,218,2,3,1,90.0,900.0,270.0,0
0,0,225,2,3,1,90.0,900.0,270.0,0
0,1,241,2,3,1,90.0,1530.0,250.0,0
0,1,337,2,3,1,80.0,1530.0,250.0,0
0,1,217,2,3,1,80.0,1530.0,250.0,0
0,2,299,2,3,1,80.0,2180.0,260.0,0
0,2,309,2,3,1,90.0,2180.0,260.0,0
0,2,290,2,3,1,90.0,2180.0,260.0,0
0,3,262,2,3,2,180.0,2820.0,450.0,0
0,3,224,2,3,1,90.0,2820.0,450.0,0
0,3,269,2,3,2,180.0,2820.0,450.0,0
0,4,298,2,3,3,240.0,3270.0,640.0,0
0,4,263,2,3,2,160.0,3270.0,640.0,0
0,4,295,2,3,3,240.0,3270.0,640.0,0
0,5,294,2,3,3,240.0,3530.0,690.0,0
0,5,289,2,3,2,180.0,3530.0,690.0,0
0,5,246,2,3,3,270.0,3530.0,690.0,0
0,6,334,2,3,3,270.0,3740.0,900.0,0
0,6,237,2,3,4,360.0,3740.0,900.0,0
0,6,308,2,3,3,270.0,3740.0,900.0,0
0,7,266,2,3,5,400.0,3740.0,1170.0,0
0,7,273,2,3,4,320.0,3740.0,1170.0,0
0,7,338,2,3,5,450.0,3740.0,1170.0,0
0,8,320,2,3,4,360.0,3470.0,1080.0,0
0,8,257,2,3,6,480.0,3470.0,1080.0,0
0,8,261,2,3,3,240.0,3470.0,1080.0,0
0,9,280,2,3,7,560.0,3290.0,1630.0,0
0,9,232,2,3,7,630.0,3290.0,1630.0,0
0,9,244,2,3,5,440.0,3290.0,1630.0,0
0,10,251,2,3,7,630.0,2560.0,1890.0,0
0,10,330,2,3,7,630.0,2560.0,1890.0,0
0,10,328,2,3,7,630.0,2560.0,1890.0,0
0,11,288,2,3,9,810.0,1570.0,1530.0,1
0,11,324,2,3,8,720.0,1570.0,1530.0,1
0,12,255,2,3,10,900.0,940.0,900.0,1
0,13,311,2,3,10,900.0,940.0,900.0,1
0,14,272,2,3,9,720.0,940.0,930.0,0
0,14,291,2,3,2,160.0,940.0,930.0,0
0,14,355,3,3,1,50.0,940.0,930.0,0
1,0,265,2,3,1,90.0,900.0,270.0,0
1,0,218,2,3,1,90.0,900.0,270.0,0
1,0,225,2,3,1,90.0,900.0,270.0,0
1,1,241,2,3,1,90.0,1530.0,250.0,0
1,1,337,2,3,1,80.0,1530.0,250.0,0
1,1,217,2,3,1,80.0,1530.0,250.0,0
1,2,299,2,3,1,80.0,2180.0,260.0,0
1,2,309,2,3,1,90.0,2180.0,260.0,0
1,2,290,2,3,1,90.0,2180.0,260.0,0
1,3,262,2,3,2,180.0,2820.0,450.0,0
1,3,224,2,3,1,90.0,2820.0,450.0,0
1,3,269,2,3,2,180.0,2820.0,450.0,0
1,4,298,2,3,3,240.0,3270.0,640.0,0
1,4,263,2,3,2,160.0,3270.0,640.0,0
1,4,295,2,3,3,240.0,3270.0,640.0,0
1,5,294,2,3,3,240.0,3530.0,690.0,0
1,5,289,2,3,2,180.0,3530.0,690.0,0
1,5,246,2,3,3,270.0,3530.0,690.0,0
1,6,334,2,3,3,270.0,3740.0,900.0,0
1,6,237,2,3,4,360.0,3740.0,900.0,0
1,6,308,2,3,3,270.0,3740.0,900.0,0
1,7,266,2,3,5,400.0,3740.0,1170.0,0
1,7,273,2,3,4,320.0,3740.0,1170.0,0
1,7,338,2,3,5,450.0,3740.0,1170.0,0
1,8,320,2,3,4,360.0,3470.0,1080.0,0
1,8,257,2,3,6,480.0,3470.0,1080.0,0
1,8,261,2,3,3,240.0,3470.0,1080.0,0
1,9,280,2,3,7,560.0,3290.0,1630.0,0
1,9,232,2,3,7,630.0,3290.0,1630.0,0
1,9,244,2,3,5,440.0,3290.0,1630.0,0
1,10,251,2,3,7,630.0,2560.0,1890.0,0
1,10,330,2,3,7,630.0,2560.0,1890.0,0
1,10,328,2,3,7,630.0,2560.0,1890.0,0
1,11,288,2,3,9,810.0,1570.0,1530.0,1
1,11,324,2,3,8,720.0,1570.0,1530.0,1
1,12,255,2,3,10,900.0,940.0,900.0,1
1,13,311,2,3,10,900.0,940.0,900.0,1
1,14,272,2,3,9,720.0,940.0,930.0,0
1,14,291,2,3,2,160.0,940.0,930.0,0
1,14,355,3,3,1,50.0,940.0,930.0,0
2,0,265,2,3,1,90.0,900.0,270.0,0
2,0,218,2,3,1,90.0,900.0,270.0,0
2,0,225,2,3,1,90.0,900.0,270.0,0
2,1,241,2,3,1,90.0,1530.0,250.0,0
2,1,337,2,3,1,80.0,1530.0,250.0,0
2,1,217,2,3,1,80.0,1530.0,250.0,0
2,2,299,2,3,1,80.0,2180.0,260.0,0
2,2,309,2,3,1,90.0,2180.0,260.0,0
2,2,290,2,3,1,90.0,2180.0,260.0,0
2,3,262,2,3,2,180.0,2820.0,450.0,0
2,3,224,2,3,1,90.0,2820.0,450.0,0
2,3,269,2,3,2,180.0,2820.0,450.0,0
2,4,298,2,3,3,240.0,3270.0,640.0,0
2,4,263,2,3,2,160.0,3270.0,640.0,0
2,4,295,2,3,3,240.0,3270.0,640.0,0
2,5,294,2,3,3,240.0,3530.0,690.0,0
2,5,289,2,3,2,180.0,3530.0,690.0,0
2,5,246,2,3,3,270.0,3530.0,690.0,0
2,6,334,2,3,3,270.0,3740.0,900.0,0
2,6,237,2,3,4,360.0,3740.0,900.0,0
2,6,308,2,3,3,270.0,3740.0,900.0,0
2,7,266,2,3,5,400.0,3740.0,1170.0,0
2,7,273,2,3,4,320.0,3740.0,1170.0,0
2,7,338,2,3,5,450.0,3740.0,1170.0,0
2,8,320,2,3,4,360.0,3470.0,1080.0,0
2,8,257,2,3,6,480.0,3470.0,1080.0,0
2,8,261,2,3,3,240.0,3470.0,1080.0,0
2,9,280,2,3,7,560.0,3290.0,1630.0,0
2,9,232,2,3,7,630.0,3290.0,1630.0,0
2,9,244,2,3,5,440.0,3290.0,1630.0,0
2,10,251,2,3,7,630.0,2560.0,1890.0,0
2,10,330,2,3,7,630.0,2560.0,1890.0,0
2,10,328,2,3,7,630.0,2560.0,1890.0,0
2,11,288,2,3,9,810.0,1570.0,1530.0,1
2,11,324,2,3,8,720.0,1570.0,1530.0,1
2,12,255,2,3,10,900.0,940.0,900.0,1
2,13,311,2,3,10,900.0,940.0,900.0,1
