alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.5,3,4111.072678703333,376.7439160126377,-3299.220965431204,1931.8773184108372,7599.454757736991,1472.6636333971599,-748.8457086369766,3515917.719300741,-4030.2030308750864,-31136.50664700947,-4.712321978753724,39.0,268.0,0.3333333333333333,0.0,1.0
0.85,1,3831.3918226928886,0.0,-2055.988685678766,1941.3234337352565,1817.0275211501478,-468.09152849993905,-663.3456503544237,2892571.916265532,-3410.5605242750344,-21981.788825601478,-2.3542793844849483,24.0,257.0,0.9333333333333333,0.0,0.9986666666666667
0.85,4,3881.1664971951586,0.0,-2920.7792593859313,1970.1422026954074,2403.003516807464,1158.2628585164239,-467.55839427799475,3481962.2423571283,-3648.578955660521,-21575.063833183314,-3.1724319259191667,32.0,302.0,0.5333333333333333,0.0,1.0
0.3,3,-179.48618411749422,3364.4642251843643,0.0,-433.73653594983017,3494.6649329159263,434.5332428630829,-3345.036105940446,3243923.476963282,-3736.5242986543626,-1573.9320030208075,-6.393524469791489,45.0,273.0,0.0,0.0,0.9786666666666667
1.0,3,4403.609945741611,0.0,-1877.6797155923427,2220.4665573151588,770.1710789376714,-1515.4069342965447,-1296.7108615427526,3446199.1490347125,-4062.2158327835377,-29650.28471481309,-4.146291689380763,41.0,256.0,0.2,0.0,0.9995555555555555
0.0,1,-438.7263696173283,3480.3577968114905,0.0,-477.7736255946341,3041.5920739577173,383.41069436782044,-1989.9582715461306,3334859.9066505455,-3822.1890047570732,-6102.997352571272,-5.200710378291274,42.0,282.0,0.2,0.0,0.9988888888888889
0.3,1,-276.8403979421469,3724.718367707933,0.0,-502.68432675730435,3706.431747843908,495.49857280756424,-3823.795826373704,3590135.5212219544,-4070.1000145697667,-750.28365037886,-4.657728466655575,34.0,282.0,0.7333333333333333,0.0,1.0
1.0,0,4397.862385899789,0.0,-2520.5648006869133,2216.3469954880725,1259.644818796842,567.1619256584038,-817.2636930017749,3431317.77434525,-3941.8808768661715,-32069.2933391547,-1.7315969245325047,25.0,258.0,1.0,0.0,0.9991111111111111
0.0,2,-281.6262366800472,3495.255616756162,0.0,-473.62276788746533,3493.0943498789284,470.17310908782946,-3579.9562730924054,3305886.9198545073,-3788.9821430997226,-396.98712599285534,-5.236301539447835,40.0,281.0,0.3333333333333333,0.0,0.9991111111111111
0.0,0,2327.3427809758223,1755.0436108923088,0.0,482.864517922877,5866.060843720198,-462.8914044920968,-1471.894164261386,3192555.7694348902,-4227.797971805447,-5904.155529638339,-5.149432380327414,38.0,250.0,0.4666666666666667,0.0,0.9977777777777778
0.85,0,4358.718639299751,0.0,-2980.147716855855,2195.934485795008,1057.6281683039347,1245.2984017053745,-648.921696707576,3333952.543294472,-3785.825159070544,-36905.96286174886,-3.2267327109874664,29.0,261.0,0.8,0.0,0.9995555555555555
0.7,4,5381.446159239988,0.0,-3832.1818659792552,2732.564061077672,6667.736032404611,717.4237128900065,-647.4124485896596,4071520.4510057317,-4644.260207086956,-27774.001818167882,-3.637593370671889,36.0,266.0,0.4,0.0,0.9977777777777778
0.5,4,4540.7607283692705,0.0,-3255.793097334843,2306.1661404294377,7255.334786385662,414.66962627230504,-672.0518662415299,3436187.549239862,-3915.955688607772,-29985.485993167174,-4.689025346623739,41.0,262.0,0.2,0.0,0.9955555555555555
0.7,1,5136.539134187469,0.0,-3522.5741319819235,2599.9205953163396,2067.9961095161407,1700.69731160297,-786.0809382012596,3926867.6424692594,-4471.069765416224,-35122.22025057531,-2.8050350510334,29.0,286.0,0.7333333333333333,0.0,0.9986666666666667
0.7,2,4684.728291289536,0.0,-3808.6759212488423,2371.9860118674214,4598.663607145321,1392.4951791887381,-406.1022605178999,3605910.1773920893,-3993.8625845214615,-27707.092240417656,-3.210972731854855,29.0,267.0,0.8,0.0,0.9995555555555555
0.0,4,-274.837500418084,3954.681207806863,0.0,-536.2661146315528,3980.3580530912177,536.2661146315527,-3500.644374757757,3743137.4801282384,-4290.128917052422,0.0,-3.239353264403332,27.0,278.0,0.8666666666666667,0.0,0.9884444444444445
1.0,4,4101.794920262128,0.0,-4137.263922759552,2078.8703630407517,4003.6227054719625,2278.640584176173,-381.9689688212135,3174950.080843343,-3375.8617971372746,-28494.061597819546,-4.6509672305439125,39.0,267.0,0.3333333333333333,0.0,0.8435555555555555
