ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,267,2,3,18,1470.0,1500.0,1470.0,1
0,1,223,2,3,17,1530.0,1530.0,1530.0,1
0,2,268,2,3,18,1440.0,1500.0,1440.0,1
0,3,323,2,3,17,1530.0,1560.0,1530.0,1
0,4,319,2,3,17,1530.0,1530.0,1530.0,1
0,5,329,2,3,16,1440.0,1500.0,1440.0,1
0,6,302,2,3,17,1510.0,1560.0,1510.0,1
0,7,230,2,3,16,1430.0,1550.0,1520.0,1
0,7,293,2,3,1,90.0,1550.0,1520.0,1
0,8,229,2,3,16,1410.0,1530.0,1500.0,1
0,8,224,2,3,1,90.0,1530.0,1500.0,1
0,9,276,2,3,16,1280.0,1530.0,1530.0,0
0,9,313,2,3,2,160.0,1530.0,1530.0,0
0,9,290,2,3,1,90.0,1530.0,1530.0,0
0,10,327,2,3,15,1350.0,1500.0,1440.0,1
0,10,309,2,3,1,90.0,1500.0,1440.0,1
0,11,322,2,3,15,1350.0,1560.0,1510.0,1
0,11,291,2,3,2,160.0,1560.0,1510.0,1
0,12,270,2,3,15,1340.0,1550.0,1520.0,1
0,12,289,2,3,2,180.0,1550.0,1520.0,1
0,13,316,2,3,15,1350.0,1530.0,1530.0,1
0,13,269,2,3,2,180.0,1530.0,1530.0,1
0,14,220,2,3,14,1230.0,1500.0,1470.0,1
0,14,256,2,3,3,240.0,1500.0,1470.0,1
1,0,267,2,3,18,1470.0,1500.0,1470.0,1
1,1,223,2,3,17,1530.0,1530.0,1530.0,1
1,2,268,2,3,18,1440.0,1500.0,1440.0,1
1,3,323,2,3,17,1530.0,1560.0,1530.0,1
1,4,319,2,3,17,1530.0,1530.0,1530.0,1
1,5,329,2,3,16,1440.0,1500.0,1440.0,1
1,6,302,2,3,17,1510.0,1560.0,1510.0,1
1,7,230,2,3,16,1430.0,1550.0,1520.0,1
1,7,293,2,3,1,90.0,1550.0,1520.0,1
1,8,229,2,3,16,1410.0,1530.0,1500.0,1
1,8,224,2,3,1,90.0,1530.0,1500.0,1
1,9,276,2,3,16,1280.0,1530.0,1530.0,0
1,9,313,2,3,2,160.0,1530.0,1530.0,0
1,9,290,2,3,1,90.0,1530.0,1530.0,0
1,10,327,2,3,15,1350.0,1500.0,1440.0,1
1,10,309,2,3,1,90.0,1500.0,1440.0,1
1,11,322,2,3,15,1350.0,1560.0,1510.0,1
1,11,291,2,3,2,160.0,1560.0,1510.0,1
1,12,270,2,3,15,1340.0,1550.0,1520.0,1
1,12,289,2,3,2,180.0,1550.0,1520.0,1
1,13,316,2,3,15,1350.0,1530.0,1530.0,1
1,13,269,2,3,2,180.0,1530.0,1530.0,1
1,14,220,2,3,14,1230.0,1500.0,1470.0,1
1,14,256,2,3,3,240.0,1500.0,1470.0,1
2,0,267,2,3,18,1470.0,1500.0,1470.0,1
2,1,223,2,3,17,1530.0,1530.0,1530.0,1
2,2,268,2,3,18,1440.0,1500.0,1440.0,1
2,3,323,2,3,17,1530.0,1560.0,1530.0,1
2,4,319,2,3,17,1530.0,1530.0,1530.0,1
2,5,329,2,3,16,1440.0,1500.0,1440.0,1
2,6,302,2,3,17,1510.0,1560.0,1510.0,1
2,7,230,2,3,16,1430.0,1550.0,1520.0,1
2,7,293,2,3,1,90.0,1550.0,1520.0,1
2,8,229,2,3,16,1410.0,1530.0,1500.0,1
2,8,224,2,3,1,90.0,1530.0,1500.0,1
2,9,276,2,3,16,1280.0,1530.0,1530.0,0
2,9,313,2,3,2,160.0,1530.0,1530.0,0
2,9,290,2,3,1,90.0,1530.0,1530.0,0
2,10,327,2,3,15,1350.0,1500.0,1440.0,1
2,10,309,2,3,1,90.0,1500.0,1440.0,1
2,11,322,2,3,15,1350.0,1560.0,1510.0,1
2,11,291,2,3,2,160.0,1560.0,1510.0,1
