ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,679,5,10,2,160.0,1500.0,560.0,0
0,0,608,5,10,3,240.0,1500.0,560.0,0
0,0,610,5,10,2,160.0,1500.0,560.0,0
0,1,448,5,10,4,320.0,2440.0,640.0,0
0,1,615,5,10,2,160.0,2440.0,640.0,0
0,1,701,5,10,2,160.0,2440.0,640.0,0
0,2,616,5,10,2,160.0,3300.0,1120.0,0
0,2,686,5,10,9,720.0,3300.0,1120.0,0
0,2,665,5,10,3,240.0,3300.0,1120.0,0
0,3,527,5,10,11,880.0,3680.0,2320.0,0
0,3,653,5,10,9,720.0,3680.0,2320.0,0
0,3,685,5,10,9,720.0,3680.0,2320.0,0
0,4,498,5,10,9,720.0,2860.0,2080.0,0
0,4,613,5,10,9,720.0,2860.0,2080.0,0
0,4,475,5,10,8,640.0,2860.0,2080.0,0
0,5,670,5,10,11,880.0,2280.0,2240.0,0
0,5,447,5,10,10,800.0,2280.0,2240.0,0
0,5,632,5,10,7,560.0,2280.0,2240.0,0
0,6,656,5,10,7,560.0,1540.0,1440.0,0
0,6,505,5,10,10,800.0,1540.0,1440.0,0
0,6,703,5,10,1,80.0,1540.0,1440.0,0
0,7,696,5,10,8,640.0,1600.0,1520.0,0
0,7,487,5,10,8,640.0,1600.0,1520.0,0
0,7,459,5,10,3,240.0,1600.0,1520.0,0
0,8,496,5,10,10,800.0,1580.0,1525.0,0
0,8,625,5,10,8,640.0,1580.0,1525.0,0
0,8,214,1,1,1,85.0,1580.0,1525.0,0
0,9,497,5,10,12,960.0,1555.0,1520.0,1
0,9,644,5,10,7,560.0,1555.0,1520.0,1
0,10,617,5,10,12,960.0,1535.0,1520.0,1
0,10,673,5,10,7,560.0,1535.0,1520.0,1
0,11,506,5,10,12,960.0,1515.0,1490.0,0
0,11,672,5,10,6,480.0,1515.0,1490.0,0
0,11,81,1,6,1,50.0,1515.0,1490.0,0
0,12,630,5,10,10,800.0,1525.0,1520.0,1
0,12,622,5,10,9,720.0,1525.0,1520.0,1
0,13,682,5,10,10,800.0,1505.0,1490.0,0
0,13,640,5,10,8,640.0,1505.0,1490.0,0
0,13,265,2,1,1,50.0,1505.0,1490.0,0
0,14,634,5,10,9,720.0,1515.0,1490.0,0
0,14,643,5,10,9,720.0,1515.0,1490.0,0
0,14,218,2,1,1,50.0,1515.0,1490.0,0
1,0,679,5,10,2,160.0,1500.0,560.0,0
1,0,608,5,10,3,240.0,1500.0,560.0,0
1,0,610,5,10,2,160.0,1500.0,560.0,0
1,1,448,5,10,4,320.0,2440.0,640.0,0
1,1,615,5,10,2,160.0,2440.0,640.0,0
1,1,701,5,10,2,160.0,2440.0,640.0,0
1,2,616,5,10,2,160.0,3300.0,1120.0,0
1,2,686,5,10,9,720.0,3300.0,1120.0,0
1,2,665,5,10,3,240.0,3300.0,1120.0,0
1,3,527,5,10,11,880.0,3680.0,2320.0,0
1,3,653,5,10,9,720.0,3680.0,2320.0,0
1,3,685,5,10,9,720.0,3680.0,2320.0,0
1,4,498,5,10,9,720.0,2860.0,2080.0,0
1,4,613,5,10,9,720.0,2860.0,2080.0,0
1,4,475,5,10,8,640.0,2860.0,2080.0,0
1,5,670,5,10,11,880.0,2280.0,2240.0,0
1,5,447,5,10,10,800.0,2280.0,2240.0,0
1,5,632,5,10,7,560.0,2280.0,2240.0,0
1,6,656,5,10,7,560.0,1540.0,1440.0,0
1,6,505,5,10,10,800.0,1540.0,1440.0,0
1,6,703,5,10,1,80.0,1540.0,1440.0,0
1,7,696,5,10,8,640.0,1600.0,1520.0,0
1,7,487,5,10,8,640.0,1600.0,1520.0,0
1,7,459,5,10,3,240.0,1600.0,1520.0,0
1,8,496,5,10,10,800.0,1580.0,1525.0,0
1,8,625,5,10,8,640.0,1580.0,1525.0,0
1,8,214,1,1,1,85.0,1580.0,1525.0,0
1,9,497,5,10,12,960.0,1555.0,1520.0,1
1,9,644,5,10,7,560.0,1555.0,1520.0,1
1,10,617,5,10,12,960.0,1535.0,1520.0,1
1,10,673,5,10,7,560.0,1535.0,1520.0,1
1,11,506,5,10,12,960.0,1515.0,1490.0,0
1,11,672,5,10,6,480.0,1515.0,1490.0,0
1,11,81,1,6,1,50.0,1515.0,1490.0,0
1,12,630,5,10,10,800.0,1525.0,1520.0,1
1,12,622,5,10,9,720.0,1525.0,1520.0,1
