alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-312.18977883455307,4335.954755418132,0.0,-584.2770000372641,4364.108248439436,584.2770000372641,-4405.56150739891,4078253.4602601035,-4674.216000298113,0.0,-1.8491204130956678,14.0,168.0,1.0,1.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,1,-337.9033493184008,4255.104070386192,0.0,-574.9273113688517,4282.7921543418615,574.9273113688517,-4613.818152461723,4012992.6333545847,-4599.418490950814,0.0,-2.0402324602342787,15.0,167.0,1.0,0.0,0.9896296296296296,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,2,-237.9040430643296,4210.782831732666,-9.54150604970162,-541.5349301155344,4248.608716997916,552.6891945965087,-4483.232007222715,4012375.6912844577,-4611.083188888612,-1437.294536267576,-2.830755327276605,20.0,168.0,1.0,0.0,0.9985185185185185,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,3,-344.5047330825436,4269.109391595576,0.0,-576.8702154468253,4296.8950615868125,576.8702154468253,-4690.9215498577205,4026554.1038188413,-4614.961723574603,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,4,-498.99519012741564,4007.22327646808,0.0,-546.4814528576246,3605.6840662718146,451.17510482435154,-3413.3169925881034,3814440.540946219,-4371.851622860997,-4476.083536711015,-2.4659892569357167,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,0,2523.313476247822,1913.5690837289944,0.0,506.3489552219454,5746.781382342199,-475.1824660315274,-1833.154815497042,3333643.9486872503,-4416.781739605817,-4711.6601690409,-3.2359722034663263,21.0,148.0,1.0,0.0,0.9903703703703703,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,1,-505.4336182999352,4045.3269532183403,0.0,-552.1237479308191,3653.5670916211648,461.64309684096344,-3328.5218616318903,3853823.7605571174,-4416.989983446554,-4476.083536711015,-2.5370587107562605,16.0,167.0,1.0,0.0,0.9896296296296296,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,2,-362.01688900193915,4206.549293149922,0.0,-574.8886513223123,4234.222278915893,574.8886513223123,-4604.896715596646,4158905.462759248,-4686.434584849411,-2193.844814603678,-3.0442789022622865,21.0,171.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,3,-310.7803724553827,4285.556879324578,0.0,-577.5164802403809,4313.375677674021,577.5164802403809,-4315.17770454553,4031065.032077859,-4620.131841923047,0.0,-2.3040522361619447,16.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,4,-337.68223239279575,4276.714524915993,0.0,-578.6141598378623,4304.586707088791,578.6141598378623,-4620.4497800988665,4038726.8356682793,-4628.913278702898,0.0,-2.044204603418861,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,0,2594.919574577851,1851.144906402009,0.0,511.3809355890682,4925.087997634202,-419.3017753601076,-2483.009095741997,3487617.9807174457,-4602.428420301614,-12386.928213474137,-2.1417936658245753,15.0,150.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,1,-20.930570647532342,3692.368246437657,0.0,-426.0590259283448,4035.78876298211,436.0614025872452,-4018.3032803951014,3717524.115672166,-4271.961095964796,-2882.3529267184394,-4.221097337074034,24.0,168.0,0.9333333333333333,0.0,0.9977777777777778,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,2,-300.49230552554263,4153.102815186428,0.0,-560.1482721225798,4180.060884093363,560.1482721225798,-4272.86192330714,3909834.9394156067,-4481.186176980638,0.0,-2.203617005470482,15.0,167.0,1.0,0.0,0.9896296296296296,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,3,2467.393585113552,1757.3128895346993,0.0,487.1242817639616,5455.178505463859,-452.56869319212126,-2212.696449835523,3322187.6016302174,-4384.118535875654,-5291.827138692116,-2.885809399100465,19.0,150.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
