policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,2980.713041491611,255.16792501206254,-2680.315748671436,1451.4087727023896,375.10791118412556,297.1014124246101,-146.89627396102253,2498888.2309412844,-2718.6943172448846,-29508.772761980737,-7.276895939672855,36,9,23,13,9000.0,0.25,0.6388888888888888
myopic,1,2709.389690303119,83.59900126385185,-2605.860186784843,1345.219011453476,152.97012256655754,623.1305271911232,-82.54148279755267,2265749.7204179633,-2392.8010322994314,-28850.13226804737,-9.004454626650496,36,10,20,16,9000.0,0.2777777777777778,0.5555555555555556
myopic,2,3202.1147927913844,153.54209035107547,-3047.686721982637,1594.6001547939325,268.16317979772947,399.0046220926042,-167.9300014396051,2706939.1887033954,-2882.284516579946,-39104.10962649806,-5.280876861043043,36,9,27,9,9000.0,0.25,0.75
myopic,3,2903.898129636032,215.4242012164241,-2735.7973103819804,1424.3737658116247,258.57357032417247,601.5451296263413,23.26793607659569,2553931.443100399,-2723.6167923312482,-35632.88435251344,-7.017281496537064,36,10,23,13,9000.0,0.2777777777777778,0.6388888888888888
myopic,4,2424.867184426393,107.16104485380345,-2363.216084222355,1207.3841267043658,195.5835795538999,996.7863955191358,-148.3627384259204,2099165.574544316,-2199.056080694237,-30537.49411112641,-7.990695762726738,36,9,22,14,9000.0,0.25,0.6111111111111112
greedy_crh,0,698.4018916069417,112.8010998461089,-648.5685428443885,335.329392327618,121.4491369184727,272.64399342358206,112.27650862320783,732064.5106454499,-762.5683419572063,-9300.95235877232,-3.465963100427733,13,8,8,5,3000.0,0.6153846153846154,0.6153846153846154
greedy_crh,1,1028.6223648118455,78.06662494243444,-1010.7567077401086,512.5332602939529,117.61266665634813,111.63807597481133,85.8718840622932,941597.6003759516,-981.3942888157452,-7707.51091370958,-3.5395690121074206,13,7,8,5,3000.0,0.5384615384615384,0.6153846153846154
greedy_crh,2,659.8582831292453,102.8360240813694,-646.8349205068356,317.445059284515,115.82582792089097,-299.9487783974003,122.15070020858664,645757.6343615178,-685.5483636731624,-8111.59609604129,-4.0926289371855455,13,7,7,6,3000.0,0.5384615384615384,0.5384615384615384
greedy_crh,3,724.5980214982096,117.59336662996935,-712.3083629776443,348.5737737858055,125.10046879483795,99.60004557152281,123.85319323937605,709683.9566430924,-755.6259723070698,-12199.169312728438,-4.202989443396483,13,7,7,6,3000.0,0.5384615384615384,0.5384615384615384
greedy_crh,4,414.8855448733702,107.16104485380345,-402.86413008913075,194.86092713642418,108.4188998172755,55.8560098406399,93.32629719175878,506503.476353661,-518.055830567033,-4100.7195262592895,-4.27466090273242,13,7,7,6,3000.0,0.5384615384615384,0.5384615384615384
frontload,0,698.4018916069417,112.8010998461089,-648.5685428443885,335.329392327618,121.4491369184727,272.64399342358206,112.27650862320783,732064.5106454499,-762.5683419572063,-9300.95235877232,-3.465963100427733,13,8,8,5,3000.0,0.6153846153846154,0.6153846153846154
frontload,1,1028.6223648118455,78.06662494243444,-1010.7567077401086,512.5332602939529,117.61266665634813,111.63807597481133,85.8718840622932,941597.6003759516,-981.3942888157452,-7707.51091370958,-3.5395690121074206,13,7,8,5,3000.0,0.5384615384615384,0.6153846153846154
frontload,2,659.8582831292453,102.8360240813694,-646.8349205068356,317.445059284515,115.82582792089097,-299.9487783974003,122.15070020858664,645757.6343615178,-685.5483636731624,-8111.59609604129,-4.0926289371855455,13,7,7,6,3000.0,0.5384615384615384,0.5384615384615384
frontload,3,724.5980214982096,117.59336662996935,-712.3083629776443,348.5737737858055,125.10046879483795,99.60004557152281,123.85319323937605,709683.9566430924,-755.6259723070698,-12199.169312728438,-4.202989443396483,13,7,7,6,3000.0,0.5384615384615384,0.5384615384615384
frontload,4,414.8855448733702,107.16104485380345,-402.86413008913075,194.86092713642418,108.4188998172755,55.8560098406399,93.32629719175878,506503.476353661,-518.055830567033,-4100.7195262592895,-4.27466090273242,13,7,7,6,3000.0,0.5384615384615384,0.5384615384615384
evenspread,0,3002.3275103637343,78.06662494243444,-2969.7203490295215,1506.3931217298025,161.45524407308235,1216.2166973055594,36.00119664941938,2336062.750227456,-2524.758181255008,-20091.221929291733,-2.6297902616834343,15,5,10,5,8240.0,0.3333333333333333,0.6666666666666666
evenspread,1,3374.5120718790586,0.0,-3211.7288919852726,1699.3769042158303,111.07301174946959,1505.0004847864377,-78.13405609626972,2532071.5872815875,-2750.17386615306,-21189.114025283714,-3.4230629105848696,15,4,9,6,8240.0,0.26666666666666666,0.6
evenspread,2,2600.8742122217345,0.0,-2491.228709339697,1309.242208669641,87.40227661754977,863.2095938003997,14.265104484668852,1950770.8909177654,-2115.996818538023,-20202.55793111777,-2.9022966448373753,15,5,9,6,8240.0,0.3333333333333333,0.6
evenspread,3,2466.2847195405584,82.1753946762468,-2388.1324072647312,1236.4630901481178,162.90782337582058,703.3049556453641,81.61118032920976,1938684.739952328,-2105.474858074496,-17708.283192449162,-2.570147021163134,15,4,10,5,8240.0,0.26666666666666666,0.6666666666666666
evenspread,4,3010.233902504798,0.0,-2852.900512415356,1514.936099973025,104.30757472353686,927.0267793475235,-38.850302846054575,2257254.7889598077,-2453.3930412119557,-19941.861095813456,-3.2109338360794375,15,4,9,6,8240.0,0.26666666666666666,0.6
backload,0,839.1431400366631,51.790993988591325,-827.5031967270185,418.49830946908486,74.39378924020538,283.62235856918693,57.63583841474851,684289.9963649435,-742.3987354375581,-7361.1073852123845,-2.385376512425405,13,0,7,6,4150.0,0.0,0.5384615384615384
backload,1,1119.5412722825497,13.706683670691653,-1085.0673876911865,557.4391611457379,42.48694926598563,452.83333055648234,-25.988135129044032,876771.4074858243,-938.3808293654513,-9960.738816572019,-2.1170121717851798,13,0,8,5,4150.0,0.0,0.6153846153846154
backload,2,957.616834278141,61.57172630192331,-929.9780230903033,473.329544022873,75.79363061783135,694.4967744770508,19.69952964934711,808701.5061547012,-867.6568095109573,-8748.258133031391,-2.096106155024221,13,0,8,5,4150.0,0.0,0.6153846153846154
backload,3,1025.815610790944,57.38614292364691,-1016.6097603679748,511.6812018908822,90.17097049551342,197.02288073879828,49.5573408431608,858198.104484552,-915.7566895091484,-8723.16863505906,-2.114866554275503,13,0,8,5,4150.0,0.0,0.6153846153846154
backload,4,1105.0350519958688,60.95321220128524,-1079.241146718308,547.7993390643885,85.5768764191887,516.8223685752325,13.26379054759251,916020.0455774737,-983.9511695328247,-8279.467896256316,-1.7187525524889138,13,0,9,4,4150.0,0.0,0.6923076923076923
oracle,0,3209.636519065095,119.94287689910415,-3174.797182719058,1599.3401591227323,238.8396443995053,178.6459011952269,-8.500899536884411,2626715.4012293518,-2797.6387793964805,-26290.40932126253,0.0,19,19,19,0,4760.0,1.0,1.0
oracle,1,3209.636519065095,119.94287689910415,-3174.797182719058,1599.3401591227323,238.8396443995053,178.6459011952269,-8.500899536884411,2626715.4012293518,-2797.6387793964805,-26290.40932126253,0.0,19,19,19,0,4760.0,1.0,1.0
oracle,2,3209.636519065095,119.94287689910415,-3174.797182719058,1599.3401591227323,238.8396443995053,178.6459011952269,-8.500899536884411,2626715.4012293518,-2797.6387793964805,-26290.40932126253,0.0,19,19,19,0,4760.0,1.0,1.0
oracle,3,3209.636519065095,119.94287689910415,-3174.797182719058,1599.3401591227323,238.8396443995053,178.6459011952269,-8.500899536884411,2626715.4012293518,-2797.6387793964805,-26290.40932126253,0.0,19,19,19,0,4760.0,1.0,1.0
