alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-265.665154900703,2527.0491186434647,-35.552992815169354,-319.6030415487895,2464.2169031143467,324.4672952934854,-2284.1575256373253,2442393.825679091,-2799.0147309086256,-1067.709664163634,-3.552441613736373,23.0,112.0,0.8,0.0,0.9966666666666667,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,1,-262.32899216842515,2667.2523071101105,0.0,-358.88602976186087,2684.325272329328,358.88602976186087,-2910.088689055284,2505024.487737789,-2871.088238094887,0.0,-2.513667391070141,15.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,2,-339.28711300805475,2899.8255379332686,0.0,-389.6878474478557,2896.5059038756776,389.0624028241165,-3134.275492525536,2720021.175186032,-3117.502779582845,-60.950711659812065,-1.981120902742137,15.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,3,-224.97997763326575,2748.0190858072197,0.0,-371.7982390687549,2765.723192023333,371.7982390687549,-2937.7077110974597,2595151.708699909,-2974.3859125500394,0.0,-2.4262033324015695,16.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,4,-339.28711300805475,2899.8255379332686,0.0,-389.6878474478557,2896.5059038756776,389.0624028241165,-3134.275492525536,2720021.175186032,-3117.502779582845,-60.950711659812065,-1.981120902742137,15.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,0,-339.28711300805475,2899.8255379332686,0.0,-389.6878474478557,2896.5059038756776,389.0624028241165,-3134.275492525536,2720021.175186032,-3117.502779582845,-60.950711659812065,-1.981120902742137,15.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,1,-350.0925581451327,2951.249770880727,0.0,-398.237817356632,2933.98446615354,395.79301760170097,-3275.1075395731145,2779699.965149291,-3185.902538853055,-60.950711659812065,-2.044037010025907,16.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,2,-339.28711300805475,2899.8255379332686,0.0,-389.6878474478557,2896.5059038756776,389.0624028241165,-3134.275492525536,2720021.175186032,-3117.502779582845,-60.950711659812065,-1.981120902742137,15.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,3,-228.34233924463607,2750.612874526463,0.0,-371.02003937602524,2768.278886622833,371.02003937602524,-2838.2274573560026,2589719.8748446563,-2968.160315008202,0.0,-2.606866173084934,16.0,112.0,1.0,0.0,0.9955555555555555,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,4,294.72231930837813,2524.143187173063,0.0,-182.527910221346,3325.1745778856684,184.47613591073045,-2612.771145997674,2566925.827142486,-3058.758981061143,-524.5822800929834,-2.2815971660813545,18.0,109.0,1.0,0.0,0.9966666666666667,0.0,600.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
