policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,5683.459042170657,69.86207369430763,-5310.798579023292,2848.7644661627974,291.82717198528377,1938.0295185642017,-256.6136925298103,4463492.3127166545,-4807.378600102607,-30272.45555656132,-7.241544546188206,40,17,27,13,13490.0,0.425,0.675
myopic,1,5020.04314271566,57.3861429236469,-4646.1062862031895,2523.6699833549624,297.6468332800891,1084.2917977330178,-228.28606228629704,3996102.8977410723,-4284.342394704707,-22921.51617828243,-7.582555976019875,40,16,26,14,13490.0,0.4,0.65
myopic,2,5433.007279266073,19.627597934926236,-5055.957492462452,2729.068020534985,267.7683315575613,1128.392534105839,-362.3007807215552,4230429.9745316105,-4551.509801219665,-28091.326149242686,-5.511034681322817,40,16,30,10,13490.0,0.4,0.75
myopic,3,4909.0935124207535,66.91535142539304,-4527.555865075626,2461.669489211027,292.04084985713496,747.9577379389411,-199.82517565119667,3848767.123454542,-4163.870650711005,-26195.09184451547,-7.691001050870465,40,14,26,14,13490.0,0.35,0.65
myopic,4,4818.272155986715,18.646218038179924,-4683.766830139104,2420.866507337229,224.85531369533658,1852.0518869417176,-376.41020841736764,3683198.4541335804,-3964.1133213148737,-25033.672638698863,-9.48662764637856,40,12,23,17,13490.0,0.3,0.575
greedy_crh,0,3510.8355680030586,20.66062940518551,-3215.1899463729346,1758.615961396478,163.87637175812873,587.8792934354485,-99.15783832410183,2704667.265252065,-2935.4823353969814,-15060.806356152532,-2.7326170530429676,19,15,15,4,6280.0,0.7894736842105263,0.7894736842105263
greedy_crh,1,3691.422403016432,18.646218038179924,-3372.7246176273666,1850.6321262630447,169.63321698554864,811.909755833238,-132.04218431400759,2881157.7940565865,-3108.6072246038984,-14497.737118182058,-2.870630555507811,19,15,15,4,6280.0,0.7894736842105263,0.7894736842105263
greedy_crh,2,2411.5143740922053,18.646218038179924,-2313.5096829168456,1207.8323787447337,135.52729448955182,160.4945284233402,-147.3977406474532,1921381.9286809552,-2041.1995915947136,-8408.356704527572,-3.3625905615020493,19,14,14,5,6280.0,0.7368421052631579,0.7368421052631579
greedy_crh,3,2368.21763228736,18.646218038179924,-2118.4194746676676,1185.1553651702861,121.74058421232633,196.12022437223632,-13.312676405790302,1892630.999926841,-2032.8818513563574,-11575.493047888607,-4.668416996747259,19,12,12,7,6280.0,0.631578947368421,0.631578947368421
greedy_crh,4,2700.595071622744,0.0,-2633.626188516652,1360.7038423787235,125.28253124346098,933.642510099945,-202.47083745257518,2077563.00695855,-2221.6932441413423,-8047.148140077367,-6.144118803307805,19,10,10,9,6280.0,0.5263157894736842,0.5263157894736842
