iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.35225134478415565,-0.26504346579994026,-0.1664475926748885,-0.30975216198844147,-0.25872427215617744,-0.28717906416600025,-0.2291754164234866,-0.1355426177180271,-0.2560215756734313,-0.21827491782779423,-0.228207309855797,-0.1966699966760755,-0.10753498416337137,-0.20732823182545335,-0.181617690467697,-0.15767246646516161,-0.15779096521348562,-0.07403565775486158,-0.1490871734974796,-0.1377727714683649,-0.09497482789570796,-0.12323182613562803,-0.0442584787250751,-0.09731734387261409,-0.0987995101356253,-0.05234043366847947,-0.09973161156268481,-0.024009996984820266,-0.062113859727705514,-0.07229769242936235,-0.012985608227960896,-0.07803910580304495,-0.0053190907630466175,-0.02961833590163608,-0.047834476085119634
1,-0.08520259751111346,-0.23343322954702841,-0.27436187917173704,-0.48628724711412563,-0.2753265176521406,-0.15053707846020242,-0.1555074497079966,-0.22718383948132853,-0.36842077678084184,-0.40886482353378106,-0.07180922974637426,-0.1595196651352042,-0.17775385953313272,-0.19427965122683863,-0.26239202845695464,-0.14210833132290387,-0.1370328058057894,-0.1266711628822877,-0.10361897903337011,-0.16069341101269344,-0.04598237856475785,-0.12383274103572872,-0.07850198672134642,-0.06637567227413246,-0.10549461847643411,-0.05971971341537266,-0.049845652634961185,-0.007967867648895514,-0.037425753196313735,-0.08053614443306759,-0.008968846115747671,-0.03737393491694004,-0.08423311634604402,-0.02500031146197688,0.011307405086190176
2,-0.18268209430769786,-0.15428830892982542,-0.3132998311301732,-0.3709938080941864,-0.10681768451172131,-0.04446670830158283,-0.1325116762656584,-0.22880588309729621,-0.20574771289254185,-0.0898445569114176,-0.11231800473529774,-0.10910649739503006,-0.2130397837905573,-0.13545727041887934,-0.1851058702930369,-0.06467021634898082,-0.1555633520821202,-0.059101568765186394,-0.1227755600827835,-0.15119609898942704,-0.07669437684918645,-0.14402196227340064,-0.08463786168765056,-0.010741376517336806,-0.09101437384629804,-0.06412661572240387,-0.03131221311310659,-0.0167757736680852,-0.006193024098364103,-0.0478599241897929,-0.001227673743635655,-0.0945522383187101,0.022747306313996716,0.01593050768791128,-0.04277088628555468
3,-0.13911582247628304,-0.20550993442168083,-0.26695795949415785,-0.283594551034292,-0.21532653814487984,-0.022007347052650818,-0.13926545576858473,-0.05163642868058045,-0.17469463290745496,-0.082300443861263,-0.03916675180628397,-0.11537788556772562,-0.12217401305681104,-0.21702777999321887,-0.09871172386737806,0.015955094936217842,-0.08836272879657711,-0.09486843383957443,-0.12059441511109573,-0.09602195255219123,-0.09858680687354343,-0.08636570275420913,-0.06165858974690861,-0.06717225136223344,-0.10283124132096828,-0.06254832054600384,-0.046353162144518546,0.0018952219313112806,-0.024528400654673106,-0.0032855772169234415,0.028830995228172344,-0.01698771469536939,-0.08272239690716873,0.044627393429474305,0.1035371612743288
4,-0.050564967659307854,0.046107185006664636,-0.02732159289289826,-0.2890285411033856,-0.22332506896188056,0.07629361579473626,-0.03565037416722877,-0.033636318265945944,-0.26315650265628127,-0.07997584514187409,0.006553295185115273,-0.05583718503745542,-0.14188027795771832,-0.07544603783697394,0.10002516470700101,0.04446401352904948,-0.029167689931702993,-0.02413371203538636,-0.057073116427615644,-0.013059275824103253,0.00810802540209685,-0.04339786807075151,0.004252515672975594,-0.039603594125328156,-0.01996346142991897,-0.09643297246760474,-0.023748047658587505,0.09258521177960027,-0.004571303417742917,-0.046280736357075365,0.04804674626362956,0.0447889587673449,0.05405242784358513,0.06331275694133728,0.11767271562873396
5,0.07122926379547101,0.10631829213536541,-0.03553724801112045,-0.25115810125326,-0.03181847488939091,0.12282165010480894,-0.015723450942993468,0.05691931835097552,-0.19792635538268258,-0.0040464686594420055,0.04566034389133975,-0.049471727692088296,-0.03269599993253274,-0.0658604175926619,-0.06604989076720781,0.02029976554992878,-0.05178193650722755,-0.0030261631705099743,-0.1353107093606849,-0.065375678909526,0.0263136714945204,-0.03646280981101963,-0.042250325799030874,-0.006718257982225423,-0.03395032552756938,0.04876049666668031,-0.01873379244385137,0.08818414840370814,0.014069236204569449,0.018674412009435298,0.050188038913259875,-0.01140537142720128,0.0022355058107483734,-0.015143603445797953,0.07008704695436793
6,-0.014522533379684517,0.12706964907199744,0.11289653617035876,-0.2163358609096643,0.07823485796205464,0.30327740430036365,0.004305790327407497,0.13404082650040922,-0.09887383734689167,0.1891804121003614,0.05330890435317398,0.10349890835947868,-0.04646629698462601,-0.027207296938361096,0.025794930716069954,0.03646639855564335,0.012649817586328728,0.007342322986943954,-0.07340606767476057,-0.020243254946397973,0.0940751147860702,-0.004846960617972358,0.09479316646636929,0.06260578329957278,-0.0006534157340467557,0.015025682491757645,-0.01784395509367504,0.11450911183231642,0.053538206073313735,0.05342938632681109,0.07974008642820402,0.07734244900915467,0.02970584822659325,0.14019812815304544,0.12298131389202657
7,0.10574707466284688,0.2319135728371449,0.22768696915053868,0.055948720834670555,0.15074649507850812,0.2732912797403943,0.13982399940202117,0.11765966135112926,-0.07328401559974754,0.3014550234439096,0.16216212188414147,0.20040852260319966,-0.07368163446921533,0.021194312585760666,0.01953837937245981,0.1393806627596213,0.021408558095908643,0.06557352361452048,-0.06252818278972469,-0.01555108934761812,0.0919360063851023,-0.03095064262684199,0.09938942642800815,0.09302021212760123,0.07127094476188117,0.10149983742025645,0.010202110517630513,0.23903527368519165,0.18040906946012833,0.07978461097827638,0.14890312221111113,0.07555449440838241,0.13115615256502472,0.27151432885754645,0.12215992806574616
8,0.3232526569889226,0.28256825771442273,0.22037645653091203,-0.13661460025575412,0.2452902689309288,0.4888911479097747,0.1685550293584131,0.23585525073696573,-0.11576317893639407,0.39378168456211876,0.09022817325123537,0.16731044496935044,0.021912494730686086,0.07212175794955743,0.09274215696318995,0.12348354496640468,0.030153261326988152,0.15841760287378293,0.0011780757770639382,0.005540928126543283,0.15624250788990965,0.08343721698744633,0.08320564224940155,0.08501569116328819,0.09451286729349025,0.05848763585681563,-0.012956167529799185,0.24267550173696942,0.09785063137537063,0.10101213874835135,0.20283042571584675,0.1675279752386633,0.10724663108813484,0.3490427259563581,0.20127091085378807
9,0.41921251619733757,0.49558278622055757,0.4481292679287572,-0.09419571824849893,0.39233314949590836,0.35624088698765527,0.28830630096298493,0.36437336440857754,0.029836236095660086,0.4153604217166543,0.22883511612363944,0.2131881745025549,0.14116423665695466,0.19586952480259884,0.25143415715141987,0.11405445659034644,0.11950878951728994,0.12088257671743456,0.016709232898305403,0.03763521738406114,0.18173180710339143,0.0700368509642512,0.15920709928565788,0.15945029958211301,0.11059766898272395,0.09794300274614218,0.046646508903381345,0.20265851642455912,0.2076302404572703,0.15794069603561725,0.17381830403783882,0.1812126646109187,0.1931892035147407,0.35744918720919006,0.3204836093021331
