alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-381.72269593633644,4730.315115341358,0.0,-639.1913744563162,4761.102561315028,639.1913744563162,-5197.6970081526,4461555.793705087,-5113.53099565053,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.0,1,-491.37326941205646,4025.9279618711334,0.0,-548.4723334263591,3940.345198172307,536.9907410504408,-3694.5564361218626,3968120.8448060295,-4471.281628874459,-3853.824722744711,-6.224484076046734,33.0,168.0,0.5333333333333333,0.0,0.9866666666666667,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.0,2,-366.1097151707987,4569.954793098428,0.0,-617.5635647485082,4599.64319275474,617.5635647485084,-4962.623287544365,4519946.1905168425,-5065.569753694313,-810.0055548835735,-3.651491004436815,23.0,172.0,1.0,0.0,0.997037037037037,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.0,3,-552.9032577589094,4440.136594424466,0.0,-605.5196153547085,3995.217801963229,499.91701365579127,-3782.0686898483136,4226526.915175866,-4844.156922837668,-2822.049598156249,-2.4659892569357167,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.0,4,-400.1781639381999,4649.124078377942,0.0,-634.9559130182927,4679.6935920942415,634.9559130182927,-5070.108966514218,4569943.151444557,-5177.423275813453,-1030.614230547563,-3.044451971958184,21.0,171.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.15,0,-381.72269593633644,4730.315115341358,0.0,-639.1913744563162,4761.102561315028,639.1913744563162,-5197.6970081526,4461555.793705087,-5113.53099565053,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.15,1,-381.72269593633644,4730.315115341358,0.0,-639.1913744563162,4761.102561315028,639.1913744563162,-5197.6970081526,4461555.793705087,-5113.53099565053,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.15,2,-341.86010705173464,4508.048580939421,0.0,-612.4061518248047,4482.882143315763,602.8402514939877,-3650.994154288481,4274594.939737137,-4899.249214598438,-568.3196362167471,-3.869931912544678,24.0,168.0,0.9333333333333333,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.15,3,-400.47891812973535,4652.730526098143,0.0,-635.350247532942,4683.3198033665085,635.350247532942,-5065.6777725927095,4562966.040671711,-5176.176685244131,-1263.6804845920233,-3.1386130607114406,21.0,171.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.15,4,-532.7567409746222,4246.302225251806,0.0,-581.8707231557956,3676.0610172075562,467.61732603246253,-2571.3124022956727,4456691.354180072,-4891.067163115314,-6594.762730118504,-3.7426993481860586,28.0,172.0,0.8666666666666667,0.0,0.9948148148148148,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.3,0,1985.6826134601974,2718.0862174730423,0.0,244.35731601563847,5913.860875069509,-221.7218876205039,-3642.2218592566687,3942456.86386598,-5004.4410857647545,-1529.879514438533,-2.382564165975638,16.0,154.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.3,1,-552.9032577589094,4440.136594424466,0.0,-605.5196153547085,3995.217801963229,499.91701365579127,-3782.0686898483136,4226526.915175866,-4844.156922837668,-2822.049598156249,-2.4659892569357167,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.3,2,-340.00890693241047,4743.429156213055,0.0,-639.1797858105033,4774.217541608357,639.1797858105035,-4806.978524224256,4461474.904957314,-5113.438286484028,0.0,-2.016368547183339,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.3,3,1878.2015173212171,2726.7385908486176,0.0,219.31475865673573,5819.440745235304,-204.47086068419657,-3392.8378894561756,3831036.750592372,-4853.406642517096,-1089.1481530180602,-2.4443522964731876,15.0,156.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.3,4,-381.72269593633644,4730.315115341358,0.0,-639.1913744563162,4761.102561315028,639.1913744563162,-5197.6970081526,4461555.793705087,-5113.53099565053,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.5,0,2875.2571463466493,2051.130090196132,0.0,566.627075444951,5457.161216215182,-464.6003051081524,-2751.256615780606,3864396.6545345658,-5099.64367900456,-7863.745063936143,-2.1417936658245753,15.0,150.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.5,1,2976.2227507105754,2138.2274452116785,0.0,587.2216608340333,6646.35639875062,-550.6731110161672,-2734.9169749684943,4004851.7268881067,-5284.994947506299,-2670.827520466593,-1.8145081911604557,15.0,150.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.5,2,2792.5750969178653,1994.7951268039183,0.0,551.3354075225881,6377.9482198267415,-514.6758441341292,-2426.615613870794,3760107.4793040506,-4962.0186677032925,-2611.459232804789,-2.5408194291792485,17.0,150.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.5,3,2788.2473288099545,1995.9535853976122,0.0,550.2878846780295,5676.853168323119,-488.67522349759855,-2401.7948713315213,3752963.373504161,-4952.5909621022665,-4918.148298683888,-2.853051649335458,17.0,150.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.5,4,2886.7730403345245,2188.0404761583172,-8.611209209855712,585.7590492913557,6665.449119722162,-537.1799597646699,-1775.472077967003,3907031.9157768697,-5100.25479360552,-4064.9865809902503,-4.290025929645064,28.0,151.0,0.8,0.0,0.997037037037037,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.7,0,5888.45806649072,0.0,-4099.815575452761,2975.918210409035,325.3262313684378,1652.8536777607503,-940.8137501681898,4434118.133509463,-5070.139277548677,-22452.02369105552,-2.9274687073254793,23.0,158.0,1.0,0.0,0.997037037037037,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.7,1,5900.548982282077,0.0,-4395.526472576527,2971.2495844364207,281.13918770504307,1975.72069639033,-840.0176383116459,4498571.287856562,-5054.486067065397,-26321.581620291807,-2.89168665799318,23.0,160.0,0.8666666666666667,0.0,0.9977777777777778,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.7,2,5803.22348003191,0.0,-5105.600916826506,2928.832264909727,216.48910917513868,2447.8139041448953,-598.1892891630121,4363960.074715493,-4811.475559354388,-21279.570585218717,-2.2533798812093346,13.0,164.0,1.0,2.0,0.9992592592592593,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.7,3,5387.614535564445,0.0,-3507.251074240572,2718.4424840492766,288.11038554495474,1564.3068203975686,-1007.1407078818868,4067969.227817101,-4682.851829216032,-25413.085767157263,-3.663826359053951,24.0,157.0,0.9333333333333333,0.0,0.9992592592592593,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.7,4,5403.661105552319,0.0,-3546.559322076309,2728.750281660966,299.84505204771426,1062.091619898465,-887.3958496106759,4065837.919674839,-4684.490657531815,-21468.545366302347,-3.7342604291354986,23.0,158.0,1.0,0.0,0.9977777777777778,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.85,0,5445.054195015376,0.0,-3674.0926396557597,2747.0181587074303,280.51537917823214,1469.5809054981617,-930.2862885166451,4093057.05647407,-4698.553000225071,-24428.735499915263,-3.5976960717694384,23.0,158.0,1.0,0.0,0.9992592592592593,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.85,1,5828.29850745306,0.0,-4290.496525547946,2944.703474953911,313.7639255795294,1451.9061574558984,-851.8090498473063,4399626.078611831,-4985.189782941137,-23215.232006458762,-3.232740793706376,24.0,160.0,0.9333333333333333,0.0,0.9985185185185185,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.85,2,5406.108018627287,0.0,-3470.4593707567838,2724.9798634257445,305.7566636001747,1277.6787929724799,-1024.4853596036442,4078302.551171668,-4702.020450226713,-25059.285013469424,-3.4307465382676994,24.0,156.0,0.9333333333333333,0.0,0.9985185185185185,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
0.85,3,5250.680523868353,0.0,-3465.172473570764,2651.135120669162,314.97456094633344,710.5879285816123,-792.1863142170673,3950191.3297970504,-4547.999154365252,-19050.800628614757,-3.8151384667610104,23.0,158.0,1.0,0.0,0.997037037037037,0.0,900.0,3.0,15.0,24.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:3,2:3,3:3,5:3",0.95,V3E2DAY1-32-33-35-3T15X24
