policy,seed,year,initiated,completed
myopic,0,0,3,0
myopic,0,1,3,0
myopic,0,2,3,0
myopic,0,3,2,0
myopic,0,4,3,0
myopic,0,5,3,1
myopic,0,6,3,1
myopic,0,7,2,2
myopic,0,8,2,2
myopic,0,9,3,0
myopic,0,10,3,2
myopic,0,11,1,0
myopic,0,12,3,3
myopic,0,13,1,4
myopic,0,14,3,3
myopic,0,15,0,0
myopic,0,16,0,1
myopic,0,17,0,2
myopic,0,18,0,2
myopic,0,19,0,3
myopic,0,20,0,1
myopic,0,21,0,0
myopic,0,22,0,1
myopic,0,23,0,0
myopic,0,24,0,0
myopic,0,25,0,0
myopic,1,0,3,0
myopic,1,1,3,0
myopic,1,2,3,0
myopic,1,3,2,0
myopic,1,4,3,0
myopic,1,5,3,1
myopic,1,6,3,0
myopic,1,7,2,1
myopic,1,8,2,2
myopic,1,9,3,2
myopic,1,10,3,2
myopic,1,11,1,1
myopic,1,12,3,2
myopic,1,13,1,1
myopic,1,14,3,3
myopic,1,15,0,1
myopic,1,16,0,2
myopic,1,17,0,2
myopic,1,18,0,1
myopic,1,19,0,2
myopic,1,20,0,0
myopic,1,21,0,1
myopic,1,22,0,1
myopic,1,23,0,0
myopic,1,24,0,0
myopic,1,25,0,0
myopic,2,0,3,0
myopic,2,1,3,0
myopic,2,2,3,0
myopic,2,3,2,0
myopic,2,4,3,0
myopic,2,5,3,0
myopic,2,6,3,3
myopic,2,7,2,1
myopic,2,8,2,1
myopic,2,9,3,1
myopic,2,10,3,0
myopic,2,11,1,4
myopic,2,12,3,0
myopic,2,13,1,3
myopic,2,14,3,2
myopic,2,15,0,3
myopic,2,16,0,1
myopic,2,17,0,3
myopic,2,18,0,4
myopic,2,19,0,2
myopic,2,20,0,2
myopic,2,21,0,0
myopic,2,22,0,0
myopic,2,23,0,0
myopic,2,24,0,0
myopic,2,25,0,0
myopic,3,0,3,0
myopic,3,1,3,0
myopic,3,2,3,0
myopic,3,3,2,0
myopic,3,4,3,0
myopic,3,5,3,1
myopic,3,6,3,2
myopic,3,7,2,1
myopic,3,8,2,0
myopic,3,9,3,1
myopic,3,10,3,3
myopic,3,11,1,1
myopic,3,12,3,1
myopic,3,13,1,1
myopic,3,14,3,2
myopic,3,15,0,2
myopic,3,16,0,1
myopic,3,17,0,5
myopic,3,18,0,0
myopic,3,19,0,1
myopic,3,20,0,0
myopic,3,21,0,1
myopic,3,22,0,0
myopic,3,23,0,1
myopic,3,24,0,0
myopic,3,25,0,0
myopic,4,0,3,0
myopic,4,1,3,0
myopic,4,2,3,0
myopic,4,3,2,0
myopic,4,4,3,0
myopic,4,5,3,0
myopic,4,6,3,2
myopic,4,7,2,0
myopic,4,8,2,2
myopic,4,9,3,0
myopic,4,10,3,1
myopic,4,11,1,1
myopic,4,12,3,1
myopic,4,13,1,3
myopic,4,14,3,1
myopic,4,15,0,4
myopic,4,16,0,1
myopic,4,17,0,2
myopic,4,18,0,0
myopic,4,19,0,1
myopic,4,20,0,0
myopic,4,21,0,0
myopic,4,22,0,1
myopic,4,23,0,0
myopic,4,24,0,0
myopic,4,25,0,0
greedy_crh,0,0,3,0
greedy_crh,0,1,3,0
greedy_crh,0,2,3,0
greedy_crh,0,3,2,0
greedy_crh,0,4,3,0
greedy_crh,0,5,3,1
greedy_crh,0,6,3,1
greedy_crh,0,7,0,2
greedy_crh,0,8,0,2
greedy_crh,0,9,0,0
greedy_crh,0,10,0,2
greedy_crh,0,11,0,1
greedy_crh,0,12,0,3
greedy_crh,0,13,0,3
greedy_crh,0,14,0,2
greedy_crh,0,15,0,0
greedy_crh,0,16,0,0
greedy_crh,0,17,0,0
greedy_crh,0,18,0,0
greedy_crh,0,19,0,0
greedy_crh,0,20,0,0
greedy_crh,0,21,0,0
greedy_crh,0,22,0,0
greedy_crh,0,23,0,0
greedy_crh,0,24,0,0
greedy_crh,0,25,0,0
greedy_crh,1,0,3,0
greedy_crh,1,1,3,0
greedy_crh,1,2,3,0
greedy_crh,1,3,2,0
greedy_crh,1,4,3,0
greedy_crh,1,5,3,1
greedy_crh,1,6,3,0
greedy_crh,1,7,0,1
greedy_crh,1,8,0,2
greedy_crh,1,9,0,2
greedy_crh,1,10,0,2
greedy_crh,1,11,0,2
greedy_crh,1,12,0,3
greedy_crh,1,13,0,1
greedy_crh,1,14,0,0
greedy_crh,1,15,0,0
greedy_crh,1,16,0,0
greedy_crh,1,17,0,0
greedy_crh,1,18,0,0
greedy_crh,1,19,0,0
greedy_crh,1,20,0,0
greedy_crh,1,21,0,0
greedy_crh,1,22,0,0
greedy_crh,1,23,0,0
greedy_crh,1,24,0,0
greedy_crh,1,25,0,0
greedy_crh,2,0,3,0
greedy_crh,2,1,3,0
greedy_crh,2,2,3,0
greedy_crh,2,3,2,0
greedy_crh,2,4,3,0
greedy_crh,2,5,3,0
greedy_crh,2,6,3,3
greedy_crh,2,7,0,1
greedy_crh,2,8,0,1
greedy_crh,2,9,0,1
greedy_crh,2,10,0,0
greedy_crh,2,11,0,3
greedy_crh,2,12,0,1
greedy_crh,2,13,0,4
greedy_crh,2,14,0,1
greedy_crh,2,15,0,0
greedy_crh,2,16,0,0
greedy_crh,2,17,0,0
greedy_crh,2,18,0,0
greedy_crh,2,19,0,0
greedy_crh,2,20,0,0
greedy_crh,2,21,0,0
greedy_crh,2,22,0,0
greedy_crh,2,23,0,0
greedy_crh,2,24,0,0
greedy_crh,2,25,0,0
greedy_crh,3,0,3,0
greedy_crh,3,1,3,0
greedy_crh,3,2,3,0
greedy_crh,3,3,2,0
greedy_crh,3,4,3,0
greedy_crh,3,5,3,1
greedy_crh,3,6,3,2
greedy_crh,3,7,0,1
greedy_crh,3,8,0,0
greedy_crh,3,9,0,1
greedy_crh,3,10,0,3
greedy_crh,3,11,0,1
greedy_crh,3,12,0,1
greedy_crh,3,13,0,2
greedy_crh,3,14,0,1
greedy_crh,3,15,0,0
greedy_crh,3,16,0,0
greedy_crh,3,17,0,0
greedy_crh,3,18,0,0
greedy_crh,3,19,0,0
greedy_crh,3,20,0,0
greedy_crh,3,21,0,0
greedy_crh,3,22,0,0
greedy_crh,3,23,0,0
greedy_crh,3,24,0,0
greedy_crh,3,25,0,0
greedy_crh,4,0,3,0
greedy_crh,4,1,3,0
greedy_crh,4,2,3,0
greedy_crh,4,3,2,0
greedy_crh,4,4,3,0
greedy_crh,4,5,3,0
greedy_crh,4,6,3,2
greedy_crh,4,7,0,0
greedy_crh,4,8,0,2
greedy_crh,4,9,0,0
greedy_crh,4,10,0,1
greedy_crh,4,11,0,1
greedy_crh,4,12,0,1
greedy_crh,4,13,0,2
greedy_crh,4,14,0,2
greedy_crh,4,15,0,0
greedy_crh,4,16,0,0
greedy_crh,4,17,0,0
greedy_crh,4,18,0,0
greedy_crh,4,19,0,0
greedy_crh,4,20,0,0
greedy_crh,4,21,0,0
greedy_crh,4,22,0,0
greedy_crh,4,23,0,0
greedy_crh,4,24,0,0
greedy_crh,4,25,0,0
frontload,0,0,3,0
frontload,0,1,3,0
frontload,0,2,3,0
frontload,0,3,2,0
frontload,0,4,3,0
frontload,0,5,0,1
frontload,0,6,0,1
frontload,0,7,0,2
frontload,0,8,0,2
frontload,0,9,0,0
frontload,0,10,0,2
frontload,0,11,0,0
frontload,0,12,0,0
frontload,0,13,0,0
frontload,0,14,0,0
frontload,0,15,0,0
frontload,0,16,0,0
frontload,0,17,0,0
frontload,0,18,0,0
frontload,0,19,0,0
frontload,0,20,0,0
frontload,0,21,0,0
frontload,0,22,0,0
frontload,0,23,0,0
frontload,0,24,0,0
frontload,0,25,0,0
frontload,1,0,3,0
frontload,1,1,3,0
frontload,1,2,3,0
frontload,1,3,2,0
