iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.3560836501122323,-0.2664479678170281,-0.16837553503119304,-0.36220380817112197,-0.25570414740716524,-0.29139403115250817,-0.2316086541930058,-0.13883849676515686,-0.29569905411967834,-0.21652142532183238,-0.2327690639702582,-0.20003552622123555,-0.11207055583656154,-0.23542912076055764,-0.18101208343199945,-0.1626490051836454,-0.16227158884323578,-0.08005399903961424,-0.1633415534094523,-0.1385401254853365,-0.1003200640399896,-0.128703644507236,-0.05159483744232772,-0.0992637157640254,-0.10078727397719167,-0.057936384062303656,-0.10587744235875614,-0.032242607556172885,-0.055690786165135085,-0.07511533495165318,-0.01881298715982431,-0.08480710191400553,-0.014379010738183828,-0.01546962038154406,-0.051418160466540734
1,-0.06033339899398058,-0.1607232772418643,-0.28203559162153685,-0.17591923363354917,-0.4389856921024538,-0.11104083347246838,-0.2635693976953001,-0.20066806394810835,-0.15543612359288844,-0.20394048923479224,-0.1179034067936591,-0.1488315498934368,-0.20154528816681772,-0.23035466435182808,-0.2758278220340393,-0.09560023710423665,-0.15025067889157,-0.16839614043174542,-0.15036952206215712,-0.17684724212308817,-0.08956362401629125,-0.10077446755935499,-0.08711422306049568,-0.037341489261134,-0.18654938703416382,-0.06490509102174577,-0.07222747738742484,0.002115103167200769,-0.07965435345069394,-0.0598222118020907,-0.032809015840161077,-0.03128682535731216,-0.004576675490475905,-0.04757769396279862,-0.015143350173988717
2,-0.1332702086107824,-0.22703155937806527,-0.2679391409019968,-0.2784558152708208,-0.148250486757513,-0.32123251777210904,-0.15888528082349476,-0.2065430113016869,-0.23549887098164765,-0.11757025136210292,-0.14509996816121634,-0.17075159547838661,-0.22094426345849794,-0.1417488287901542,-0.26224077279278374,-0.07733469186281049,-0.05352843394432423,-0.06439053241878617,-0.15277459871571034,-0.13348068035938238,-0.09666134182894127,-0.10310631916508212,-0.11448851486767879,-0.11702895676381289,-0.09095498780936678,-0.01824488273122615,-0.022222715212714517,0.01096703279985672,-0.044436424655599716,-0.033319404323836926,-0.09511691557281585,0.0009358912857551065,0.032896236278625826,-0.021670971625764132,0.009612683806655704
3,-0.13927955977796716,0.027965061231220056,-0.19783744619380075,-0.3665833633390042,-0.2862283102566809,-0.11725418299835685,-0.02902258450839361,-0.1929912715234136,-0.26585935120861653,-0.16952031372656845,-0.07005591091643987,-0.12482460931715025,-0.03866044971970236,-0.08991077093052224,-0.161230662615993,-0.12137403588431221,-0.14122454019238348,-0.0906683123165013,-0.04354009180771325,-0.14941128385301544,-0.10078419028502646,-0.09070905278952933,-0.03959793786649826,-0.04954951114767474,-0.10834205302842251,-0.052864673720672245,-0.056222264607636886,0.0001542773687200202,-0.028504506138258695,-0.040460606358646484,-0.017082631086146396,-0.024416830375048465,0.02092465358490339,0.011829816330020056,0.02956327757641767
4,-0.07197601994690034,0.07339593932603608,-0.20405995804037586,-0.026185187125054816,0.07480242683853591,-0.01849505027511959,-0.1344736308938706,-0.05574500745478457,-0.16158714367038507,0.07904463901419541,-0.09017779652469803,0.05865625619422721,-0.06487694668983426,-0.09977127547712705,-0.11672124142216128,-0.0736460282011071,-0.07428548495309176,-0.07638224524999564,-0.010064042260614619,-0.10619271045067602,-0.04366122070618775,-0.033593719706763434,-0.043324998719270646,0.033669412053827785,-0.09442247497638087,-0.00673186074804186,-0.028467366251715483,0.01119238023735686,-0.007006164970132331,-0.0052992739971643435,-0.048139529672055176,-0.04739941130154675,0.06252945012726258,-0.023053342941533706,0.0956955813885492
5,-0.15288460483743416,0.015147932594885095,-0.09318449033010881,-0.06702317700908203,0.10086540164371628,-0.1169697221262378,0.09632008265798479,-0.06014063782359939,-0.1647882880592737,0.09559634938957035,0.10453749200105791,0.08746740204680017,0.02076593287125283,0.00848647318075721,-0.14436369226869847,-0.0005370015721167876,-0.00130203715681914,-0.026580716869569122,-0.016998245342124116,-0.09366277047848748,-0.04089960520035877,0.02933105348352974,0.028930863787786577,-0.03791774980955215,-0.042976087168810365,0.004506367285282316,-0.03235892394983074,0.10184598762487122,-0.06383256753652078,-0.027466900435374655,-0.002901742315430448,-0.025866587551956297,-0.02135079469261309,0.08448021310593717,0.07351707752481353
6,-0.01474331479237358,0.2398843166340235,0.07509361347490295,0.2492097624218671,0.033309237394495476,0.0014097319853431135,0.16052798767990503,-0.09191617920988336,-0.11400903696521156,0.08289279036044973,0.06177329760791526,0.11052755586582308,-0.009612685861634968,-0.020321132396179102,-0.06618831931107602,-0.009435007057132067,0.004673763770810364,-0.03623439603960456,-0.010839403963746913,-0.07088996614024612,-0.006823999736193319,0.02048810303946172,0.08245262428288169,0.025385258319632956,-0.02823332893281507,0.02801687448348009,-0.004070145076411891,0.11748641422723546,0.05477504576228538,-0.004042215400885167,0.09593772644994839,0.11068421793301647,0.10233227520123175,0.19210611562622804,0.12490959121870561
7,0.07581483513055842,0.18426068750259855,0.07181389834836155,0.10207495809161932,0.28146490725599305,0.06304236339357797,0.10672029460134907,-0.051192722908729185,0.13646365689787548,0.21638245763200692,0.17782232524283426,0.06706737494378366,0.0630155917841077,0.10681096126899896,0.012893781477610642,-0.01242231561750503,-0.019093546941667903,-0.010686440863583235,-0.010351869541943184,-0.033379636319016096,-0.04377023724097365,0.09921837467674202,0.1964306360289388,0.06316062235814777,-0.04369908660701018,0.052775447912411684,0.0642477851271346,0.14479519677692748,-0.008255569738486226,-0.02089917507943656,0.050022733175527516,0.08856355635116256,0.14078893619634963,0.18291678598973898,0.08355871399259054
8,0.06403386930966824,0.23121958313346141,-0.018702822775033746,0.17869129514613152,0.43381980585435564,0.07980492136853823,0.3188480162251949,0.12195169224531084,0.08461531417556409,0.2969379672348951,0.21559814586019344,0.14663642807332894,0.12048665317180238,0.14385231984867985,-0.02997882348658133,0.0684281185779782,0.10003747620258338,-0.00575702421786883,0.07699385525581251,0.014910148429777946,-0.007392301990457328,0.1724666304798409,0.17349453413717936,0.07376261125096926,0.02388381017151652,0.08823103564143547,0.07988086817986235,0.2857767363487106,0.049771144693464504,-0.0023526889574912273,0.05167568080137915,0.1348060745969109,0.24352249003564524,0.29285672505279037,0.1897588107851874
9,0.20681207788397094,0.4296867765745082,0.24928952965111384,0.25485681484517525,0.6270060405452063,0.16639528366895273,0.38589903258812464,0.0709842817033896,0.09045531164936475,0.3332529405097473,0.1794423456060515,0.3018844248077667,0.1229090805601691,0.25002178063843183,0.06351906076390079,0.11587319732963372,0.06805371489845638,0.05858171016895244,0.03803072760523221,0.03835079810776494,0.05704932002586181,0.1818191718552844,0.3516018431438687,0.07699764304810842,0.011666734892160344,0.09047076942577112,0.12955779855338367,0.2660062695287013,0.08885637438993801,0.06069526476097994,0.15445090741524792,0.21374749183591757,0.22472015126480163,0.3379212333731639,0.28494744665023597
