alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-348.4038408259201,4745.222887266186,0.0,-639.4476650838358,4776.033939219784,639.4476650838358,-4725.224096756943,4463344.702285173,-5115.581320670686,0.0,-2.0598416550893544,15.0,167.0,1.0,0.0,0.9896296296296296,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.0,1,-552.9032577589094,4440.136594424466,0.0,-605.5196153547085,3995.217801963229,499.91701365579127,-3782.0686898483136,4226526.915175866,-4844.156922837668,-2822.049598156249,-2.4659892569357167,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.0,2,-391.9043352980963,4657.8955117723235,0.0,-637.1220201397075,4688.579547218507,637.1220201397076,-5188.644521175905,4537368.16842907,-5157.55097175787,-702.0503899590815,-2.612098429905657,19.0,170.0,1.0,0.0,0.9985185185185185,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.0,3,-375.5179160636571,4799.706097833935,0.0,-649.3166104662612,4831.001836475385,649.3166104662612,-5256.764114863378,4532229.9410545025,-5194.532883730089,0.0,-2.0316499901955694,16.0,167.2,1.0,0.0,0.9908148148148148,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.0,4,-381.72269593633644,4730.315115341358,0.0,-639.1913744563162,4761.102561315028,639.1913744563162,-5197.6970081526,4461555.793705086,-5113.53099565053,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.15,0,-95.56477625028302,4115.423587399577,-231.6781593460847,-412.7309431980364,3889.7071456332533,791.5137396732487,-4535.491159947391,4275828.310129328,-4828.977847654572,-4684.86269982024,-3.24077654699333,20.0,170.0,1.0,0.0,0.9992592592592593,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.15,1,-324.77773011095144,4513.912127540678,0.0,-608.8459208198027,4534.850312577311,608.8459208198027,-4336.363232759255,4249744.527322223,-4870.767366558422,0.0,-2.4587918304697363,17.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.15,2,-381.72269593633644,4730.315115341358,0.0,-639.1913744563162,4761.102561315028,639.1913744563162,-5197.6970081526,4461555.793705086,-5113.53099565053,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.15,3,-367.8105759856777,4667.025504751208,0.0,-630.0160216106702,4697.355152283601,630.0160216106704,-5213.44894358235,4397511.830842478,-5040.128172885363,0.0,-2.215633940858724,16.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.15,4,-407.9401736293292,4798.848271073841,0.0,-652.4547022933191,4399.99082736036,554.796274440021,-4748.0882509114435,4554133.822007367,-5219.637618346553,-2822.049598156249,-1.935450846991244,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.3,0,2165.92151299309,2219.8250657469666,0.0,357.5349283252987,5251.987646830364,-333.32394332847326,-2885.1355599409894,3503602.8646721677,-4533.682626052416,-3743.3948050310937,-2.325935429406969,16.0,152.0,1.0,0.0,0.9985185185185185,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.3,1,-394.7250580572219,4584.373886708332,0.0,-626.831562288254,4614.532279006588,626.831562288254,-5027.944612069084,4504846.584140225,-5101.607048217584,-856.2788806962575,-3.406301536124185,21.0,171.0,1.0,0.0,1.0,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
0.3,2,-352.07220459454277,4770.450103679865,-28.03548590036065,-630.8464612095407,4805.402603370297,603.2939879204272,-5168.835935068445,4678951.22849134,-5286.652522978405,-891.5885846351368,-3.785255923092765,24.0,171.0,0.9333333333333333,0.0,0.9977777777777778,0.0,900.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:3,3:5,5:3",0.95,V3E2DAY1-52-33-55-3T15X26
