alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,21.377405447857832,3554.6558616709212,0.0,-403.66104511197744,3855.9775951098236,420.5788983226031,-3079.020563683359,3580836.5135947196,-4150.787107296268,-4530.702207523832,-4.836491110337396,29.4,162.6,0.7333333333333333,0.0,0.9722962962962963,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,1,-325.07324112105573,3766.4090220990533,0.0,-508.46724833031686,3727.3175637316454,493.0777930336856,-4159.84778109464,3549101.393345612,-4067.7379866425354,-707.7378937713861,-2.0668319833060065,13.0,168.0,1.0,2.0,0.9955555555555555,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,2,-486.08977530457815,3949.131860317095,0.0,-537.0239314608783,3732.8053716820787,483.1593085377981,-3646.131704517475,3873512.0374847404,-4380.141113356698,-3252.763969665057,-3.882254283380773,22.0,171.0,1.0,0.0,1.0,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,3,-145.85296451874302,3736.008942430115,0.0,-471.28693109704784,3763.6717432399223,474.3955870696862,-3091.0265171496458,3733823.6943187797,-4243.76149760365,-4452.446153316983,-5.089193333749629,33.0,169.0,0.6666666666666666,0.0,0.9977777777777778,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,4,-344.5047330825436,4269.109391595576,0.0,-576.8702154468253,4296.8950615868125,576.8702154468253,-4690.9215498577205,4026554.1038188413,-4614.961723574603,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,0,2437.3635977325757,1746.829613907735,0.0,481.0458175498208,5391.688036103469,-438.093688133035,-2003.4195531849095,3280732.4756897786,-4329.4123579483885,-5851.430871533269,-3.263109948806279,20.0,150.0,1.0,0.0,1.0,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,1,-364.0412547780569,4272.240832461107,0.0,-586.1377367841465,4300.494115258681,586.1377367841465,-4965.852134527793,4166743.4529534504,-4739.774411185996,-286.9783955465365,-2.555442767417289,18.0,169.0,1.0,0.0,0.9948148148148148,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,2,82.59363407950266,3747.2629325482544,0.0,-396.0914131420344,4171.333642717806,402.3454940169107,-4082.2671527615394,3796919.7223891066,-4414.943376162427,-1680.8683449780788,-2.475633428053432,17.0,165.0,1.0,0.0,0.997037037037037,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,3,-344.5047330825436,4269.109391595576,0.0,-576.8702154468253,4296.8950615868125,576.8702154468253,-4690.9215498577205,4026554.1038188413,-4614.961723574603,0.0,-2.0402324602342787,15.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,4,-300.63824342868486,4079.7481323224174,0.0,-549.3825651907995,4106.266128636731,549.3825651907994,-4057.804413005174,3834690.30503178,-4395.060521526397,0.0,-1.562152679656865,13.0,167.0,0.9333333333333333,5.0,0.9896296296296296,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,0,-362.01688900193915,4206.549293149922,0.0,-574.8886513223123,4234.222278915893,574.8886513223123,-4604.896715596646,4142837.5938934,-4686.434584849411,-1039.636171509486,-3.0442789022622865,21.0,171.0,1.0,0.0,1.0,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,1,-321.4996918634137,4450.155357109665,0.0,-600.3113667029314,4479.101727563832,600.3113667029314,-4598.824605714819,4190173.339586462,-4802.490933623451,0.0,-1.8459403579665512,16.0,168.0,1.0,0.0,0.9955555555555555,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,2,-360.6145295246988,4400.701232072438,0.0,-594.8479843094335,4429.39171649036,594.8479843094335,-5011.215491842004,4206170.310646327,-4791.120421767272,-432.576579688082,-2.340822444874816,17.0,169.0,1.0,0.0,0.997037037037037,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,3,-67.80688333216128,3879.6626400151545,-136.5034909998417,-416.1167414500386,3901.3683886982753,439.1333424920551,-3386.6679311531325,3942793.5197456395,-4474.881593762883,-2891.639994984076,-5.0057166117159575,33.0,169.0,0.6,0.0,0.9955555555555555,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,4,-281.4131639783562,3138.7809838104595,0.0,-410.3388424271111,3102.9237635888553,410.19925161957383,-3444.094784697119,3006469.675556822,-3458.0134526100032,-2103.519827884118,-5.380313834228377,34.0,164.0,0.26666666666666666,3.0,0.9748148148148148,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,0,2350.34532776572,1681.2470980743706,0.0,463.9085803659367,4901.455883879685,-413.35021702459926,-1990.7682495908998,3163856.518095688,-4175.177223293429,-7041.879695025254,-3.0159615638293835,18.0,150.0,1.0,0.0,1.0,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,1,2567.09646904859,1823.1406640552245,-5.183347952105107,510.6235820044396,5159.291772109461,-446.6486196455272,-2151.023569168044,3447918.7735393783,-4548.962106471011,-8604.777901395515,-2.6139047660610832,17.0,150.0,1.0,0.0,1.0,0.0,900.0,6.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
