ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,-1,0,-1,0,0.0,900.0,0.0,0.0,1
0,1,-1,0,-1,0,0.0,1800.0,0.0,0.0,1
0,2,-1,0,-1,0,0.0,2700.0,0.0,0.0,1
0,3,703,5,10,1,80.0,3600.0,0.0,80.0,1
0,4,616,5,10,2,160.0,4420.0,0.0,480.0,0
0,4,701,5,10,2,160.0,4420.0,0.0,480.0,0
0,4,615,5,10,2,160.0,4420.0,0.0,480.0,0
0,5,610,5,10,2,160.0,4840.0,0.0,560.0,0
0,5,679,5,10,2,160.0,4840.0,0.0,560.0,0
0,5,459,5,10,3,240.0,4840.0,0.0,560.0,0
0,6,665,5,10,3,240.0,5180.0,0.0,800.0,0
0,6,608,5,10,3,240.0,5180.0,0.0,800.0,0
0,6,448,5,10,4,320.0,5180.0,0.0,800.0,0
0,7,518,5,10,6,480.0,5280.0,0.0,1440.0,0
0,7,509,5,10,6,480.0,5280.0,0.0,1440.0,0
0,7,603,5,10,6,480.0,5280.0,0.0,1440.0,0
0,8,645,5,10,6,480.0,4740.0,0.0,1440.0,0
0,8,424,5,10,6,480.0,4740.0,0.0,1440.0,0
0,8,480,5,10,6,480.0,4740.0,0.0,1440.0,0
0,9,672,5,10,6,480.0,4200.0,0.0,1130.0,0
0,9,100,1,3,1,90.0,4200.0,0.0,1130.0,0
0,9,575,5,10,7,560.0,4200.0,0.0,1130.0,0
0,10,601,5,10,7,560.0,3970.0,0.0,1680.0,0
0,10,551,5,10,7,560.0,3970.0,0.0,1680.0,0
0,10,659,5,10,7,560.0,3970.0,0.0,1680.0,0
0,11,440,5,10,7,560.0,3190.0,0.0,1680.0,0
0,11,431,5,10,7,560.0,3190.0,0.0,1680.0,0
0,11,673,5,10,7,560.0,3190.0,0.0,1680.0,0
0,12,644,5,10,7,560.0,2410.0,0.0,1680.0,0
0,12,656,5,10,7,560.0,2410.0,0.0,1680.0,0
0,12,632,5,10,7,560.0,2410.0,0.0,1680.0,0
0,13,519,5,10,8,640.0,1630.0,0.0,1370.0,0
0,13,423,5,10,8,640.0,1630.0,0.0,1370.0,0
0,13,201,1,3,1,90.0,1630.0,0.0,1370.0,0
0,14,583,5,10,8,640.0,1160.0,0.0,820.0,0
0,14,35,1,3,1,90.0,1160.0,0.0,820.0,0
0,14,81,1,3,1,90.0,1160.0,0.0,820.0,0
1,0,-1,0,-1,0,0.0,900.0,0.0,0.0,1
1,1,-1,0,-1,0,0.0,1800.0,0.0,0.0,1
1,2,-1,0,-1,0,0.0,2700.0,0.0,0.0,1
1,3,703,5,10,1,80.0,3600.0,0.0,80.0,1
1,4,616,5,10,2,160.0,4420.0,0.0,480.0,0
1,4,701,5,10,2,160.0,4420.0,0.0,480.0,0
1,4,615,5,10,2,160.0,4420.0,0.0,480.0,0
1,5,610,5,10,2,160.0,4840.0,0.0,560.0,0
1,5,679,5,10,2,160.0,4840.0,0.0,560.0,0
1,5,459,5,10,3,240.0,4840.0,0.0,560.0,0
