ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,525,5,10,11,880.0,900.0,0.0,880.0,1
0,1,535,5,10,10,800.0,920.0,0.0,880.0,1
0,1,703,5,10,1,80.0,920.0,0.0,880.0,1
0,2,555,5,10,10,800.0,940.0,0.0,940.0,0
0,2,100,1,3,1,90.0,940.0,0.0,940.0,0
0,2,201,1,6,1,50.0,940.0,0.0,940.0,0
0,3,473,5,10,10,800.0,900.0,0.0,890.0,1
0,3,35,1,3,1,90.0,900.0,0.0,890.0,1
0,4,543,5,10,10,800.0,910.0,0.0,890.0,1
0,4,81,1,3,1,90.0,910.0,0.0,890.0,1
0,5,509,5,10,6,480.0,920.0,0.0,900.0,0
0,5,459,5,10,3,240.0,920.0,0.0,900.0,0
0,5,197,1,3,2,180.0,920.0,0.0,900.0,0
0,6,603,5,10,6,480.0,920.0,0.0,910.0,0
0,6,99,1,3,3,270.0,920.0,0.0,910.0,0
0,6,616,5,10,2,160.0,920.0,0.0,910.0,0
0,7,518,5,10,6,480.0,910.0,0.0,840.0,0
0,7,101,1,3,2,180.0,910.0,0.0,840.0,0
0,7,65,1,3,2,180.0,910.0,0.0,840.0,0
0,8,430,5,10,9,720.0,970.0,0.0,900.0,1
0,8,34,1,3,2,180.0,970.0,0.0,900.0,1
0,9,515,5,10,9,720.0,970.0,0.0,960.0,1
0,9,665,5,10,3,240.0,970.0,0.0,960.0,1
0,10,567,5,10,9,720.0,910.0,0.0,720.0,1
0,11,586,5,10,9,720.0,1090.0,0.0,720.0,1
0,12,542,5,10,9,720.0,1270.0,0.0,1200.0,1
0,12,645,5,10,6,480.0,1270.0,0.0,1200.0,1
0,13,551,5,10,7,560.0,970.0,0.0,560.0,1
0,14,592,5,10,10,800.0,1310.0,0.0,800.0,1
1,0,525,5,10,11,880.0,900.0,0.0,880.0,1
1,1,535,5,10,10,800.0,920.0,0.0,880.0,1
1,1,703,5,10,1,80.0,920.0,0.0,880.0,1
1,2,555,5,10,10,800.0,940.0,0.0,940.0,0
1,2,100,1,3,1,90.0,940.0,0.0,940.0,0
1,2,201,1,6,1,50.0,940.0,0.0,940.0,0
1,3,473,5,10,10,800.0,900.0,0.0,890.0,1
1,3,35,1,3,1,90.0,900.0,0.0,890.0,1
1,4,543,5,10,10,800.0,910.0,0.0,890.0,1
1,4,81,1,3,1,90.0,910.0,0.0,890.0,1
1,5,509,5,10,6,480.0,920.0,0.0,900.0,0
1,5,459,5,10,3,240.0,920.0,0.0,900.0,0
1,5,197,1,3,2,180.0,920.0,0.0,900.0,0
1,6,603,5,10,6,480.0,920.0,0.0,910.0,0
1,6,99,1,3,3,270.0,920.0,0.0,910.0,0
1,6,616,5,10,2,160.0,920.0,0.0,910.0,0
1,7,518,5,10,6,480.0,910.0,0.0,840.0,0
1,7,101,1,3,2,180.0,910.0,0.0,840.0,0
1,7,65,1,3,2,180.0,910.0,0.0,840.0,0
1,8,430,5,10,9,720.0,970.0,0.0,900.0,1
1,8,34,1,3,2,180.0,970.0,0.0,900.0,1
1,9,515,5,10,9,720.0,970.0,0.0,960.0,1
1,9,665,5,10,3,240.0,970.0,0.0,960.0,1
1,10,567,5,10,9,720.0,910.0,0.0,900.0,1
1,10,20,1,3,2,180.0,910.0,0.0,900.0,1
1,11,586,5,10,9,720.0,910.0,0.0,720.0,1
1,12,542,5,10,9,720.0,1090.0,0.0,720.0,1
1,13,551,5,10,7,560.0,1270.0,0.0,1200.0,1
1,13,553,5,10,8,640.0,1270.0,0.0,1200.0,1
1,14,592,5,10,10,800.0,970.0,0.0,800.0,1
2,0,525,5,10,11,880.0,900.0,0.0,880.0,1
2,1,535,5,10,10,800.0,920.0,0.0,880.0,1
2,1,703,5,10,1,80.0,920.0,0.0,880.0,1
2,2,555,5,10,10,800.0,940.0,0.0,940.0,0
2,2,100,1,3,1,90.0,940.0,0.0,940.0,0
2,2,201,1,6,1,50.0,940.0,0.0,940.0,0
2,3,473,5,10,10,800.0,900.0,0.0,890.0,1
2,3,35,1,3,1,90.0,900.0,0.0,890.0,1
