ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,272,2,3,9,720.0,900.0,0.0,880.0,1
0,0,313,2,3,2,160.0,900.0,0.0,880.0,1
0,1,282,2,3,10,800.0,920.0,0.0,890.0,1
0,1,293,2,3,1,90.0,920.0,0.0,890.0,1
0,2,283,2,3,11,900.0,930.0,0.0,900.0,1
0,3,236,2,3,11,920.0,930.0,0.0,920.0,1
0,4,221,2,3,10,820.0,910.0,0.0,900.0,1
0,4,299,2,3,1,80.0,910.0,0.0,900.0,1
0,5,255,2,3,10,900.0,910.0,0.0,900.0,1
0,6,311,2,3,10,900.0,910.0,0.0,900.0,1
0,7,332,2,3,10,900.0,910.0,0.0,900.0,1
0,8,239,2,3,10,890.0,910.0,0.0,890.0,1
0,9,297,2,3,10,900.0,920.0,0.0,900.0,1
0,10,288,2,3,9,810.0,920.0,0.0,890.0,1
0,10,337,2,3,1,80.0,920.0,0.0,890.0,1
0,11,278,2,3,10,800.0,930.0,0.0,930.0,0
0,11,217,2,3,1,80.0,930.0,0.0,930.0,0
0,11,355,3,3,1,50.0,930.0,0.0,930.0,0
0,12,281,2,3,9,720.0,900.0,0.0,880.0,1
0,12,263,2,3,2,160.0,900.0,0.0,880.0,1
0,13,291,2,3,2,160.0,920.0,0.0,640.0,0
0,13,298,2,3,3,240.0,920.0,0.0,640.0,0
0,13,295,2,3,3,240.0,920.0,0.0,640.0,0
0,14,258,2,3,14,1120.0,1180.0,0.0,1170.0,1
0,14,343,3,3,1,50.0,1180.0,0.0,1170.0,1
1,0,272,2,3,9,720.0,900.0,0.0,880.0,1
1,0,313,2,3,2,160.0,900.0,0.0,880.0,1
1,1,282,2,3,10,800.0,920.0,0.0,890.0,1
1,1,293,2,3,1,90.0,920.0,0.0,890.0,1
1,2,283,2,3,11,900.0,930.0,0.0,900.0,1
1,3,236,2,3,11,920.0,930.0,0.0,920.0,1
1,4,221,2,3,10,820.0,910.0,0.0,900.0,1
1,4,299,2,3,1,80.0,910.0,0.0,900.0,1
1,5,255,2,3,10,900.0,910.0,0.0,900.0,1
1,6,311,2,3,10,900.0,910.0,0.0,900.0,1
1,7,332,2,3,10,900.0,910.0,0.0,900.0,1
1,8,239,2,3,10,890.0,910.0,0.0,890.0,1
1,9,297,2,3,10,900.0,920.0,0.0,900.0,1
1,10,288,2,3,9,810.0,920.0,0.0,890.0,1
1,10,337,2,3,1,80.0,920.0,0.0,890.0,1
1,11,278,2,3,10,800.0,930.0,0.0,930.0,0
1,11,217,2,3,1,80.0,930.0,0.0,930.0,0
1,11,355,3,3,1,50.0,930.0,0.0,930.0,0
1,12,281,2,3,9,720.0,900.0,0.0,880.0,1
1,12,263,2,3,2,160.0,900.0,0.0,880.0,1
1,13,291,2,3,2,160.0,920.0,0.0,640.0,0
1,13,298,2,3,3,240.0,920.0,0.0,640.0,0
1,13,295,2,3,3,240.0,920.0,0.0,640.0,0
1,14,258,2,3,14,1120.0,1180.0,0.0,1170.0,1
1,14,343,3,3,1,50.0,1180.0,0.0,1170.0,1
2,0,272,2,3,9,720.0,900.0,0.0,880.0,1
2,0,313,2,3,2,160.0,900.0,0.0,880.0,1
2,1,282,2,3,10,800.0,920.0,0.0,890.0,1
2,1,293,2,3,1,90.0,920.0,0.0,890.0,1
2,2,283,2,3,11,900.0,930.0,0.0,900.0,1
2,3,236,2,3,11,920.0,930.0,0.0,920.0,1
2,4,221,2,3,10,820.0,910.0,0.0,900.0,1
2,4,299,2,3,1,80.0,910.0,0.0,900.0,1
2,5,255,2,3,10,900.0,910.0,0.0,900.0,1
2,6,311,2,3,10,900.0,910.0,0.0,900.0,1
2,7,332,2,3,10,900.0,910.0,0.0,900.0,1
2,8,239,2,3,10,890.0,910.0,0.0,890.0,1
2,9,297,2,3,10,900.0,920.0,0.0,900.0,1
2,10,288,2,3,9,810.0,920.0,0.0,890.0,1
2,10,337,2,3,1,80.0,920.0,0.0,890.0,1
2,11,278,2,3,10,800.0,930.0,0.0,930.0,0
2,11,217,2,3,1,80.0,930.0,0.0,930.0,0
2,11,355,3,3,1,50.0,930.0,0.0,930.0,0
2,12,281,2,3,9,720.0,900.0,0.0,880.0,1
2,12,263,2,3,2,160.0,900.0,0.0,880.0,1
2,13,291,2,3,2,160.0,920.0,0.0,640.0,0
2,13,298,2,3,3,240.0,920.0,0.0,640.0,0
2,13,295,2,3,3,240.0,920.0,0.0,640.0,0
2,14,258,2,3,14,1120.0,1180.0,0.0,1170.0,1
2,14,343,3,3,1,50.0,1180.0,0.0,1170.0,1
3,0,272,2,3,9,720.0,900.0,0.0,880.0,1
3,0,313,2,3,2,160.0,900.0,0.0,880.0,1
3,1,282,2,3,10,800.0,920.0,0.0,890.0,1
3,1,293,2,3,1,90.0,920.0,0.0,890.0,1
3,2,283,2,3,11,900.0,930.0,0.0,900.0,1
3,3,236,2,3,11,920.0,930.0,0.0,920.0,1
3,4,221,2,3,10,820.0,910.0,0.0,900.0,1
3,4,299,2,3,1,80.0,910.0,0.0,900.0,1
3,5,255,2,3,10,900.0,910.0,0.0,900.0,1
3,6,311,2,3,10,900.0,910.0,0.0,900.0,1
3,7,332,2,3,10,900.0,910.0,0.0,900.0,1
3,8,239,2,3,10,890.0,910.0,0.0,890.0,1
3,9,297,2,3,10,900.0,920.0,0.0,900.0,1
3,10,288,2,3,9,810.0,920.0,0.0,890.0,1
3,10,337,2,3,1,80.0,920.0,0.0,890.0,1
3,11,278,2,3,10,800.0,930.0,0.0,930.0,0
3,11,217,2,3,1,80.0,930.0,0.0,930.0,0
3,11,355,3,3,1,50.0,930.0,0.0,930.0,0
3,12,281,2,3,9,720.0,900.0,0.0,880.0,1
3,12,263,2,3,2,160.0,900.0,0.0,880.0,1
3,13,291,2,3,2,160.0,920.0,0.0,640.0,0
3,13,298,2,3,3,240.0,920.0,0.0,640.0,0
3,13,295,2,3,3,240.0,920.0,0.0,640.0,0
3,14,258,2,3,14,1120.0,1180.0,0.0,1170.0,1
3,14,343,3,3,1,50.0,1180.0,0.0,1170.0,1
4,0,272,2,3,9,720.0,900.0,0.0,880.0,1
4,0,313,2,3,2,160.0,900.0,0.0,880.0,1
4,1,282,2,3,10,800.0,920.0,0.0,890.0,1
4,1,293,2,3,1,90.0,920.0,0.0,890.0,1
4,2,283,2,3,11,900.0,930.0,0.0,900.0,1
4,3,236,2,3,11,920.0,930.0,0.0,920.0,1
4,4,221,2,3,10,820.0,910.0,0.0,900.0,1
4,4,299,2,3,1,80.0,910.0,0.0,900.0,1
4,5,255,2,3,10,900.0,910.0,0.0,900.0,1
4,6,311,2,3,10,900.0,910.0,0.0,900.0,1
4,7,332,2,3,10,900.0,910.0,0.0,900.0,1
4,8,239,2,3,10,890.0,910.0,0.0,890.0,1
4,9,297,2,3,10,900.0,920.0,0.0,900.0,1
4,10,288,2,3,9,810.0,920.0,0.0,890.0,1
4,10,337,2,3,1,80.0,920.0,0.0,890.0,1
4,11,278,2,3,10,800.0,930.0,0.0,930.0,0
4,11,217,2,3,1,80.0,930.0,0.0,930.0,0
4,11,355,3,3,1,50.0,930.0,0.0,930.0,0
4,12,281,2,3,9,720.0,900.0,0.0,880.0,1
4,12,263,2,3,2,160.0,900.0,0.0,880.0,1
4,13,291,2,3,2,160.0,920.0,0.0,640.0,0
4,13,298,2,3,3,240.0,920.0,0.0,640.0,0
4,13,295,2,3,3,240.0,920.0,0.0,640.0,0
4,14,258,2,3,14,1120.0,1180.0,0.0,1170.0,1
4,14,343,3,3,1,50.0,1180.0,0.0,1170.0,1
