policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,4718.012588669959,80.27880708447103,-4548.320338626009,2366.2276843160053,260.7174889615604,877.5495474485035,-241.82697843944916,3708885.6493408084,-3988.060020770939,-40140.14345310219,-7.87273656887687,38,13,25,13,13490.0,0.34210526315789475,0.6578947368421053
myopic,1,4210.94718339412,21.748030952826852,-4189.5102459769105,2113.6469239707726,176.76617550191096,1389.9464136934282,-258.01529258964615,3247894.472147585,-3469.0942845520826,-43433.09873186227,-8.902537421384817,38,12,22,16,13490.0,0.3157894736842105,0.5789473684210527
myopic,2,5512.882148146474,82.23197197014741,-5173.266672204463,2765.625514131587,276.9083220627548,1501.537187502457,-216.88702747483956,4295106.698134747,-4650.636323585585,-55245.61459664013,-6.3632240463999175,38,12,28,10,13490.0,0.3157894736842105,0.7368421052631579
myopic,3,4840.401423067458,79.1341738764275,-4574.228585431475,2423.888117777437,262.23490527591537,1056.3118387018992,-107.80951425871527,3826261.8595148996,-4112.851069162381,-41781.02562381969,-7.064176889818416,38,13,25,13,13490.0,0.34210526315789475,0.6578947368421053
myopic,4,4622.494333651085,63.58575393201873,-4331.381291694821,2324.228341281676,240.15507221979777,1616.593318693112,-211.56052238040135,3694129.1704883217,-3952.52135817823,-40682.41514512391,-7.653024889333824,38,11,25,13,13490.0,0.2894736842105263,0.6578947368421053
greedy_crh,0,2114.459911856737,22.892664160870375,-2100.996011720044,1056.485375252406,108.95694593746686,40.177786739988136,-96.51393092955765,1651304.027324853,-1761.7011382906214,-14732.902553041182,-4.377665653906249,16,9,10,6,4470.0,0.5625,0.625
greedy_crh,1,2423.5677346679417,21.748030952826852,-2414.242670721232,1212.8093362833806,100.14990917862548,750.5636497943132,-111.48367355597546,1882631.0953179346,-2009.6041492649988,-21301.298500941404,-2.905547420312499,16,12,12,4,4470.0,0.75,0.75
greedy_crh,2,2220.4137057018525,0.0,-2239.1790712345664,1119.5895356172832,101.35435492601707,476.86586127963665,-124.90434614956716,1668188.408069752,-1791.343256987653,-16458.95549942499,-4.1992172613261705,16,9,10,6,4470.0,0.5625,0.625
greedy_crh,3,1934.390260600831,21.748030952826852,-1883.3136310247787,965.3069246123055,105.81556011111141,143.4429198474569,-36.38400110944785,1511591.0949611645,-1618.236759764506,-14872.842921787253,-3.4641253707011703,16,11,11,5,4470.0,0.6875,0.6875
greedy_crh,4,1087.1193860742662,19.627597934926232,-1069.9098048665396,540.0883232660649,64.44073245340488,-154.83657466470362,-31.52572169776463,879701.302428774,-930.5686360022102,-9994.94972231778,-5.603247608550779,16,8,8,8,4470.0,0.5,0.5
frontload,0,2114.459911856737,22.892664160870375,-2100.996011720044,1056.485375252406,108.95694593746686,40.177786739988136,-96.51393092955765,1651304.027324853,-1761.7011382906214,-14732.902553041182,-4.377665653906249,16,9,10,6,4470.0,0.5625,0.625
frontload,1,2423.5677346679417,21.748030952826852,-2414.242670721232,1212.8093362833806,100.14990917862548,750.5636497943132,-111.48367355597546,1882631.0953179346,-2009.6041492649988,-21301.298500941404,-2.905547420312499,16,12,12,4,4470.0,0.75,0.75
frontload,2,2220.4137057018525,0.0,-2239.1790712345664,1119.5895356172832,101.35435492601707,476.86586127963665,-124.90434614956716,1668188.408069752,-1791.343256987653,-16458.95549942499,-4.1992172613261705,16,9,10,6,4470.0,0.5625,0.625
frontload,3,1934.390260600831,21.748030952826852,-1883.3136310247787,965.3069246123055,105.81556011111141,143.4429198474569,-36.38400110944785,1511591.0949611645,-1618.236759764506,-14872.842921787253,-3.4641253707011703,16,11,11,5,4470.0,0.6875,0.6875
frontload,4,1087.1193860742662,19.627597934926232,-1069.9098048665396,540.0883232660649,64.44073245340488,-154.83657466470362,-31.52572169776463,879701.302428774,-930.5686360022102,-9994.94972231778,-5.603247608550779,16,8,8,8,4470.0,0.5,0.5
evenspread,0,4729.05150222623,0.0,-4506.108808006722,2380.5641446549294,190.95974235995635,1077.3690638998678,-222.20370076931027,3547040.575535845,-3851.4058783317437,-38238.91998463925,-4.734865531422748,29,8,20,9,13470.0,0.27586206896551724,0.6896551724137931
evenspread,1,4894.331165841329,70.40749241076433,-4651.1376983508135,2453.4917394956224,241.03513077148827,1305.6236526531122,-162.68008757721583,3741142.732076457,-4071.2073461577934,-41719.82509694994,-4.939895266523436,29,8,21,8,13470.0,0.27586206896551724,0.7241379310344828
evenspread,2,4243.298651551704,76.60710341913615,-4033.4954187243115,2126.3653944664024,221.78168431984287,1076.098699758053,-154.95261015483038,3260993.8301057047,-3550.2287126108363,-39509.00390543887,-5.927368500250545,29,6,19,10,13470.0,0.20689655172413793,0.6551724137931034
evenspread,3,5642.185885660037,54.51683577746456,-5447.006646430974,2836.8845052361385,251.64774636829412,1726.2471815134413,-203.20133350328183,4290881.613071328,-4651.776518088386,-40316.5456267593,-5.674988229375886,29,8,19,10,13470.0,0.27586206896551724,0.6551724137931034
evenspread,4,4193.94165529999,74.83455430978613,-4039.2211933769813,2101.5794133017166,205.59165214887494,1791.658928918952,-88.72262247130088,3222295.8576208185,-3499.5828946631937,-39280.88689497165,-6.199167896699596,29,8,18,11,13470.0,0.27586206896551724,0.6206896551724138
backload,0,1585.2520527016422,46.74137207470367,-1490.565502800874,793.9310422278379,93.1632353947793,559.858103890375,62.51499598263693,1322529.9129444323,-1401.4179398303195,-13388.887130750865,-2.6221704513004327,18,0,12,6,6290.0,0.0,0.6666666666666666
backload,1,2280.078668483616,46.74137207470367,-2182.4924460192506,1144.6261919322667,115.39664381113106,950.3567327215387,27.267911327242246,1790304.8802032184,-1931.3948571210442,-16887.44897473011,-3.065600965537274,18,0,11,7,6290.0,0.0,0.6111111111111112
backload,2,1068.0557329216476,42.18408829742006,-973.5556598930476,534.46291498177,83.72263857858711,418.786615310293,38.96626622336771,899972.1994744241,-961.3975329819211,-11512.902828670341,-2.5792581011068854,18,0,12,6,6290.0,0.0,0.6666666666666666
backload,3,1058.8943110048715,0.0,-974.1368255915061,533.1719429545066,49.6150218002045,173.53463098125349,-7.6638100765004715,824431.4667078097,-886.3672482338887,-12098.430321031545,-3.376877656371047,18,0,10,8,6290.0,0.0,0.5555555555555556
backload,4,1884.5206916722925,0.0,-1801.8058952286972,949.4329793604048,69.29002967330497,496.3872541789035,-7.633795037484976,1439094.6205841585,-1549.8688954422719,-13235.982603804696,-3.353713094863059,18,0,10,8,6290.0,0.0,0.5555555555555556
oracle,0,5052.865413640441,22.892664160870375,-4796.29124612646,2535.8901435404514,238.99984180488173,681.1832112503021,-189.88971533748847,3946925.996453093,-4227.2131371359565,-36626.49664435773,0.0,23,23,23,0,7200.0,1.0,1.0
oracle,1,5052.865413640441,22.892664160870375,-4796.29124612646,2535.8901435404514,238.99984180488173,681.1832112503021,-189.88971533748847,3946925.996453093,-4227.2131371359565,-36626.49664435773,0.0,23,23,23,0,7200.0,1.0,1.0
oracle,2,5052.865413640441,22.892664160870375,-4796.29124612646,2535.8901435404514,238.99984180488173,681.1832112503021,-189.88971533748847,3946925.996453093,-4227.2131371359565,-36626.49664435773,0.0,23,23,23,0,7200.0,1.0,1.0
oracle,3,5052.865413640441,22.892664160870375,-4796.29124612646,2535.8901435404514,238.99984180488173,681.1832112503021,-189.88971533748847,3946925.996453093,-4227.2131371359565,-36626.49664435773,0.0,23,23,23,0,7200.0,1.0,1.0
oracle,4,5052.865413640441,22.892664160870375,-4796.29124612646,2535.8901435404514,238.99984180488173,681.1832112503021,-189.88971533748847,3946925.996453093,-4227.2131371359565,-36626.49664435773,0.0,23,23,23,0,7200.0,1.0,1.0
