policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,5200.572105677371,221.38899291141675,-5036.735707465648,2587.265586424144,327.9629505398663,2236.3442778084413,-115.66559140404195,4207359.207326885,-6438.592443061369,-35215.819537365,-5.93370542480326,36,14,25,11,15770.0,0.3888888888888889,0.6944444444444444
myopic,1,5756.328573132362,240.31351899042798,-5449.345195166156,2862.58723384052,362.34120538464333,1936.4637857312132,-18.087159677499532,4724393.229678015,-6875.653976782938,-45392.525687618065,-7.919775154353354,42,12,28,14,15040.0,0.2857142857142857,0.6666666666666666
myopic,2,5809.989768492885,112.73737759978734,-5582.938879211465,2909.2972982641304,265.7033486099241,1644.7849085021644,-107.72958946441433,4626509.2469938975,-6716.628734647164,-43010.0998424977,-5.931211727700214,38,13,28,10,14760.0,0.34210526315789475,0.7368421052631579
myopic,3,5215.269614729223,206.46920462822033,-4929.046994979909,2601.210241883528,315.32561609323193,1848.8157273906909,39.38826473796773,4202561.350963853,-6505.775870783959,-47467.29133276904,-7.553660123860757,38,11,24,14,16420.0,0.2894736842105263,0.631578947368421
myopic,4,5814.621173375124,0.0,-5608.5426370106825,2928.834886817245,212.49572654373992,1756.1006953100616,-181.8794394699537,4450010.516447028,-6702.120906518154,-38810.484254146315,-8.732759076969264,37,8,22,15,16110.0,0.21621621621621623,0.5945945945945946
greedy_crh,0,1527.8085933586267,194.16016316622307,-1345.778825928897,747.6266281428907,181.2070426682613,686.3960050309898,176.07825086845904,1386642.0803962718,-2228.7851792090355,-16310.331337765678,-3.4586073453906234,15,10,10,5,4490.0,0.6666666666666666,0.6666666666666666
greedy_crh,1,1789.4000498240493,208.47087927220537,-1754.8507002019583,876.9774540176971,188.41706429221256,1055.162090015082,104.54742997621483,1596228.8913081824,-2417.896364373425,-18911.31940257265,-4.1992172613261705,15,9,9,6,4490.0,0.6,0.6
greedy_crh,2,2007.3454419878517,76.43857132587611,-1991.0739838955158,1005.1727632208397,103.97655130370197,969.7814179326559,-48.34157176632097,1670601.030847588,-2457.2601077241793,-16048.471645554471,-4.27466090273242,15,9,9,6,4490.0,0.6,0.6
greedy_crh,3,1575.8598155836057,199.17994179808636,-1382.239851162039,771.3137603419982,187.20255366926847,275.3088469630757,215.8617671881992,1422766.2119528058,-2268.707085406811,-19664.26062439532,-3.4218527508593732,15,9,10,5,4490.0,0.6,0.6666666666666666
greedy_crh,4,1356.6055381927758,96.06616926080235,-1307.7260614016084,668.632222806681,95.20506883121138,361.5206396334405,21.29982349637086,1155811.433265663,-1966.2959275212547,-14092.733178937051,-4.868155717925779,15,8,8,7,4490.0,0.5333333333333333,0.5333333333333333
frontload,0,1527.8085933586267,194.16016316622307,-1345.778825928897,747.6266281428907,181.2070426682613,686.3960050309898,176.07825086845904,1386642.0803962718,-2228.7851792090355,-16310.331337765678,-3.4586073453906234,15,10,10,5,4490.0,0.6666666666666666,0.6666666666666666
frontload,1,1789.4000498240493,208.47087927220537,-1754.8507002019583,876.9774540176971,188.41706429221256,1055.162090015082,104.54742997621483,1596228.8913081824,-2417.896364373425,-18911.31940257265,-4.1992172613261705,15,9,9,6,4490.0,0.6,0.6
frontload,2,2007.3454419878517,76.43857132587611,-1991.0739838955158,1005.1727632208397,103.97655130370197,969.7814179326559,-48.34157176632097,1670601.030847588,-2457.2601077241793,-16048.471645554471,-4.27466090273242,15,9,9,6,4490.0,0.6,0.6
frontload,3,1575.8598155836057,199.17994179808636,-1382.239851162039,771.3137603419982,187.20255366926847,275.3088469630757,215.8617671881992,1422766.2119528058,-2268.707085406811,-19664.26062439532,-3.4218527508593732,15,9,10,5,4490.0,0.6,0.6666666666666666
frontload,4,1356.6055381927758,96.06616926080235,-1307.7260614016084,668.632222806681,95.20506883121138,361.5206396334405,21.29982349637086,1155811.433265663,-1966.2959275212547,-14092.733178937051,-4.868155717925779,15,8,8,7,4490.0,0.5333333333333333,0.5333333333333333
evenspread,0,3288.9879571804986,95.84533567720871,-3301.9416805727387,1649.6188612143346,179.37876560481897,1578.1975417813271,38.77277190862169,2570315.524269726,-4096.2580354347065,-18262.982598303624,-2.5472300297345694,15,5,10,5,11420.0,0.3333333333333333,0.6666666666666666
evenspread,1,5286.959318696425,95.84533567720871,-5340.69938756211,2657.0812851552737,231.01253845593294,1746.9371825682115,33.42039546416214,4071434.535941724,-5600.571976254384,-22109.61592475257,-2.18600838002536,15,5,11,4,11420.0,0.3333333333333333,0.7333333333333333
evenspread,2,2465.7264690960274,86.50041544868085,-2467.9879645222554,1234.5628535329356,149.0384110412678,1022.8549259426584,91.86456907866831,1940924.6892710552,-3463.5543008311547,-18672.080101491883,-2.9125837588937538,15,5,9,6,11420.0,0.3333333333333333,0.6
evenspread,3,3488.010900394193,100.88982702864074,-3407.168310917312,1749.619676600327,202.97881952988678,694.1339024293436,105.20115128912472,2725231.6560927685,-4267.212483219495,-17244.56546436354,-2.5429288718742664,15,4,10,5,11420.0,0.26666666666666666,0.6666666666666666
evenspread,4,3145.9644856002633,0.0,-3071.707332249993,1584.3836978710533,109.35143789945087,862.8506667400563,-47.277426338396126,2360731.7098278697,-3890.8622510877744,-17238.794860737507,-2.961247709344801,15,3,10,5,11420.0,0.2,0.6666666666666666
backload,0,1324.6032582587236,113.78127283506666,-1348.6677336759649,658.8017416854282,120.78043972537225,379.05415313052845,91.68010438494807,1113171.6951534236,-1765.5077725134315,-9009.997146143709,-2.41068669144307,14,0,8,6,5870.0,0.0,0.5714285714285714
backload,1,1778.753446465722,60.4064662354178,-1677.598434408199,890.2874503218314,104.51394267702099,914.4807504785045,77.47588240753714,1397357.8857656573,-2066.281219630947,-13005.758262150497,-2.536232823675986,14,0,8,6,5870.0,0.0,0.5714285714285714
backload,2,1579.2817106602602,43.478266423639084,-1595.669499394431,791.9949692104401,66.14865164029868,508.68957518413424,19.470092755414797,1253974.926183699,-1891.4892083542024,-11371.093760905473,-2.0740998215916324,14,0,9,5,5870.0,0.0,0.6428571428571429
backload,3,1944.1966853988436,110.76094952329578,-1850.4079220699741,969.9405960397676,126.8558839352712,1023.2823893475772,96.10028100413933,1573227.1089020825,-2246.1479894126574,-15559.50365169213,-2.093847610277192,14,0,9,5,5870.0,0.0,0.6428571428571429
backload,4,1607.988563450439,53.379905216981555,-1532.8884730026273,805.3780482118963,71.41269877160283,630.9868234657771,33.67817461546146,1285180.288428888,-1937.843378024565,-12121.614113628866,-2.99842373716411,14,0,7,7,5870.0,0.0,0.5
oracle,0,4750.39741715973,208.47087927220537,-4504.693329453341,2369.0144381285613,323.6710759111877,1430.7679507664213,11.317455051322067,3914938.510552637,-5139.594438198097,-37705.80861072275,0.0,22,22,22,0,7200.0,1.0,1.0
oracle,1,4750.39741715973,208.47087927220537,-4504.693329453341,2369.0144381285613,323.6710759111877,1430.7679507664213,11.317455051322067,3914938.510552637,-5139.594438198097,-37705.80861072275,0.0,22,22,22,0,7200.0,1.0,1.0
oracle,2,4750.39741715973,208.47087927220537,-4504.693329453341,2369.0144381285613,323.6710759111877,1430.7679507664213,11.317455051322067,3914938.510552637,-5139.594438198097,-37705.80861072275,0.0,22,22,22,0,7200.0,1.0,1.0
oracle,3,4750.39741715973,208.47087927220537,-4504.693329453341,2369.0144381285613,323.6710759111877,1430.7679507664213,11.317455051322067,3914938.510552637,-5139.594438198097,-37705.80861072275,0.0,22,22,22,0,7200.0,1.0,1.0
oracle,4,4750.39741715973,208.47087927220537,-4504.693329453341,2369.0144381285613,323.6710759111877,1430.7679507664213,11.317455051322067,3914938.510552637,-5139.594438198097,-37705.80861072275,0.0,22,22,22,0,7200.0,1.0,1.0
