alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-584.7469437555825,4660.61774535071,0.0,-640.9296834526534,4255.955420853575,547.5571878671345,-3696.45655459672,4540040.353526757,-6995.005108267025,-6568.169348855736,-2.632373580828201,18.8,193.8,0.9866666666666667,0.0,1.1408888888888888,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.0,1,-321.1421688563107,4174.605507546892,0.0,-563.8144915168979,4192.685030357192,563.8144915168979,-4142.808261143598,4200001.940652691,-6494.315240016345,-1766.6745861710974,-3.8314477696579994,24.2,192.8,0.9466666666666667,0.0,1.1185185185185185,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.0,2,-583.5185078223444,4634.955971211375,0.0,-640.2986591348738,4157.709312524714,530.750557228575,-3480.1772180912985,4469284.640761418,-6988.379556605459,-5324.69630578488,-2.4358979919235964,15.0,196.4,1.0,0.0,1.163851851851852,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.0,3,-354.38870262732127,4660.418411292435,0.0,-624.467068959814,4691.6206815384585,626.6760105850789,-4987.043157091082,4435197.211800331,-6911.076035594476,-497.3733473193279,-2.8100165799260255,20.4,192.4,0.9333333333333333,0.0,1.139851851851852,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.0,4,-447.9863889074195,4862.69624702819,0.0,-675.2403639708476,4846.549626531907,666.4868403780392,-5197.687891702636,4713177.740516516,-7157.058537098591,-402.5613792847116,-1.741119780592403,15.2,186.2,1.0,0.0,1.1034074074074074,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.15,0,-441.89876663358825,4609.99104431793,0.0,-639.2914477939032,4535.596982090133,617.6841855301764,-4871.095049676904,4513776.387425618,-7032.470194474472,-1580.6107672626379,-3.119454811228882,18.0,199.4,1.0,0.0,1.174962962962963,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.15,1,-437.6966858965373,4498.486816648141,0.0,-617.4932627714212,4450.945550721798,605.5851956243796,-4399.60266755682,4406819.571089411,-6903.751884528334,-1354.0406895548533,-3.595521572682835,20.0,200.0,0.9733333333333334,0.0,1.174962962962963,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.15,2,-543.5533048774811,4331.322506308714,0.0,-596.0704943298756,4065.5043917311004,534.770756228804,-3448.654485934369,4267985.6331660515,-6737.340868050698,-4681.494317582208,-3.542258477974163,19.8,197.0,0.9866666666666667,0.0,1.157185185185185,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.15,3,-389.33976929865224,4840.1144024199475,0.0,-654.9244565012019,4866.176099842183,654.9244565012019,-5435.372168701969,4571372.706378388,-7028.101037134918,0.0,-2.3209412443076225,18.6,188.6,0.92,0.0,1.1176296296296295,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.15,4,-214.84741746414292,4388.195236315257,0.0,-561.71770512772,4446.28071032046,563.5726031093802,-3959.7769685814114,4294216.734701388,-6758.616544168244,-2982.14367669216,-6.027325192519859,36.6,192.0,0.49333333333333335,0.0,1.1404444444444444,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.3,0,-356.5588372493514,4793.206541045419,0.0,-646.1124129370568,4808.95214318972,644.7075286107213,-4759.814231390372,4509864.642300656,-6933.810454234287,-146.68770293215138,-2.6252131451402354,19.2,185.2,0.9466666666666667,0.0,1.0974814814814815,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.3,1,-349.5285860403741,4642.4074304961905,0.0,-627.2760451627703,4666.589168305365,627.2760451627703,-4795.561695199796,4378386.795236137,-6869.947072771053,0.0,-3.186633516088457,19.2,193.4,0.9733333333333334,0.0,1.146074074074074,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.3,2,155.6196532691567,4473.252323928509,0.0,-453.09735005234853,4643.065459106314,495.63694212310946,-4405.246555355023,4393594.517137881,-6929.442530460583,-2556.7972210653106,-2.1474682039386517,15.2,184.4,1.0,0.0,1.1088888888888888,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.3,3,-252.8696302877059,4506.187249327803,0.0,-584.7411261338742,4541.591093599236,593.4365439798211,-4775.932127546552,4358776.67524856,-6802.839286896218,-2218.997438071562,-3.7322130346940474,26.0,191.4,0.8533333333333334,0.0,1.1312592592592592,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.3,4,128.77429962978042,4058.2013760081863,-2.7244930103049185,-417.5501171352679,4379.331705353419,446.9711830469041,-4043.525089871061,4071719.4261313328,-6596.705859646054,-3055.8979138449204,-3.7439853147858506,23.2,188.2,0.9866666666666667,0.0,1.1332592592592592,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.5,0,2968.3719293497425,2222.97105501886,0.0,603.2966768931313,6010.373851376807,-517.5320720111544,-2281.293886371893,3940671.199516335,-7109.1180582970455,-7469.385927821849,-2.696463445900375,19.6,175.4,0.9333333333333333,0.0,1.1756296296296296,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.5,1,2905.7697098584413,2238.1800982079812,0.0,595.0669538727967,6069.758933074548,-508.7248224474265,-2082.481950175672,3806271.4822144145,-6924.081242003966,-6030.320006175603,-2.8878733633883145,19.8,172.6,0.9733333333333334,0.0,1.1577037037037037,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.5,2,3013.115308126592,2308.898434062656,0.0,612.6855771654148,5721.694202157951,-496.6458870658089,-2276.3654203478227,3938524.3189240457,-7043.29525789277,-9678.745935363902,-2.327972243425486,16.8,168.0,1.0,0.0,1.1266666666666667,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.5,3,3092.3738992944745,2460.384480342477,0.0,636.3703614757853,6017.251661427574,-518.688239196402,-2338.546076253813,3963694.780885863,-7126.772170032319,-7824.624853263749,-2.2210019296485086,15.2,170.8,1.0,0.0,1.1484444444444444,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.5,4,2729.6581853449825,1841.0138043907816,-341.2451351921306,676.1311710854159,5333.676282631847,-431.53653831169277,-1414.5478316082256,3499982.630518988,-6408.53978870591,-13667.316887659046,-6.253852558306131,38.0,174.8,0.44,0.0,1.153925925925926,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.7,0,6107.447844828321,0.0,-5495.76231893397,3083.3666027833124,242.55602817421112,2798.454372551668,-585.3253399561316,4639607.558982514,-6853.060819157312,-42879.91760799446,-4.6838036861010135,26.6,181.8,0.88,0.0,1.1048888888888888,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.7,1,5641.1710612725565,0.0,-3389.3549048962896,2852.7041419603656,344.41908721840457,244.10241362009992,-1011.4210354802447,4250529.171520945,-6798.404248190183,-28705.586053122028,-3.406059547836005,21.2,178.0,1.0,0.0,1.1365925925925926,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.7,2,6007.9236069701565,0.0,-4561.67668699718,3040.657618191003,275.2642913724837,2488.6752636626597,-832.6010792432322,4530579.851104595,-6941.16150962867,-36116.1348210216,-2.7722978411152503,20.0,181.6,1.0,0.0,1.1322962962962964,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.7,3,5388.981530785468,0.0,-3624.989537774926,2719.380838486255,308.3109960900056,721.0512067971661,-832.9590836216992,4078626.117007955,-6482.695466286501,-31963.529040644276,-3.5701186762372012,23.6,177.8,0.92,0.0,1.1096296296296295,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.7,4,5959.514076858747,0.0,-3949.0298031113534,3004.903838225962,304.82406197961825,666.1530359815647,-936.3179633093375,4477306.718956684,-6934.962572063067,-32186.444705936556,-2.0331336158890645,15.0,175.6,1.0,0.0,1.110074074074074,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.85,0,5770.606586458475,0.0,-3845.34144799473,2920.3018943077327,337.4899621256516,164.85074720122697,-962.9552087841466,4360540.343683662,-6854.138993049433,-23803.398962846946,-3.922888493224897,21.6,181.2,0.9733333333333334,0.0,1.1386666666666667,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.85,1,5687.531795627911,0.0,-3889.88846436986,2868.3099348040428,291.21518564777944,1271.5102435391034,-870.1670529355376,4273781.802858023,-6769.946405001882,-35840.15171688767,-2.976389566648556,20.8,181.8,1.0,0.0,1.154962962962963,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.85,2,5580.277168006596,0.0,-3799.4345165563354,2812.421709234188,289.6715145196202,869.393385219937,-883.0416135282251,4214670.736066729,-6710.631197930622,-34256.67524907532,-3.7934182730890624,22.0,184.6,0.96,0.0,1.1642962962962964,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.85,3,6017.609558203336,0.0,-5137.543446460785,3039.4688248292505,236.0437733223602,2857.445585311216,-650.623574043397,4528808.548995582,-6864.006159635397,-38184.61380842475,-2.922968939789768,18.8,186.2,1.0,0.0,1.1426666666666667,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
0.85,4,5496.59003419003,0.0,-4979.502546136717,2783.433010187727,249.29900011200257,2616.949857597147,-642.1358165432994,4185426.329307119,-6400.752345032446,-39807.90745112581,-5.805011961298311,30.8,185.6,0.7733333333333333,0.0,1.117925925925926,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
1.0,0,5946.828708597293,0.0,-5374.107166160908,3005.2844799817326,232.35425683111552,2991.2712380166427,-632.6234037925566,4536524.703341261,-6715.377930246531,-49736.73219708315,-4.143068858691803,27.8,180.0,0.84,0.0,1.0931851851851853,0.0,900.0,3.0,15.0,26.0,True,staged,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26MS02
