ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,527,5,10,11,880.0,900.0,0.0,880.0,1
0,1,670,5,10,11,880.0,920.0,0.0,880.0,1
0,2,434,5,10,11,880.0,940.0,0.0,930.0,1
0,2,214,1,6,1,50.0,940.0,0.0,930.0,1
0,3,611,5,10,11,880.0,910.0,0.0,880.0,1
0,4,502,5,10,11,880.0,930.0,0.0,930.0,1
0,4,81,1,6,1,50.0,930.0,0.0,930.0,1
0,5,683,5,10,11,880.0,900.0,0.0,880.0,1
0,6,652,5,10,11,880.0,920.0,0.0,880.0,1
0,7,648,5,10,11,880.0,940.0,744.0,930.0,1
0,7,35,1,6,1,50.0,940.0,744.0,930.0,1
0,8,541,5,10,20,1600.0,1654.0,0.0,1650.0,1
0,8,201,1,6,1,50.0,1654.0,0.0,1650.0,1
0,9,651,5,10,11,880.0,904.0,0.0,880.0,1
0,10,624,5,10,11,880.0,924.0,0.0,880.0,1
0,11,674,5,10,11,880.0,944.0,704.0,930.0,1
0,11,100,1,6,1,50.0,944.0,704.0,930.0,1
0,12,635,5,10,20,1600.0,1618.0,0.0,1600.0,1
0,13,464,5,10,11,880.0,918.0,40.0,880.0,1
0,14,497,5,10,12,960.0,978.0,0.0,960.0,1
1,0,527,5,10,11,880.0,900.0,0.0,880.0,1
1,1,670,5,10,11,880.0,920.0,0.0,880.0,1
1,2,434,5,10,11,880.0,940.0,0.0,930.0,1
1,2,214,1,6,1,50.0,940.0,0.0,930.0,1
1,3,611,5,10,11,880.0,910.0,0.0,880.0,1
1,4,502,5,10,11,880.0,930.0,0.0,930.0,1
1,4,81,1,6,1,50.0,930.0,0.0,930.0,1
1,5,683,5,10,11,880.0,900.0,704.0,880.0,1
1,6,541,5,10,20,1600.0,1624.0,704.0,1600.0,1
1,7,635,5,10,20,1600.0,1628.0,0.0,1600.0,1
1,8,652,5,10,11,880.0,928.0,0.0,880.0,1
1,9,648,5,10,11,880.0,948.0,704.0,930.0,1
1,9,35,1,6,1,50.0,948.0,704.0,930.0,1
1,10,631,5,10,20,1600.0,1622.0,0.0,1600.0,1
1,11,651,5,10,11,880.0,922.0,0.0,880.0,1
1,12,624,5,10,11,880.0,942.0,0.0,930.0,1
1,12,201,1,6,1,50.0,942.0,0.0,930.0,1
1,13,674,5,10,11,880.0,912.0,704.0,880.0,1
1,14,618,5,10,20,1600.0,1636.0,704.0,1600.0,1
2,0,527,5,10,11,880.0,900.0,0.0,880.0,1
2,1,670,5,10,11,880.0,920.0,0.0,880.0,1
2,2,434,5,10,11,880.0,940.0,0.0,930.0,1
2,2,214,1,6,1,50.0,940.0,0.0,930.0,1
2,3,611,5,10,11,880.0,910.0,0.0,880.0,1
2,4,502,5,10,11,880.0,930.0,0.0,930.0,1
2,4,81,1,6,1,50.0,930.0,0.0,930.0,1
2,5,683,5,10,11,880.0,900.0,0.0,880.0,1
2,6,652,5,10,11,880.0,920.0,704.0,880.0,1
2,7,541,5,10,20,1600.0,1644.0,40.0,1600.0,1
2,8,497,5,10,12,960.0,984.0,0.0,960.0,1
2,9,648,5,10,11,880.0,924.0,0.0,880.0,1
2,10,651,5,10,11,880.0,944.0,0.0,930.0,1
2,10,35,1,6,1,50.0,944.0,0.0,930.0,1
2,11,624,5,10,11,880.0,914.0,704.0,880.0,1
2,12,635,5,10,20,1600.0,1638.0,0.0,1600.0,1
2,13,674,5,10,11,880.0,938.0,0.0,930.0,1
2,13,201,1,6,1,50.0,938.0,0.0,930.0,1
2,14,464,5,10,11,880.0,908.0,0.0,880.0,1
3,0,527,5,10,11,880.0,900.0,0.0,880.0,1
3,1,670,5,10,11,880.0,920.0,0.0,880.0,1
3,2,434,5,10,11,880.0,940.0,0.0,930.0,1
3,2,214,1,6,1,50.0,940.0,0.0,930.0,1
3,3,611,5,10,11,880.0,910.0,0.0,880.0,1
3,4,502,5,10,11,880.0,930.0,0.0,930.0,1
3,4,81,1,6,1,50.0,930.0,0.0,930.0,1
3,5,683,5,10,11,880.0,900.0,704.0,880.0,1
3,6,541,5,10,20,1600.0,1624.0,704.0,1600.0,1
3,7,635,5,10,20,1600.0,1628.0,0.0,1600.0,1
3,8,652,5,10,11,880.0,928.0,0.0,880.0,1
3,9,648,5,10,11,880.0,948.0,0.0,930.0,1
3,9,35,1,6,1,50.0,948.0,0.0,930.0,1
3,10,651,5,10,11,880.0,918.0,0.0,880.0,1
3,11,624,5,10,11,880.0,938.0,0.0,930.0,1
3,11,201,1,6,1,50.0,938.0,0.0,930.0,1
3,12,674,5,10,11,880.0,908.0,0.0,880.0,1
3,13,464,5,10,11,880.0,928.0,0.0,880.0,1
3,14,627,5,10,11,880.0,948.0,0.0,930.0,1
3,14,100,1,6,1,50.0,948.0,0.0,930.0,1
4,0,527,5,10,11,880.0,900.0,0.0,880.0,1
4,1,670,5,10,11,880.0,920.0,0.0,880.0,1
4,2,434,5,10,11,880.0,940.0,0.0,930.0,1
4,2,214,1,6,1,50.0,940.0,0.0,930.0,1
4,3,611,5,10,11,880.0,910.0,0.0,880.0,1
4,4,502,5,10,11,880.0,930.0,0.0,930.0,1
4,4,81,1,6,1,50.0,930.0,0.0,930.0,1
4,5,683,5,10,11,880.0,900.0,704.0,880.0,1
4,6,541,5,10,20,1600.0,1624.0,704.0,1600.0,1
4,7,635,5,10,20,1600.0,1628.0,0.0,1600.0,1
4,8,652,5,10,11,880.0,928.0,704.0,880.0,1
4,9,631,5,10,20,1600.0,1652.0,744.0,1650.0,1
4,9,35,1,6,1,50.0,1652.0,744.0,1650.0,1
4,10,618,5,10,20,1600.0,1646.0,704.0,1600.0,1
