iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.3395613709056593,-0.16185320003427564,-0.25793306297089924,-0.4887556641360126,-0.2570903038300125,-0.2890831680820476,-0.1489051267037188,-0.22114879598259785,-0.41188778050489594,-0.22010551183338084,-0.24333729677314958,-0.13717093524790167,-0.18781305402444975,-0.3422262609641964,-0.18658804408643342,-0.18862164677623228,-0.12313592193800277,-0.14794089207450783,-0.25890561994492833,-0.14649852384008438,-0.1399855134456392,-0.11066035455142595,-0.11249897034122616,-0.1848428279278011,-0.11086339473221864,-0.10691294278083582,-0.10217696872855371,-0.0883984635625946,-0.13448012935615458,-0.0866315069388699,-0.07638441601332505,-0.09434615104590241,-0.06615184192078086,-0.08799148452078859,-0.06426361051424032
1,-0.21501708217384236,-0.2243937997649019,-0.3217616256654282,-0.213500532947274,-0.32965690206906206,-0.16814232881175578,-0.2657120518766931,-0.37785947547628473,-0.24077143367615614,-0.2112836916283285,-0.09338349882230229,-0.22556042450588867,-0.22321831595071673,-0.18250854992194354,-0.22939450331214073,-0.10130229364988391,-0.1587958964175541,-0.06848380518065714,-0.16786973105279931,-0.14522557800387592,-0.09161311372542918,-0.16005976534195027,-0.08478716194401312,-0.07440947209360106,-0.1663326319655899,-0.06711503657903548,-0.07771949364985889,-0.085411489365951,-0.007908030060444056,-0.0771764269029132,0.0003070036623878296,-0.04551370180637337,-0.06132691874780845,-0.07180765329629521,-0.08197733404315542
2,-0.11650947973819159,-0.32412921125728167,-0.26525079985640004,-0.1732720323676703,-0.48587617505739344,-0.09280033652286912,-0.25270722228337256,-0.26701352776097315,-0.19729163726019253,-0.04910057330691085,-0.1463150639108144,-0.146386188316631,-0.2227729378436359,-0.28924023545126687,-0.24133038364752946,-0.1369036198843716,-0.13274317881453848,-0.17047552874384947,-0.15847117448682763,-0.12100498888715074,-0.1155106414283934,-0.1316046462399608,-0.0826738376461466,-0.07228060134573003,-0.11213289342176433,-0.038331520862621725,-0.0909330158209452,0.0035136964275356798,0.018914151390637714,-0.04991535808545047,-0.06094197184647467,-0.10523172809184601,-0.06233597755491062,-0.014728357984995947,-0.015589929895841593
3,-0.19670494144014744,-0.025039225702956063,-0.2348925133669645,-0.2735183356773976,-0.1843396487673733,-0.11782543706396886,-0.08882243591101008,0.06989964148048249,-0.30339961619164146,-0.11186777663307902,0.044672971152856455,-0.1785499786913845,-0.14149360399324418,-0.13973700928059365,-0.12966051358347883,-0.07092115738039234,-0.15862626741742855,-0.19263475799127722,-0.12709619153462626,-0.08952634537540616,-0.06186458134640782,-0.13263100582798787,-0.028522577157345196,-0.07953989805364974,-0.05256230011703998,-0.03342154065077595,-0.03073640119966685,0.024439731982636364,-0.11742204657126241,-0.01997537454504778,-0.09644155954750189,-0.04438273593687863,-0.06152209345139785,0.02627990534059738,0.1639814774305946
4,0.13144707055735116,-0.1407581057221565,-0.06806810973283929,-0.25723016811292887,-0.16222240709627855,-0.06576296076590049,-0.11775797603954964,-0.05349576678783642,-0.16687922954591644,-0.1430836817541008,-0.053797049391437535,0.009228108474646508,-0.14438472177949369,-0.07351759871524688,0.032033550097140484,-0.050036441292281957,-0.1664288146162592,-0.17173086416964545,-0.10462117270188559,-0.10267354931111694,-0.04668591761347202,-0.06551842475311576,-0.020153574824214916,-0.05366597178266868,-0.0569267874250289,-0.0524170751299725,-0.1173448112437318,0.02986844602146412,-0.016971614852951587,-0.046465378574954655,-0.05118822478797174,-0.04698760649447972,0.0012860409216768108,0.04029292797040612,0.03600135270314436
5,0.0966044264723973,-0.10068660722262635,0.02715603659394689,-0.05229767030079104,-0.32277885652835137,-0.06446004617164594,0.030829111440451133,-0.3482310133832562,-0.02911394754305141,0.05519552904152414,-0.05880259610340904,0.07448466175157352,-0.13173986959390238,-0.11291570032584086,-0.09150191801704685,0.022015193618641647,-0.09580431250707705,-0.07515066406113864,-0.022417547250840296,-0.025677643317546513,-0.098793312803127,-0.11126270186235415,-0.032602669446844194,-0.04158997281278954,-0.05741547852765486,-0.04200498377108535,-0.07810444976715136,0.0852252647898092,0.04039945369527831,-0.03338009399072199,0.10088199666583204,-0.04391479522913407,0.08729242441843715,0.09631368030858894,0.057004439945740115
6,0.1816414699637847,0.22638493998324127,-0.1313396021170431,-0.03173202423650116,-0.11427065698439462,-0.12141729075355337,0.07289015027913444,-0.017898828588776033,0.13157986366514413,-0.13498168683871267,0.06899773768627995,0.0585627429915143,-0.030378774529268855,-0.07706347205914124,0.10987455158233748,0.050585607448950645,-0.016114488215319717,-0.08301534381313283,-0.07138299316580757,-0.01989029806657929,-0.002848277428438498,-0.08496861136008393,0.006802026882453732,-0.027173764237996202,0.027268575046846728,-0.04744364041786904,-0.03365222696806049,0.10468610550425303,0.10218901369147732,-0.057750968983438025,0.11853693103151858,-0.01956296777096834,0.15030647066220937,0.21417827668671596,0.05440666458691305
7,0.2716475063109531,0.22067086361422378,-0.135669092081688,-0.009564919015028681,0.3167139989482197,-0.07121969570095912,0.19260717724577187,-0.17532653732413786,0.10652798898116896,0.17927354755161623,0.07995945457019205,0.0264900657469649,-0.035818291456963164,0.07520633937543247,0.003963043735911435,0.11223887047185249,-0.11467613734577854,-0.06537001838432432,-0.025846945906698667,0.005370639774605182,0.022005129205361712,-0.04322945964319938,-0.002511026416880147,0.02684361506834354,-0.03611529254974774,0.04218498456493423,-0.11164524436412754,0.04584373498047323,0.1496233056187767,-0.06267550735922446,0.14530732206789343,0.00203207826422273,0.23130144272356457,0.07967142651138735,0.13277439125831772
8,0.15743034769952843,0.28681604319833076,0.1932692635218136,0.12475590833665089,0.12107067522758061,-0.08595261318330724,0.2594612959157028,0.02429958676220395,0.31123506933669864,0.4120521235990179,-0.06500945802555422,0.03934561003792547,0.009601721727480146,-0.08036340248365563,0.2256170008114422,0.1622744813748136,0.008166940231095715,-0.12416645604870553,0.01730685227882281,0.08150300524279117,0.07367132758906159,0.034231211103242704,0.013747525775757037,0.10239558690493872,0.1507395896418841,0.042856624204994295,-0.040947963094588,0.14051058700310465,0.15198290672014764,-0.011575765247083203,0.11896147802387282,-0.010561739293408947,0.16436767490437,0.11782455418040046,0.16625385061234313
9,0.3544471882175442,0.4473176125561304,-0.014216422533283389,0.2734787367502426,0.22145456543953468,0.11253176891674604,0.4825707818091202,0.10220187220863741,0.2876329918208539,0.47190816130852664,0.08232386853917936,0.10153993930555558,0.08668924986467247,0.14717536875950696,0.1694418208732378,0.17753334078903282,0.04723129090004512,-0.08812663482782765,-0.07634195032322633,0.1162754701044675,0.12457617055205075,0.047443837075143463,0.1267689808781629,0.14338482091031418,0.1309370820688614,0.04503830711873554,-0.057527646675263756,0.08592198691819439,0.1555188762999422,-0.010940524898500751,0.1869365876409121,0.03696955271970294,0.26979704304969127,0.16193003904752581,0.2816178222233441
