iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.33155652603735947,-0.23151378904088885,-0.19865276001756482,-0.37209066034425053,-0.30968236861383625,-0.2813361825025909,-0.20653436440675413,-0.16963992839108688,-0.311990822189928,-0.26381615941656433,-0.23582399617420685,-0.1838967608320696,-0.14334704972959128,-0.2575253438625733,-0.22224990733153666,-0.18138785174221805,-0.15682041145842723,-0.11189870466388083,-0.19238035998083514,-0.17253340973964076,-0.13300016780267243,-0.1327525453485229,-0.08394462016102706,-0.13447370764151242,-0.12834096743573328,-0.10009654272378139,-0.11638639639378794,-0.0649358426990865,-0.09509718405077294,-0.09829010666907619,-0.069723965727882,-0.1012791819740326,-0.047389278888064476,-0.05874962381316725,-0.07055085057677735
1,-0.2318642885250028,-0.22539958670733606,-0.2310894560326917,-0.34472550705440025,-0.24827178461195082,-0.22897795895976095,-0.27474075401075515,-0.2085877522383487,-0.2313356619184283,-0.23167037267075635,-0.18728482439171396,-0.21019469580820258,-0.17901428195014646,-0.1865775793101446,-0.24407278808538924,-0.09279758079826647,-0.19515682404479093,-0.18930411142673276,-0.10637903381267674,-0.22368340405568862,-0.11779907217687227,-0.14736260702512588,-0.16165785430916302,-0.05186793551074376,-0.12047895803909872,-0.09839147717940563,-0.09904485854791176,-0.11866423649604751,-0.015227731732690142,-0.09486852393380604,-0.05310460518694357,-0.1256117206707833,-0.09694702571185451,-0.05825946471142656,-0.06538036124382171
2,-0.15495119135853744,-0.12422090165057345,-0.18244577965021702,-0.1305210319273104,-0.14515710611224755,-0.07435047278755955,-0.2671067335370818,-0.36715669677423546,-0.09481382604585835,-0.1871458237013066,-0.038561639124631265,-0.13616976305478978,-0.11707303910661551,-0.0722480558768427,-0.25173019065169217,-0.12335659501356883,-0.09034909522457314,-0.13540561682543728,-0.12963650107986233,-0.11427710952508605,-0.08379452629199581,-0.12997884625477063,-0.07451669969576295,-0.06957541410567702,-0.12098333146057183,-0.11598072508782704,-0.11493727003736254,-0.07269368230672535,0.022489423482020023,-0.061236695337073994,0.028049095979419472,-0.06126547992568454,-0.008108629872811978,0.008697884896236345,-0.03238138568938072
3,-0.05801458938428607,-0.08775575552572018,-0.2679433892835946,-0.13408669366589246,-0.21172494224163335,-0.0039113396843410905,0.016120097849608578,-0.13406105842139468,-0.1366834518782295,-0.2514173870935459,-0.009721666046515982,0.012397867535003868,-0.1634106528488849,-0.20623527408102832,-0.15585480108845146,-0.07679905237101214,-0.13975235367733438,-0.029728286496915897,-0.17009883596928266,-0.051430698115974456,-0.04097944308184527,-0.11900711692211613,-0.08837878929678225,-0.08096966115980055,-0.05463774144469334,-0.051977187916568995,-0.12955952043226343,-0.05099569955225123,-0.03120781539772676,-0.036020947622016866,-0.003461626927923043,-0.036041777633446945,-0.02493541353108615,0.013160222456226504,0.05076677105406473
4,-0.07378960356788943,0.004264423300109815,-0.11706853250805066,-0.1577196464756429,-0.06993260497563902,0.017188799525597785,0.12879024431087666,-0.0947906488414443,-0.0034050681708783365,-0.2260010771849702,-0.0758511244282634,-0.04777333495417346,-0.09052252901579771,-0.2524676246881648,-0.14440860827779523,-0.04745236882392794,-0.10618885212965526,0.004248645987967744,-0.12422888890231662,-0.11950955397617075,-0.05838123027206987,-0.0857240733602948,-0.0544008608842432,-0.1510175605032023,-0.10495765200789539,-0.048352300245181994,-0.12255113442644552,-0.01675997803097026,-0.08707721994610376,-0.08323038291649408,-0.025315876137976822,-0.02775953613515062,-0.03455879097706824,-0.010326317419086182,0.12756911776985153
5,-0.1052532911808697,-0.03096323389658253,0.0021623266850250636,-0.1297459737993552,-0.08663356901765923,0.003972017029581575,-0.027848593504504006,-0.03404989544851357,-0.020896650550842333,-0.08836666305409444,-0.03459808532650808,-0.03976510074820197,-0.028522793960346106,-0.08573722350172638,-0.1432123834547346,-0.06175083790242485,0.014216268369332541,0.018143222593360857,-0.08908820131336743,-0.11688326910851254,-0.036707435759672474,-0.11025669722480834,-0.007162451783398945,-0.1327038622477221,-0.07620944707634675,-0.0014820340798263054,-0.06029008094268495,-0.057231943731096246,-0.0059115651877651235,-0.06778866976429217,0.004424418143218374,-0.04847250130463697,-0.06321902433253462,0.06650192450636595,0.06170659272739104
6,0.08284305642390494,0.1452317224749763,0.031880720567330226,-0.05372735621479405,-0.1672280071485251,0.17941815719388918,0.014692183577954362,-0.03599486717129265,0.03272686808608125,-0.0675584760436529,-0.03271860942888763,0.045166420323102516,-0.027264727941127477,0.057355814218807935,-0.17206723134775065,0.003581100453808529,-0.0034856000744296328,0.03174144593180144,-0.05520276688023935,-0.07667965848727976,0.0010341546014606294,-0.14430910308311817,-0.041009039820703495,-0.059275862480321934,-0.055380682142269023,0.06999351076553778,-0.05796490312035558,0.044243500075552056,0.0212255843075297,-0.048655093904010155,0.008805081321804213,0.04624570098330838,0.0007580796722066983,0.08105777436642793,0.08213538939807237
7,0.0611864739389952,0.35590741869031184,0.13473764756943354,0.3107698901182968,0.012333417806938005,0.22882190687707865,0.17851928011165813,-0.04633644046550814,0.08301136838101802,0.02711312779422761,0.06818423386132574,0.09597970610228279,0.06498805310270403,0.11497150951302511,0.022289726734150698,0.07117643526775895,0.021742435499571132,0.05467775236018985,0.02456947149745856,-0.07374205852853151,0.058411957762626046,-0.09520184480739656,-0.028415469784492213,-0.12273464529923442,-0.00941167194711807,0.13362873741709058,-0.06511861954844583,0.0104294737692631,0.05930211461477812,-0.09172416795489358,0.038173958926551385,0.032632161874695545,0.07790812657934298,0.1577554685935813,0.2333424073592541
8,0.1709002645996534,0.4032858891975964,0.3875467077715923,0.34787941872584927,0.04342758055617896,0.28354216195998827,0.23559590055577256,-0.0036624614418455798,0.08661800644301337,0.16710986013701756,0.08507857311948076,0.016844836028005013,0.010022432710905544,0.0034200336350818233,-0.04843761260263821,0.08042280314555175,0.0851819659310499,0.11553236535218572,0.035720458417495035,0.032862542827794675,0.02252774607270983,0.02645159806144233,-0.010608120501227176,-0.09280843431528354,0.004825582472552249,0.10795270887276323,-0.06182562967266503,0.052971107049055347,0.05921343559907497,0.013494278046233595,0.07621148867363388,0.07822727348745244,0.08857134524018924,0.16045235885146666,0.2856805713929921
9,0.25843726583626453,0.451266279559404,0.34099984405188466,0.3320816560408413,0.10052076261489938,0.40142974220355826,0.525080425815726,0.06622308251636419,0.005774927512489508,0.14226108026334036,0.13812756293086,0.24110312858021918,0.08861930269631907,0.014439448040173724,0.09919368306664368,0.16107120297958988,0.1637756666482822,0.143381758879571,0.057827218056494774,0.10048192388124351,0.1451419160696518,-0.04590728750634934,0.047095145215921425,-0.08493538303130105,0.11362576525797012,0.18531586870047112,-0.005447375454664172,0.08873295366868983,0.14174882201613692,0.07388883298454846,0.033071138189896244,0.06551954852003239,0.10052201493247209,0.18758756748515298,0.26312154459284837
