ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,451,5,10,16,1280.0,2700.0,0.0,2560.0,0
0,0,495,5,10,15,1200.0,2700.0,0.0,2560.0,0
0,0,703,5,10,1,80.0,2700.0,0.0,2560.0,0
0,1,453,5,10,18,1440.0,2840.0,0.0,2800.0,1
0,1,455,5,10,17,1360.0,2840.0,0.0,2800.0,1
0,2,704,5,10,27,2160.0,2740.0,0.0,2690.0,0
0,2,509,5,10,6,480.0,2740.0,0.0,2690.0,0
0,2,293,2,1,1,50.0,2740.0,0.0,2690.0,0
0,3,468,5,10,17,1360.0,2750.0,0.0,2640.0,0
0,3,489,5,10,13,1040.0,2750.0,0.0,2640.0,0
0,3,459,5,10,3,240.0,2750.0,0.0,2640.0,0
0,4,429,5,10,13,1040.0,2810.0,0.0,2800.0,0
0,4,540,5,10,13,1040.0,2810.0,0.0,2800.0,0
0,4,430,5,10,9,720.0,2810.0,0.0,2800.0,0
0,5,465,5,10,12,960.0,2710.0,0.0,2640.0,0
0,5,533,5,10,15,1200.0,2710.0,0.0,2640.0,0
0,5,603,5,10,6,480.0,2710.0,0.0,2640.0,0
0,6,536,5,10,16,1280.0,2770.0,0.0,2640.0,0
0,6,439,5,10,14,1120.0,2770.0,0.0,2640.0,0
0,6,665,5,10,3,240.0,2770.0,0.0,2640.0,0
0,7,458,5,10,12,960.0,2830.0,0.0,2560.0,0
0,7,435,5,10,18,1440.0,2830.0,0.0,2560.0,0
0,7,616,5,10,2,160.0,2830.0,0.0,2560.0,0
0,8,520,5,10,18,1440.0,2970.0,0.0,2800.0,0
0,8,525,5,10,11,880.0,2970.0,0.0,2800.0,0
0,8,518,5,10,6,480.0,2970.0,0.0,2800.0,0
0,9,441,5,10,12,960.0,2870.0,0.0,2800.0,0
0,9,511,5,10,12,960.0,2870.0,0.0,2800.0,0
0,9,531,5,10,11,880.0,2870.0,0.0,2800.0,0
0,10,522,5,10,16,1280.0,2770.0,0.0,2720.0,0
0,10,557,5,10,12,960.0,2770.0,0.0,2720.0,0
0,10,645,5,10,6,480.0,2770.0,0.0,2720.0,0
0,11,535,5,10,10,800.0,2750.0,0.0,2400.0,0
0,11,555,5,10,10,800.0,2750.0,0.0,2400.0,0
0,11,473,5,10,10,800.0,2750.0,0.0,2400.0,0
0,12,543,5,10,10,800.0,3050.0,0.0,2960.0,0
0,12,587,5,10,13,1040.0,3050.0,0.0,2960.0,0
0,12,564,5,10,14,1120.0,3050.0,0.0,2960.0,0
0,13,427,5,10,17,1360.0,2790.0,0.0,2720.0,0
0,13,592,5,10,10,800.0,2790.0,0.0,2720.0,0
0,13,551,5,10,7,560.0,2790.0,0.0,2720.0,0
0,14,596,5,10,11,880.0,2770.0,0.0,2320.0,0
0,14,515,5,10,9,720.0,2770.0,0.0,2320.0,0
0,14,567,5,10,9,720.0,2770.0,0.0,2320.0,0
1,0,451,5,10,16,1280.0,2700.0,0.0,2560.0,0
1,0,495,5,10,15,1200.0,2700.0,0.0,2560.0,0
1,0,703,5,10,1,80.0,2700.0,0.0,2560.0,0
1,1,453,5,10,18,1440.0,2840.0,0.0,2800.0,1
1,1,455,5,10,17,1360.0,2840.0,0.0,2800.0,1
1,2,704,5,10,27,2160.0,2740.0,0.0,2690.0,0
1,2,509,5,10,6,480.0,2740.0,0.0,2690.0,0
1,2,293,2,1,1,50.0,2740.0,0.0,2690.0,0
1,3,468,5,10,17,1360.0,2750.0,0.0,2640.0,0
1,3,489,5,10,13,1040.0,2750.0,0.0,2640.0,0
1,3,459,5,10,3,240.0,2750.0,0.0,2640.0,0
1,4,429,5,10,13,1040.0,2810.0,0.0,2800.0,0
1,4,540,5,10,13,1040.0,2810.0,0.0,2800.0,0
1,4,430,5,10,9,720.0,2810.0,0.0,2800.0,0
1,5,465,5,10,12,960.0,2710.0,0.0,2640.0,0
1,5,533,5,10,15,1200.0,2710.0,0.0,2640.0,0
1,5,603,5,10,6,480.0,2710.0,0.0,2640.0,0
1,6,536,5,10,16,1280.0,2770.0,0.0,2640.0,0
1,6,439,5,10,14,1120.0,2770.0,0.0,2640.0,0
1,6,665,5,10,3,240.0,2770.0,0.0,2640.0,0
1,7,458,5,10,12,960.0,2830.0,0.0,2560.0,0
1,7,435,5,10,18,1440.0,2830.0,0.0,2560.0,0
1,7,616,5,10,2,160.0,2830.0,0.0,2560.0,0
1,8,520,5,10,18,1440.0,2970.0,0.0,2800.0,0
1,8,525,5,10,11,880.0,2970.0,0.0,2800.0,0
1,8,518,5,10,6,480.0,2970.0,0.0,2800.0,0
1,9,441,5,10,12,960.0,2870.0,0.0,2800.0,0
1,9,511,5,10,12,960.0,2870.0,0.0,2800.0,0
1,9,531,5,10,11,880.0,2870.0,0.0,2800.0,0
1,10,522,5,10,16,1280.0,2770.0,0.0,2720.0,0
1,10,557,5,10,12,960.0,2770.0,0.0,2720.0,0
1,10,645,5,10,6,480.0,2770.0,0.0,2720.0,0
1,11,535,5,10,10,800.0,2750.0,0.0,2400.0,0
1,11,555,5,10,10,800.0,2750.0,0.0,2400.0,0
1,11,473,5,10,10,800.0,2750.0,0.0,2400.0,0
1,12,543,5,10,10,800.0,3050.0,0.0,2960.0,0
1,12,587,5,10,13,1040.0,3050.0,0.0,2960.0,0
1,12,564,5,10,14,1120.0,3050.0,0.0,2960.0,0
1,13,427,5,10,17,1360.0,2790.0,0.0,2720.0,0
1,13,592,5,10,10,800.0,2790.0,0.0,2720.0,0
1,13,551,5,10,7,560.0,2790.0,0.0,2720.0,0
1,14,596,5,10,11,880.0,2770.0,0.0,2320.0,0
1,14,515,5,10,9,720.0,2770.0,0.0,2320.0,0
1,14,567,5,10,9,720.0,2770.0,0.0,2320.0,0
2,0,451,5,10,16,1280.0,2700.0,0.0,2560.0,0
2,0,495,5,10,15,1200.0,2700.0,0.0,2560.0,0
2,0,703,5,10,1,80.0,2700.0,0.0,2560.0,0
2,1,453,5,10,18,1440.0,2840.0,0.0,2800.0,1
2,1,455,5,10,17,1360.0,2840.0,0.0,2800.0,1
2,2,704,5,10,27,2160.0,2740.0,0.0,2690.0,0
2,2,509,5,10,6,480.0,2740.0,0.0,2690.0,0
2,2,293,2,1,1,50.0,2740.0,0.0,2690.0,0
2,3,468,5,10,17,1360.0,2750.0,0.0,2640.0,0
2,3,489,5,10,13,1040.0,2750.0,0.0,2640.0,0
2,3,459,5,10,3,240.0,2750.0,0.0,2640.0,0
2,4,429,5,10,13,1040.0,2810.0,0.0,2800.0,0
2,4,540,5,10,13,1040.0,2810.0,0.0,2800.0,0
2,4,430,5,10,9,720.0,2810.0,0.0,2800.0,0
2,5,465,5,10,12,960.0,2710.0,0.0,2640.0,0
2,5,533,5,10,15,1200.0,2710.0,0.0,2640.0,0
2,5,603,5,10,6,480.0,2710.0,0.0,2640.0,0
2,6,536,5,10,16,1280.0,2770.0,0.0,2640.0,0
2,6,439,5,10,14,1120.0,2770.0,0.0,2640.0,0
2,6,665,5,10,3,240.0,2770.0,0.0,2640.0,0
2,7,458,5,10,12,960.0,2830.0,0.0,2560.0,0
2,7,435,5,10,18,1440.0,2830.0,0.0,2560.0,0
2,7,616,5,10,2,160.0,2830.0,0.0,2560.0,0
2,8,520,5,10,18,1440.0,2970.0,0.0,2800.0,0
2,8,525,5,10,11,880.0,2970.0,0.0,2800.0,0
2,8,518,5,10,6,480.0,2970.0,0.0,2800.0,0
2,9,441,5,10,12,960.0,2870.0,0.0,2800.0,0
2,9,511,5,10,12,960.0,2870.0,0.0,2800.0,0
2,9,531,5,10,11,880.0,2870.0,0.0,2800.0,0
2,10,522,5,10,16,1280.0,2770.0,0.0,2720.0,0
2,10,557,5,10,12,960.0,2770.0,0.0,2720.0,0
2,10,645,5,10,6,480.0,2770.0,0.0,2720.0,0
2,11,535,5,10,10,800.0,2750.0,0.0,2400.0,0
2,11,555,5,10,10,800.0,2750.0,0.0,2400.0,0
2,11,473,5,10,10,800.0,2750.0,0.0,2400.0,0
2,12,543,5,10,10,800.0,3050.0,0.0,2960.0,0
2,12,587,5,10,13,1040.0,3050.0,0.0,2960.0,0
2,12,564,5,10,14,1120.0,3050.0,0.0,2960.0,0
2,13,427,5,10,17,1360.0,2790.0,0.0,2720.0,0
2,13,592,5,10,10,800.0,2790.0,0.0,2720.0,0
2,13,551,5,10,7,560.0,2790.0,0.0,2720.0,0
2,14,596,5,10,11,880.0,2770.0,0.0,2320.0,0
2,14,515,5,10,9,720.0,2770.0,0.0,2320.0,0
2,14,567,5,10,9,720.0,2770.0,0.0,2320.0,0
3,0,451,5,10,16,1280.0,2700.0,0.0,2560.0,0
3,0,495,5,10,15,1200.0,2700.0,0.0,2560.0,0
3,0,703,5,10,1,80.0,2700.0,0.0,2560.0,0
3,1,453,5,10,18,1440.0,2840.0,0.0,2800.0,1
3,1,455,5,10,17,1360.0,2840.0,0.0,2800.0,1
3,2,704,5,10,27,2160.0,2740.0,0.0,2690.0,0
3,2,509,5,10,6,480.0,2740.0,0.0,2690.0,0
3,2,293,2,1,1,50.0,2740.0,0.0,2690.0,0
3,3,468,5,10,17,1360.0,2750.0,0.0,2640.0,0
3,3,489,5,10,13,1040.0,2750.0,0.0,2640.0,0
3,3,459,5,10,3,240.0,2750.0,0.0,2640.0,0
3,4,429,5,10,13,1040.0,2810.0,0.0,2800.0,0
3,4,540,5,10,13,1040.0,2810.0,0.0,2800.0,0
3,4,430,5,10,9,720.0,2810.0,0.0,2800.0,0
3,5,465,5,10,12,960.0,2710.0,0.0,2640.0,0
3,5,533,5,10,15,1200.0,2710.0,0.0,2640.0,0
3,5,603,5,10,6,480.0,2710.0,0.0,2640.0,0
3,6,536,5,10,16,1280.0,2770.0,0.0,2640.0,0
3,6,439,5,10,14,1120.0,2770.0,0.0,2640.0,0
3,6,665,5,10,3,240.0,2770.0,0.0,2640.0,0
3,7,458,5,10,12,960.0,2830.0,0.0,2560.0,0
3,7,435,5,10,18,1440.0,2830.0,0.0,2560.0,0
3,7,616,5,10,2,160.0,2830.0,0.0,2560.0,0
3,8,520,5,10,18,1440.0,2970.0,0.0,2800.0,0
3,8,525,5,10,11,880.0,2970.0,0.0,2800.0,0
3,8,518,5,10,6,480.0,2970.0,0.0,2800.0,0
3,9,441,5,10,12,960.0,2870.0,0.0,2800.0,0
