ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,703,5,10,1,80.0,1500.0,0.0,400.0,0
0,0,616,5,10,2,160.0,1500.0,0.0,400.0,0
0,0,701,5,10,2,160.0,1500.0,0.0,400.0,0
0,1,459,5,10,3,240.0,2600.0,0.0,640.0,0
0,1,615,5,10,2,160.0,2600.0,0.0,640.0,0
0,1,665,5,10,3,240.0,2600.0,0.0,640.0,0
0,2,610,5,10,2,160.0,3460.0,0.0,800.0,0
0,2,679,5,10,2,160.0,3460.0,0.0,800.0,0
0,2,509,5,10,6,480.0,3460.0,0.0,800.0,0
0,3,603,5,10,6,480.0,4160.0,0.0,1200.0,0
0,3,518,5,10,6,480.0,4160.0,0.0,1200.0,0
0,3,608,5,10,3,240.0,4160.0,0.0,1200.0,0
0,4,551,5,10,7,560.0,4460.0,0.0,1680.0,0
0,4,601,5,10,7,560.0,4460.0,0.0,1680.0,0
0,4,575,5,10,7,560.0,4460.0,0.0,1680.0,0
0,5,645,5,10,6,480.0,4280.0,0.0,1280.0,0
0,5,424,5,10,6,480.0,4280.0,0.0,1280.0,0
0,5,448,5,10,4,320.0,4280.0,0.0,1280.0,0
0,6,553,5,10,8,640.0,4500.0,0.0,1920.0,0
0,6,516,5,10,8,640.0,4500.0,0.0,1920.0,0
0,6,537,5,10,8,640.0,4500.0,0.0,1920.0,0
0,7,583,5,10,8,640.0,4080.0,0.0,1840.0,0
0,7,480,5,10,6,480.0,4080.0,0.0,1840.0,0
0,7,430,5,10,9,720.0,4080.0,0.0,1840.0,0
0,8,515,5,10,9,720.0,3740.0,0.0,2160.0,0
0,8,567,5,10,9,720.0,3740.0,0.0,2160.0,0
0,8,586,5,10,9,720.0,3740.0,0.0,2160.0,0
0,9,542,5,10,9,720.0,3080.0,0.0,1760.0,0
0,9,672,5,10,6,480.0,3080.0,0.0,1760.0,0
0,9,659,5,10,7,560.0,3080.0,0.0,1760.0,0
0,10,539,5,10,9,720.0,2820.0,0.0,2000.0,0
0,10,602,5,10,9,720.0,2820.0,0.0,2000.0,0
0,10,440,5,10,7,560.0,2820.0,0.0,2000.0,0
0,11,431,5,10,7,560.0,2320.0,0.0,1920.0,0
0,11,519,5,10,8,640.0,2320.0,0.0,1920.0,0
0,11,485,5,10,9,720.0,2320.0,0.0,1920.0,0
0,12,605,5,10,9,720.0,1900.0,0.0,1460.0,0
0,12,423,5,10,8,640.0,1900.0,0.0,1460.0,0
0,12,313,2,0,2,100.0,1900.0,0.0,1460.0,0
0,13,673,5,10,7,560.0,1940.0,0.0,1840.0,0
0,13,524,5,10,9,720.0,1940.0,0.0,1840.0,0
0,13,644,5,10,7,560.0,1940.0,0.0,1840.0,0
0,14,474,5,10,9,720.0,1600.0,0.0,1570.0,0
0,14,535,5,10,10,800.0,1600.0,0.0,1570.0,0
0,14,293,2,1,1,50.0,1600.0,0.0,1570.0,0
1,0,703,5,10,1,80.0,1500.0,0.0,400.0,0
1,0,616,5,10,2,160.0,1500.0,0.0,400.0,0
1,0,701,5,10,2,160.0,1500.0,0.0,400.0,0
1,1,459,5,10,3,240.0,2600.0,0.0,640.0,0
