ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,-1,0,-1,0,0.0,1500.0,0.0,0.0,1
0,1,609,5,10,29,2320.0,3000.0,0.0,2320.0,1
0,2,704,5,10,27,2160.0,2180.0,0.0,2160.0,1
0,3,453,5,10,18,1440.0,1520.0,0.0,1440.0,1
0,4,435,5,10,18,1440.0,1580.0,0.0,1440.0,1
0,5,618,5,10,20,1600.0,1640.0,0.0,1600.0,1
0,6,712,5,10,19,1520.0,1540.0,0.0,1520.0,1
0,7,520,5,10,18,1440.0,1520.0,0.0,1520.0,1
0,7,703,5,10,1,80.0,1520.0,0.0,1520.0,1
0,8,544,5,10,18,1440.0,1500.0,0.0,1440.0,1
0,9,563,5,10,19,1520.0,1560.0,0.0,1520.0,1
0,10,521,5,10,19,1520.0,1540.0,0.0,1520.0,1
0,11,591,5,10,18,1440.0,1520.0,0.0,1440.0,1
0,12,538,5,10,18,1440.0,1580.0,0.0,1440.0,1
0,13,631,5,10,20,1600.0,1640.0,0.0,1600.0,1
0,14,422,5,10,18,1440.0,1540.0,0.0,1440.0,1
1,0,-1,0,-1,0,0.0,1500.0,0.0,0.0,1
1,1,609,5,10,29,2320.0,3000.0,0.0,2320.0,1
1,2,704,5,10,27,2160.0,2180.0,0.0,2160.0,1
1,3,453,5,10,18,1440.0,1520.0,0.0,1440.0,1
1,4,435,5,10,18,1440.0,1580.0,0.0,1440.0,1
1,5,618,5,10,20,1600.0,1640.0,0.0,1600.0,1
1,6,712,5,10,19,1520.0,1540.0,0.0,1520.0,1
1,7,520,5,10,18,1440.0,1520.0,0.0,1520.0,1
1,7,703,5,10,1,80.0,1520.0,0.0,1520.0,1
1,8,544,5,10,18,1440.0,1500.0,0.0,1440.0,1
1,9,563,5,10,19,1520.0,1560.0,0.0,1520.0,1
1,10,521,5,10,19,1520.0,1540.0,0.0,1520.0,1
1,11,591,5,10,18,1440.0,1520.0,0.0,1440.0,1
1,12,538,5,10,18,1440.0,1580.0,0.0,1440.0,1
1,13,631,5,10,20,1600.0,1640.0,0.0,1600.0,1
1,14,422,5,10,18,1440.0,1540.0,0.0,1440.0,1
2,0,-1,0,-1,0,0.0,1500.0,0.0,0.0,1
2,1,609,5,10,29,2320.0,3000.0,0.0,2320.0,1
2,2,704,5,10,27,2160.0,2180.0,0.0,2160.0,1
2,3,453,5,10,18,1440.0,1520.0,0.0,1440.0,1
2,4,435,5,10,18,1440.0,1580.0,0.0,1440.0,1
2,5,618,5,10,20,1600.0,1640.0,0.0,1600.0,1
2,6,712,5,10,19,1520.0,1540.0,0.0,1520.0,1
2,7,520,5,10,18,1440.0,1520.0,0.0,1520.0,1
2,7,703,5,10,1,80.0,1520.0,0.0,1520.0,1
2,8,544,5,10,18,1440.0,1500.0,0.0,1440.0,1
2,9,563,5,10,19,1520.0,1560.0,0.0,1520.0,1
2,10,521,5,10,19,1520.0,1540.0,0.0,1520.0,1
2,11,591,5,10,18,1440.0,1520.0,0.0,1440.0,1
2,12,538,5,10,18,1440.0,1580.0,0.0,1440.0,1
2,13,631,5,10,20,1600.0,1640.0,0.0,1600.0,1
2,14,422,5,10,18,1440.0,1540.0,0.0,1440.0,1
3,0,-1,0,-1,0,0.0,1500.0,0.0,0.0,1
3,1,609,5,10,29,2320.0,3000.0,0.0,2320.0,1
3,2,704,5,10,27,2160.0,2180.0,0.0,2160.0,1
3,3,453,5,10,18,1440.0,1520.0,0.0,1440.0,1
3,4,435,5,10,18,1440.0,1580.0,0.0,1440.0,1
3,5,618,5,10,20,1600.0,1640.0,0.0,1600.0,1
3,6,712,5,10,19,1520.0,1540.0,0.0,1520.0,1
3,7,520,5,10,18,1440.0,1520.0,0.0,1520.0,1
3,7,703,5,10,1,80.0,1520.0,0.0,1520.0,1
3,8,544,5,10,18,1440.0,1500.0,0.0,1440.0,1
3,9,563,5,10,19,1520.0,1560.0,0.0,1520.0,1
3,10,521,5,10,19,1520.0,1540.0,0.0,1520.0,1
3,11,591,5,10,18,1440.0,1520.0,0.0,1440.0,1
3,12,538,5,10,18,1440.0,1580.0,0.0,1440.0,1
3,13,631,5,10,20,1600.0,1640.0,0.0,1600.0,1
3,14,422,5,10,18,1440.0,1540.0,0.0,1440.0,1
4,0,-1,0,-1,0,0.0,1500.0,0.0,0.0,1
4,1,609,5,10,29,2320.0,3000.0,0.0,2320.0,1
4,2,704,5,10,27,2160.0,2180.0,0.0,2160.0,1
4,3,453,5,10,18,1440.0,1520.0,0.0,1440.0,1
4,4,435,5,10,18,1440.0,1580.0,0.0,1440.0,1
4,5,618,5,10,20,1600.0,1640.0,0.0,1600.0,1
4,6,712,5,10,19,1520.0,1540.0,0.0,1520.0,1
4,7,520,5,10,18,1440.0,1520.0,0.0,1520.0,1
4,7,703,5,10,1,80.0,1520.0,0.0,1520.0,1
4,8,544,5,10,18,1440.0,1500.0,0.0,1440.0,1
4,9,563,5,10,19,1520.0,1560.0,0.0,1520.0,1
4,10,521,5,10,19,1520.0,1540.0,0.0,1520.0,1
4,11,591,5,10,18,1440.0,1520.0,0.0,1440.0,1
4,12,538,5,10,18,1440.0,1580.0,0.0,1440.0,1
4,13,631,5,10,20,1600.0,1640.0,0.0,1600.0,1
4,14,422,5,10,18,1440.0,1540.0,0.0,1440.0,1
