policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,15175.178836523855,731.6762109115591,-13747.508771523811,7483.957582582357,791.783035149798,4793.255511137384,-1.013157110185631,11838750.414725114,-13078.500490773824,-50208.662614741916,-7.006973550398838,45,18,32,13,37105.0,0.4,0.7111111111111111
myopic,1,13803.182239841015,922.6816688940643,-12260.704065706826,6736.483058417995,1160.185236011634,4529.45872955417,395.71081825496907,10962079.36349007,-12186.35601405687,-44013.542941261185,-9.325820777627301,45,16,28,17,37105.0,0.35555555555555557,0.6222222222222222
myopic,2,16548.981150398642,1014.4079800313414,-14956.621666768217,8116.979185945954,1212.3719483656344,4943.571497121982,-69.63293859444178,12923051.290812545,-14311.43637143046,-51227.62208140568,-6.298034164314761,45,18,34,11,37105.0,0.4,0.7555555555555555
myopic,3,13237.211303958447,1335.079954338933,-11286.779264289715,6374.161683696396,1327.7814972409146,3939.218055229664,409.97573330342533,10706284.083234195,-12033.722540266517,-51956.8483041545,-6.01080329659038,45,19,34,11,37105.0,0.4222222222222222,0.7555555555555555
myopic,4,13136.014735829893,1038.061622424626,-11809.731337616664,6371.616912643471,1098.8691092470847,4922.7959406354685,315.76815961790334,10397732.520870576,-11562.333902979133,-41323.675360339366,-10.451832635992512,45,15,26,19,37105.0,0.3333333333333333,0.5777777777777777
greedy_crh,0,7421.496571306197,353.99496959640624,-7175.903248452721,3664.0462232277264,381.9347664420364,2805.3373000166384,328.2579724688844,5907513.178738445,-6443.751710945909,-28659.20943689685,-3.3258359669707995,21,16,16,5,13570.0,0.7619047619047619,0.7619047619047619
greedy_crh,1,5525.715413823939,450.1828405631096,-4963.832533814589,2665.1114004264386,384.80838458473534,1970.0870377855217,603.6158000572135,4558220.616786583,-5067.371313784425,-27670.576199195042,-5.3997367053019465,21,13,13,8,13570.0,0.6190476190476191,0.6190476190476191
greedy_crh,2,7984.598453223048,309.5242499011429,-7814.475806516953,3967.713471924459,378.5739877957782,2970.980312522827,261.5442152041577,6294384.265713114,-6837.497894494494,-28396.57343905225,-3.4621909183574204,21,16,16,5,13570.0,0.7619047619047619,0.7619047619047619
greedy_crh,3,6402.186010392055,501.4252037141898,-5930.639743962634,3114.3112775860204,442.3650983814518,1976.5170755938398,669.8574699628869,5280419.825581716,-5828.616320803103,-29750.674710746418,-3.7931979726653253,21,15,15,6,13570.0,0.7142857142857143,0.7142857142857143
greedy_crh,4,6034.0223659672,264.1400558102546,-5731.548115090231,2995.011422267432,317.10109285911835,3123.829294691252,285.1421311408653,4794598.54992045,-5240.729856168135,-24277.46366207079,-6.158053376869139,21,11,12,9,13570.0,0.5238095238095238,0.5714285714285714
frontload,0,1924.3594529869522,353.99496959640624,-1771.7335717340775,893.7053737952297,221.48952541650326,711.5978115492148,439.80085366847015,1779705.313084024,-1988.4543481628546,-17740.158813596267,-3.987597847181639,15,9,9,6,7460.0,0.6,0.6
frontload,1,3915.260693023912,340.14498772280564,-3557.3246214262326,1898.4689399487415,283.9181553299339,884.3934211439207,469.3501846612924,3259964.8923536683,-3612.8396844472845,-19605.883463982933,-3.5338623776933584,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
