ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,704,5,10,27,2160.0,2700.0,0.0,2690.0,0
0,0,509,5,10,6,480.0,2700.0,0.0,2690.0,0
0,0,385,3,3,1,50.0,2700.0,0.0,2690.0,0
0,1,609,5,10,29,2320.0,2710.0,0.0,2640.0,0
0,1,459,5,10,3,240.0,2710.0,0.0,2640.0,0
0,1,703,5,10,1,80.0,2710.0,0.0,2640.0,0
0,2,684,5,10,25,2000.0,2770.0,0.0,2770.0,0
0,2,430,5,10,9,720.0,2770.0,0.0,2770.0,0
0,2,340,3,3,1,50.0,2770.0,0.0,2770.0,0
0,3,663,5,10,24,1920.0,2700.0,0.0,2690.0,0
0,3,515,5,10,9,720.0,2700.0,0.0,2690.0,0
0,3,396,3,3,1,50.0,2700.0,0.0,2690.0,0
0,4,545,5,10,22,1760.0,2710.0,0.0,2690.0,0
0,4,525,5,10,11,880.0,2710.0,0.0,2690.0,0
0,4,342,3,3,1,50.0,2710.0,0.0,2690.0,0
0,5,453,5,10,18,1440.0,2720.0,0.0,2720.0,1
0,5,451,5,10,16,1280.0,2720.0,0.0,2720.0,1
0,6,435,5,10,18,1440.0,2700.0,0.0,2690.0,0
0,6,495,5,10,15,1200.0,2700.0,0.0,2690.0,0
0,6,374,3,3,1,50.0,2700.0,0.0,2690.0,0
0,7,455,5,10,17,1360.0,2710.0,0.0,2690.0,0
0,7,536,5,10,16,1280.0,2710.0,0.0,2690.0,0
0,7,411,3,3,1,50.0,2710.0,0.0,2690.0,0
0,8,468,5,10,17,1360.0,2720.0,0.0,2640.0,0
0,8,489,5,10,13,1040.0,2720.0,0.0,2640.0,0
0,8,665,5,10,3,240.0,2720.0,0.0,2640.0,0
0,9,520,5,10,18,1440.0,2780.0,0.0,2740.0,0
0,9,533,5,10,15,1200.0,2780.0,0.0,2740.0,0
0,9,380,3,3,2,100.0,2780.0,0.0,2740.0,0
0,10,429,5,10,13,1040.0,2740.0,0.0,2720.0,0
0,10,540,5,10,13,1040.0,2740.0,0.0,2720.0,0
0,10,553,5,10,8,640.0,2740.0,0.0,2720.0,0
0,11,439,5,10,14,1120.0,2720.0,0.0,2560.0,0
0,11,465,5,10,12,960.0,2720.0,0.0,2560.0,0
0,11,603,5,10,6,480.0,2720.0,0.0,2560.0,0
0,12,522,5,10,16,1280.0,2860.0,0.0,2800.0,0
0,12,427,5,10,17,1360.0,2860.0,0.0,2800.0,0
0,12,616,5,10,2,160.0,2860.0,0.0,2800.0,0
0,13,458,5,10,12,960.0,2760.0,0.0,2480.0,0
0,13,449,5,10,17,1360.0,2760.0,0.0,2480.0,0
0,13,701,5,10,2,160.0,2760.0,0.0,2480.0,0
0,14,564,5,10,14,1120.0,2980.0,0.0,2960.0,0
0,14,441,5,10,12,960.0,2980.0,0.0,2960.0,0
0,14,531,5,10,11,880.0,2980.0,0.0,2960.0,0
1,0,704,5,10,27,2160.0,2700.0,0.0,2690.0,0
1,0,509,5,10,6,480.0,2700.0,0.0,2690.0,0
1,0,385,3,3,1,50.0,2700.0,0.0,2690.0,0
1,1,609,5,10,29,2320.0,2710.0,0.0,2640.0,0
1,1,459,5,10,3,240.0,2710.0,0.0,2640.0,0
1,1,703,5,10,1,80.0,2710.0,0.0,2640.0,0
1,2,684,5,10,25,2000.0,2770.0,0.0,2770.0,0
1,2,430,5,10,9,720.0,2770.0,0.0,2770.0,0
1,2,340,3,3,1,50.0,2770.0,0.0,2770.0,0
1,3,663,5,10,24,1920.0,2700.0,0.0,2690.0,0
1,3,515,5,10,9,720.0,2700.0,0.0,2690.0,0
1,3,396,3,3,1,50.0,2700.0,0.0,2690.0,0
1,4,545,5,10,22,1760.0,2710.0,0.0,2690.0,0
1,4,525,5,10,11,880.0,2710.0,0.0,2690.0,0
1,4,342,3,3,1,50.0,2710.0,0.0,2690.0,0
1,5,453,5,10,18,1440.0,2720.0,0.0,2720.0,1
1,5,451,5,10,16,1280.0,2720.0,0.0,2720.0,1
1,6,435,5,10,18,1440.0,2700.0,0.0,2690.0,0
1,6,495,5,10,15,1200.0,2700.0,0.0,2690.0,0
1,6,374,3,3,1,50.0,2700.0,0.0,2690.0,0
1,7,455,5,10,17,1360.0,2710.0,0.0,2690.0,0
1,7,536,5,10,16,1280.0,2710.0,0.0,2690.0,0
1,7,411,3,3,1,50.0,2710.0,0.0,2690.0,0
1,8,468,5,10,17,1360.0,2720.0,0.0,2640.0,0
1,8,489,5,10,13,1040.0,2720.0,0.0,2640.0,0
1,8,665,5,10,3,240.0,2720.0,0.0,2640.0,0
1,9,520,5,10,18,1440.0,2780.0,0.0,2740.0,0
1,9,533,5,10,15,1200.0,2780.0,0.0,2740.0,0
1,9,380,3,3,2,100.0,2780.0,0.0,2740.0,0
1,10,429,5,10,13,1040.0,2740.0,0.0,2720.0,0
1,10,540,5,10,13,1040.0,2740.0,0.0,2720.0,0
