iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.35590436671776,-0.32720209221308083,-0.28381084087323233,-0.24845852202926605,-0.3614273818798904,-0.29278971846412594,-0.2685330615356316,-0.2380936376893098,-0.21368383051640386,-0.2976319270413417,-0.23559206848427003,-0.21536425248419325,-0.19666242230388004,-0.18216926633287245,-0.23981729609390706,-0.16717919301816786,-0.15177018675600223,-0.14710743919581695,-0.14447537583884468,-0.17066646299991647,-0.10636774815941039,-0.0952421283309436,-0.10305856532198308,-0.11096969539970887,-0.10919905580525824,-0.06501596565545528,-0.0568030486019037,-0.07310533108777603,-0.0881858327010965,-0.06740121891289058,-0.026845089497958267,-0.02132082115971303,-0.04545619179466186,-0.06715457482545431,-0.028818600243012773
1,-0.16322026602166154,-0.2204036887900554,-0.28832846727439965,-0.17972527255972984,-0.29163043850705717,-0.16956531968392238,-0.21097144955288794,-0.2014998781421352,-0.1285373746361008,-0.24260917865377848,-0.16858686686516783,-0.20058992966297878,-0.17267337483575562,-0.10405815593944169,-0.22052348877370975,-0.13778392838093612,-0.130697924371942,-0.1631944284783493,-0.07026863114965375,-0.1276866611421826,-0.0824012040198199,-0.14138196618672025,-0.11172859329477773,-0.03636276608548317,-0.06396092556801641,-0.015635779503408716,-0.05439797775969997,-0.05549991217120714,-0.02107156234805724,0.020483039067808392,-0.02478079542601407,-0.0313497149857036,0.004237751168490395,-0.04461020434806973,0.037171684435128485
2,-0.1779730151882618,-0.14851491877558542,-0.15523560410332193,-0.11787948973915627,-0.21699471221820443,-0.18884043883017348,-0.20571185807450315,-0.15521773264098196,-0.09114451052904651,-0.228169088820293,-0.18969049205249025,-0.14058096065722528,-0.15714018438261496,-0.11732257528598229,-0.19101176328546332,-0.11264956771392401,-0.10180624777834271,-0.11985033094698311,-0.12309902189752202,-0.10816879256942591,-0.11193329558315063,-0.043331608818888985,-0.037099444332677464,-0.0478298327383805,-0.060372034459351236,-0.03761762220226024,-0.0207004473309563,-0.01751799378610993,-0.03728838984441183,-0.000710372045493411,-0.016731463783179495,0.007719234018660636,0.09064630517767634,0.0516881809036442,0.06946093779558135
3,-0.04544026319545082,-0.18038386988866448,-0.0817469691028522,-0.21312227315929655,-0.22272544217796836,-0.06172095828806582,-0.14166665728691,-0.2480971161230885,-0.16887714935247417,-0.11854973583903056,-0.056795414192872706,-0.12452905536910501,-0.11283376534645245,-0.11291848359125269,-0.1604600965755178,-0.13532587068970453,-0.11731354800496521,-0.09393152312869252,-0.11405959710013444,-0.10281289413219713,-0.063627660315328,-0.048529378889691964,0.005860783172056638,-0.0905476028583917,-0.06507820187587915,0.004509999436789204,-0.017300122032658002,0.07030160435338363,-0.08448373299103247,-0.039220964537860135,0.05340980939840326,0.05514168708199446,0.11607913256579422,-0.07173065650329892,0.008431541772530877
4,0.052134403908160896,-0.13160804448944957,-0.06547736051359679,-0.07395332572312796,-0.07019165251225576,-0.010355066634663889,-0.10897929297823611,-0.16815161764877926,-0.11316036818030377,-0.11941266500558159,-0.08732685780383023,-0.03439170785822594,-0.1248691957897076,-0.10364965410819724,-0.08025023346015187,-0.07923993653821437,-0.06452356216681063,-0.05431909103531759,-0.1288685235557962,-0.03975641155817278,-0.0419505913207759,-0.034625053548755,0.058333631291860616,-0.04543405352925656,-0.03526071609670117,0.024847846744412386,0.009333462033001692,0.1331657889641073,0.04593883173501974,0.011652593457607012,0.0718374340046529,-0.03428478229868228,0.04135870062612479,0.04699833540003928,0.03821002366129002
5,0.1307400331708098,-0.024672279070831922,0.017337307816117604,0.1453867232923234,0.000738638842040281,0.06398608080323441,-0.05416584244788901,-0.12023673689245606,-0.017824986092202226,-0.09804723940079457,-0.02691976514105842,0.037335342030552644,-0.06390573629199416,0.05619225934350158,-0.07074260791256254,0.010475582603014963,0.015578752240106228,0.013384453118441596,0.01892570607683713,-0.014024166333744432,-0.014379743299273579,-0.0514944760919224,0.10986919397117548,0.021444176552103313,0.021653519459000344,0.010950039311915832,0.08274824308822454,0.0747373729415463,0.07503015934379537,0.09397859527207895,0.21033109249798165,0.14570583601419668,0.22031586747665305,0.18944260301289373,0.2082145611377399
6,0.13854587180591105,0.14867857044828145,0.14762378123974806,0.24722687293758913,-0.014192341480937662,-0.045278574010380684,-0.08445967597998569,-0.011743095123097513,0.0015015886156217063,0.13482586099140445,-0.06717507568619929,0.08595772886134594,-0.030223020968186257,0.15092579524178623,-0.05893976302683,0.042840542657445316,0.038788224351317624,-0.014434685547671484,0.06122466052042648,0.05370868177129165,0.032870091220577026,0.0086951859005985,0.13953809850370336,0.025547959619090184,0.07722825235927669,0.08010046812101024,0.09767545353082965,0.13440998793755693,0.1624014646262569,0.11334601581840029,0.20627917414234187,0.1401652635304953,0.11718734909595824,0.18866517502706068,0.11547206047335076
7,0.40583276455311235,0.21413980060741405,0.14024167568498574,0.31712599982254275,0.16803050984302856,0.20510897590003635,0.119372028299499,0.06861390038660516,0.06402099974861672,0.09663684850307362,0.014067434971521135,0.08199334727541836,0.029033483897591656,0.1196697287222365,-0.05107904323749751,0.07082791341970499,0.03959074099251894,0.059233940659656426,0.17419655255072064,0.003252647122028286,0.04567542509396227,0.05058278488845882,0.20128736020135116,0.028478196878285313,0.06035044526027119,0.1765241731707035,0.09886224780257463,0.10538920669113203,0.2386468941411513,0.15005670771419216,0.35358875438319776,0.1426092935504738,0.23335102928136892,0.23240206560446347,0.22162317153396313
8,0.3059556636020949,0.2706531937543373,0.1311249334699846,0.3545880281497977,0.226025555512709,0.2116902729582596,0.1352476042699577,0.02888295606910203,0.08461631330214812,0.21929246515854578,0.02847568299892079,0.10537345321003559,0.07170775351274744,0.18310255724102634,0.08806245754119324,0.06569183356394173,0.057710693092520894,-0.006947037291322785,0.16107535112507798,0.012331392852538536,0.03191707168804849,0.08887786416479192,0.15392643658696456,0.12098916655425641,0.160151927341227,0.15089644607031483,0.08630225795707362,0.1903879671180459,0.2592587416008211,0.21931301921706783,0.4309785588501495,0.2804268417411876,0.2966601134304244,0.30769812196077817,0.26275100466289036
9,0.4026813343770491,0.35912134103017934,0.15412577582331913,0.3008774463409336,0.22730599763389076,0.2104317568752646,0.1844169240261097,0.10040054798790585,0.17253083594572682,0.21610641284199833,0.1052231819804399,0.06999495641641168,0.15622716941336803,0.15371286256263111,0.059168703937799424,0.07426334547351804,0.16961167369697605,0.012616296526025889,0.1664723873075252,0.07655024766849239,0.12061769798874623,0.12030390986297047,0.13853678914937778,0.09733656509839009,0.14874152586946893,0.1879728093182048,0.21248482020638,0.26531329702668704,0.20831878769266793,0.26724669469177165,0.44821550445184655,0.1867515522062752,0.35425185292760836,0.33496581777525897,0.2927446129717404
10,0.37077024252933705,0.3568495726474012,0.28067836236224486,0.4432607525338347,0.2899200245319632,0.32187344474916596,0.1945079917324808,0.11220047510488906,0.24094208611851559,0.2971519828838098,0.15319450608806245,0.03217038828148486,0.16837093665069186,0.12271239497929962,0.12389054640265294,0.0527950785383259,0.14447037447750513,0.12198653819230922,0.23161255907577705,0.0993723888990489,0.0896089376027877,0.1356779696469559,0.23438599552817768,0.09470368869864823,0.22229669038863542,0.16328745863956123,0.241944967690086,0.35969261838484706,0.19510492470825738,0.3520323332845394,0.3417316696802868,0.3259836885567162,0.38441234811774627,0.4192257850726797,0.30260132715190713
11,0.4732356265394453,0.36026971697654575,0.33588070761964295,0.5327924897297511,0.3492031880964066,0.326893173969392,0.3009927673327291,0.21788117587952208,0.3401051266965284,0.4093558174777717,0.2476997400054466,0.03254370663164119,0.20614365579743993,0.16577244510013478,0.19066627847662573,0.08602137514177405,0.165800675592039,0.08870868034623625,0.24131580122962798,0.16018686521417208,0.09411464214560883,0.1933000240527439,0.12698025554661557,0.24189179724349524,0.26804833485480173,0.26316034936753696,0.2560734268143094,0.26551096283968656,0.35057324320566974,0.4169763238679861,0.47729512069440205,0.41644168339663334,0.44078027991456054,0.5641064847231197,0.33920818499843586
12,0.5124978997412977,0.4761150865433033,0.4521871635009464,0.5796780296474345,0.3983297184166913,0.4178506133696468,0.31276019126243826,0.2753274500836373,0.42278401720702236,0.3716925857435347,0.27962959854035363,0.03119216326635982,0.2087797935182995,0.271914940977707,0.25324347390121466,0.11092688570655565,0.1739311956150542,0.09140054615712138,0.20507284049905955,0.11620661779119955,0.10367511105382694,0.17850842547591864,0.24094889966775518,0.21401144113754295,0.2369438548913138,0.29161458689254893,0.2248485838052855,0.3985814644346091,0.3501711065984662,0.31144004331332253,0.4993679920262544,0.36486223316159383,0.5294239740293651,0.49403757526882164,0.3609915199996477
13,0.5693833309425855,0.5754496495112438,0.32140329961664565,0.6843794530588498,0.48240569565602737,0.48506600883066336,0.47720985442645636,0.2614232811090418,0.4332847524805047,0.3559564514302358,0.30215941962554627,0.16632003611545304,0.2675928047310532,0.22917980373425906,0.2968750822735752,0.18277353082396122,0.2654982285572298,0.14027234708064595,0.2795065406890493,0.17070655510851396,0.1366089495350476,0.23130675005053797,0.2601292645324038,0.268857410568308,0.2520070738534982,0.3895794094597025,0.35456285395628734,0.36496415785572345,0.37337983885727394,0.35371434185072453,0.4401462351244,0.4717361722317074,0.522901659465418,0.5363938057759257,0.3590407132834698
14,0.6245832719087813,0.6204516167013023,0.3893173954332827,0.7850856151503194,0.42514332049845116,0.4217921614798228,0.4462943298332003,0.34302845325510234,0.43257746914513495,0.45757628457992444,0.31774735232505436,0.2537331016784706,0.27110248437809126,0.32290265254876427,0.3244034113625739,0.22910918423003102,0.20310998929997182,0.1694907879353425,0.27283767733667474,0.18797737447440002,0.1285603749696405,0.23729344204017258,0.21594661274065147,0.3189594758351225,0.3374283968306571,0.4268436344455683,0.36160888164035015,0.3452547652676006,0.4933304290402503,0.4325607024894289,0.5431851243315671,0.4900116606110635,0.6160112523667822,0.5698588178782052,0.5123941612196754
15,0.6230578756028458,0.5837544998432365,0.4546027224538154,0.8444971767662464,0.6554514902473986,0.483100715114258,0.5171370951683769,0.266372350758422,0.4721600185264433,0.3924787983471696,0.25806678029385954,0.22711077881101413,0.302037909531109,0.29610082743473376,0.3399381837940697,0.2271237707259441,0.2840614490818425,0.18778539942074035,0.2807650865469098,0.13913485031507,0.14920236625118435,0.2407098817314098,0.20781443811514572,0.32839470725373265,0.3731144722188164,0.40170451557563536,0.42920636089206393,0.3567759935833442,0.3951743021058205,0.333711799125915,0.4893493918671785,0.5000105029298506,0.6241984458185121,0.612391932473803,0.4399225591807735
