alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-1901.429070765876,16918.134213703073,0.0,-2364.7885556453352,16411.327654077653,2212.6594109925527,-12123.027108169576,16506224.118404442,-13047.003828075665,-6536.160366958084,-6.893043692547185,42.0,734.0,0.2,0.0,0.9999067762495034,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,1,-1937.753574115693,17629.265238510165,0.0,-2466.503228299806,17307.052723619367,2361.2772484754096,-12852.487797621821,17216192.53353264,-13608.183693533949,-4717.397148042337,-6.326977896133111,43.0,734.0,0.13333333333333333,0.0,0.9999067762495034,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,2,-1849.2480577365902,16859.709000896943,0.0,-2354.892945114116,16425.151020000234,2216.9623766824893,-12767.911959394409,16437152.756896531,-12992.407797418398,-6441.225795044547,-6.766634059916444,42.0,733.0,0.2,0.0,0.9985445054371744,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,3,-1821.2587868877276,16348.59210769929,0.0,-2288.290628214347,15861.611094811582,2138.850051470805,-11789.034102386711,15972268.584936142,-12624.949708416923,-6999.034502764252,-7.056527529301805,41.0,722.0,0.26666666666666666,0.0,0.9835595265015553,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,4,-1956.274433099668,17813.405977703107,0.0,-2487.634957317263,17210.582337412747,2305.7830728926433,-12814.957762069711,17363692.0020745,-13724.771601034789,-8632.900998811432,-6.3378678946687454,43.0,733.0,0.13333333333333333,0.0,0.9985445054371745,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,0,-1935.6157942456625,17603.34627889451,0.0,-2457.666915653338,17000.63427124611,2277.6305708560903,-12579.325380855784,17154515.071260303,-13559.432017766017,-8352.355937577677,-6.476069260634411,43.0,733.0,0.13333333333333333,0.0,0.9985445054371744,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,1,-2113.1068510155046,16823.604362271646,0.0,-2364.6359459413484,15702.165337882097,2081.4387230223065,-9530.581229178744,16505158.902670613,-13046.161850306718,-11708.377167342904,-6.830617672129932,42.0,734.0,0.2,0.0,0.9999067762495034,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,2,-1890.9392052863489,16481.866874451436,0.0,-2308.0686057183348,15893.191339467317,2151.176514006072,-11785.076791469744,16110318.867913976,-12734.068702413282,-7532.311922785778,-6.537524196782866,39.4,725.0,0.37333333333333335,0.0,0.9876463389385423,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,3,-1824.1311993075094,16981.57901048009,0.0,-2373.00332104665,16571.92478095377,2240.6298056347377,-13087.395539625095,16563563.180905616,-13092.326305377846,-6011.228037003347,-7.123515518777893,43.0,734.0,0.13333333333333333,0.0,0.9999067762495035,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,4,-2076.176940694507,16667.56487288015,0.0,-2340.837423573995,15631.977372118883,2073.4655252123075,-9831.302617164765,16339045.216546481,-12914.860719096414,-10758.4725310165,-7.059033820164449,42.0,734.0,0.2,0.0,0.9999067762495032,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.3,0,-1223.24559382915,15995.559818435577,0.0,-2029.740595220424,15155.116719720372,1755.085942425589,-9453.83569221065,16148357.134090116,-13287.124770568562,-14677.62789745964,-5.947618666598792,40.0,697.0,0.3333333333333333,0.0,0.9990040443479357,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
