ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,609,5,6,29,1599.9870690804382,2700.0,0.0,2698.5983949662727,0
0,0,521,5,6,19,1048.2673900871837,2700.0,0.0,2698.5983949662727,0
0,0,214,1,6,1,50.34393579865092,2700.0,0.0,2698.5983949662727,0
0,1,704,5,6,27,1489.6431332817874,2701.4016050337273,0.0,2698.598394966273,0
0,1,528,5,6,21,1158.6113258858347,2701.4016050337273,0.0,2698.598394966273,0
0,1,81,1,6,1,50.34393579865092,2701.4016050337273,0.0,2698.598394966273,0
0,2,684,5,6,25,1379.2991974831364,2702.803210067454,0.0,2648.254459167622,0
0,2,545,5,6,22,1213.7832937851601,2702.803210067454,0.0,2648.254459167622,0
0,2,703,5,6,1,55.17196789932546,2702.803210067454,0.0,2648.254459167622,0
0,3,663,5,6,24,1324.127229583811,2754.548750899832,0.0,2648.2544591676215,0
0,3,541,5,6,20,1103.439357986509,2754.548750899832,0.0,2648.2544591676215,0
0,3,448,5,6,4,220.68787159730184,2754.548750899832,0.0,2648.2544591676215,0
0,4,635,5,6,20,1103.439357986509,2806.2942917322107,0.0,2758.5983949662727,0
0,4,631,5,6,20,1103.439357986509,2806.2942917322107,0.0,2758.5983949662727,0
0,4,447,5,6,10,551.7196789932545,2806.2942917322107,0.0,2758.5983949662727,0
0,5,618,5,6,20,1103.439357986509,2747.695896765938,0.0,2703.4264270669473,0
0,5,563,5,6,19,1048.2673900871837,2747.695896765938,0.0,2703.4264270669473,0
0,5,505,5,6,10,551.7196789932545,2747.695896765938,0.0,2703.4264270669473,0
0,6,513,5,6,18,993.0954221878583,2744.2694696989906,0.0,2703.4264270669473,0
0,6,629,5,6,18,993.0954221878583,2744.2694696989906,0.0,2703.4264270669473,0
0,6,482,5,6,13,717.235582691231,2744.2694696989906,0.0,2703.4264270669473,0
0,7,500,5,6,18,993.0954221878583,2740.8430426320433,0.0,2703.4264270669473,0
0,7,422,5,6,18,993.0954221878583,2740.8430426320433,0.0,2703.4264270669473,0
0,7,584,5,6,13,717.235582691231,2740.8430426320433,0.0,2703.4264270669473,0
0,8,691,5,6,17,937.9234542885328,2737.416615565096,0.0,2703.4264270669473,0
0,8,712,5,6,19,1048.2673900871837,2737.416615565096,0.0,2703.4264270669473,0
0,8,647,5,6,13,717.235582691231,2737.416615565096,0.0,2703.4264270669473,0
0,9,581,5,6,17,937.9234542885328,2733.9901884981487,0.0,2703.4264270669473,0
0,9,662,5,6,17,937.9234542885328,2733.9901884981487,0.0,2703.4264270669473,0
0,9,504,5,6,15,827.5795184898819,2733.9901884981487,0.0,2703.4264270669473,0
0,10,623,5,6,17,937.9234542885328,2730.5637614312013,0.0,2703.4264270669473,0
0,10,619,5,6,17,937.9234542885328,2730.5637614312013,0.0,2703.4264270669473,0
0,10,681,5,6,15,827.5795184898819,2730.5637614312013,0.0,2703.4264270669473,0
0,11,628,5,6,17,937.9234542885328,2727.137334364254,0.0,2703.4264270669473,0
0,11,538,5,6,18,993.0954221878583,2727.137334364254,0.0,2703.4264270669473,0
0,11,654,5,6,14,772.4075505905564,2727.137334364254,0.0,2703.4264270669473,0
0,12,646,5,6,16,882.7514863892073,2723.7109072973067,0.0,2703.4264270669473,0
0,12,571,5,6,17,937.9234542885328,2723.7109072973067,0.0,2703.4264270669473,0
0,12,671,5,6,16,882.7514863892073,2723.7109072973067,0.0,2703.4264270669473,0
0,13,591,5,6,18,993.0954221878583,2720.2844802303593,0.0,2703.4264270669473,0
0,13,544,5,6,18,993.0954221878583,2720.2844802303593,0.0,2703.4264270669473,0
0,13,626,5,6,13,717.235582691231,2720.2844802303593,0.0,2703.4264270669473,0
0,14,705,5,6,16,882.7514863892073,2716.858053163412,0.0,2648.254459167622,0
0,14,598,5,6,16,882.7514863892073,2716.858053163412,0.0,2648.254459167622,0
0,14,666,5,6,16,882.7514863892073,2716.858053163412,0.0,2648.254459167622,0
1,0,609,5,6,29,1599.9870690804382,2700.0,0.0,2698.5983949662727,0
1,0,521,5,6,19,1048.2673900871837,2700.0,0.0,2698.5983949662727,0
1,0,214,1,6,1,50.34393579865092,2700.0,0.0,2698.5983949662727,0
1,1,704,5,6,27,1489.6431332817874,2701.4016050337273,0.0,2698.598394966273,0
1,1,528,5,6,21,1158.6113258858347,2701.4016050337273,0.0,2698.598394966273,0
1,1,81,1,6,1,50.34393579865092,2701.4016050337273,0.0,2698.598394966273,0
1,2,684,5,6,25,1379.2991974831364,2702.803210067454,0.0,2648.254459167622,0
1,2,545,5,6,22,1213.7832937851601,2702.803210067454,0.0,2648.254459167622,0
1,2,703,5,6,1,55.17196789932546,2702.803210067454,0.0,2648.254459167622,0
1,3,663,5,6,24,1324.127229583811,2754.548750899832,0.0,2648.2544591676215,0
1,3,541,5,6,20,1103.439357986509,2754.548750899832,0.0,2648.2544591676215,0
1,3,448,5,6,4,220.68787159730184,2754.548750899832,0.0,2648.2544591676215,0
1,4,635,5,6,20,1103.439357986509,2806.2942917322107,0.0,2758.5983949662727,0
1,4,631,5,6,20,1103.439357986509,2806.2942917322107,0.0,2758.5983949662727,0
1,4,447,5,6,10,551.7196789932545,2806.2942917322107,0.0,2758.5983949662727,0
1,5,618,5,6,20,1103.439357986509,2747.695896765938,0.0,2703.4264270669473,0
1,5,563,5,6,19,1048.2673900871837,2747.695896765938,0.0,2703.4264270669473,0
1,5,505,5,6,10,551.7196789932545,2747.695896765938,0.0,2703.4264270669473,0
1,6,513,5,6,18,993.0954221878583,2744.2694696989906,0.0,2703.4264270669473,0
1,6,629,5,6,18,993.0954221878583,2744.2694696989906,0.0,2703.4264270669473,0
1,6,482,5,6,13,717.235582691231,2744.2694696989906,0.0,2703.4264270669473,0
1,7,500,5,6,18,993.0954221878583,2740.8430426320433,0.0,2703.4264270669473,0
1,7,422,5,6,18,993.0954221878583,2740.8430426320433,0.0,2703.4264270669473,0
