policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,6853.163595536794,-57.16987801250223,-6622.759906117325,3458.6670325305226,209.58398577933397,2467.611080740911,-309.71403153245296,5235545.069820778,-9183.751971701857,-49732.87123672983,-7.487332545776671,42,15,28,14,40492.41474924681,0.35714285714285715,0.6666666666666666
myopic,1,7793.944980215549,22.892664160870375,-7535.769782993066,3923.518734187694,287.51795261627285,2853.9911878425937,-318.51681414991026,5906471.399663018,-10464.951518216229,-48677.51171188959,-8.367671486081058,42,12,27,15,40492.41474924681,0.2857142857142857,0.6428571428571429
myopic,2,11789.697073823594,-76.05867251104709,-11514.821078226489,5952.312983924444,317.79647645889037,4695.148724791581,-351.03078762878,8920517.64651787,-15721.633310336454,-64828.0851907987,-6.155037334445832,42,13,31,11,40492.41474924681,0.30952380952380953,0.7380952380952381
myopic,3,5900.301136745915,-77.56160785220513,-5715.2461034748685,2985.035704523224,172.30507260665982,2749.7709895723965,-357.8336201267613,4520335.786231085,-7906.297098905309,-42010.46687656609,-9.620264953203101,42,10,25,17,40492.41474924681,0.23809523809523808,0.5952380952380952
myopic,4,9655.976592155532,-76.05867251104709,-9417.424127746404,4874.099523693138,256.6586377743441,3547.3734625054635,-224.05893825213306,7286889.574254374,-12853.79719816213,-57008.939518278545,-9.397453322717654,42,10,25,17,40492.41474924681,0.23809523809523808,0.5952380952380952
greedy_crh,0,2391.8312582205704,-53.166750903833595,-2306.11346105544,1204.5154012969147,56.993789403936766,-63.67086649414529,28.11281988429847,1851121.910745408,-3180.3710752100515,-9482.449350581695,-4.0575234632773425,15,9,9,6,13450.300477244247,0.6,0.6
greedy_crh,1,2210.0302248537523,-57.16987801250223,-2122.5213933648915,1114.259393701479,53.50204119899884,-384.46128156001555,44.937492084325285,1717928.9480572406,-2943.2707188178033,-8847.17459193757,-4.20657301636328,15,9,9,6,13450.300477244247,0.6,0.6
greedy_crh,2,4918.009626738751,-76.05867251104709,-4884.426307124962,2486.1039016828786,101.52175832936639,1176.576649730285,29.039903284591077,3728776.0974590885,-6490.102021064389,-20034.302547318726,-2.762015892537108,15,11,11,4,13450.300477244247,0.7333333333333333,0.7333333333333333
greedy_crh,3,1742.4650162267285,-88.71109200880257,-1538.2921910537912,888.9785882173253,20.974982224628597,254.78537802520015,63.21798144202096,1353131.8610760928,-2383.2332162532703,-16651.530511014713,-4.232388282890623,15,8,9,6,13450.300477244247,0.5333333333333333,0.6
greedy_crh,4,2110.9074374301676,-84.27553740836242,-2083.56760432429,1074.2054074219031,33.88242421557799,-429.01135916564306,30.404238640607108,1627692.1334593003,-2782.5956142035056,-8062.476737850427,-5.535159722181639,15,7,7,8,13450.300477244247,0.4666666666666667,0.4666666666666667
frontload,0,2391.8312582205704,-53.166750903833595,-2306.11346105544,1204.5154012969147,56.993789403936766,-63.67086649414529,28.11281988429847,1851121.910745408,-3180.3710752100515,-9482.449350581695,-4.0575234632773425,15,9,9,6,13450.300477244247,0.6,0.6
frontload,1,2210.0302248537523,-57.16987801250223,-2122.5213933648915,1114.259393701479,53.50204119899884,-384.46128156001555,44.937492084325285,1717928.9480572406,-2943.2707188178033,-8847.17459193757,-4.20657301636328,15,9,9,6,13450.300477244247,0.6,0.6
frontload,2,4918.009626738751,-76.05867251104709,-4884.426307124962,2486.1039016828786,101.52175832936639,1176.576649730285,29.039903284591077,3728776.0974590885,-6490.102021064389,-20034.302547318726,-2.762015892537108,15,11,11,4,13450.300477244247,0.7333333333333333,0.7333333333333333
