iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.35590436671776,-0.3458837068541622,-0.23938562615729758,-0.24845852202926605,-0.3614273818798904,-0.29278971846412594,-0.28017801403414105,-0.1923221005309601,-0.21368383051640386,-0.2976319270413417,-0.23559206848427003,-0.2206322299159969,-0.1496707804320918,-0.18216926633287245,-0.23981729609390706,-0.16717919301816786,-0.14941080185311856,-0.0986564563922689,-0.14447537583884468,-0.17066646299991647,-0.10636774815941039,-0.0861028657972267,-0.053310390579092974,-0.11096969539970887,-0.10919905580525824,-0.06501596565545528,-0.04305346927922021,-0.022475065826133303,-0.0881858327010965,-0.06740121891289058,-0.026845089497958267,-0.003315564801060404,0.005988310868906339,-0.06715457482545431,-0.028818600243012773
1,-0.19070207769084102,-0.22389679171858493,-0.26897909142324883,-0.1888943194836386,-0.2600247551743563,-0.17390975641520875,-0.18228746205178653,-0.25761988060466373,-0.1285373746361008,-0.23057643188590227,-0.17604114777302315,-0.17543115626745098,-0.1872008606629975,-0.10405815593944169,-0.211712621035182,-0.13159494849964612,-0.12820510273946104,-0.17424022754812563,-0.0701356713493396,-0.0975130575309072,-0.08225825975575043,-0.14289092211928903,-0.06219963910605418,-0.027541023384798677,-0.054830909344756595,-0.05178873671120999,-0.05007708409091899,-0.024410690106347638,-0.025448709698019777,0.021495460256900592,-0.02478079542601407,-0.08710855419800863,0.002840713808024066,-0.06269509769697985,0.07180425130734122
2,-0.20699367508096544,-0.22614410748414132,-0.2013422488088133,-0.12817860881983037,-0.20398542304984885,-0.2013522764288102,-0.23101462964756952,-0.07508930146436686,-0.1924993420522405,-0.17241596414338076,-0.15694370972114435,-0.14226002919602476,-0.14811528789904843,-0.10431539666968814,-0.16887733141668632,-0.1536073147183633,-0.10248521214942331,-0.03742835100981841,-0.07663924073188369,-0.10017353798951532,-0.0888363334400041,-0.1010296225580364,-0.1094226878841294,-0.08675014042876458,-0.04967956570859951,-0.02548994315185707,-0.06948003866749793,-0.031897708140848094,-0.030584724450842822,-0.04614938766803284,-0.016904011359955683,0.05003832823535111,0.05898999588527849,0.018558484918437,0.05939594180855165
3,-0.08646270395121247,-0.13215365309282967,-0.13095758130682383,-0.18446293359486518,-0.15887628212292115,-0.14116683737551003,-0.14236756474276746,-0.038708244048121815,-0.02457284373336026,-0.13451456120852207,-0.10154595157435613,-0.168959653720306,-0.08048974880370252,-0.07482886148676952,-0.10687300251402307,-0.10143822482200328,-0.05635882609824099,-0.09151994254181703,-0.07297848945860233,-0.040849910439155604,-0.10420709995959324,0.005615539351398522,-0.017288319620699683,-0.022281324478008402,-0.013908468461152124,-0.03187078462965934,0.011088074195997354,0.0015494293420206546,-0.008993748407359725,0.10660466334125494,0.04114151128623661,0.05004210090316093,0.06530353290294544,-0.06484612479247595,-0.02863879953778284
4,0.053556618556032734,-0.08393332349363933,-0.0769036722087124,-0.1297665984726094,-0.14332607935157932,-0.03581036381625767,-0.14204746897552972,-0.04568056772511862,-0.10204386683755076,-0.09149378922762888,-0.05548355927395494,-0.09712179716170524,-0.08238079873768395,-0.11857083788487494,-0.12907612750372846,-0.05900580440273539,-0.01725853978620529,-0.05813501596230315,-0.08849441858902823,-0.07770676409484942,-0.0866490040848871,-0.06481583498880988,-0.012286491595008761,-0.07513605406125454,-0.02358773931521997,0.022016271984836727,-0.018066189305273494,0.05329206049191838,-0.010206777613636291,0.16513431584381513,0.17379976702089978,0.06031122998820203,0.16487811767413366,0.006356635249150561,0.09414688617711607
5,0.10941917405850911,-0.04215639776595358,0.0664399465350842,0.09070269136180438,-0.014962642419876621,-0.0048463942098027485,-0.17831937429695477,-0.035748235366807476,0.005171464905441341,0.0012134784316813266,0.028767573264072727,-0.0803712300418657,0.01012095772174266,-0.02142791137566142,-0.07664010367511215,0.04411791741118745,-0.03582286830122733,-0.04646011863791821,-0.024880555804967938,-0.030520294565427538,0.009975285693055759,0.04059258128725421,0.03531309662970794,-0.09844996922942319,-0.03351550432781142,0.11353300472976488,-0.015769057399718373,0.0720350047409861,0.07226092238643321,0.18450704979421484,0.28643318935456724,0.09591635009096251,0.1887417314258576,0.13566994448356012,0.1836497566686121
6,0.2933949484290128,0.22756198972908961,0.05241464489658262,0.1209254076834082,0.1457372316695574,-0.06173415159819477,-0.07735032453219265,0.03010710285780879,-0.011317440621585306,0.10633834028085895,-0.026757710928834454,0.06264796699262946,0.022109727662877394,0.004664164337109193,-0.013651777703017818,0.06957666556181538,0.013580172148316921,0.03388464904157434,-0.018646648540735944,-0.005556378996832529,-0.009199160588162489,0.007447876427358339,0.11973428688523452,0.024389830340961784,-0.08172297306959897,0.13956874919978735,0.054758339605948794,0.13091550148260922,0.13484897608179594,0.21508163928571972,0.2987806092052636,0.05810864085668407,0.3043977118629506,0.146737682667829,0.2132159487037315
7,0.342117628721889,0.11480114629065159,-0.083256663943809,0.2605888426753339,0.15060842516414327,0.09893364125970784,-0.03332896639630911,0.06357882644368205,0.0648832882868274,0.1509697594684889,0.12724667259613628,0.10467960711386742,0.003966104790550602,0.1273932914308901,0.017951488757605275,0.09679721050237178,0.010544312800033966,0.1068184388682894,0.11927667207057216,-0.014378227123062904,0.036379889076006616,0.08052831597333403,0.16270301242888302,0.046884426280725006,-0.012035278089926976,0.17878053147436418,0.007005275850867149,0.14402232649120317,0.19420332178043648,0.25664277760426424,0.3304628602414326,0.042556108668799913,0.24398637795912514,0.1640969497906407,0.25541017306297653
8,0.30092871002109384,0.31641049094788487,0.02789425918694658,0.3163489448094008,0.25815484275372247,0.08985540976520412,0.1079954386647985,0.24568291593562766,0.16798874563262423,0.25223940616882956,0.19240966603287135,0.0929863585924133,0.07531898189602321,0.22996950833300212,0.11471514415794892,0.12772288398861253,0.03193343146405607,0.13140369115844514,0.12330635073337612,0.06762263372749269,0.05793909870054557,0.13107126182795234,0.12628267879879052,0.06351081845208573,-0.0074620281380578,0.1634172718824764,0.12955098641717583,0.15161503890278386,0.24375431164062966,0.36262514956935055,0.4024551306894668,0.19199546901085957,0.3379887092441727,0.23080628942807918,0.3200170836571505
9,0.3130550647775809,0.2973591130811396,0.12765655927362718,0.36064634807671225,0.23890806162378667,0.15970239949405862,0.0646990983565204,0.24371816315345513,0.09165919006520337,0.2493384611071758,0.12030760508188906,0.19629866166776136,0.09317816503665968,0.17255818908142156,0.0816409599283071,0.16779068136390568,0.031388325150999756,0.13878600461170998,0.14938506520266043,0.11385281733356296,0.13836146824993076,0.16334861581644144,0.17528091952366578,0.04923118065624791,0.11107309542955604,0.2501778447972697,0.08832000909456549,0.1910869804931367,0.2472837892275746,0.38644935473630604,0.4218721934035471,0.20890830951403339,0.40765038296054035,0.23445393820333338,0.2810527717057625
