alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-1807.4747861286007,17326.504094840187,0.0,-2410.124439947308,17001.59316848977,2293.852631876251,-13817.446332456975,16822668.59083221,-13297.130823415262,-5570.7147057988,-7.155724861744557,45.0,733.0,0.0,0.0,0.9985445054371745,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,1,-1818.059113594567,16993.790652719985,0.0,-2363.310444879259,16644.01875153396,2253.6642397660107,-12359.597249956072,16495906.90525723,-13038.848800101905,-5154.2920215927315,-7.208478328702919,43.0,734.0,0.13333333333333333,0.0,0.9999067762495035,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,2,-2077.746100182758,16604.025358446306,0.0,-2323.8627874992867,15435.223959166184,2018.8018669752114,-8119.571393196413,16314257.949468065,-12909.253145861081,-14390.600154112235,-7.112187429187185,45.0,733.0,0.0,0.0,0.9992937384198572,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,3,-1716.6590756435567,16719.59072076378,0.0,-2318.865321354614,16477.688271170715,2230.8396392469645,-13508.515564968224,16185679.943055201,-12793.636307263576,-4408.003391181848,-7.07724766992804,45.0,726.0,0.0,0.0,0.9890086097508711,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.0,4,-1793.582848025285,17384.202086430996,0.0,-2412.6975884956432,17267.91711712676,2357.6201147684683,-13275.37216031354,16840629.167699594,-13311.327390326158,-2436.246192414935,-6.808666951542387,45.0,734.0,0.0,0.0,0.9999067762495032,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,0,-1593.6941817868958,15892.950701851378,0.0,-2199.6556264838514,15817.420095839876,2159.2750023824055,-12913.0926280661,15353596.272857284,-12135.932961393768,-1857.0441448299425,-7.743880261579903,45.0,723.0,0.0,0.0,0.9849217973138841,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,1,-1863.7592762260283,17568.79375245397,0.0,-2445.557816655692,17115.73840122156,2299.8154290177645,-13095.646475110329,17069993.560256734,-13492.62373564723,-7007.914057797881,-6.557471098976795,43.0,734.0,0.13333333333333333,0.0,0.9999067762495035,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,2,-1842.0516890192134,17376.057095602708,0.0,-2424.5020893401015,16962.81898733622,2288.202093959867,-13661.399664274984,16923024.583593905,-13376.455144491958,-6440.572578157041,-6.548676498423548,44.0,732.0,0.06666666666666667,0.0,0.9971822346248453,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,3,-1781.7998643638416,16820.91027112934,0.0,-2343.3132731299884,16487.302678343312,2230.2927720342345,-12764.693066466843,16356326.646447321,-12928.5204683191,-5309.356455949477,-7.22396455880943,44.0,732.0,0.06666666666666667,0.0,0.9971822346248453,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
0.15,4,-1842.0516890192134,17376.057095602708,0.0,-2424.5020893401015,16962.81898733622,2288.202093959867,-13661.399664274984,16923024.583593905,-13376.455144491958,-6440.572578157041,-6.548676498423548,44.0,732.0,0.06666666666666667,0.0,0.9971822346248453,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26KB
