ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,313,2,3,2,261.3757431946037,2700.0,0.0,2352.381688751433,0
0,0,317,2,3,12,1568.254459167622,2700.0,0.0,2352.381688751433,0
0,0,243,2,3,4,522.7514863892073,2700.0,0.0,2352.381688751433,0
0,1,312,2,3,23,3005.821046737942,3047.618311248567,0.0,3005.821046737942,1
0,2,276,2,3,16,2091.0059455568294,2741.7972645106247,0.0,2643.8950062654967,0
0,2,256,2,3,3,392.0636147919055,2741.7972645106247,0.0,2643.8950062654967,0
0,2,293,2,3,1,160.8254459167622,2741.7972645106247,0.0,2643.8950062654967,0
0,3,275,2,3,21,2744.4453035433385,2797.902258245128,0.0,2744.4453035433385,1
0,4,268,2,3,18,2352.381688751433,2753.4569547017895,0.0,2744.4453035433385,1
0,4,240,2,3,3,392.0636147919055,2753.4569547017895,0.0,2744.4453035433385,1
0,5,272,2,3,9,1176.1908443757166,2709.011651158451,0.0,2613.757431946037,0
0,5,281,2,3,9,1176.1908443757166,2709.011651158451,0.0,2613.757431946037,0
0,5,291,2,3,2,261.3757431946037,2709.011651158451,0.0,2613.757431946037,0
0,6,258,2,3,14,1829.6302023622256,2795.2542192124142,0.0,2794.7892393419893,0
0,6,336,2,3,7,914.8151011811128,2795.2542192124142,0.0,2794.7892393419893,0
0,6,100,1,6,1,50.34393579865092,2795.2542192124142,0.0,2794.7892393419893,0
0,7,279,2,3,12,1568.254459167622,2700.464979870425,0.0,2613.7574319460364,0
0,7,292,2,3,5,653.4393579865092,2700.464979870425,0.0,2613.7574319460364,0
0,7,310,2,3,3,392.0636147919055,2700.464979870425,0.0,2613.7574319460364,0
0,8,267,2,3,18,2442.794411709814,2786.7075479243886,0.0,2759.342122803743,0
0,8,263,2,3,2,261.3757431946037,2786.7075479243886,0.0,2759.342122803743,0
0,8,703,5,10,1,55.17196789932546,2786.7075479243886,0.0,2759.342122803743,0
0,9,271,2,3,12,1568.254459167622,2727.3654251206453,0.0,2513.207134668195,0
0,9,259,2,3,6,814.2648039032714,2727.3654251206453,0.0,2513.207134668195,0
0,9,299,2,3,1,130.68787159730184,2727.3654251206453,0.0,2513.207134668195,0
0,10,296,2,3,14,1829.6302023622256,2914.1582904524503,0.0,2875.13317514064,0
0,10,264,2,3,7,914.8151011811128,2914.1582904524503,0.0,2875.13317514064,0
0,10,217,2,3,1,130.68787159730184,2914.1582904524503,0.0,2875.13317514064,0
0,11,284,2,3,9,1176.1908443757166,2739.02511531181,0.0,2613.7574319460364,0
0,11,282,2,3,10,1306.8787159730184,2739.02511531181,0.0,2613.7574319460364,0
0,11,337,2,3,1,130.68787159730184,2739.02511531181,0.0,2613.7574319460364,0
