policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,11096.776116570467,411.86484725568096,-10157.710850450714,5490.636984103785,576.635929932467,3450.7001336942767,239.27758529819147,8757284.160817847,-9622.08565185929,-59895.86549277312,-6.872354146046399,44,16,31,13,32330.0,0.36363636363636365,0.7045454545454546
myopic,1,12106.49019744949,304.4197111088978,-11497.337439866238,6062.448427588495,596.955165564703,3773.7259879165804,-161.5592633362245,9403063.587269634,-10248.221706010932,-60886.68141435042,-8.871819585647692,44,13,28,16,32330.0,0.29545454545454547,0.6363636363636364
myopic,2,10823.68829173157,229.80475785804558,-10166.83024335548,5394.6293191509285,459.0381424001815,3511.5423116214242,-181.48628373600954,8375384.034840916,-9138.424488669767,-60262.66195495215,-7.611686551559719,44,13,31,13,32330.0,0.29545454545454547,0.7045454545454546
myopic,3,10507.867877663253,360.3614131458544,-9933.844880369608,5238.877175944742,557.2969324240461,3831.102777381244,-54.215580327652646,8291226.21853392,-9040.556591253091,-58535.27851236277,-7.089453496930443,44,11,31,13,32330.0,0.25,0.7045454545454546
myopic,4,10231.819691789226,227.89087466859303,-9763.932373615131,5096.027675539537,381.8712300426349,4278.549538928794,-164.57774763697745,7927799.875388661,-8624.740695690673,-57629.996458843,-9.552472234529363,44,12,26,18,32330.0,0.2727272727272727,0.5909090909090909
greedy_crh,0,849.0224685888646,379.8198442178059,-731.5697632684619,359.65612054419825,234.51641960250265,334.2509263504381,409.599779732773,1011593.6687919917,-1156.3527490977492,-16446.73390971024,-3.353764864490233,15,9,10,5,7310.0,0.6,0.6666666666666666
greedy_crh,1,2578.338033952454,228.8952032051463,-2356.406036019449,1266.365825498436,236.1057289896259,84.079082577094,244.9405695841788,2165363.511305394,-2391.932371862307,-15743.879407151955,-5.005980611287107,15,8,8,7,7310.0,0.5333333333333333,0.5333333333333333
greedy_crh,2,3686.9054618816517,244.7893817332636,-3598.0733970119772,1812.4680639215826,210.3929626275966,816.9898770632939,276.5067856302667,3006001.912174195,-3278.8546417406337,-22809.069368555556,-4.201054991052732,15,9,9,6,7310.0,0.6,0.6
greedy_crh,3,2651.437020801254,342.64643281451356,-2432.8578972314663,1281.8139313918632,259.76007174590336,986.841833789573,445.04208870031835,2331731.0856182473,-2584.495007201274,-24032.182803563755,-3.3905194590214833,15,9,10,5,7310.0,0.6,0.6666666666666666
greedy_crh,4,1055.3840376379173,173.03394938295648,-940.0065167078178,492.0377251651846,89.8175535732766,174.99162254734608,231.95448794486057,951600.5585196132,-1067.0498396507621,-16466.85408375875,-5.388044621439452,15,7,7,8,7310.0,0.4666666666666667,0.4666666666666667
